chunk_id,midx,node_slug,type,title,summary,applicability,content,boundary,note
132fa7a532-001,,钠,CONCEPT_EXPLANATION,钠的性质与保存,钠的物理性质；与氧气、氯气、水、乙醇的反应；制取、保存与用途。,钠单质性质判断与方程式书写,①物理性质：银白色有金属光泽、质地柔软、熔点低于100 ℃、密度比水小比煤油大，故密封保存在煤油或石蜡油中；②与O2常温生成Na2O、加热燃烧生成淡黄色Na2O2，与Cl2点燃生成NaCl（白烟）；③与水反应2Na＋2H2O=2NaOH＋H2↑，与乙醇反应2Na＋2CH3CH2OH=2CH3CH2ONa＋H2↑，钠与水反应更快；④制取：电解熔融NaCl得2NaCl(熔融)=2Na＋Cl2↑；⑤用途：制高压钠灯、冶炼钛锆等金属、钠钾合金作核反应堆导热剂。,钠极活泼，与盐溶液反应先与水反应，不能置换出溶液中的金属。,一轮 知识清单 专题01 钠及其重要化合物（全国通用 教师版）
ad9f8fb59a-004,,铁,CONCEPT_EXPLANATION,铁的重要化合物,铁的氧化物与氢氧化物的性质、与酸（含氧化性酸）反应及Fe(OH)2的制法。,铁盐转化与离子方程式书写,①氧化物与盐酸：FeO＋2H＋=Fe2＋＋H2O、Fe2O3＋6H＋=2Fe3＋＋3H2O、Fe3O4＋8H＋=2Fe3＋＋Fe2＋＋4H2O；②与氧化性酸或还原性酸相遇要兼价态：FeO与HNO3还发生Fe2＋被氧化，Fe2O3与HI还发生Fe3＋被还原，Fe3O4与HI反应生成Fe2＋与I2；③高温下氧化物都能被C、CO、Al还原为单质铁；④Fe(OH)2与HNO3、Fe(OH)3与HI反应都不是简单中和，而是氧化还原反应；⑤Fe(OH)2制法：可溶性亚铁盐加NaOH或氨水，Fe2＋＋2OH－=Fe(OH)2↓。,易错：Fe3O4与HI反应时I－被氧化；Fe(OH)2必须隔绝空气制备。,一轮 复习讲义 第02讲 铁及其重要化合物（安徽专用 学生版）
08a9179372-024,,硫,CONCEPT_EXPLANATION,不同价态含硫物质的转化,硫的价类二维图、同价态与不同价态转化的规律（台阶式升降与归中）。,含硫物质转化与离子方程式书写,①硫元素常见价态为－2、0、＋4、＋6，可按价类二维图整理单质、氧化物、酸、盐间的转化；②同价态之间靠酸碱反应转化，如HSO₃⁻＋H＋=SO2↑＋H2O、SO₃²⁻＋SO2＋H2O=2HSO₃⁻、HS－＋OH－=S2－＋H2O；③不同价态间的转化通过氧化还原实现，化合价一般升高或降低到相邻价态，呈台阶式升降，如2SO2＋O2⇌2SO3、SO2＋2H2S=3S↓＋2H2O；④相邻价态粒子间不发生氧化还原反应（如S与H2S、SO2与浓硫酸）；⑤高价态与低价态相遇遵循归中规律，一般生成中间价态，如2S2－＋SO₃²⁻＋6H＋=3S↓＋3H2O。,易错：相邻价态不反应，归中产物为中间价态而非歧化产物。,一轮 复习讲义 第02讲 硫及其重要化合物（全国通用 教师版）
8cf031c9fe-007,,硅,CONCEPT_EXPLANATION,硅及其化合物的特殊性,硅单质与含硅化合物的特例（与HF反应、半导体性、硅酸难溶等）。,硅及无机非金属材料的易错辨析,①Si的还原性大于C，但高温下C能还原出Si：SiO2＋2C=Si＋2CO↑；②非金属单质一般不与非氧化性酸反应，但Si能与HF反应：Si＋4HF=SiF4↑＋2H2↑；③非金属单质大多不导电，而Si是半导体；④SiO2是H2SiO3的酸酐却不溶于水，不能与水直接制H2SiO3，且能与HF反应：SiO2＋4HF=SiF4↑＋2H2O；⑤H2SiO3难溶于水，但Na2SiO3溶液中通少量CO2可析出H2SiO3：Na2SiO3＋CO2＋H2O=H2SiO3↓＋Na2CO3，而高温下SiO2＋Na2CO3=Na2SiO3＋CO2↑也能发生。,易错：不能用高温制玻璃的反应比较H2SiO3与H2CO3的酸性强弱。,一轮 知识清单 专题04 碳、硅及无机非金属材料（全国通用 学生版）
024618b63e-018,,苯,MISCONCEPTION_GUIDE,苯的结构与性质要点,苯分子中碳碳键完全等同、六元环共平面，凯库勒式只是习惯写法。,苯结构判断与实验现象辨析,①苯分子中不存在单双键交替结构，6个碳碳键完全等同，是介于单键与双键之间的特殊共价键（大π键）；②凯库勒式（单双键交替的六边形）只是习惯表示方法，不能代表苯的真实结构；③苯分子中6个碳原子和6个氢原子共平面，6个碳原子构成正六边形；④与苯环直接相连的原子一定在苯环平面内，连接苯环的单键可以旋转；⑤据此可解释苯不能使酸性KMnO4溶液褪色、溴水不因加成而褪色，以及苯的一溴代物只有一种。,易错：苯不能因溴水褪色证明含碳碳双键，萃取使溴水褪色属物理变化。,一轮 复习讲义 第02讲 烃（福建专用 教师版）
4ddeefaa27-004,,醇,CONCEPT_EXPLANATION,醇的概念与断键反应,醇的官能团、分类、氢键与沸点、按断键部位理解醇的化学性质。,醇的结构与反应类型判断,①醇是脂肪烃分子中氢原子或芳香烃侧链上氢原子被羟基取代后的化合物，饱和一元醇通式CnH2n＋1OH(n≥1)，官能团为羟基；②醇分子间形成氢键，故沸点比同碳原子数的烃高，甲醇、乙醇、丙醇与水分子间形成氢键，可与水以任意比例互溶；③羟基决定醇的主要化学性质：与Na反应断①键（置换），与HBr反应断②键（取代），分子内脱水成烯断②⑤键（消去），分子间脱水成醚断①②键（取代），催化氧化断①③键生成醛或酮。,易错：与羟基相连碳的邻位碳上无氢时不能消去，含—CH2OH结构才能氧化成醛。,一轮 重难点讲义 第57讲 卤代烃 醇 酚（教师版）
4ddeefaa27-009,,酚,CONCEPT_EXPLANATION,苯酚的性质与检验,苯酚的弱酸性、与溴水的取代、显色反应、缩聚与氧化。,酚类性质判断与检验操作,①羟基与苯环相互影响，使苯酚中羟基氢更活泼而显弱酸性，但酸性比碳酸弱，与Na2CO3反应只生成NaHCO3，与NaHCO3不反应；②苯酚钠溶液中通入CO2无论是否过量都只生成NaHCO3；③苯酚与浓溴水反应生成2，4，6-三溴苯酚白色沉淀，可用于检验；④苯酚遇FeCl3溶液显紫色，是酚类的特征反应；⑤苯酚与甲醛可发生缩聚反应制酚醛树脂，苯酚易被空气氧化显粉红色；⑥苯酚有毒且腐蚀皮肤，沾到皮肤应先用酒精冲洗再用水冲洗。,易错：苯酚与溴水取代需浓溴水且生成白色沉淀，稀溴水只显浅黄色。,一轮 重难点讲义 第57讲 卤代烃 醇 酚（教师版）
138d8deb9f-001,,醛,CONCEPT_EXPLANATION,醛、酮的组成与氧化还原,醛与酮的官能团、通式、羰基加氢还原与醛的银镜、氢氧化铜氧化反应。,醛基检验与醛酮性质辨析,①醛、酮的官能团都是羰基，区别在于羰基两端所连基团；饱和一元醛通式CnH2nO(n≥1)，饱和一元酮通式CnH2nO(n≥3)；②小分子醛酮碳链短，羰基氧能与水分子形成氢键，均易溶于水；③醛的氧化反应（以乙醛为例）：银镜反应生成银，与新制Cu(OH)2悬浊液加热生成砖红色Cu2O；④醛、酮都能与H2催化加成还原为醇；⑤羰基还能与具极性键的分子发生加成，醛酮在有机合成中常用到羟醛缩合。,易错：银镜反应与Cu(OH)2反应均需碱性条件；酮不能被银氨溶液氧化。,一轮 重难点讲义 第58讲 醛 酮 羧酸 酯 酰胺（学生版）
9a101eff14-001,,酮,CONCEPT_EXPLANATION,酮的结构与通式,酮的羰基结构、通式、丙酮的性质与加成还原，与醛的区别。,醛酮区分与结构判断,①羰基两端都连烃基时为酮，丙酮是最简单的酮，饱和一元酮通式CnH2nO(n≥3)；②丙酮与氢气加成生成2-丙醇，体现羰基的加成（还原）反应；③小分子酮碳链短，羰基氧与水形成氢键，易溶于水；④酮不能被银氨溶液或新制Cu(OH)2氧化，故可用银氨溶液或Cu(OH)2鉴别醛与酮；⑤酮与醛互为官能团类别异构，分子式相同的醛与酮互为同分异构体。,易错：丙酮不能发生银镜反应；羰基加氢属于还原反应而非氧化。,一轮 重难点讲义 第58讲 醛 酮 羧酸 酯 酰胺（学生版）
9a101eff14-004,,酯,CONCEPT_EXPLANATION,酯的水解与定量关系,酯的水解条件（酸性可逆、碱性彻底）与酚酯耗碱的定量关系。,酯的水解产物与耗碱量计算,①酯在酸性条件下水解不完全：CH3COOC2H5＋H2O⇌CH3COOH＋C2H5OH，是可逆反应；②碱性条件下水解彻底：CH3COOC2H5＋NaOH→CH3COONa＋C2H5OH，故除去乙酸乙酯中的乙酸不能用NaOH溶液；③分子式相同的羧酸与酯互为同分异构体，属于官能团类别异构；④酚酯基水解生成酚羟基与羧基，1 mol酚酯基最多消耗2 mol NaOH；⑤制备乙酸乙酯时用饱和Na2CO3溶液吸收，既中和乙酸、溶解乙醇又降低酯的溶解度，不能用NaOH溶液。,易错：酯化反应与酯的水解都属于取代反应；酚酯耗碱多于普通酯。,一轮 重难点讲义 第58讲 醛 酮 羧酸 酯 酰胺（学生版）
