chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-001,MATERIAL,对氧化物认识的几个误区,MISCONCEPTION_GUIDE,氧化物分类中的“一定”与“不一定”,辨析氧化物、酸性氧化物、碱性氧化物的分类与性质关系中的常见误区,判断物质类别正误、氧化物性质、物质分类类选择题,**1. 碱性氧化物与金属氧化物**\n- 碱性氧化物一定是金属氧化物。\n- 金属氧化物不一定是碱性氧化物：Mn2O7 是酸性氧化物，Al2O3 是两性氧化物，Na2O2 是过氧化物。\n\n**2. 酸性氧化物与非金属氧化物**\n- 酸性氧化物不一定是非金属氧化物，如 Mn2O7 是金属氧化物。\n- 非金属氧化物不一定是酸性氧化物，如 CO、NO 不是酸性氧化物。\n\n**3. 与水反应的性质**\n酸性氧化物、碱性氧化物不一定都能与水反应生成相应的酸、碱。反例：SiO2 不与水反应；MgO 难溶于水。\n\n**4. 逆向判断**\n- 与水反应生成酸的氧化物不一定是酸性氧化物，如 NO2 与水反应生成 HNO3 和 NO。\n- 与水反应生成碱的氧化物不一定是碱性氧化物，如 Na2O2 与水反应生成 NaOH 和 O2。,判断时不能只看元素种类：氧化物能否与水反应、生成什么，都不能直接决定它属于酸性或碱性氧化物；酸性、碱性氧化物的定义依据是与酸或碱反应生成盐和水的对应关系。,p1 重难透析：物质类别中的“一定”和“不一定”,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-001,MATERIAL,胶体的性质及应用,CONCEPT_EXPLANATION,胶体的性质及应用,丁达尔效应、电泳、聚沉的本质、条件与应用,分散系比较、胶体性质、胶体制备与净水类题目,**丁达尔效应**\n- 本质：胶体粒子对光的散射。\n- 应用：鉴别溶液和胶体。\n\n**电泳**\n- 应用：静电除尘。\n\n**聚沉**\n- 条件：加入电解质；加入含有带相反电荷胶粒的胶体；加热或搅拌。\n- 应用：明矾、铁盐净水；卤水点豆腐。\n\n**注意**\n①明矾作净水剂是利用明矾溶于水水解得到的 Al(OH)3 胶体具有吸附性，但其没有杀菌消毒作用。\n②胶体呈电中性。,胶体本身不带电（呈电中性），带电的是胶体粒子；电泳只能说明胶粒带电，不能说明胶体带电。净水利用的是吸附性，不是胶粒带电性，也不具备消毒作用。,p1 重难透析：胶体的性质及应用,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-001,MATERIAL,阿伏加德罗定律及其推论,CONCEPT_EXPLANATION,阿伏加德罗定律及其推论,同温同压、同温同体积等条件下气体体积、密度、压强与物质的量的比例关系,气体体积、密度、压强比较类选择题与计算题,**同温同压**\n- 气体的体积与其物质的量成正比：$V_1/V_2=n_1/n_2$\n- 气体的密度与其摩尔质量成正比：$\rho_1/\rho_2=M_1/M_2$\n\n**同温同体积**\n- 气体的压强与其物质的量成正比：$p_1/p_2=n_1/n_2$\n\n**同温、同压、同体积**\n- 具有相同的物质的量，气体质量与摩尔质量成正比。\n\n**注意**\n以上结论可通过 $pV=nRT$、$n=m/M$ 及 $\rho=m/V$ 导出。,四个量中必须有两个量相同才能比较另外两个量，比较时先明确“同什么、比什么”；该定律只适用于气体，固体、液体不适用。,p1 重难透析：阿伏加德罗定律及其推论,c
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-001,MATERIAL,溶液的配制误差分析,MISCONCEPTION_GUIDE,溶液配制的误差分析,按 $c=n/V$ 判断 n、V 的增减来确定浓度偏差,一定物质的量浓度溶液配制的误差分析题,根据 $c=\frac{n}{V}$ 来判断，看 n、V 是增大还是减小，然后确定 c 的变化。\n\n**c 偏大的操作**\n- 用量筒量取待稀释溶液时仰视读数：n 增大，V 不变。\n- 定容时俯视容量瓶刻度线：V 减小。\n- 溶液未冷却就转入容量瓶进行定容：V 减小。\n\n**c 偏小的操作**\n- 药品与砝码位置颠倒（使用游码）：n 减小。\n- 药品已潮解或含有其他杂质：n 减小。\n- 转移时有少量液体洒在容量瓶外：n 减小。\n- 没有洗涤烧杯和玻璃棒：n 减小。\n- 定容时仰视容量瓶刻度线：V 增大。\n- 定容时蒸馏水加多了后用滴管吸出：n、V 同时减小。\n- 定容摇匀后又补加蒸馏水至刻度线：V 增大。\n\n**注意**\n容量瓶不干燥以及定容摇匀后液面低于刻度线，均对 c 无影响。,判断误差时先分清该操作影响的是溶质的量 n 还是溶液体积 V；容量瓶内残留少量蒸馏水不影响结果，因为最终体积由刻度线决定；用滴管吸出多余水会同时吸走溶质。,p1 重难透析：溶液配制的误差分析,d
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-001,MATERIAL,溶液的配制步骤,METHOD_MODEL,一定物质的量浓度溶液的配制注意事项,配制一定物质的量浓度溶液的操作要点与先后顺序,溶液配制操作类实验题与误差分析题,1. 使用容量瓶前要检查其是否漏水。\n2. 稀释或溶解后，要待溶液冷却至室温时，再用玻璃棒引流将溶液注入容量瓶中。玻璃棒下端要靠在刻度线以下。\n3. 溶解或稀释用的烧杯和玻璃棒一定要洗涤 2~3 次，且洗涤液也要转移到容量瓶中。\n4. 定容时，当液面距容量瓶刻度线 1~2 cm 时，改用胶头滴管滴加蒸馏水。\n5. 定容时加入蒸馏水时若不慎超过刻度线，要重新配制。\n6. 容量瓶使用完毕，应洗净、晾干。,未冷却就转移会使定容后液体体积偏小；加水超过刻度线不能用滴管吸出（溶质同时被吸走），只能重新配制；容量瓶不能用于溶解、稀释或长期贮存溶液。,p1 重难透析：一定物质的量浓度溶液配制的注意事项,e
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-002,MATERIAL,化学与传统文化,METHOD_MODEL,化学与传统文化题的解题方法,抓住题中的化学线索并建立传统文化背景与化学知识的对应关系,以古文献、古工艺为背景考查物质成分、变化类型与操作的题目,**一、抓题中的“化学线索”**\n从三个角度对照验证：物质成分及类别；物质变化及反应类型；分离提纯方法及操作。\n示例（2024 广西卷第 1 题以《天工开物》中甘蔗制糖为背景）：\n- “石灰”取汁煎糖：石灰的主要成分为 CaO，是一种碱性氧化物，可中和蔗汁中的酸性物质。\n- “取汁煎糖，冷凝成黑沙”：涉及蒸发和结晶操作。\n- “黄泥水淋下成白糖”：涉及吸附过程，目的是脱色。\n注意题中“石”和“合”均是我国古代常用的容量单位。\n\n**二、建立“传统文化背景—化学知识”对应速记表**\n- 酒的酿造：淀粉水解生成葡萄糖，葡萄糖在酒化酶的作用下生成乙醇。\n- 黑火药爆炸：KNO3、S 和 C 发生氧化还原反应，生成 K2S、N2 和 CO2。\n- 世间丝、麻、裘、褐：都属于天然有机高分子材料，其中丝、裘的主要成分是蛋白质，麻的主要成分是纤维素。\n- 薪柴之灰淋汁取碱浣衣：草木灰的主要成分是 K2CO3，属于盐类，其水溶液显碱性。\n- 石硫黄……能化……银、铜、铁、奇物：单质硫可与银、铜、铁发生氧化还原反应生成对应的硫化物，体现单质硫的氧化性。\n- 近朱者赤，近墨者黑：“朱”指朱砂，主要成分是 HgS；S 和 Hg 在常温下反应生成 HgS，故水银温度计打碎可用 S 覆盖处理。\n- 凡煎盐锅……滚沸延及成盐：结合“火燃釜底”可知是通过蒸发结晶获得盐。\n- 有硇水者，剪银块投之，则旋而为水：“硇水”指硝酸，此句描述的是硝酸溶解 Ag 的现象。\n- 凡埏泥造瓦……：“瓦”属于传统无机非金属材料，主要成分为硅酸盐。\n- 青蒿一握，以水二升渍，绞取汁：通过浸取和过滤提取青蒿素。\n\n**三、注意古代工艺与现代工艺的差别**\n如“春蚕到死丝方尽，蜡炬成灰泪始干”中的“蜡”不要立即判断是烃类物质：古代还没有石油的炼制工艺，不可能得到石蜡，这里的“蜡”是酯类化合物，也属于有机物。,古文中出现的物质名称要按当时的工艺水平判断，不能用现代物质名称直接对应；对“石灰”“硇水”“瓦”等要落到具体的成分与类别上，再判断变化类型。,p2 题型透视：化学与传统文化、STSE 方法突破,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-003,MATERIAL,石油的综合利用,CONCEPT_EXPLANATION,石油的综合利用,石油分馏、裂化、裂解、催化重整的变化类型与产物,化石燃料综合利用、物质变化类型判断类题目,**石油分馏（物理变化）**\n得到石油气、汽油、煤油、柴油、重油等。\n\n**石油裂化（化学变化）**\n获得更多的轻质油，特别是汽油。\n\n**石油裂解（化学变化）**\n主要获得有机化工原料，如乙烯、丙烯、甲烷等。\n\n**催化重整（化学变化）**\n主要得到苯及其同系物。,分馏是物理变化，裂化、裂解和催化重整都是化学变化；判断变化类型的依据是是否生成新物质，而不是是否加热。,p3 知识梳理：化学与STSE,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-003,MATERIAL,煤的综合利用,CONCEPT_EXPLANATION,煤的综合利用,煤的干馏、气化、液化的条件与产物,化石燃料综合利用、物质变化类型判断类题目,**煤的干馏（化学变化）**\n煤隔绝空气加强热，得到煤焦油、焦炭、焦炉气、粗氨水、粗苯等。\n\n**煤的气化（化学变化）**\n将煤转化为可燃性气体的过程，主要发生 C+H2O(g) 高温生成 CO+H2。\n\n**煤的液化（化学变化）**\n将煤转化为液体燃料等。,干馏必须是隔绝空气加强热，与燃烧、蒸馏区别开；气化和液化都生成了新物质，均属于化学变化。,p3 知识梳理：化学与STSE,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-003,MATERIAL,海水资源,CONCEPT_EXPLANATION,海水淡化的常用方法,蒸馏法、电渗析法、离子交换法淡化海水的原理,海水资源利用、混合物的分离提纯类题目,海水淡化的常用方法：\n- 蒸馏法：加热海水使水汽化再冷凝，得到淡水。\n- 电渗析法：在电场作用下，利用离子交换膜使离子定向迁移，从而得到淡水。\n- 离子交换法：用离子交换树脂除去海水中的离子。\n三种方法的共同本质是把海水中的溶质与水分离。,三种方法都不改变水的组成，属于物理或物理化学分离过程；海水淡化与海水提镁、提溴、海带提碘等流程的原理不同，注意区分。,p3 知识梳理：化学与STSE,c
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,e47f5611e7-003,MATERIAL,NEW:能源类型的划分,CONCEPT_EXPLANATION,能源类型的划分,按能否再生、获取方式和清洁程度对能源分类,能源分类、清洁能源判断类题目,**按能否在短期内再生**\n- 可再生能源：水能、风能及生物质能等能够不断得到补充的能源。\n- 不可再生能源：煤、石油、天然气、核能等无法在短期内再生的能源。\n\n**按获取方式**\n- 一次能源：直接从自然界取得的能源，如煤、石油、天然气、水能、风能、太阳能、地热能等。\n- 二次能源：一次能源经过加工、转换得到的能源，如电能。\n\n**常见分类组合**\n- 化石能源：煤、石油和天然气等，属于不可再生能源。\n- 清洁能源：又称绿色能源，如太阳能、水能、风能、生物质能、海洋能、地热能、氢能等。,天然气虽然是化石能源，但属于清洁能源；判断一次能源看是否直接从自然界取得，判断可再生能源看能否在短期内得到补充，两者不能混为一谈。,p3 知识梳理：化学与STSE；建议父级：化学与可持续发展,d
