# CHEMISTRY 节点表（slug | 名字）：1202 个
4-溴甲基-1-环己烯的一种合成路线如下 | 4-溴甲基-1-环己烯的一种合成路线如下：
Al(OH)3沉淀量的计算 | Al(OH)3沉淀量的计算
AlCl3的结构与性质 | AlCl3的结构与性质
cl2的实验室制法 | Cl2的实验室制法
c-si单质的存在形态-物理性质及用途 | C、Si单质的存在形态、物理性质及用途
fe-oh-2的制备 | Fe(OH)2的制备
书写fe-oh-3胶体制备的化学方程式的五个易错点 | Fe(OH)3胶体制备的注意事项
fe-oh-3胶体的制备 | Fe(OH)3胶体的制备
fe2-fe3-的检验方法 | Fe2＋、Fe3＋的检验方法
fe2-与fe3-的相互转化 | Fe2＋与Fe3＋的相互转化
以fe3o4为原料炼铁-主要发生如下反应 | Fe3O4与稀硝酸、氢碘酸的反应
ksp的影响因素 | Ksp的影响因素
nox是汽车尾气中的主要污染物之一 | NOx 对大气的污染
na2co3-nahco3与酸反应的图像分析 | Na2CO3、NaHCO3与酸反应的图像分析
na2co3-nahco3的应用 | Na2CO3、NaHCO3的应用
na2o2的性质及应用 | Na2O2的性质及应用
nahco3与碱反应的应用 | NaHCO3与碱反应的应用
so2和co2的鉴别方法 | SO2和CO2的鉴别方法
so检验的易错点 | SO42-检验的易错点
v2o5常用作so2转化为so3的催化剂 | V2O5常用作SO2转化为SO3的催化剂。
vsepr模型 | VSEPR模型
mol-l-1-na2so4溶液-酚酞溶液 | mol·L－1 Na2SO4溶液、酚酞溶液。
n-的关系应用 | n＝＝＝的关系应用
ph试纸的规范使用 | pH试纸的规范使用
v-t图像分析改变条件对化学平衡的影响 | v－t图像分析改变条件对化学平衡的影响
δh与反应的-可逆性 | ΔH与反应的“可逆性”
δh的计算公式 | ΔH的计算公式
三步法-配平缺项氧化还原反应化学方程式 | “三步法”配平缺项氧化还原反应化学方程式。
五步-书写热化学方程式 | “五步”书写热化学方程式
位-构-性-关系的应用 | “位－构－性”关系的应用
浓差电池-的分析方法 | “浓差电池”的分析方法
铁三角-中的转化关系 | “铁三角”中的转化关系
一些有机物的命名 | 一些有机物的命名
一器多用与多器一用 | 一器多用与多器一用
一定量的铝分别与一定量的盐酸-氢氧化钠溶液反应 | 一定量的铝分别与一定量的盐酸、氢氧化钠溶液反应：
一次电池 | 一次电池
一氧化氮 | 一氧化氮
验证某无色气体为no的方法是向无色气体中通入o2-或空气-无色气体变为红棕色 | 一氧化氮的检验与收集
一种新型煤气化燃烧集成制氢发生的主要反应如下 | 一种新型煤气化燃烧集成制氢发生的主要反应如下：
一种药物中间体-h-的合成路线如下 | 一种药物中间体(H)的合成路线如下：
一种重要的复盐-明矾 | 一种重要的复盐——明矾
一般步骤 | 一般步骤
丁达尔效应 | 丁达尔效应
三段式法 | 三段式法
三氧化硫 | 三氧化硫
fecl3溶液-fe-oh-3胶体-fe-oh-3浊液是三种重要的分散系 | 三种分散系的比较
三类漂白剂的区别 | 三类漂白剂的区别
不另加试剂鉴别的两种方法 | 不另加试剂鉴别的两种方法
应用氧化还原反应的原理实现不同价态含硫物质的转化 | 不同价态含硫物质的转化
不同类别的无机物之间转化的一般规律 | 不同类别的无机物之间转化的一般规律
不同类别的物质之间的转化关系 | 不同类别的物质之间的转化关系
判断下列转化能否实现-能实现的打-不能实现的打 | 不能一步实现的物质转化
与量有关的离子方程式书写技巧 | 与量有关的离子方程式书写技巧
中和滴定 | 中和滴定
中和滴定的误差分析方法 | 中和滴定的误差分析方法
中和热 | 中和热
中和热-燃烧热的注意点 | 中和热、燃烧热的注意点
中和热测定注意事项 | 中和热测定注意事项
中国古代的冶金化学 | 中国古代的冶金化学
中国古代的酿酒工艺 | 中国古代的酿酒工艺
中心原子杂化类型的判断 | 中心原子杂化类型的判断
串联电化学装置 | 串联电化学装置
串联类电化学装置的分析 | 串联类电化学装置的分析
为化学作出贡献的科学家与重大成就 | 为化学作出贡献的科学家与重大成就
主族元素的原子结构和元素性质的变化规律 | 主族元素的原子结构和元素性质的变化规律
主要仪器 | 主要仪器
主要依据 | 主要依据
乙炔的实验室制法 | 乙炔的实验室制法
乙烯 | 乙烯
乙烯是石油化工最基本的原料之一 | 乙烯是石油化工最基本的原料之一。
乙烯的实验室制法 | 乙烯的实验室制法
乙酰水杨酸的实验室制备 | 乙酰水杨酸的实验室制备
乙酸 | 乙酸
乙醇 | 乙醇
1-写出以乙醇为原料制备的化学方程式-无机试剂任选-并注明反应类型 | 乙醇的性质与转化
了解电镀原理 | 了解电镀原理。
二次电池 | 二次电池
二氧化氮 | 二氧化氮
二氧化硅 | 二氧化硅
二氧化硫 | 二氧化硫
二氧化硫的实验室制法与SO2和CO2的鉴别 | 二氧化硫的实验室制法与SO2和CO2的鉴别
二氧化硫的尾气处理 | 二氧化硫的尾气处理
二氧化碳与盐溶液的反应 | 二氧化碳与盐溶液的反应
二氧化碳与碱反应图像题的解题步骤 | 二氧化碳与碱反应图像题的解题步骤
二氧化碳与碱反应的产物判断 | 二氧化碳与碱反应的产物判断
亚硫酸及亚硫酸盐的性质 | 亚硫酸及亚硫酸盐的性质
亚铁盐 | 亚铁盐
对下列物质分类-并完善表格内容 | 交叉分类法与树状分类法
产率的计算 | 产率的计算
产率计算与误差分析 | 产率计算与误差分析
从-定性-和-定量-两个角度理解电离平衡 | 从“定性”和“定量”两个角度理解电离平衡
从化合价的角度判断铁的氧化物和氢氧化物的性质 | 从化合价的角度判断铁的氧化物和氢氧化物的性质
从化合价的角度认识cl2的化学性质-歧化反应 | 从化合价的角度认识Cl2的化学性质——歧化反应
从原子结构角度认识氯气的氧化性 | 从原子结构角度认识氯气的氧化性
从海水中提取物质的思路 | 从海水中提取物质的思路
从溶液中获取晶体的方法 | 从溶液中获取晶体的方法
