material_slug,point_slug,subject,reason
math-fangshuo-ln-le-banfangcha,对数,MATH,原绑「配方法：主要用于二次函数或可化为二次函数的函数，要特别注意自变量的取值范围．」与标题零字面重合；标题与「对数」互为整名包含，改指
math-kb-necessary-sufficient-iff,充要条件,MATH,"原绑「重要不等式：,（当且仅当时取号）.」与标题零字面重合；标题与「充要条件」互为整名包含，改指"
math-hj-s87-hyperbola-branch,双曲线,MATH,原绑「等差数列含绝对值问题」与标题零字面重合；标题与「双曲线」互为整名包含，改指
phys-pingpao-luo-hui-xie-mian,位移,PHYSICS,原绑「加速度方向突变：」与标题零字面重合；标题与「位移」互为整名包含，改指
phys-zhuan-huan-dui-xiang-sheng-gong,功,PHYSICS,原绑「内容：一个热力学系统的内能变化量等于外界向它传递的热量与外界对它所做的功的和。」与标题零字面重合；标题与「功」互为整名包含，改指
phys-gong-lv-xian-xing-ping-jun,功率,PHYSICS,原绑「在1T末、2T末、3T末、4T末……n T末的速度比为：1：2：3……：n。」与标题零字面重合；标题与「功率」互为整名包含，改指
phys-electric-work-other-forces-kinetic,动能定理,PHYSICS,原绑「定义：物体在一个过程中所受合外力的冲量等于该物体在这个过程中动量的变化量。」与标题零字面重合；标题与「动能定理」互为整名包含，改指
phys-epx-graph-points,ep-x图像,PHYSICS,原绑「速度定义：位移与发生这段位移所用时间之比，表示物体运动快慢的物理量，是过程量。」与标题零字面重合；标题与「Ep-x图像」互为整名包含，改指
phys-ohmmeter-component-features,电阻,PHYSICS,原绑「电容器充放电过程」与标题零字面重合；标题与「电阻」互为整名包含，改指
phys-bridge-method-resistance,电阻,PHYSICS,原绑「平衡条件： (根本条件) 作用在物体上的所有共点力的合力为零。即 F_合 = 0。」与标题零字面重合；标题与「电阻」互为整名包含，改指
phys-emf-experiment-principle,实验原理-条纹间距δx与光波长λ-双缝间距d及双缝与屏的距离l-有关系式为,PHYSICS,原绑「闭合电路欧姆定律」与标题零字面重合；标题与「实验原理」互为整名包含，改指
phys-cyclotron-resonance-condition,共振,PHYSICS,原绑「带电粒子在交变电磁场中的运动：」与标题零字面重合；标题与「共振」互为整名包含，改指
phys-rod-constant-force-energy,电阻,PHYSICS,原绑「合外力做功与动能的关系」与标题零字面重合；标题与「电阻」互为整名包含，改指
phys-unequal-spacing-rods-constant-force,电流,PHYSICS,原绑「在1T末、2T末、3T末、4T末……n T末的速度比为：1：2：3……：n。」与标题零字面重合；标题与「电流」互为整名包含，改指
phys-kb-boat-man-model,人船模型,PHYSICS,原绑「动量守恒定律」与标题零字面重合；标题与「“人船模型”」互为整名包含，改指
phys-kb-electromotive-force,物理意义-一切自发过程总是沿着分子热运动的无序度增大的方向进行程,PHYSICS,原绑「静电力做功」与标题零字面重合；标题与「物理意义」互为整名包含，改指
phys-kb-electric-work-power-heat,焦耳定律,PHYSICS,原绑「纯电阻电路和非纯电阻电路的处理」与标题零字面重合；标题与「焦耳定律」互为整名包含，改指
phys-kb-pendulum-period-formula,单摆,PHYSICS,原绑「运动性质：匀变速曲线运动，加速度恒为重力加速度 g（大小方向不变）。」与标题零字面重合；标题与「单摆」互为整名包含，改指
phys-kb-gas-pressure-micro-cause,气体压强,PHYSICS,原绑「平均速度与瞬时速度的区别：」与标题零字面重合；标题与「气体压强」互为整名包含，改指
phys-kb-internal-energy-temperature,内能,PHYSICS,原绑「分子的平均动能」与标题零字面重合；标题与「内能」互为整名包含，改指
phys-hj-098-elastic-collision-formulas,弹性碰撞,PHYSICS,原绑「平均速度公式：」与标题零字面重合；标题与「弹性碰撞」互为整名包含，改指
phys-hj-027-force-composition-notes,力的合成,PHYSICS,原绑「大小：G＝mg，可用弹簧测力计测量．」与标题零字面重合；标题与「力的合成」互为整名包含，改指
phys-hj-115-transverse-longitudinal-wave,横波,PHYSICS,原绑「机械波的分类：」与标题零字面重合；标题与「横波」互为整名包含，改指
phys-hj2-jianxie-nengliang-tezheng,简谐运动,PHYSICS,原绑「机械能守恒定律」与标题零字面重合；标题与「简谐运动」互为整名包含，改指
phys-hj2-gonglv-dingyi-fv,功率,PHYSICS,原绑「平均速度与瞬时速度的区别：」与标题零字面重合；标题与「功率」互为整名包含，改指
phys-hj2-san-zhong-chang-bijiao,重力,PHYSICS,原绑「特点：F⊥B，F⊥v，即F垂直于B与v决定的平面，F与v始终垂直，洛伦兹力不做功。」与标题零字面重合；标题与「重力」互为整名包含，改指
phys-hj2-qiujiaoerule-san-fangfa,电磁感应,PHYSICS,原绑「能量转化：导体克服安培力做功，其他形式能转化为电能，最终转化为内能。」与标题零字面重合；标题与「电磁感应」互为整名包含，改指
phys-hj2-neineng-deciding-yinsu,物体的内能,PHYSICS,原绑「分子的平均动能」与标题零字面重合；标题与「物体的内能」互为整名包含，改指
phys-hj2-zheshel-liijie-wudian,折射率,PHYSICS,原绑「条件：①光从光密介质射入光疏介质。②入射角大于或等于临界角。」与标题零字面重合；标题与「折射率」互为整名包含，改指
phys-hj2-dianyuan-dongdongshi-liijie,电动势,PHYSICS,原绑「静电力做功」与标题零字面重合；标题与「电动势」互为整名包含，改指
phys-hj2-dianbiao-neizu-yizhi-jingque-cezu,电阻,PHYSICS,原绑「系统误差：」与标题零字面重合；标题与「电阻」互为整名包含，改指
phys-hj2-shuzhimmian-yuanzhou-jieqtips,圆周运动,PHYSICS,原绑「对牛顿第三定律的理解」与标题零字面重合；标题与「圆周运动」互为整名包含，改指
phys-hj2-pingpao-shiyan-shuju-cantque,数据处理-x1,PHYSICS,原绑「时刻与时间间隔区别与联系」与标题零字面重合；标题与「数据处理」互为整名包含，改指
phys-hj2-renchuan-moxing,人船模型,PHYSICS,原绑「动量守恒定律」与标题零字面重合；标题与「“人船模型”」互为整名包含，改指
phys-hj2-niudun-disan-dinglv-duibi,牛顿第三定律,PHYSICS,原绑「作用力与反作用力」与标题零字面重合；标题与「牛顿第三定律」互为整名包含，改指
phys-hj2-dianchang-zhigongyou-jingdianli-shouheng,电场,PHYSICS,原绑「合外力做功与动能的关系」与标题零字面重合；标题与「电场」互为整名包含，改指
phys-fx-kinetic-theorem-reciprocating,动能定理,PHYSICS,原绑「摩擦力做功与能量关系分析技巧」与标题零字面重合；标题与「动能定理」互为整名包含，改指
phys-fx-boat-man-model,人船模型,PHYSICS,原绑「动量守恒定律」与标题零字面重合；标题与「“人船模型”」互为整名包含，改指
phys-fx-ammeter-ammeter-method,电阻,PHYSICS,原绑「电压表、电流表的改装」与标题零字面重合；标题与「电阻」互为整名包含，改指
phys-fx-voltmeter-voltmeter-method,电阻,PHYSICS,原绑「电压表、电流表的改装」与标题零字面重合；标题与「电阻」互为整名包含，改指
phys-fx-nuclear-particle-field-motion,核反应,PHYSICS,原绑「洛伦兹力」与标题零字面重合；标题与「核反应」互为整名包含，改指
phys-fx-trough-vertical-weightlessness,失重,PHYSICS,原绑「运动性质：匀变速曲线运动，加速度恒为重力加速度 g（大小方向不变）。」与标题零字面重合；标题与「失重」互为整名包含，改指
phys-fx-microscopic-estimation-models,分子模型,PHYSICS,原绑「阿伏加德罗常数」与标题零字面重合；标题与「分子模型」互为整名包含，改指
phys-fx-refraction-law-refractive-index,折射率,PHYSICS,原绑「条件：①光从光密介质射入光疏介质。②入射角大于或等于临界角。」与标题零字面重合；标题与「折射率」互为整名包含，改指
phys-fx-internal-energy-micro-view,内能,PHYSICS,原绑「分子的平均动能」与标题零字面重合；标题与「内能」互为整名包含，改指
phys-fx-f-t-graph-weight-change-judge,失重,PHYSICS,原绑「用力传感器或已知质量的钩码等代替弹簧测力计。」与标题零字面重合；标题与「失重」互为整名包含，改指
phys-mo-l05-three-nature-forces-b-2,重力,PHYSICS,原绑「方向：总是竖直向下（竖直向下是和水平面垂直，不一定和接触面垂直，也不一定指向地心）」与标题零字面重合；标题与「重力」互为整名包含，改指
phys-mo-l05-three-nature-forces-b-3,弹力,PHYSICS,原绑「探究结果：胡克定律（x为形变量）」与标题零字面重合；标题与「弹力」互为整名包含，改指
phys-mo-l09-newton-laws-basic-b-3,牛顿第三定律,PHYSICS,原绑「作用力与反作用力」与标题零字面重合；标题与「牛顿第三定律」互为整名包含，改指
phys-mo-l19-work-power-b,功,PHYSICS,原绑「合力做功的计算方法」与标题零字面重合；标题与「功」互为整名包含，改指
phys-mo-l19-work-power-b-2,功率,PHYSICS,原绑「机车启动问题」与标题零字面重合；标题与「功率」互为整名包含，改指
phys-mo-l20-kinetic-theorem-b,动能,PHYSICS,原绑「时刻：表示某一瞬间。在时间轴上用点表示，是一个状态量。」与标题零字面重合；标题与「动能」互为整名包含，改指
phys-mo-l24-momentum-impulse-b-3,冲量,PHYSICS,原绑「速度定义：位移与发生这段位移所用时间之比，表示物体运动快慢的物理量，是过程量。」与标题零字面重合；标题与「冲量」互为整名包含，改指
phys-mo-l25-momentum-consv-b-5,人船模型,PHYSICS,原绑「动量守恒定律」与标题零字面重合；标题与「“人船模型”」互为整名包含，改指
chem-washing-solvent-selection,晶体,CHEMISTRY,原绑「在饱和溶液中加入少量的溶液产生沉淀，若以Ksp表示的溶度积常数，则平衡后溶液中」与标题零字面重合；标题与「晶体」互为整名包含，改指
chem-vacuum-evaporation-reason,蒸发,CHEMISTRY,原绑「在一定温度下，利用催化剂将NH3分解为N2和H2。相关化学键的键能数据如下：」与标题零字面重合；标题与「蒸发」互为整名包含，改指
chem-enthalpy-of-combustion-definition,燃烧热-x1,CHEMISTRY,原绑「铁的氢氧化物的稳定性」与标题零字面重合；标题与「燃烧热」互为整名包含，改指
chem-kb-concentrated-h2so4-features,浓硫酸,CHEMISTRY,原绑「Na2O2是一种常见的过氧化物，具有强氧化性和漂白性。」与标题零字面重合；标题与「浓硫酸」互为整名包含，改指
chem-kb-van-der-waals-hydrogen-bond,范德华力,CHEMISTRY,原绑「分子间作用力」与标题零字面重合；标题与「范德华力」互为整名包含，改指
chem-hj-jiaoti-xingzhi-juchen,胶体,CHEMISTRY,原绑「丁达尔效应」与标题零字面重合；标题与「胶体」互为整名包含，改指
chem-hj-nongsuan-san-texing,浓硫酸,CHEMISTRY,原绑「Na2O2是一种常见的过氧化物，具有强氧化性和漂白性。」与标题零字面重合；标题与「浓硫酸」互为整名包含，改指
chem-hj-xijin-xiyang-fushi,铁,CHEMISTRY,原绑「O2作为原电池的正极反应物时，其电极反应在不同的介质中有不同的写法。」与标题零字面重合；标题与「铁」互为整名包含，改指
chem-hj-guisuan-guisuanna,玻璃,CHEMISTRY,原绑「以混有SiO2的MgCO3为原料制备氧化镁的实验流程如图：」与标题零字面重合；标题与「玻璃」互为整名包含，改指
chem-hj-lvqi-yongtu-gongye,氯气,CHEMISTRY,原绑「漂白粉」与标题零字面重合；标题与「氯气」互为整名包含，改指
chem-hj-zhengliu-fenliu-ganliu-bijiao,蒸馏,CHEMISTRY,原绑「物理变化与化学变化的两种判断方法」与标题零字面重合；标题与「蒸馏」互为整名包含，改指
chem-hj2-dianjie-dianjiechi-gainian-goucheng,电解池,CHEMISTRY,原绑「能源与科学、技术、社会密不可分。下列装置或过程能实现电能转化为化学能的是」与标题零字面重合；标题与「电解池」互为整名包含，改指
chem-hj2-tongsuyangti-xingcheng-fangshi,同素异形体,CHEMISTRY,原绑「碳元素的单质有多种形式，下图依次是C60、石墨和金刚石的结构图：」与标题零字面重合；标题与「同素异形体」互为整名包含，改指
chem-hj2-qiang-ruo-dianjiezhi-zhouqibiao-jiyi,电解质,CHEMISTRY,原绑「强酸与弱酸、强碱与弱碱稀释时的pH变化图像」与标题零字面重合；标题与「电解质」互为整名包含，改指
chem-hj2-tanglei-tongshi-bufuhe-lizi,乙酸,CHEMISTRY,原绑「mol·L－1 Na2SO4溶液、酚酞溶液。」与标题零字面重合；标题与「乙酸」互为整名包含，改指
chem-hj2-zhi-de-shuijiao-suanjian-tiaojian,酯,CHEMISTRY,原绑「浓硫酸与金属的反应规律」与标题零字面重合；标题与「酯」互为整名包含，改指
chem-gap-esterification,酯化反应,CHEMISTRY,原绑「实验探究乙酸乙酯的制备」与标题零字面重合；标题与「酯化反应」互为整名包含，改指
bio-plasmolysis-curve-dip-recover,水,BIOLOGY,原绑「质壁分离」与标题零字面重合；标题与「水」互为整名包含，改指
bio-lethal-aa-or-bb-6-3-2-1,测交,BIOLOGY,原绑「技巧“实验数据”与“9:3:3:1及其变式”间的转化方法」与标题零字面重合；标题与「测交」互为整名包含，改指
bio-kb-virus-classification-host-specificity,病毒,BIOLOGY,原绑「噬菌体侵染细菌实验★★★☆☆」与标题零字面重合；标题与「病毒」互为整名包含，改指
bio-kb-inorganic-salt-functions,无机盐,BIOLOGY,原绑「酸碱平衡」与标题零字面重合；标题与「无机盐」互为整名包含，改指
bio-kb-sudan-iii-only-stains-fat,脂质,BIOLOGY,原绑「非特异性免疫」与标题零字面重合；标题与「脂质」互为整名包含，改指
bio-kb-nucleic-acid-types-distribution,核酸,BIOLOGY,原绑「DNA、RNA、蛋白质等的水解产物和氧化产物（归纳总结）」与标题零字面重合；标题与「核酸」互为整名包含，改指
