chunk_id,midx,node_slug,type,title,summary,applicability,content,boundary,note
46133eb74c-001,,函数的值域,METHOD_MODEL,求函数值域的常用方法,值域是函数值的集合；常用方法有分离常数法、反解法、配方法、不等式法、单调性法、换元法、数形结合法、导数法。,给定解析式或区间求值域时选择合适方法。,①概念：函数值的集合{f(x)|x∈A}叫做值域，A即定义域。②常用方法：分离常数法、反解法、配方法、不等式法、单调性法、换元法、数形结合法、导数法。③方法选择：分式型优先分离常数或反解；二次型配方；含根式换元后先求新元范围；给定区间求最值用单调性或导数。④前提：先求定义域，值域只能是定义域内取到的全部函数值。,换元后不限定新元范围会扩大值域；脱离定义域讨论值域是常见错误。,2026二轮复习举一反三 专题2.1 函数的解析式与定义域、值域 知识点2
3d7cc92736-001,,幂函数,CONCEPT_EXPLANATION,幂函数的定义与性质,形如y=x^α的函数叫幂函数，x为自变量、α为常数；α>0时图象过(1，1)与(0，0)并在(0，+∞)递增。,判断幂函数、比较幂值大小、由图象定指数。,①定义：一般地，函数y=x^α叫做幂函数，其中x是自变量，α是常数。②研究范围：只研究α=1、2、3、1/2、-1时五种幂函数的图象与性质。③性质：所有幂函数在(0，+∞)上都有定义，图象都过点(1，1)；当α>0时图象过原点且在其上单调递增；当α<0时在(0，+∞)上单调递减且以两坐标轴为渐近线。④α的取值影响幂函数的定义域、图象与性质。,幂函数与指数函数形式相近但自变量位置不同；判断时看底数是否为自变量。,2026大一轮复习 第二章 第6节 幂函数与二次函数 知识梳理1
0e56aad79f-020,,函数的相关概念,CONCEPT_EXPLANATION,函数的概念与三要素,函数是集合A到B的对应关系，三要素为定义域、对应法则、值域；三要素全同才是同一函数。,判断两函数是否相同、求定义域与分段函数。,①定义：设A、B是非空数集，按某种确定的对应关系，对A中任意一个数x，B中都有唯一确定的数与之对应，就称其为从A到B的函数。②三要素：定义域、对应法则、值域，其中值域由定义域与对应法则确定。③同一函数：两个函数只有定义域相同且对应关系也相同时才表示同一函数。④具体函数定义域的依据：分式分母不为零；零次幂底数不为零；偶次根式被开方数非负；对数真数大于零。,只比较解析式化简后的样子判断同一函数会出错，必须先看定义域。,2026考点精讲精练 基础知识背记11 函数的概念及其表示 知识点1至4
4539cc008d-002,,单调函数的定义,CONCEPT_EXPLANATION,单调函数的定义与单调区间,在区间D上任意x1<x2都有f(x1)<f(x2)则为增函数，反之递减；单调区间不能写成并集。,用定义证明单调性、写单调区间、判断复合函数单调性。,①定义：设函数f(x)定义域为I，区间D⊆I；对D上任意两个自变量x1、x2，当x1<x2时都有f(x1)<f(x2)，则f(x)在D上是增函数；若都有f(x1)>f(x2)则为减函数。②图象特征：从左往右增函数图象上升、减函数图象下降。③单调区间D要写在定义域内，区间端点属定义域时可开可闭。④多个单调区间之间只能用逗号或“和”连接，不能用并集符号；复合函数单调性遵循同增异减。,单调性刻画的是区间整体性质，单独一点谈不上单调性。,2026高考数学一轮复习知识清单 专题01 02 函数的单调性
c98c7f68ce-003,,为奇函数,CONCEPT_EXPLANATION,函数奇偶性的定义与判定结论,定义域关于原点对称是前提；f(-x)=-f(x)为奇函数，f(-x)=f(x)为偶函数，图象分别关于原点和y轴对称。,判断或证明奇偶性、由奇偶性求参数与函数值。,①定义：对定义域内任意x都有f(-x)=-f(x)，则f(x)为奇函数；都有f(-x)=f(x)，则为偶函数。②前提：定义域必须关于原点对称，否则既不是奇函数也不是偶函数。③图象特点：奇函数图象关于原点对称，偶函数图象关于y轴对称。④常用结论：奇函数在对称区间上单调性相同，偶函数在对称区间上单调性相反；若奇函数在x=0处有定义则f(0)=0；偶函数满足f(x)=f(|x|)。⑤常见模型：f(x)=a^x±a^(-x)型与对数型函数常作奇偶性判定载体。,先看定义域是否关于原点对称，再验证f(-x)与f(x)的关系，顺序颠倒常致错。,2026一轮复习讲义 第02讲 函数的性质 知识点2 函数的奇偶性
0e56aad79f-023,,幂函数的性质,CONCEPT_EXPLANATION,幂函数的图象与性质要点,所有幂函数在(0，+∞)有定义并过(1，1)；α>0过原点且递增，α<0单调递减并以两轴为渐近线。,比较幂值大小、判断幂函数单调性与图象位置。,①共同点：所有幂函数在(0，+∞)上都有定义，因而第一象限内必有图象，且都通过点(1，1)。②α>0时图象过原点，在(0，+∞)上为增函数；α越大图象在(1，+∞)内越靠近y轴。③α<0时在(0，+∞)上为减函数，第一象限内x从右边趋近原点时图象无限逼近y轴，x无限增大时无限逼近x轴。④补充：幂函数图象一定出现在第一象限，一定不在第四象限；α的取值影响定义域、图象与性质。,幂函数在第一象限必有图象且过(1，1)，但不能保证过(0，0)或关于原点对称。,2026考点精讲精练 基础知识背记13 幂函数与二次函数 知识点1至2
4e736ca9f6-008,,指数型复合函数的值域问题,METHOD_MODEL,指数型复合函数值域的换元求法,令t=g(x)把y=a^g(x)的值域转化为t的范围与a^t单调性的合成，关键是不能丢掉新元范围。,求指数型复合函数的值域与最值。,①形如y=a^(f(x))（a>0且a≠1）的求法：令t=f(x)，把原函数的值域问题转化为求t的值域，再结合指数函数y=a^t的单调性求值域，并注意新元t的取值范围。②形如y=f(a^x)的求法：令t=a^x，先求出t的范围，再利用f(t)的单调性或图象求出原函数的值域。③单调性判断同增异减：外层a^t递增时与原内层单调性一致，a^t递减时相反。④换元后若不先求t的范围直接用原区间作答，结果必错。,换元必须同步换限：t的范围由内层函数与其定义域共同决定。,2026一轮复习讲义 专题02 指对幂函数及函数的应用 02 指数型复合函数的单调性与值域问题
01323dce7d-001,,对数型复合函数的值域问题的求解策略,METHOD_MODEL,对数型复合函数值域的求解策略,先求内层真数范围并保证真数为正，再按底数a>1或0<a<1判单调性，由真数范围推值域。,求对数型复合函数的值域与最值。,①前提：对数型复合函数的定义域由内层函数有意义与真数大于零共同决定，求值域必须先求定义域。②步骤：先求内层t=f(x)在定义域上的取值范围，且要求t>0；再由外层y=log_a t的单调性把t的范围映射为值域。③底数影响：a>1时y=log_a t递增，0<a<1时递减；底数不确定时必须分别讨论。④当内层真数能取遍所有正数时对数型函数的值域为R，此时常用判别式或最值控制参数。,底数不确定时不分类讨论、先不看定义域就求值域，是本题型最常见的失分点。,2026高三一轮复习备考题型归纳 第12讲 对数函数的图像与性质 知识点清单
cead6018c1-009,,函数零点的求和问题,COMPLETE_SOLUTION,利用对称性求函数零点之和,把零点转化为两图象交点的横坐标，若交点关于直线x=m对称，则成对零点之和为2m。,零点成对出现且图象有对称性时求零点之和。,①方法：把方程f(x)=0化为g(x)=h(x)，函数y=f(x)的零点就是y=g(x)与y=h(x)图象交点的横坐标。②观察对称性：若两图象都关于点(1，0)或直线x=m对称，则它们在对称位置成对出现交点，横坐标成对关于x=m对称。③求和：每一对交点横坐标之和为2m，零点之和等于对数乘2m。④示例思路：由|x²-2x|与常数函数的图象关于直线x=1对称，可得其差函数的两个零点之和为2。⑤要点是先判断对称性再数零点对数。,对称性判断错误或漏数成对零点会直接改变零点和；无对称性时须改用其他方法。,2026大一轮复习 教师用书配套课件 第二章 2.11 函数的零点与方程的解
be061c93cf-002,,对零点存在定理理解不准确致错,MISCONCEPTION_GUIDE,零点存在定理的条件与常见误解,定理要求图象连续不断且端点函数值异号，只能判定区间内至少有一个零点，不能定个数。,判断零点所在区间、辨析零点存在性结论。,①定理内容：若函数y=f(x)在区间[a，b]上的图象是一条连续不断的曲线，且f(a)·f(b)<0，则f(x)在区间(a，b)内至少有一个零点，即存在c∈(a，b)使f(c)=0。②条件缺一不可：不连续或端点函数值同号都不能用该定理下结论。③只判存在不判个数：定理给出“至少一个”，个数需结合单调性另行判断。④逆命题不成立：函数在(a，b)内有零点时f(a)·f(b)未必小于零，如f(x)=x²在(-1，1)上。⑤与二分法联系：连续且端点异号才可用二分法不断逼近零点。,把定理当充要条件使用，是最典型的错误；连续性与异号两个条件必须同时核对。,2026一轮复习讲义 第07讲 函数与方程 知识点1 函数的零点
