node_slug,type,title,summary,applicability,content,boundary,note
重力,CONCEPT_EXPLANATION,重力的大小方向与重心,重力由地球吸引产生；G＝mg，海拔越高g越小、纬度越高g越大；方向竖直向下；重心是各部分重力作用的等效集中点。,判断重力大小随位置的变化与重心的位置。,①产生：由于地球的吸引而使物体受到的力叫重力；点拨提醒指出重力不是物体受到的万有引力。②公式：G＝mg；海拔越高g越小，纬度越高g越大。③方向：竖直向下，竖直向下是与水平面垂直，不一定与接触面垂直，也不一定指向地心。④重心：物体的各部分都受到重力的作用，从效果上看，可以认为各部分受到的重力作用集中于一点，这一点叫作重心。⑤重心位置不一定在物体上；用"悬挂法"可确定不规则薄板形物体的重心。,重力不是物体受到的万有引力；重心位置不一定在物体上，也不一定在物体上最粗最重处。,五三物理精讲册 P18
弹力,CONCEPT_EXPLANATION,弹力的产生条件与方向判断,弹力产生需直接接触且接触处发生弹性形变，方向总与施力物体形变的方向相反；弹力有无可用条件法、假设法、状态法、替换法判断。,判断各类接触模型中弹力的有无与方向。,①定义：发生形变的物体，要恢复原状，对与它接触的物体会产生力的作用。②产生条件：物体间直接接触；接触处发生弹性形变。③方向：总是与施力物体形变的方向相反。④常见模型中的弹力方向：面与面垂直接触时垂直于接触面；点与面、点与点接触时垂直于切面；轻绳的弹力沿绳收缩方向；轻杆的弹力可沿杆也可不沿杆，需按具体受力与平衡条件判断。⑤弹力有无的判断：条件法用于形变较明显的情况，根据弹力的产生条件直接判断；假设法用于形变不明显的情况，假设两个物体间不存在弹力，若运动状态不变则假设成立，若运动状态改变则存在弹力；状态法用于物体运动状态已知的情况，运用牛顿第二定律或共点力的平衡条件判断；替换法用于形变不明显的情况，用易产生明显形变的物体替换形变不明显的物体，若发生形变则有弹力。,弹力方向与施力物体形变的方向相反，不是与受力物体形变的方向相反；两物体接触不一定有弹力。,五三物理精讲册 P18
牛顿第一定律,CONCEPT_EXPLANATION,牛顿第一定律与惯性,一切物体总保持匀速直线运动状态或静止状态，除非受到力的作用；力是产生加速度的原因；质量是惯性大小的唯一量度。,判断力与运动的关系以及惯性的大小。,①牛顿第一定律的内容：一切物体总保持匀速直线运动状态或静止状态，除非作用在它上面的力迫使它改变这种状态。②两点意义：揭示了一切物体都具有惯性；揭示了力不是维持物体运动状态的原因，而是改变物体运动状态的原因，即力是产生加速度的原因。③惯性的定义：物体保持原来匀速直线运动状态或静止状态的性质。④量度：质量是惯性大小的唯一量度，质量大的物体惯性大，质量小的物体惯性小。⑤普遍性：惯性是物体的固有属性，一切物体都具有惯性，与物体的运动情况和受力情况无关。⑥伽利略对自由落体运动及运动和力的关系的研究，开创了科学实验和逻辑推理相结合的重要科学研究方法。,惯性是物体的固有属性而不是力，不能说物体受到惯性作用；惯性大小只由质量决定，与速度无关。,五三物理精讲册 P30
牛顿第二定律,CONCEPT_EXPLANATION,牛顿第二定律的"六性"与公式辨析,加速度与作用力成正比、与质量成反比且方向相同，F＝ma；理解要抓住矢量性、瞬时性、因果性、同一性、独立性、局限性。,辨析a＝Δv/Δt与a＝F/m并求瞬时加速度。,①内容与表达式：物体加速度的大小跟它受到的作用力成正比，跟它的质量成反比，加速度的方向跟作用力的方向相同，表达式为F＝ma。②矢量性：a与F方向相同。③瞬时性：a与F对应同一时刻。④因果性：F是产生a的原因。⑤同一性：a、F、m对应同一物体，且统一使用国际单位制单位。⑥独立性：每一个力都可以产生各自的加速度。⑦局限性：只适用于宏观、低速运动的物体，不适用于微观、高速运动的粒子；物体的加速度必须是相对惯性参考系而言的。⑧重要提示：a＝Δv/Δt是加速度的定义式（比值定义法），a与Δv、Δt无必然联系；a＝F/m是加速度的决定式，a的大小由合力F和质量m决定。,不能由a＝Δv/Δt得出a与Δv成正比；求瞬时加速度必须用a＝F/m并注意瞬时性。,五三物理精讲册 P30
曲线运动,CONCEPT_EXPLANATION,曲线运动的条件、特征与速率判断,合力方向与速度方向不在同一直线上时做曲线运动；轨迹夹在合力与速度方向之间并向合力方向弯曲；合力恒定时为匀变速曲线运动。,判断曲线运动的性质、轨迹形状与速率变化。,①两个角度：运动学角度——物体的加速度方向跟速度方向不在同一直线上；动力学角度——合力的方向跟物体速度方向不在同一直线上。②曲线运动是变速运动，加速度必不为0。③若做曲线运动的物体所受合力恒定，物体做匀变速曲线运动；若所受合力变化，物体做变加速曲线运动。④轨迹特征：曲线运动的轨迹始终夹在合力方向与速度方向之间，而且向合力的方向弯曲。⑤速率变化的判断：合力方向与速度方向的夹角为锐角时物体的速率增大，夹角为钝角时速率减小，夹角为直角时速率不变。,曲线运动一定是变速运动，但速度大小不一定变化；只有合力恒定的曲线运动才是匀变速曲线运动。,五三物理精讲册 P43
运动的合成与分解,METHOD_MODEL,运动的合成与分解及合运动性质判断,遵循平行四边形定则，合运动与分运动具有等时性、独立性、等效性；由两分运动的性质可推断合运动的性质。,小船渡河与绳杆关联速度等运动的合成与分解问题。,①运算法则：平行四边形定则。②运动分解的方法：根据运动效果分解，或采用正交分解。③等时性：合运动与分运动、分运动与分运动经历的时间相等，即同时开始、同时进行、同时停止。④独立性：各分运动相互独立，不受其他运动的影响，各分运动共同决定合运动的性质和轨迹。⑤等效性：各分运动叠加起来与合运动有完全相同的效果。⑥合运动性质的判断：两个匀速直线运动合成仍为匀速直线运动；一个匀速直线运动和一个匀变速直线运动合成，若v₀与a不共线则为匀变速曲线运动，若共线则为匀变速直线运动；两个初速度不为零的匀变速直线运动合成，v₀与a共线时为匀变速直线运动，不共线时为匀变速曲线运动。⑦运动的合成与分解的实质是对位移、速度、加速度的合成与分解。,分运动具有独立性，不能把分运动的位移或速度直接相加求合运动；判断合运动的性质要看v₀与a是否共线。,五三物理精讲册 P43
开普勒三定律,CONCEPT_EXPLANATION,开普勒三定律的内容与k值含义,轨道定律、面积定律与周期定律；近日点速度最大、远日点速度最小且v₁/v₂＝r₂/r₁；a³/T²＝k中k只与中心天体有关。,由半长轴与周期关系比较不同行星或卫星的运动。,①开普勒第一定律（轨道定律）：所有行星绕太阳运动的轨道都是椭圆，太阳处在椭圆的一个焦点上；由此可推行星运动的轨道必有近日点和远日点。②开普勒第二定律（面积定律）：对任意一个行星来说，它与太阳的连线在相等的时间内扫过的面积相等；由½Δl₁r₁＝½Δl₂r₂得½v₁Δt·r₁＝½v₂Δt·r₂，解得v₁/v₂＝r₂/r₁，即近日点速度最大、远日点速度最小。③开普勒第三定律（周期定律）：所有行星轨道的半长轴的三次方跟它的公转周期的二次方的比都相等，即a³/T²＝k；同一中心天体k值相同，不同中心天体k值一般不同。,a³/T²＝k中的k由中心天体决定，与环绕天体无关；椭圆轨道应使用半长轴而不是半径。,五三物理精讲册 P58
万有引力定律,DERIVATION,万有引力定律及两条常用推论,F＝Gm₁m₂/r²，由卡文迪什用扭秤测出；匀质球层空腔内引力合力为零，匀质球体内部F′＝GMmr/R³。,计算天体间的引力以及球体内部、球层空腔内的引力。,①表达式：F＝Gm₁m₂/r²，其中G为引力常量，G＝6.67×10⁻¹¹ N·m²/kg²，由英国物理学家卡文迪什（也称卡文迪许）利用扭秤测出。②适用条件：适用于两个质点间的相互作用；对于两个质量分布均匀的球体，r为两球心间的距离；对于质点与质量分布均匀的球体，r为质点到球心的距离。③推论1：在匀质球层的空腔内任意位置处，质点受到的万有引力的合力为0，即ΣF＝0。④推论2：在匀质球体内部距离球心r处，质点受到的万有引力等于半径为r的球体对它的引力，即F′＝GM′m/r²，而M′/M＝r³/R³，故F′＝GMmr/R³。⑤万有引力与重力的关系：万有引力产生两个效果，一是提供物体随地球自转所需的向心力，二是产生物体的重力；在赤道上GMm/R²＝mg₁＋mω²R，在两极上GMm/R²＝mg₂。,只有两质点或质量分布均匀的球体才能直接使用r为球心距；赤道上重力小于万有引力，两极处二者数值相等。,五三物理精讲册 P58
功,METHOD_MODEL,变力做功的六种计算方法,恒力做功W＝Flcosα；变力做功可用动能定理法、微元法、功率法、等效转换法、平均力法、图像法处理。,求曲线运动中摩擦力、弹簧弹力、恒定功率下牵引力等变力做的功。,①恒力做功：先受力分析找出力、运动分析找出位移，确定力和位移方向的夹角，再由W＝Flcosα计算功的多少并判断功的正负。②动能定理法：用力F把小球从A处缓慢拉到B处，W_F－mgl(1－cosθ)＝0，得W_F＝mgl(1－cosθ)。③微元法：质量为m的木块在水平面内做圆周运动，运动一周克服摩擦力做功W_f＝f·Δx₁＋f·Δx₂＋f·Δx₃＋…＝f·2πR。④功率法：汽车以恒定功率P在水平路面上运动t时间，牵引力做功W_F＝Pt。⑤等效转换法：用恒力F把物块从A拉到B，绳子对物块做功W＝F·(h/sinα－h/sinβ)。⑥平均力法：弹簧由伸长量x₁被继续拉至伸长量x₂的过程中，克服弹力做功W＝(kx₁＋kx₂)/2·(x₂－x₁)。⑦图像法：F-x图线与横轴所围面积表示拉力做的功。⑧合力做功：可先求合力再用W合＝F合lcosα，也可先求各力做功再求和W合＝W₁＋W₂＋W₃＋…。,平均力法中的平均力是力关于位移的平均值，不是初末力关于时间的平均值；只有F-x图线与横轴围成的面积才表示力做的功。,五三物理精讲册 P65
机械能守恒定律的三种表达式,REPRESENTATION_GUIDE,机械能守恒定律的三种表达式与两个势能,重力势能E_p＝mgh、弹性势能E_p′＝½kx²；守恒观点、转化观点与转移观点三种表达形式各需注意零势能面与对应含义。,选取合适的表达形式列机械能守恒方程。,①重力势能E_p＝mgh，h为相对参考平面的高度，功能关系W_G＝－ΔE_p。②弹性势能E_p′＝½kx²，x为弹簧的形变量，功能关系W_弹＝－ΔE_p′；弹簧弹力做功与路径无关，只与初末状态的形变量有关；弹簧处于原长时弹性势能为零。③守恒观点：E_p1＋E_k1＝E_p2＋E_k2，需要选取零势能面。④转化观点：ΔE_p＋ΔE_k＝0，对应动能和势能间的转化。⑤转移观点：ΔE_A＋ΔE_B＝0，对应系统内物体间机械能的转移。⑥判断机械能守恒的三种方法：条件分析法——只有重力和系统内弹力做功，没有其他力做功；能量转化法——只有系统内物体间动能和势能的相互转化，系统内无机械能与其他形式能的转化；特殊情境法——绳子突然绷紧、物体间非弹性碰撞等情境机械能不守恒。,机械能守恒指整个过程机械能保持不变，而非仅初末状态机械能相等；条件是只有重力和系统内弹力做功，不是合力做功为零或合力为零。,五三物理精讲册 P70
