chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-004,MATERIAL,NEW:容斥原理,METHOD_MODEL,容斥原理求集合元素个数,求两三个有限集合的并集元素个数时，用容斥原理把并集拆成各集合元素个数之和、减去两两交集个数、再加回三重交集个数。,题目涉及若干集合（一般为 2 个或 3 个）的交集、并集的元素个数关系；已知各部分人数或元素个数，求至少满足一个条件或同时满足两个条件的量。,记 $|A|$ 为有限集合 $A$ 中元素的个数。\n\n**二元容斥原理**：对集合 $A$、$B$ 来说，有 $|A\cup B|=|A|+|B|-|A\cap B|$。\n\n**二元容斥原理的内涵**：先画出韦恩图，由韦恩图可以发现 $|A|+|B|$ 与 $|A\cup B|$ 相比，多算了一次集合 $A\cap B$ 中元素的个数，因此需要减掉一次，即得 $|A\cup B|=|A|+|B|-|A\cap B|$。\n\n**三元容斥原理**：对集合 $A$、$B$、$C$ 来说，有 $|A\cup B\cup C|=|A|+|B|+|C|-|A\cap B|-|B\cap C|-|C\cap A|+|A\cap B\cap C|$。\n\n**三元容斥原理的内涵**：$|A|+|B|+|C|$ 与 $|A\cup B\cup C|$ 相比，多算了 $A$、$B$、$C$ 两两相交区域中的元素个数，因此需要减掉 $A\cap B$、$B\cap C$、$C\cap A$ 中元素的个数；但在减的过程中 $A\cap B\cap C$ 的区域被减了 3 次，而 $|A|+|B|+|C|$ 只把该区域计算了 3 次，于是需要再把 $|A\cap B\cap C|$ 加上 1 次。\n\n**解题步骤**：① 判断是二元还是三元模型；② 画韦恩图，把全集分成互不重叠的区域；③ 把喜欢足球或游泳的学生占 96%“这类条件翻译成并集、交集的元素个数；④ 代入容斥公式解出所求区域的数量，必要时用总数减去并集元素个数得到”都不满足“的部分。”,只适用于有限集合；三元情形中两两交集要减三次、三重交集要加回一次，多减或漏加都会出错；既不属于 $A$ 也不属于 $B$ 的部分不在并集内，求它必须用总数减去并集的元素个数；把百分数、比例翻译成元素个数时要统一到同一个总数（如设总人数为 100）；按韦恩图区域计数时不要重复计数。,p4 大招1：容斥原理；建议父级：集合与常用逻辑用语＞集合的基本运算,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-005,MATERIAL,NEW:1的代换,METHOD_MODEL,1的代换求最值,条件中等于常数的一次式就是“1”，把它乘到分式型目标式上展开，再用一次基本不等式即得最值。,已知正数 $x$、$y$ 满足 $ax+by=1$ 求 $\frac{c}{x}+\frac{d}{y}$ 的最小值；或已知 $\frac{c}{x}+\frac{d}{y}=1$ 求 $ax+by$ 的最小值（$a$、$b$、$c$、$d$ 均为正数）。,**识别（见招）**：已知正数 $x$、$y$ 满足 $ax+by=1$，求 $\frac{c}{x}+\frac{d}{y}$ 的最小值，其中 $a$、$b$、$c$、$d$ 都是正数；反过来已知 $\frac{c}{x}+\frac{d}{y}=1$ 求 $ax+by$ 的最小值，也是同样的操作。\n\n**解法三步**：① 将常数 1 用 $ax+by$ 替换：$\frac{c}{x}+\frac{d}{y}=\left(\frac{c}{x}+\frac{d}{y}\right)(ax+by)=ac+bd+ad\cdot\frac{y}{x}+bc\cdot\frac{x}{y}$；② 对后两项使用基本不等式：$ad\cdot\frac{y}{x}+bc\cdot\frac{x}{y}\ge2\sqrt{abcd}$，当且仅当 $ad\cdot\frac{y}{x}=bc\cdot\frac{x}{y}$ 时取等号；③ 求出最小值：$\frac{c}{x}+\frac{d}{y}\ge ac+bd+2\sqrt{abcd}$，不难发现一般情况下等号都能取到。\n\n**关键点**：条件是两个正数的一次式等于常数“，这个常数就是可以替换的 1；把它乘到目标式上，展开后正好得到常数部分加两项之和，只需一次基本不等式即可出结果。\n\n**反用**：若条件是分式和等于常数，则把该分式和当作 1 替换，用于求一次式 $ax+by$ 的最值，本质是把和与积通过条件互换。\n\n**变式**：条件为 $2x+3y=3$ 时，先把条件化为 $x+y=1$（两边同除以 3）等标准形式，再实施 1 的代换。”,使用前提是 $x$、$y$ 均为正数（基本不等式要求参与运算的项为正）；替换的 1 必须与条件严格相等，条件不等于 1 时要先化为 1（如两边同除常数），不能把不等于 1 的式子当 1 乘进去；放缩后必须回代检验等号条件是否有解且落在定义域内，取不到等号时最小值不能这样求，应改用函数单调性等方法。,p5 大招2：1的替换；建议父级：不等式＞基本不等式,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-005,MATERIAL,NEW:柯西不等式与权方和不等式,METHOD_MODEL,柯西与权方和不等式,柯西不等式 $(a^2+b^2)(c^2+d^2)\ge(ac+bd)^2$ 及其变形权方和不等式 $\frac{a^2}{x}+\frac{b^2}{y}\ge\frac{(a+b)^2}{x+y}$，可一次性求出分式和的最值。,遇到分式之和（如 $\frac{1}{x}+\frac{9}{y}$、$\frac{a^2}{x}+\frac{b^2}{y}$）在给定一次式或和式条件下的最值问题，用常规基本不等式需要多次放缩时，改用权方和不等式可一步到位。,**柯西不等式**：设 $a$、$b$、$c$、$d$ 均为实数，则 $(a^2+b^2)(c^2+d^2)\ge(ac+bd)^2$，当且仅当 $ad=bc$ 时等号成立。提示：将右边移项到左边展开即可证明；当 $c=1$、$d=1$ 时，上式即可变形为重要不等式 $a^2+b^2\ge2ab$。\n\n**权方和不等式（二维形式）**：设 $a$、$b$、$x$、$y>0$，则 $\frac{a^2}{x}+\frac{b^2}{y}\ge\frac{(a+b)^2}{x+y}$，当且仅当 $\frac{a}{x}=\frac{b}{y}$ 时取等号，常用于速求一些分式和的最值。\n\n**证法一（展开后放缩）**：将 $\frac{a^2}{x}+\frac{b^2}{y}\ge\frac{(a+b)^2}{x+y}$ 两边同乘 $x+y$，即证 $\left(\frac{a^2}{x}+\frac{b^2}{y}\right)(x+y)\ge(a+b)^2$。左边展开得 $a^2+b^2+\frac{a^2y}{x}+\frac{b^2x}{y}\ge a^2+b^2+2\sqrt{\frac{a^2y}{x}\cdot\frac{b^2x}{y}}=a^2+b^2+2ab=(a+b)^2$，当且仅当 $\frac{a^2y}{x}=\frac{b^2x}{y}$ 即 $\frac{a}{x}=\frac{b}{y}$ 时取等号。\n\n**证法二（由柯西不等式得）**：不等式左边可化为 $\left[\left(\frac{a}{\sqrt x}\right)^2+\left(\frac{b}{\sqrt y}\right)^2\right]\left[(\sqrt x)^2+(\sqrt y)^2\right]\ge\left(\frac{a}{\sqrt x}\cdot\sqrt x+\frac{b}{\sqrt y}\cdot\sqrt y\right)^2=(a+b)^2$，当且仅当 $\frac{a/\sqrt x}{\sqrt x}=\frac{b/\sqrt y}{\sqrt y}$ 即 $\frac{a}{x}=\frac{b}{y}$ 时取等号。因此权方和不等式可看成柯西不等式的变形。\n\n**使用提醒**：这两种不等式只研究二维代数形式，代入前先把分子写成平方形式，如 $\frac{1}{x}+\frac{9}{y}=\frac{1^2}{x}+\frac{3^2}{y}\ge\frac{(1+3)^2}{x+y}$。,柯西不等式与权方和不等式是教材之外的拓展工具，作答时要符合本省考试的要求；权方和不等式的分母必须为正数，柯西不等式的取等条件 $ad=bc$、权方和的取等条件 $\frac{a}{x}=\frac{b}{y}$ 都必须验证能取到；分子要写成平方的形式（如 $3=\sqrt9$ 写作 $3^2$ 对应分子 3）才可直接套用；只掌握二维形式即可，高维形式不在要求内。,p5 抗坑小课堂：柯西不等式与权方和不等式；建议父级：不等式＞基本不等式,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-006,MATERIAL,连续使用基本不等式忽略等号同时成立致错,MISCONCEPTION_GUIDE,连续放缩要验等号能否同取,连续两次使用基本不等式求最值时，两次放缩的等号若不能同时成立，所得最小值是错误答案。,用基本不等式求最值时若需要两次（或多次）放缩，必须先写出每次的等号条件并检验是否有公共解，常见于“已知和求分式和最值”的题目。,**典型错解**：已知 $x+y=1$（$x$、$y>0$），求 $\frac{1}{x}+\frac{9}{y}$ 的最小值。若先由 $xy\le\left(\frac{x+y}{2}\right)^2=\frac14$ 得 $\frac{1}{xy}\ge4$，再用 $\frac{1}{x}+\frac{9}{y}\ge2\sqrt{\frac{9}{xy}}\ge2\sqrt{9\times4}=12$，就得到错误答案 12。\n\n**错因**：第一次放缩 $xy\le\left(\frac{x+y}{2}\right)^2$ 当且仅当 $x=y=\frac12$ 时取等号；第二次放缩 $\frac{1}{x}+\frac{9}{y}\ge2\sqrt{\frac{9}{xy}}$ 当且仅当 $\frac{1}{x}=\frac{9}{y}$ 即 $y=9x$ 时取等号。$x=y=\frac12$ 与 $y=9x$ 不能同时成立，两次放缩的等号不能在同一点取到，所以最小值不是 12。\n\n**正确做法一（1 的代换）**：$\frac{1}{x}+\frac{9}{y}=\left(\frac{1}{x}+\frac{9}{y}\right)(x+y)=10+\frac{9x}{y}+\frac{y}{x}\ge10+2\sqrt{9}=16$，当且仅当 $\frac{9x}{y}=\frac{y}{x}$ 且 $x+y=1$，即 $x=\frac14$、$y=\frac34$ 时取等号。\n\n**正确做法二（权方和不等式一次到位）**：$\frac{1}{x}+\frac{9}{y}=\frac{1^2}{x}+\frac{3^2}{y}\ge\frac{(1+3)^2}{x+y}=16$，当且仅当 $\frac{1}{x}=\frac{3}{y}$ 时取等号。\n\n**检查口诀**：逐次写出等号条件，判断它们是否有公共解；没有公共解说明放缩过度，必须换方法。,只有各次放缩的等号条件存在公共解（且该解落在定义域内）时，多次放缩的结论才成立；必须逐次写出等号条件分别检验，只验证其中一次不算通过；放宽不等号方向、忽略“当且仅当”的条件都会导致错误的最小值。,p6 抗坑找坑：两次放缩等号不能同时取到,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-006,MATERIAL,利用基本不等式求最值,METHOD_MODEL,用基本不等式搭桥求最值,条件中同时出现 $ax+by$ 与 $xy$ 时，用基本不等式把它们联系起来，构造只含一个整体的不等式再解。,已知正数 $x$、$y$ 满足 $ax+by=f(xy)$（其中 $a$、$b$ 为正数，$f(xy)$ 为 $cxy+d$ 的形式），求 $ax+by$ 或 $xy$ 的最值。,**识别（见招）**：已知正数 $x$、$y$ 满足 $ax+by=f(xy)$（其中 $a$、$b$ 都为正数，$f(xy)$ 为 $cxy+d$ 的形式），求 $ax+by$（或 $xy$）的最值；目标式与条件中的另一个整体往往无法直接消元。\n\n**出招**：将 $ax+by$ 与 $xy$ 以基本不等式作为桥梁建立关系。\n\n**第一步**：根据基本不等式变形得到 $ax+by\ge2\sqrt{abxy}$，建立关于 $ax+by$（或关于 $xy$）的不等式。\n\n**第二步**：解关于 $ax+by$（或 $xy$）的不等式，即可求得 $ax+by$（或 $xy$）的最值，注意验证等号能否取到。\n\n**常用桥梁**：① $x+y\ge2\sqrt{xy}$（和与积互相转化）；② $xy\le\left(\frac{x+y}{2}\right)^2$（用和的上界消去积）；③ 先把条件通分变形，如由 $\frac{1}{x}+\frac{1}{y}=5$ 得 $x+y=5xy$，使条件中只出现 $x+y$ 与 $xy$ 两个整体。\n\n**结果形式**：转化后通常得到关于整体的一元二次不等式或形如 $t+\frac{4}{t}\le5$ 的不等式，如由 $5=x+y+\frac{x+y}{xy}$ 与 $xy\le\frac{(x+y)^2}{4}$ 得 $(x+y)^2-5(x+y)+4\le0$，解得 $1\le x+y\le4$，即最小值为 1、最大值为 4。,桥梁不等式的方向必须与目标一致（求和的最大值要用积的上界，求积的最大值要用和的上界），方向用反会得到相反的结论；$x$、$y$ 必须为正数；整体换元后要写出新元的取值范围再解不等式；求得范围后要检验端点处等号能否取到，取不到时端点只是界限而非最值。,p6 大招3：一个桥梁,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-007,MATERIAL,NEW:对勾函数,CONCEPT_EXPLANATION,对勾函数的定义与性质,形如 $f(x)=ax+\frac{b}{x}$（$ab>0$）的函数图象关于原点对称，在 $x>0$ 上有最小值 $2\sqrt{ab}$。,求形如 $t+\frac{k}{t}$ 的函数的值域或最值；判断分式函数在给定区间上的单调性与极值位置；遇到换元后化成 $t+\frac{k}{t}$“的题目时都需要对勾函数的性质。”,**定义**：形如 $f(x)=ax+\frac{b}{x}$（$ab>0$）的函数，当 $a>0$、$b>0$ 时其图象关于原点对称，称为对勾函数。\n\n**基本性质（$a>0$、$b>0$）**：\n\n- 定义域：$x\ne0$（即 $x<0$ 或 $x>0$）；\n- 奇偶性：奇函数；\n- 单调性：当 $x<-\sqrt{\frac{b}{a}}$ 或 $x>\sqrt{\frac{b}{a}}$ 时函数单调递增；当 $-\sqrt{\frac{b}{a}}<x<0$ 或 $0<x<\sqrt{\frac{b}{a}}$ 时函数单调递减；\n- 极值：极大值 $f\left(-\sqrt{\frac{b}{a}}\right)=-2\sqrt{ab}$，极小值 $f\left(\sqrt{\frac{b}{a}}\right)=2\sqrt{ab}$；\n- 最值：函数在定义域上无最值；在 $x<0$ 这一支上有最大值 $-2\sqrt{ab}$，在 $x>0$ 这一支上有最小值 $2\sqrt{ab}$；图象以 $y$ 轴和直线 $y=ax$ 为渐近线。\n\n**两种变形**：\n\n- 当 $a<0$、$b<0$ 时，$f(x)=ax+\frac{b}{x}=-\left(-ax-\frac{b}{x}\right)$，也是对勾函数，其基本性质可参照上述性质（把整体加负号，最值与单调区间随之对应）。\n- 当 $a>0$、$b<0$（或 $a<0$、$b>0$）时，在 $x<0$ 与 $x>0$ 上 $y=ax$ 与 $y=\frac{b}{x}$ 的单调性相同，即增加增为增，函数在两支上都单调递增（或都单调递减），此时称 $f(x)$ 为双撇函数，没有极值与最值。,$ab>0$ 才是对勾形状，$ab<0$ 时是双撇函数、单调性与最值完全不同，不能套用对勾函数的极值公式；对勾函数在定义域上整体无最值，最值只在 $x>0$ 或 $x<0$ 的单独一支上取到；用换元法求值域时必须先确定新元 $t$ 的取值范围，否则最小值点可能不在区间内；$a<0$、$b<0$ 时要先提出负号再套性质，注意最值符号与开口方向的变化。,p7 大招4：对勾函数的定义及其性质；建议父级：函数＞函数的值域与最值,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-008,MATERIAL,NEW:分式型函数的值域,METHOD_MODEL,分式型函数值域的三种情形,二次比一次、一次比二次、二次比二次的分式函数，都可以通过分离常数与同除分子换元，化为对勾函数或双撇函数求值域。,求形如 $\frac{ax^2+bx+c}{dx+e}$、$\frac{ax+b}{cx^2+dx+e}$、$\frac{ax^2+bx+c}{dx^2+ex+f}$ 的分式函数的值域；也适用于给定区间上这类函数的最值问题。,**① 二次比一次型**：形如 $f(x)=\frac{ax^2+bx+c}{dx+e}$（$a$、$b$、$c$、$d$、$e\in R$ 且 $ad\ne0$），把分母 $dx+e$ 看作一个整体进行换元，即可化成对勾函数的形式，进而求解值域。\n\n**② 一次比二次型**：形如 $f(x)=\frac{ax+b}{cx^2+dx+e}$（$a$、$b$、$c$、$d$、$e\in R$ 且 $ac\ne0$），将分子、分母同除以分子，分母就变成了 ① 中的形式，换元后继续操作即可。\n\n**③ 二次比二次型**：形如 $f(x)=\frac{ax^2+bx+c}{dx^2+ex+f}$（$a$、$b$、$c$、$d$、$e$、$f\in R$ 且 $ad\ne0$），先把分子中的二次项分离常数分离出去，就变成了 ② 中的形式，再将分子、分母同除以分子，换元后继续操作即可。\n\n**通用流程**：分离常数（把分子降次）→ 分子分母同除以分子 → 换元（如令 $t=x+1$）并写出新元范围 → 用对勾函数或双撇函数求 $t+\frac{k}{t}$ 的范围 → 取倒数得到原函数的值域。\n\n**书写提醒**：解答题中要用常规方法（换元法、判别式法）进行计算并完整书写过程。,换元后必须写出新元 $t$ 的范围（例如由 $x>0$ 得 $t=x+1>1$），否则会把区间外的极值点当成最值点；分子分母同除以某个式子时，该式不能为 0，要单独讨论使它为 0 的自变量取值并算出对应函数值；分离常数时注意分子、分母的次数关系，按 ①②③ 的顺序逐步化简，不要跳步；原函数的定义域（挖去分母为 0 的点）不能被换元过程掩盖。,p8 大招4：利用对勾函数求分式型函数的值域；建议父级：函数＞函数的值域与最值,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-009,MATERIAL,判别式法-主要用于含有二次的分式函数-形如,METHOD_MODEL,判别式法求分式函数值域,把 $y=f(x)$ 整理成关于 $x$ 的整式方程，用 $y$ 作参数、由判别式 $\Delta\ge0$ 求 $y$ 的范围即得值域。,分子分母含二次的分式函数（如 $y=\frac{5x}{x^2-3x+4}$）求值域；已知函数定义域为 R 时也可优先考虑此法。,**方法**：函数 $y=f(x)=\frac{5x}{x^2-3x+4}$ 的定义域为 R，此时可考虑用判别式法求解。把 $y=\frac{5x}{x^2-3x+4}$ 变形得 $y(x^2-3x+4)=5x$，整理得 $yx^2-(3y+5)x+4y=0$。\n\n当 $y=0$ 时，方程有解；当 $y\ne0$ 时，$\Delta=(3y+5)^2-16y^2\ge0$，解得 $-\frac{5}{7}\le y<0$ 或 $0<y\le5$。综上所述，函数 $f(x)$ 的值域为 $-\frac{5}{7}\le y\le5$。\n\n**一般步骤**：① 先将原函数整理成一个关于 $x$ 的整式方程，此时把 $y$ 看作参数；② 对 $y=0$ 与 $y\ne0$ 分两种情况讨论：$y=0$ 时直接检验方程是否有解，$y\ne0$ 时通过判别式大于等于 0 得到 $y$ 的范围；③ 结合 $y=0$ 是否有解综合得出值域。\n\n**使用条件**：当给定的函数定义域是 R 时，也可考虑用判别式法；若定义域不是 R，用判别式法时需要对产生的增根分情况讨论，此时不建议用判别式法。,必须先把原函数整理成一个关于 $x$ 的整式方程，并把 $y=0$ 与 $y\ne0$ 分两种情况讨论，漏掉 $y=0$ 的检验会丢解；定义域不是 R 时判别式法容易产生增根，需逐一代回检验；分子分母有公因式时应先约分并重新确定定义域，否则值域会被扩大或缩小。,p9 大招4：判别式法（另解）与注意事项,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-009,MATERIAL,NEW:挖掘单调性解不等式,METHOD_MODEL,挖掘单调性解函数不等式,把不等式整理成只有 $f(\ )$ 的形式，再用奇偶性、对称性或单调性把函数值的大小关系转化为自变量的大小关系。,不等式中含 $f(x)$ 但解析式未知或非常复杂；解形如 $f(g(x))<f(h(x))$ 的函数不等式。,**情形一：不等式中含 $f(x)$，但 $f(x)$ 的解析式未知或非常复杂**\n\n① 将不等式两边都处理成有且只有 $f(\ )$ 的形式（即化为 $f(m)>f(n)$ 的形状）。\n\n② 判断函数 $f(x)$ 是否为偶函数或是否具有明显的对称性。\n\n③ 若是偶函数或明显对称，则画出图象求解；否则判断函数的单调性，根据 $f(m)>f(n)\Leftrightarrow m>n$（$f(x)$ 在定义域内单调递增）或 $f(m)>f(n)\Leftrightarrow m<n$（$f(x)$ 在定义域内单调递减）求解。\n\n**情形二：解函数不等式 $f(g(x))<f(h(x))$**\n\n① 根据单调性的定义或 $f(x)$ 的导数 $f'(x)$，得到函数 $f(x)$ 在对应区间上的单调性。\n\n② 通过 $f(x)$ 的单调性，将 $f(g(x))<f(h(x))$ 转化为 $g(x)<h(x)$（$f(x)$ 在定义域内单调递增）或 $g(x)>h(x)$（$f(x)$ 在定义域内单调递减）。\n\n③ 求出 $g(x)<h(x)$ 或 $g(x)>h(x)$ 的解集，并与自变量的允许范围取交集。\n\n**证明单调的常用手段**：用导数判断符号，如 $f(x)=\frac{e^x-e^{-x}}{2}-\sin x$ 的导数 $f'(x)=\frac{e^x+e^{-x}}{2}-\cos x\ge2\sqrt{\frac{e^x\cdot e^{-x}}{4}}-\cos x=1-\cos x\ge0$，从而 $f(x)$ 单调递增（用基本不等式时仍要验证取等条件）。,必须先确认函数在所讨论区间上单调或具有对称性，否则不能把函数值的大小关系直接换成自变量的大小关系；转化时不等号方向必须与单调性匹配（增函数同向、减函数反向）；把函数不等式转化为整式不等式后还要保证原式各处都有意义（如分母不为零、被开方数非负）；用导数证单调时，导数大于等于 0 的等号只能在极值点处出现，不能整段恒为 0。,p9 大招5：挖掘单调性；建议父级：函数＞函数的单调性,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-010,MATERIAL,利用单调性解不等式时忽略定义域致错,MISCONCEPTION_GUIDE,解函数不等式勿漏定义域,由单调性把 $f(g(x))<f(h(x))$ 转化为 $g(x)<h(x)$ 时，必须同时保证 $g(x)$ 与 $h(x)$ 都落在 $f$ 的定义域内。,用单调性解函数不等式 $f(g(x))<f(h(x))$ 时，若 $f(x)$ 的定义域有限制（如含对数、根式、分母），最后求出的解集必须与定义域约束取交集。,**转化链条**：通过导数得到 $f(x)$ 单调递增后，把不等式 $f(x+4)<f(x^2-2)$ 转化为 $x+4<x^2-2$，解 $x^2-x-6>0$ 得 $x<-2$ 或 $x>3$，所以原不等式的解集为 $x<-2$ 或 $x>3$。这里因为 $f(x)$ 的定义域恰好是 R，转化是等价的。\n\n**易错点**：如果函数 $f(x)$ 的定义域有限制，最后求解集时一定不要忽略。若 $f(x)$ 的定义域为 $D$，解不等式 $f(g(x))<f(h(x))$ 时容易忽略隐含条件 $g(x)\in D$ 且 $h(x)\in D$，得到的解集会被扩大。\n\n**正确做法**：① 先用单调性把函数不等式转化为 $g(x)<h(x)$；② 再补上 $g(x)\in D$ 与 $h(x)\in D$ 两个条件；③ 三者取交集才是原不等式的解集。\n\n**练习提醒**：见到 $f$ 的解析式里含分母、偶次根式、对数时，先求出定义域再动笔转化，避免最后多出无效解。,定义域限制在抽象函数问题中往往被“隐藏”（题目只给 $f(x_0)$ 一类的条件），必须从解析式的结构反推出定义域；转化 $f(g(x))<f(h(x))$ 得到的只是必要条件，漏掉定义域约束会扩大解集；取交集时注意把三段条件分别解出后再合并，不要直接把不等号连写。,p10 抗坑探坑：解函数不等式勿漏定义域,
