chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-071,MATERIAL,多倍体,METHOD_MODEL,排列组合法破解多倍体配子种类及比例,用排列组合数出同源多倍体减数分裂时配子中基因的组合方式数，从而写出配子种类及比例。,已知基因型为 $AAaa$、$Aaa$ 等同源多倍体或三体，要求其产生配子的种类与比例，或进一步做自交、测交、杂交的概率计算。,### 为什么不能直接用常规配子法\n一对等位基因（二倍体）的遗传推导用常规配子法即可；但同源多倍体如 $AAa$、$AAaa$ 分别含 3 条、4 条相应的同源染色体，减数分裂过程中染色体的联会与分离与一对同源染色体的情况不同，基因的分离情况随之改变，直接套二倍体配子法会出错，需借排列组合来分析。\n\n### 核心思路：数组合方式\n把“一个配子获得哪些基因”看成“从同源染色体上的基因中取若干个”的组合问题：配子的种类 $=$ 取法的组合数；各类组合数之比 $=$ 配子的比例。\n\n### 同源四倍体 AAaa\n一个配子获得其中的 2 个基因：\n- $AA$：从 2 个 A 中取 2 个，$C_2^2=1$ 种；\n- $Aa$：从 2 个 A 中取 1 个、从 2 个 a 中取 1 个，$C_2^1\times C_2^1=4$ 种；\n- $aa$：从 2 个 a 中取 2 个，$C_2^2=1$ 种。\n故 $AA:Aa:aa=1:4:1$。\n\n### 基因型 Aaa 的三体\n一个配子获得其中的 2 个基因或 1 个基因：\n- $A$：从 1 个 A 中取 1 个，$C_1^1=1$ 种；\n- $a$：从 2 个 a 中取 1 个，$C_2^1=2$ 种；\n- $Aa$：从 1 个 A 中取 1 个并从 2 个 a 中取 1 个，$C_1^1\times C_2^1=2$ 种；\n- $aa$：从 2 个 a 中取 2 个，$C_2^2=1$ 种。\n故 $A:a:Aa:aa=1:2:2:1$。\n\n求出配子比例后，用雌雄配子棋盘法相乘即可得子代各基因型及比例。,只适用于同源染色体随机联会、随机分离的多倍体（如 $AAaa$）或三体（如 $Aaa$）；必须先数清该个体有几条同源染色体、一个配子应获得几个基因，不能沿用二倍体“配子只含 1 个基因”的默认；“组合数之比等于配子比例”的前提是每种取法等可能，若题目另有配子致死或受精率限制须另行折算。,p71 大招9：巧用数学工具破解多倍体的配子种类及比例（题型+解题思想+排列组合分析表）,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-072,MATERIAL,染色体变异-x1,METHOD_MODEL,三体配子比例与受精率折算,三体（$2n+1$）减数分裂产生 $n$ 与 $n+1$ 两类配子各占一半，某类配子受精率受影响时先折算育性比例再用棋盘法求子代。,题干给出三体（$2n+1$）变异株、或说明某类花粉与卵细胞受精率不同、要求子代中三体或某表型的比例。,### 三体产生配子的类型与比例\n三体（$n+1$ 型即 $2n+1$）变异株减数分裂时染色体随机分离：\n- 产生 $n$ 型配子：相当于从 2 个“$n$”中取一个“$n$”，$C_2^1=2$ 种；\n- 产生 $n+1$ 型配子：相当于从 2 个“$n$”中取一个“$n$”，并从 1 个“1”中取 1 个“1”，$C_2^1\times C_1^1=2$ 种。\n故不考虑配子受精率时，三体产生的配子类型及比例为 $1/2n$、$1/2(n+1)$。\n\n### 加受精率限制后的处理\n若 $n+1$ 型花粉只有 50% 的受精率而卵细胞不受影响：先按受精率折算可育配子比例——雄配子 $n:n+1=2:1$（即 $2/3$ 与 $1/3$），雌配子仍为 $n:n+1=1:1$（即 $1/2$ 与 $1/2$）；再用棋盘法把雌雄配子两两组合，读出子代各类个体的比例（如三体自交后代中三体变异株约占 $3/5$）。\n\n### 由子代特殊分离比反推染色体加倍\n若某 F₁ 自交后代出现 $35:1$ 这类特殊分离比，可推知环境温度骤变使该植株在生长发育早期发生了染色体数目加倍（属体细胞有丝分裂中的变异，而非产生配子的减数分裂变异，后者在子代中出现的概率极低），其在生殖上可视为基因型 $DDdd$：其配子为 $DD:Dd:dd=C_2^2:(C_2^1\times C_2^1):C_2^2=1:4:1$；$DDdd$ 自交相当于从 4 个基因中任取两个再随机结合，组合方式共 $6\times 6=36$ 种，与高茎:矮茎 $=35:1$ 相符。,先判断受精率受影响的是雄配子还是雌配子（两者不同会显著改变结果）；只有题目明确给出受精率限制时才折算，否则直接按 $1/2:1/2$ 计算；三体自交还要注意存活条件（如四体 $2n+2$ 细胞无法存活时相应组合要去掉）；棋盘法读比例时务必用折算后的可育配子比例而非原始比例。,p72 大招9 大招示例1与示例2详解（三体配子比例、受精率折算、棋盘法、DDdd 35:1）,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-073,MATERIAL,自由组合定律中的特殊分离比问题分析,METHOD_MODEL,三步法搞定基因互作套路,基因互作题按“F₂ 性状分离比→F₁ 基因型→亲本基因型”三步逆推，先把 9:3:3:1 变式与基因型的对应关系找出来。,题干含非等位基因互作（如 A 基因抑制 B 基因的表达）且 F₂ 出现 9:7、9:6:1、13:3、15:1 等特殊分离比，要求判断基因对数、基因型或写亲本基因型。,### 题型特征\n基因互作指非等位基因在功能上相互作用，导致子代出现特殊性状分离比，如 A 基因抑制 B 基因的表达。常见考法为两对等位基因之间的互作：位置上两对等位基因往往独立遗传、符合自由组合定律；功能上两对等位基因之间会有影响、共同决定性状。互作方式不同会出现 $9:6:1$、$9:7$、$13:3$ 等不同比例，但可用同一套方法处理。\n\n### 解题思想：找基因型和表型的对应关系\n基因互作并不改变遗传的基本规律，只改变“基因型—表型”的对应关系。解题过程依然按常规方法推导亲代与子代的基因型，重点在分析基因型和表型的关系时注意互作影响下的对应关系。\n\n### 三步法（逆推）\n- 第一步：利用 F₂ 性状分离比推算基因型和表型的对应关系；\n- 第二步：F₁ 的基因型应为 $AaBb$，利用 F₁ 验证基因型和表型的对应关系；\n- 第三步：亲本的基因型应为 $AABB\times aabb$（记作 $P_1$）或 $AAbb\times aaBB$（记作 $P_2$），利用表型确认其基因型。\n\n### 关键结论\n只要 F₂ 出现 $9:3:3:1$ 或其变式，F₁ 必为 $AaBb$ 且遵循自由组合定律，把后代按 $9A\_B\_$、$3A\_bb$、$3aaB\_$、$1aabb$ 四份去对应表型即可。,只适用于 F₁ 为 $AaBb$ 且两对基因独立遗传的情形，连锁遗传或三对及以上基因不能直接套用；比例只能反映表型归属、不能反推基因的物理位置；“显性上位、抑制、累加”等文字描述决定哪几份合并为同一表型，读题时必须把描述与份数对应好；无特殊说明时 A 与 B、a 与 b 可互换。,p73 大招10：“三步法”搞定基因互作套路（题型归纳+解题思想+基本分析思路）,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-074,MATERIAL,自由组合定律中的特殊分离比问题分析,METHOD_MODEL,F₁自交情境下基因互作类型的分析,把 AaBb 自交后代的四份基因型按不同方式分组即得到不同分离比，再由互作描述定分组、用 F₁ 表型验证。,题干给出杂交实验结果（F₁ 全为某表型、F₂ 出现 9:6:1 或 9:3:4 或 13:3 等），要求判断基因互作方式与亲本基因型。,### 核心：给 $F_2$ 的四份基因型分组\n$AaBb$ 自交后代按基因型可分成四份：$9A\_B\_$、$3A\_bb$、$3aaB\_$、$1aabb$。互作方式不同，只是这四份“归为几种表型”的分组方式不同：\n- $9:6:1$ 即 $(9):(3+3):(1)$；\n- $9:3:4$ 即 $(9):(3):(3+1)$；\n- $9:7$ 即 $(9):(3+3+1)$；\n- $13:3$ 即 $(9+3+1):(3)$；\n- $15:1$ 即 $(9+3+3):(1)$。\n\n### 分析流程\n① 利用 F₂ 性状分离比推算基因型和表型的对应关系；② F₁ 的基因型应为 $AaBb$，其表型必须与①中的对应关系一致，分析才得到验证；③ 亲本必为纯合子 $AABB\times aabb$（$P_1$）或 $AAbb\times aaBB$（$P_2$），由亲本表型选定并写出杂交图解。\n\n### 三个典型例子的对应关系\n- 南瓜果形：圆甲×圆乙，F₁ 全为扁盘形，F₂ 扁盘形:圆形:长形 $=9:6:1$，即 $9A\_B\_$ 扁盘形、$3A\_bb$ 与 $3aaB\_$ 圆形、$1aabb$ 长形，亲本为 $AAbb\times aaBB$。\n- 自花传粉植物的花色：紫×白，F₁ 全为紫色，F₂ 紫色:红色:白色 $=9:3:4$，即 $9A\_B\_$ 紫色、$3A\_bb$ 红色、$3aaB\_$ 与 $1aabb$ 白色（有 aa 时 B 不能表现），亲本为 $AAbb\times aaBB$。\n- 家蚕蚕茧颜色：黄茧×白茧，F₁ 全为白茧，F₂ 白茧:黄茧 $=13:3$，即 $9A\_B\_$、$3aaB\_$、$1aabb$ 白茧，$3A\_bb$ 黄茧；白色对黄色为显性，但黄色的表达受另一对等位基因 $B/b$ 的影响。,分组方式必须由题干对互作的文字描述（如“A 基因抑制 B 基因的表达”）决定，不能只看比例数字硬背；同一比例可能有不同的分组方式（$9:3:4$ 中的“4”既可为 $3aaB\_+1aabb$，也可为 $3A\_bb+1aabb$），必须回到题干验证；无特殊说明时 A 与 B、a 与 b 可互换，亲本是 $P_1$ 还是 $P_2$ 要由亲本表型裁定。,p74 大招10 2.F₁自交情境下基因互作类型分析（南瓜果形、花色、蚕茧三个题干背景）,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-075,MATERIAL,自由组合定律中的特殊分离比问题分析,METHOD_MODEL,自交比与测交比的关联性分析,$AaBb$ 自交后代的特殊分离比与其测交后代比例一一对应，把自交比按基因型分组迁移即可直接写出测交比。,已知 $AaBb$ 自交后代出现特殊分离比而要求测交后代比例，或反向由测交比推自交比；也可用于判断两对基因是否独立遗传。,### 原理\n基因型为 $AaBb$ 的亲本自交后代中出现基因互作，其测交后代中也会出现基因互作，且原理一致。在推导测交后代性状比例时，只要将自交后代中的性状比例进行迁移即可。\n\n### 为什么可以直接迁移\n测交后代的四种基因型为 $AaBb:Aabb:aaBb:aabb=1:1:1:1$（各 1 份），而自交后代四份为 $9A\_B\_:3A\_bb:3aaB\_:1aabb$；把自交中“合并为同一表型”的那几份，在测交中按同一方式合并即可。\n\n### 常见对照（自交比 ↔ 测交比）\n- $9:7$ ↔ $1:3$；\n- $9:6:1$ ↔ $1:2:1$；\n- $15:1$ ↔ $3:1$；\n- $9:3:4$ ↔ $1:1:2$；\n- $13:3$ ↔ $3:1$；\n- $12:3:1$ ↔ $2:1:1$。\n（若无特殊说明，A 与 B、a 与 b 可互换。）\n\n### 累加效应\n$1:4:6:4:1$ 很可能对应累加效应，即每个显性基因或隐性基因对性状的遗传效应相同且可以累加：$1AABB:2AaBB+2AABb:4AaBb+1aaBB+1AAbb:2Aabb+2aaBb:1aabb$，按显性基因个数归为 4 显:3 显 1 隐:2 显 2 隐:1 显 3 隐:4 隐 $=1:4:6:4:1$，其测交后代比例为 $1:2:1$。\n\n### 思想延伸\n三对或三对以上等位基因互作时，要依据题目提供的特殊比例具体分析，但基本方法依然是分解组合法：对性状分离比进行拆解，找到具体的等位基因对数。,只适用于 F₁ 为 $AaBb$ 且两对基因独立遗传（遵循自由组合定律）的情形；测交的基因型贡献为 $1:1:1:1$，合并规则必须与自交中同一表型的归属严格一致；若题干对显隐性的规定不同（谁是上位、谁被抑制），合并方式随之改变；$1:4:6:4:1$ 是累加效应的典型比例，见到它优先考虑显性基因的累加作用。,p75 大招10 3.自交后代与测交后代性状比例的关联性分析（续表）+三、思想延伸,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-076,MATERIAL,自由组合定律中的特殊分离比问题分析,METHOD_MODEL,基因互作题中分解组合法的应用,由 F₂ 特殊分离比判定基因对数与亲本基因型后，用分解组合法逐对分析每一对基因，可快速求纯合体占比与基因型种数。,两组杂交组合、多组 F₂ 分离比的表格题，要求判断基因对数、某表型群体中纯合体比例、某表型基因型种数或子代比例。,### 由比例判定基因对数\nF₂ 中某性状分离比为 $13:3$，是 $9:3:3:1$ 的变式，说明该性状至少受两对等位基因控制，且两对基因的遗传遵循自由组合定律。\n\n### 由 F₁ 与 F₂ 定亲本基因型\n某组合 F₁ 全为有氰酸、F₂ 无氰酸:有氰酸 $=1:3$，说明该组合的突变株为 $aabb$，野生型为 $AAbb$ 或 $aaBB$，F₁ 基因型为 $Aabb$ 或 $aaBb$；F₂ 有氰酸个体的基因型及比例为 $AAbb:Aabb=1:2$（或 $aaBB:aaBb=1:2$），故 F₂ 有氰酸群体中纯合体占 $1/3$。\n\n### 基因型种数的快速算法\n若 F₁ 为 $AaBb$，而有氰酸的基因型只有 $AAbb$ 与 $Aabb$（或 $aaBB$ 与 $aaBb$）2 种，则无氰酸群体的基因型有 $3\times 3-2=7$（种）——两对基因各有 3 种基因型共 9 种，减去有氰酸的 2 种。\n\n### 分解组合法处理杂合子间的比例\n把两对基因拆开分别计算再组合：如无氰酸亲本（$1/3AABB$、$2/3AABb$）与有氰酸亲本（$1/3AAbb$、$2/3Aabb$）杂交，只考虑 A/a 时双方产生的配子全为 A，后代全为 $AA$；只考虑 B/b 时一方产生 $2/3B$、$1/3b$，另一方全为 b，后代为 $2/3Bb$、$1/3bb$；组合后后代中有氰酸（$A\_bb$）个体占 $1\times 1/3=1/3$，故无氰酸:有氰酸 $=2:1$。,用分解组合法前必须先确定假设（野生型是 $AAbb$ 还是 $aaBB$），后续所有比例都要与假设保持一致；$1:3$、$13:3$ 这类比例只说明基因对数与对应关系，不能直接给出具体基因型，必须结合 F₁ 表型；遇到“某表型中纯合体占几分之几”要先把该表型内部的基因型比例写全再算。,p76 大招10 大招示例1详解（三叶草氰酸：13:3 判定、纯合体占比、基因型种数、分解组合法）,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-077,MATERIAL,基因重组,METHOD_MODEL,口诀法突破连锁互换定律的题型与思想,连锁基因的遗传不遵循自由组合定律但仍遵循分离定律，解题关键是先找到连锁的基因、写出正确的配子。,题干给出两对或多对基因的杂交结果、配子比例不是 1:1:1:1，或某两个性状总是一起出现，要求判断基因位置关系或计算后代比例。,### 题型归纳\n遗传学有三大定律：除孟德尔提出的基因分离定律和自由组合定律之外，还有摩尔根及其团队提出的基因的连锁互换定律。在教材中，连锁互换定律仅在摩尔根的生平简介中简单出现，却是近年来高考的热点：题目常通过连续自交、测交、共分离等实验数据来考查。理解连锁互换定律的内涵及其与分离定律、自由组合定律的关系，并学会一般的分析方法，对解决涉及连锁互换的高考题非常重要。\n\n### 解题思想：位于同一条染色体上的基因进入同一配子中\n- 位于同一条染色体上的连锁基因的遗传不遵循自由组合定律，但是仍遵循分离定律；\n- 解题的重点在于找到连锁的基因，据此才能写出相关配子，进而进行下一步的计算；\n- 常用突破口：性状分离比若不符合 $9:3:3:1$ 或 $1:1:1:1$，往往提示基因连锁；若两个性状总是同时出现（共分离），则控制这两个性状的基因很可能位于同一条染色体上。\n\n### 一条通用思路\n遗传题万变不离其宗，关键是找到性状比为 $9:3:3:1$ 或其变式的那一代，以此为起点向上（反推亲本）或向下（推导子代）进行推导。,连锁互换定律适用于位于同一条染色体上的非等位基因；只有两对基因独立遗传时才能直接用自由组合定律与乘法法则，未确认基因位置前不要套用 $9:3:3:1$ 的分解组合；共分离只在样本量足够大时才能作为判断依据。,p77 大招11：“口诀法”突破基因的连锁互换定律（题型归纳+解题思想）,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-078,MATERIAL,基因重组,METHOD_MODEL,连锁互换的两句口诀与交换率计算,完全连锁时杂合自交出现 3:1 或 1:2:1；发生互换时配子“两多两少、少的是新造”，据此判断连锁关系并由重组型配子比例算交换率。,已知某个体的配子基因型及比例，或已知自交与测交后代的特殊比例，要求判断基因在染色体上的位置、写出配子、计算交换率或后代比例。,### 一、完全连锁自交问题\n1. 口诀：两对基因紧相依，遗传遵循分离律。减数若不互相换，杂合自交三一（或一二一）现。\n2. 含义：$3:1$ 对应两个显性基因连锁（如 P 与 L 连锁、p 与 l 连锁）；$1:2:1$ 对应一个显性基因和一个隐性基因连锁（如 P 与 l 连锁、p 与 L 连锁）。\n3. 分析模板：基因型为 $PpLl$ 的植株自交——若 P 与 L 连锁、p 与 l 连锁，配子为 $PL:pl=1:1$，棋盘法得 $F_2$ 中紫花长粒:红花圆粒 $=3:1$；若 P 与 l 连锁、p 与 L 连锁，配子为 $Pl:pL=1:1$，$F_2$ 中紫花圆粒:紫花长粒:红花长粒 $=1:2:1$。\n\n### 二、连锁互换问题\n1. 口诀：配子两多和两少，多像亲本少“新造”。\n2. 用法：若配子比例为 $AB:Ab:aB:ab=4:1:1:4$，则 AB、ab 数量多，是亲本型配子；Ab、aB 数量少，是重组型配子。比例不符合 $1:1:1:1$，说明相关基因连锁且产生配子时发生了互换。由“多像亲本”可推出 A 与 B 连锁、a 与 b 连锁，即这两对基因位于同一对同源染色体上。\n3. 交换率计算：交换率 $=$ 重组型配子数/总配子数 $\times 100\%$，上例中为 $(1+1)/(4+1+1+4)\times 100\%=20\%$。\n\n### 三、交换率的概念与特点\n- 概念：交换率 $=$ 重组型配子数/总配子数 $\times 100\%$。\n- 特点：一般而言，两对等位基因在染色体上相距越远，发生交换的机会越大，即交换率越高；反之，相距越近，交换率越低。因此，交换率可用来反映同一染色体上两个基因之间的相对距离。\n\n### 四、速记结论\n1. 亲本型配子总占比 $+$ 重组型配子总占比 $=100\%$。\n2. 若有 2 种亲本型配子、2 种重组型配子，则 1 种亲本型配子占比 $+$ 1 种重组型配子占比 $=50\%$。若是自交，可对隐性个体所占比例开方，结果即为 1 种亲本型（或重组型）配子所占比例，再结合结论 1、2 推出其他类型配子所占比例，进而进行相关计算。\n3. 若有 2 种亲本型配子、$n$（$n\ge 2$）种重组型配子，则每种重组型配子占比 $=$ 重组型配子总占比 $/n$。,交换率的计算基数是配子数而非个体数；完全连锁时不发生互换，此时杂合自交只出现 $3:1$ 或 $1:2:1$；重组型配子的判定必须结合亲本表型，只看比例容易把重组型误判为亲本型；速记结论 2 中“开方”只适用于自交且隐性表型唯一（$aabb$）的情形。,p78 大招11：完全连锁自交问题、连锁互换问题、交换率的概念与特点、速记结论,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-079,MATERIAL,基因重组,METHOD_MODEL,由共分离与自交比判定基因连锁,两性状总是同时出现说明相应基因连锁；某性状自交后代出现 3:1 说明该对基因位于另一对同源染色体上；等量的新组合个体来自交叉互换而非基因突变。,给出多组杂交与自交后代数据（常含雄性不育、抗性等标记性状），要求判断基因在染色体上的位置或判断某基因是否与标记基因连锁。,### 判断连锁的三个抓手\n1. 性状共分离 $\\rightarrow$ 基因连锁：若某两性状总是一起出现（如绿茎株中绝大多数雄性不育、紫茎株中绝大多数雄性可育），说明控制这两个性状的基因位于同一条染色体上；同理，控制紫茎与雄性可育的基因也位于同一条染色体上。\n2. 自交分离比 $\\rightarrow$ 基因位置：若某个性状在自交后代中呈现 $3:1$（如雄性不育株中缺刻叶:马铃薯叶 $\\approx 3:1$），说明控制该性状的基因位于另一对同源染色体上，与前面那对基因独立遗传。\n3. 用“杂合自交三一一现”验证：若 A 与 F 连锁、a 与 f 连锁，则 $AaFf$ 自交后代中紫茎雄性可育（$A\\_F\\_$）:绿茎雄性不育（$aaff$）$\\approx 3:1$，与实验数据吻合；若出现等量的绿茎可育株与紫茎不育株，则是减数分裂Ⅰ前期同源染色体的非姐妹染色单体发生互换的结果，而非基因突变。\n\n### 一句话总结\n连锁的基因对在杂交后代中不会出现 $9:3:3:1$ 的自由组合比例；只有先确认基因在染色体上的位置，才能正确写出配子并计算后代比例。,共分离只能作为推断依据，需样本量足够大（题干常用“绝大多数”“约”表述）；若两对基因独立遗传，则自交后代会出现 $9:3:3:1$ 类组合比例，不要按连锁处理；出现等量新组合个体时不要误答基因突变，互换发生在减数分裂Ⅰ前期。,p79 大招11 大招示例1（2024 广东雄性不育番茄：共分离、自交 3:1 判连锁）+ 二、未来可期,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,26746c92ba-080,MATERIAL,个体或配子致死问题的处理-规律方法,METHOD_MODEL,致死问题分析的底层逻辑,致死题仍用配子法与分解组合法推导，但必须先确认致死对象，在推导中排除致死配子或致死合子。,题干出现雄性不育、配子致死、合子致死、平衡致死系等描述，且后代分离比偏离常规比例的遗传题。,### 题型归纳\n遗传难题的考查角度通常是通过题目信息增加影响基因传递的因素，进而使遗传推导过程变得更为复杂，而影响基因传递的因素中，致死是常见的影响因素（包括雄性不育、配子致死、合子致死等）。对致死问题的分析，重点是确认致死对象，在推导中进行正确的排除。\n\n### 解题思想：确认致死原理，排除致死对象\n致死类题目的推导过程依然遵循遗传学基本定律，推导方法仍采用配子法和分解组合法，但是推导过程中需要先排除致死的配子或合子。解题的重点是分析题目信息找到致死对象，然后在推导中进行排除。\n\n### 两个判断要点\n1. 致死发生在受精前还是受精后：受精前致死属于配子致死，受精后致死属于合子致死，两者的处理顺序不同。\n2. 用测交后代比例反推配子比例：测交后代的基因型及比例可直接反映待测个体产生配子的类型及比例。若比例偏离 $1:1:1:1$，即可判断基因连锁并计算重组率。,致死对象必须先确认再计算，不能先用常规比例算完再倒推致死类型；致死基因型不同（如 $AA$ 致死与 $BB$ 致死）可能得到相同的分离比，需结合题干信息判断；配子致死会破坏各配子组合概率相等的前提，此时分解组合法失效。,p80 大招12 致死问题分析的底层逻辑（题型归纳+解题思想）,
