source_unit,nodes,current_place,book,chapter,decision,samples
专题01 一元函数的导数及其应用,23,数学选择性必修第二册 第五章·函数与导数,数学选择性必修第二册,第五章 一元函数的导数及其应用,fix,函数y＝f(x)在x＝x0处的导数定义 / 导数与函数的单调性的关系 / 导数法求函数单调区间的步骤 / 函数极值与最值的关系
专题01 元素周期表 元素周期律,30,化学必修第一册 第四章·物质结构元素周期律,化学必修第一册,第四章 物质结构 元素周期律,keep,电离能 / 电负性 / 对角线规则 / 下列事实不能说明元素的金属性或非金属性相对强弱的
专题01 函数的概念与性质,34,数学必修第一册 第三章·函数的概念与性质,数学必修第一册,第三章 函数的概念与性质,keep,函数的相关概念 / 函数的三要素 / 相等函数与分段函数 / 单调函数的定义
专题01 匀变速直线运动及其规律,36,物理必修第一册 第一章·运动的描述,物理必修第一册,第二章 匀变速直线运动的研究,fix,描述运动的基本概念 / 物体看作质点的条件：物体的大小和形状对研究问题的 / 时刻：表示某一瞬间。在时间轴上用点表示，是一个状 / 时刻与时间间隔区别与联系
专题01 化学反应的热效应,36,化学必修第二册 第六章·化学反应与能量,化学选择性必修1,第一章 化学反应的热效应,fix,吸热反应和放热反应 / ΔH的计算公式 / 燃烧热 / 易错辨析。
专题01 化学反应速率及其影响因素,23,化学必修第二册 第六章·化学反应与能量·化学反应的速率与限度,化学选择性必修1,第二章 化学反应速率与化学平衡,fix,主要因素 / 对于反应N2(g)＋3H2(g)2NH3(g / 基元反应 / 反应机理
专题01 有机化合物的结构特点与研究方法,43,化学必修第二册 第七章·有机化合物,化学选择性必修3,第一章 有机化合物的结构特点与研究方法,fix,依据官能团分类 / 按官能团的不同可以对有机物进行分类，请指出下列有 / 观察下列有机物，并按碳骨架把它们分类，完成填空： / 写出下列官能团名称
专题01 氯及其化合物,19,化学必修第一册 第二章·氯及其化合物,化学必修第一册,第二章 海水中的重要元素——钠和氯,keep,从化合价的角度认识Cl2的化学性质——歧化反应 / 次氯酸和次氯酸盐 / 易错辨析。 / Cl2的实验室制法
专题01 物质及其变化,28,化学必修第一册 第一章·物质分类与转化,化学必修第一册,第一章 物质及其变化,keep,易错辨析：正确的打“√”，错误的打“×”。 / 物理变化与化学变化的两种判断方法 / 不同类别的物质之间的转化关系 / 通过对比物理变化和化学变化的不同，回答下列问题：
专题01 物质的量,39,化学必修第一册 第一章·物质分类与转化,化学必修第一册,第二章 海水中的重要元素——钠和氯,fix,摩尔质量的计算方法 / 气体摩尔体积 / 阿伏加德罗定律及其推论 / n＝＝＝的关系应用
专题01 电离平衡,24,化学选择性必修1 第二章·化学平衡,化学选择性必修1,第三章 水溶液中的离子反应与平衡,fix,强电解质与弱电解质 / 判断正误，正确的打“√”，错误的打“×”。 / 下列电离方程式中，正确的是 / 电离常数
专题01 立体几何初步,44,数学必修第二册 第八章（空间向量见选择性必修第一册）·立体几何,数学必修第二册,第八章 立体几何初步,keep,破·重点难点：突破重难点，冲刺高分。 / 辨·易混易错：辨析易混易错知识点，夯实基础。 / 点·方法技巧：点拨解题方法，练一题通一类 / 特殊的棱柱和棱锥
专题01 等差数列与等比数列,28,数学选择性必修第二册 第四章·数列,数学选择性必修第二册,第四章 数列,keep,数列的有关概念 / 数列与函数的关系 / 等差数列的有关概念 / 等差数列的有关公式
专题01 钠及其重要化合物,30,化学必修第一册 第二章·钠及其化合物,化学必修第一册,第二章 海水中的重要元素——钠和氯,keep,物理性质 / 化学性质 / 钠的制取及保存 / 钠的用途
专题01 集合与常用逻辑用语,25,数学必修第一册 第一章·集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语,keep,集合运算中的常用二级结论 / 充要条件 / 全称量词与全称量词命题 / 存在量词与存在量词命题
专题02 二次函数与一元二次方程、不等式,16,数学必修第一册 第二章·不等式,数学必修第一册,第二章 一元二次函数、方程和不等式,keep,"重要不等式：,（当且仅当时取号）. / 基本不等式： / 利用基本不等式求最值 / 不等式恒成立与能成立问题"
专题02 化学平衡状态 化学平衡的移动,20,化学必修第二册 第六章·化学反应与能量,化学选择性必修1,第二章 化学反应速率与化学平衡,fix,若上述题目中的(1)～(4)改成一定温度下的恒压 / （2025·北京卷）为研究三价铁配合物性质进行如 / 可逆反应的特点及应用 / 勒夏特列原理及应用
专题02 原子结构与性质,13,化学选择性必修2·物质结构与性质,化学选择性必修2,第一章 原子结构与性质,keep,元素、核素、同位素 / 易错辨析：正确的打“√”，错误的打“×”。 / 核外电子运动状态 / 原子核外电子排布
专题02 原电池、化学电源,19,化学必修第二册 第六章·化学反应与能量,化学选择性必修1,第四章 化学反应与电能,fix,一次电池 / 二次电池 / 北京冬奥会期间使用氢燃料清洁能源汽车，其氢氧燃料 / 甲烷作燃料电池的负极反应物时，其电极反应式在不同
专题02 指对幂函数及函数的应用,38,数学必修第一册 第三章·函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数,fix,根式与分数指数幂 / 指数幂的运算性质 / 对数与对数运算 / 幂函数的定义：一般地，函数y＝xα叫做幂函数，其
专题02 数列通项及数列求和,23,数学选择性必修第二册 第四章·数列,数学选择性必修第二册,第四章 数列,fix,数列的递推公式 / 数列通项公式的求法 / 公式法 / 累加法：适用于an＋1＝an＋f(n)，可变形为
专题02 水的电离和溶液的酸碱性,31,化学选择性必修1 第三章·水溶液中的离子平衡,化学选择性必修1,第三章 水溶液中的离子反应与平衡,keep,判断正误，正确的打“√”，错误的打“×”。 / 溶液pH的计算 / (1)判断下列溶液的酸碱性：用“酸性”“碱性”“ / 实验原理
专题02 烃,36,化学选择性必修3·有机化学基础,化学选择性必修3,第二章 烃,fix,脂肪烃的结构特点及通式 / 烯烃的顺反异构 / (1)写出分子式为C5H12的烷烃的结构简式： / 完成下列方程式。
专题02 相互作用,40,物理必修第一册 第三章·相互作用,物理必修第一册,第三章 相互作用——力,keep,力的基础概念（重力、弹力、摩擦力） / 性质： / 四种基本相互作用：引力相互作用、电磁相互作用、强 / 定义：由于地球吸引而使物体受到的力叫做重力。
