subject,slug,candidate,reason
BIOLOGY,DNA复制的拓展,从复制起点双向复制，每个方向都符合复制叉模型,含逗号/句末标点（是句子不是名字）
BIOLOGY,DNA复制的拓展,复制泡图判读：未复制片段（a）变短、延伸子链（b/c）变长,超长（>24 字）
BIOLOGY,DNA复制的拓展,子链沿 5'→3' 延伸：前导链连续、后随链不连续（半不连续复制）,超长（>24 字）
BIOLOGY,atp与adp的转化,ATP供,以虚词结尾（截断残片）
BIOLOGY,atp的合成和利用,抑制电子传递→耗氧停止、梯度消失、ATP 停止合成,超长（>24 字）
BIOLOGY,atp的合成和利用,解偶联剂使膜对 H+ 渗漏→耗氧照常但 ATP 合成受阻,超长（>24 字）
BIOLOGY,atp的结构与作用,叶绿体的结构与功能,被 2 个节点同时 claim（全局互斥）
BIOLOGY,atp的结构与作用,生态位：群落的物种在生物群落中的功能位置与作用（营养结构、活动时间等）,超长（>24 字）
BIOLOGY,atp的结构和功能,ATP与ADP的相互转化,被 2 个节点同时 claim（全局互斥）
BIOLOGY,c4植物-cam植物等特殊代谢类型,C3 植物：CO2 直接由 C5 固定、无 CO2 泵、光呼吸明显,超长（>24 字）
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4 植物维管束鞘细胞 C3 途径：Rubisco 固定 CO2 进入卡尔文循环,超长（>24 字）
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4 途径的高 CO2 低 O2 环境抑制 Rubisco 加氧（光呼吸）,超长（>24 字）
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM 植物夜间气孔开放固定 CO2 生成苹果酸储存于液泡,超长（>24 字）
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM 植物白天气孔关闭、苹果酸分解释放 CO2 供光合,超长（>24 字）
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM 途径的适应意义：兼顾获得 CO2 与减少蒸腾失水,超长（>24 字）
BIOLOGY,c4植物-cam植物等特殊代谢类型,PEPC 对 CO2 亲和力高的意义：低 CO2 下仍可高效固定,超长（>24 字）
BIOLOGY,dna是主要的遗传物质,35S（标记蛋白质）和,以虚词结尾（截断残片）
BIOLOGY,dna是主要的遗传物质,保温”时间要合适——保温时间过短或过,括号不配对（截断残片）
BIOLOGY,dna是主要的遗传物质,搅拌的目的是使吸附在细菌上的噬菌体与,以虚词结尾（截断残片）
BIOLOGY,dna的双螺旋结构,加热使DNA氢键断裂，缓慢冷却可复性,含逗号/句末标点（是句子不是名字）
BIOLOGY,dna的复制,原核环状 DNA 较小，往往单起点双向复制,含逗号/句末标点（是句子不是名字）
BIOLOGY,dna的复制,复制起点：可与 DNA 聚合酶结合启动复制的特殊序列,超长（>24 字）
BIOLOGY,dna的复制,由复制图形判断子链方向与碱基和,以虚词结尾（截断残片）
BIOLOGY,dna的复制,真核染色体 DNA 长且链状，多起点+双向复制提高效率,超长（>24 字）
BIOLOGY,dna的结构及特点,氨基酸的结构通式与结构特点,被 2 个节点同时 claim（全局互斥）
BIOLOGY,dna的结构及特点,碱基计算规律四：(A+T)/(G+C)双链与单链相等,超长（>24 字）
BIOLOGY,k值,K值不是固定不变的,以虚词结尾（截断残片）
BIOLOGY,pcr技术,实时荧光定量 PCR（qPCR）：TaqMan 探针水解释放荧光，Ct 值与起始模板量成反比,超长（>24 字）
BIOLOGY,pcr技术,引物设计原则三：方向性——Taq 酶沿子链 5'→3' 合成，PCR 需 2 种引物控制两条链反向合成,超长（>24 字）
