chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-006,MATERIAL,公式选用原则,METHOD_MODEL,黄金路径法巧选运动学公式,匀变速直线运动的五个公式按缺谁不用谁的黄金路径判断树两步锁定唯一解法。,已知匀变速直线运动中三个物理量求第四个；条件中明显缺少某个量（如题目不给时间）时快速选定公式。,匀变速直线运动的五个公式都只含 $a$、$v_0$、$v_t$、$x$、$t$ 中的四个量：\n\n- 速度时间公式 $v_t=v_0+at$（缺 $x$）\n- 平均速度公式 $x=\frac{v_0+v_t}{2}t$（缺 $a$）\n- 位移时间公式 $x=v_0t+\frac{1}{2}at^2$（缺 $v_t$）\n- 位移时间公式 $x=v_tt-\frac{1}{2}at^2$（缺 $v_0$）\n- 速度位移公式 $v_t^2-v_0^2=2ax$（缺 $t$）\n\n知道任意三个量就能求出第四个（知三求二），这四个量再代入另一式即得第五个量。\n\n**黄金路径法**：先判断有无 $t$。不含时间必用 $v_t^2-v_0^2=2ax$；含时间再判断有无 $a$：含 $a$ 就用 $v_t=v_0+at$ 与 $x=v_0t+\frac{1}{2}at^2$；不含 $a$ 就用 $x=\frac{v_0+v_t}{2}t$。最多两次判断即可确定全部公式。\n\n**解题步骤**：① 选取一段匀变速直线运动为研究对象；② 找出除已知量和待求量之外题目缺少的物理量；③ 选用缺少该物理量的公式求解。,只适用于匀变速直线运动；自由落体、竖直上抛等匀变速过程同样适用。使用前必须规定正方向，$v_0$、$v_t$、$a$、$x$ 都要带符号代入；五个公式都是矢量式，反向运动时量取负值；不要把非匀变速过程的平均速度当作 $\frac{v_0+v_t}{2}$ 使用。,p6 大招1：黄金路径法巧选运动学公式,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-008,MATERIAL,平均速度公式,METHOD_MODEL,巧用均速法求瞬时速度,匀变速直线运动中一段位移的平均速度等于该段位移中间时刻的瞬时速度。,题目只给出（或只知道）某段位移与对应时间，而加速度、速度均未知时，用均速法先求出中间时刻的瞬时速度再续解。,**核心性质**：对任意一段位移，匀变速直线运动的平均速度等于中间时刻的瞬时速度，即 $\bar v=\frac{x}{t}=v_{t/2}=\frac{v_0+v_t}{2}$。\n\n**识别标志**：加速度 $a$ 与速度均未知，只告诉中间某一段位移和时间。此时四个基本公式里都含 $v$ 或 $a$，无法直接套用，必须先用均速法。\n\n**用法**：匀加速小车在 $1\sim5$ s 内走过 100 m，则这 4 s 的平均速度 $\bar v=\frac{100}{4}=25$ m/s，也就是 $1\sim5$ s 的中间时刻（第 3 s 末）的瞬时速度等于 25 m/s。求出瞬时速度后，题目即可用运动学公式继续求解。,① 只对匀变速直线运动成立，非匀变速过程不能用；② 中途改变运动性质（如先加速后匀速）不能对整段套用；③ 必须区分中间时刻与中间位置，$v_{t/2}=\bar v$ 而中间位置速度 $v_{x/2}=\sqrt{\frac{v_0^2+v_t^2}{2}}$ 更大；④ 对应位置要数清，多段位移时建议画线段图。,p8 大招2：巧用均速法（大招识别＋大招解读）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-009,MATERIAL,NEW:线段图定位中间时刻速度,REPRESENTATION_GUIDE,画线段图定位中间时刻速度,多段位移与时间并存时，用线段图标出每段的中间时刻，避免把求出的瞬时速度对应错位置。,已知连续两段（或多段）位移 $x_1$、$x_2$ 及各自所用时间 $T_1$、$T_2$，需要求加速度时。,**易错点**：给了多段位移和时间时，$x_1/T_1$ 与 $x_2/T_2$ 分别是哪一点的瞬时速度容易对应错。\n\n**做法**：画一条简单线段图，把每段位移的中点（中间时刻）标出来。物体由 $A$ 经 $B$ 到 $C$，$D$、$E$ 分别是 $AB$ 段、$BC$ 段的中间时刻位置，则 $\frac{x_1}{T_1}$ 就是 $D$ 点的瞬时速度，$\frac{x_2}{T_2}$ 就是 $E$ 点的瞬时速度。\n\n**衔接**：$D$ 与 $E$ 的时间间隔 $t_{DE}=\frac{T_1}{2}+\frac{T_2}{2}=\frac{T_1+T_2}{2}$，再由速度时间公式 $v_E=v_D+at_{DE}$ 即可求加速度。当两段位移相等且均为 $\Delta x$ 时得 $a=\frac{v_E-v_D}{t_{DE}}=\frac{2\Delta x(t_1-t_2)}{t_1t_2(t_1+t_2)}$。,线段图只是帮助定位，真正的计算依据仍是均速法（$v_{t/2}=\bar v$）与匀变速公式；每段位移都必须对应同一段匀变速过程；两段之间若运动性质改变（如中间已达最大速度并转匀速），不能再用同一个 $a$ 联立。,建议父级：匀变速直线运动问题常用的解题方法；p9 大招2示例1解析（线段图定位中间时刻）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-009,MATERIAL,特殊值法-对于某些特殊电路问题-可以采取代入特殊值的方法去判定,METHOD_MODEL,取值法速解选择题,选择题条件具有一般性时，选取满足题设的特殊数值代入条件或选项，快速排除错误选项或验证答案。,选择题中物理量以字母或比例形式给出、结论具有一般性时；比值关系、时间长短、速度大小比较类问题。,**做法**：当问题具有一般性时，选取满足题干条件的特殊数值代入题目条件或选项，可快速排除错误选项或找到正确答案。\n\n**要点**：① 取值要让计算尽可能简单，例如把某段位移取成已知量的整数倍；② 取的值必须满足题干的全部约束，如题目说 $ST$ 是 $RS$ 的两倍，取 $RS=10$ m 就必须同时取 $ST=20$ m，不能破坏题设关系；③ 算出结果后与选项形式对照确认。\n\n**示例**：某公交车匀减速经过 $R$、$S$、$T$ 三点，$ST$ 是 $RS$ 的两倍，$RS$ 段平均速度 10 m/s、$ST$ 段平均速度 5 m/s。取 $RS=10$ m、$ST=20$ m，则两段时间分别为 1 s 和 4 s，再对 $ST$ 段与 $RT$ 段列位移公式联立，解得经过 $T$ 点时速度为 1 m/s。,取值法只用于选择题的快速求解与排除，计算题必须给出常规的字母推导；所取数值不得使物理过程失真（如速度出现不合理的非线性关系）；若选项是字母表达式，取值后要有与选项一致的形式才能判定对错。,p9 大招2示例2（跳跳学长传妙招：取值法）,b
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-010,MATERIAL,初速度为零的几个重点推论,METHOD_MODEL,零点推论的等时划分结论,初速度为零（或末速度为零）的匀变速运动中，从零点开始等时划分，相邻位移之比为 1:3:5:7 等。,初速度为零的匀加速直线运动，或末速度为零的匀减速直线运动（可逆向看待），题目按相等时间间隔给出位移或速度时。,**零点的含义**：初速度为 0 的匀加速直线运动的起点，或末速度为 0 的匀减速直线运动的终点。\n\n**等时划分结论**：从零点开始把运动按相等时间间隔 $T$ 划分，相邻各段位移之比为 $x_1:x_2:x_3:\cdots = 1:3:5:7:\cdots$\n\n**由它可推出的三条结论**：\n1. 第 $1T$ 末、第 $2T$ 末、第 $3T$ 末……的速度之比 $v_1:v_2:v_3:\cdots = 1:2:3:\cdots$；\n2. 前 $1T$ 内、前 $2T$ 内、前 $3T$ 内……的位移之比 $x_1:x_2:x_3:\cdots = 1:4:9:\cdots$；\n3. 这三条结论不必死记，只要记住上面两条，其余都可以由公式快速导出。\n\n**数段数的方向**：要从零点开始数。物体向右做匀加速直线运动时零点在最左边，就从左往右数；物体向右做匀减速直线运动时零点在最右边，就从右往左数。,相邻各段位移之比 1:3:5:7 的前提是各段时间相等且从零点开始划分；若物体的运动起点不是零点（例如只截取中间某一段），不能直接用比例式，要先用公式算出该段起点与零点的关系；末速度为零的匀减速要逆向看成初速度为零的匀加速才能对应上比例式。,p9–p10 大招3：零点推论（大招识别＋大招解读 1）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-010,MATERIAL,初速度为零的几个重点推论,METHOD_MODEL,零点推论的等距划分结论,从零点开始等距划分时，零点到各段末尾所用时间之比为 1:根号2:根号3，连续相等位移所用时间之比为 1:(根号2减1):(根号3减根号2)。,初速度为零的匀加速直线运动（或末速度为零的匀减速运动逆向处理），题目按相等位移分段给出所用时间时。,**等距划分结论**：从零点开始把运动按相等位移 $x$ 划分，零点到每一段末尾所用时间之比为 $t_1:t_2:t_3:\cdots = 1:\sqrt2:\sqrt3:\cdots$\n\n**连续相等位移的时间比**：第 1 个 $x$、第 2 个 $x$、第 3 个 $x$……第 $n$ 个 $x$ 所用时间之比为 $t_1:t_2:t_3:\cdots:t_n = 1:(\sqrt2-1):(\sqrt3-\sqrt2):\cdots:(\sqrt n-\sqrt{n-1})$。\n\n**使用方式**：把整段路程看成从零点开始的等距划分，某段的时间等于该段末与段首对应时刻之差，如通过第 4 段的时间为 $(\sqrt4-\sqrt3)t$，其中 $t$ 是通过第 1 段的时间。\n\n**逆向使用**：末速度为零的匀减速直线运动（如冰壶滑行）可以逆向看成从静止开始、依次通过相等距离的匀加速直线运动，直接套用等距划分结论。,连续相等位移的时间比只对从零点开始的等距划分成立；计算某一段的时间必须用两段末尾时刻之差，直接读比例式给出的数是累计值；逆向使用时要把“最后一段”对应成“第 1 段”，不要数错方向；根号形式的结果不要化成近似小数后才比较。,p10 大招3：零点推论（大招解读 2 与结论）,b
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-012,MATERIAL,位移差公式,METHOD_MODEL,位移差公式及其求加速度用法,匀变速直线运动在相邻相等时间间隔内的位移之差恒定，等于加速度与时间间隔平方的乘积。,匀变速直线运动按相等时间间隔划分、已知两段（或多段）位移求加速度时；纸带数据处理与判断位移是否正常时。,**核心结论**：做匀变速直线运动的物体，在相邻两个相等时间间隔 $\Delta T$ 内的位移之差是一个定值，这段差值在 $v$-$t$ 图上表现为两个面积相等的阴影，即 $x_2-x_1=a(\Delta T)^2$。\n\n**不连续两段**：若两段位移不相邻，则 $x_M-x_N=(M-N)a(\Delta T)^2$。例如已知第 1 段与第 4 段位移，列 $x_4-x_1=3a(\Delta T)^2$。\n\n**主要用途**：求加速度 $a$。已知匀加速直线运动中第 1 分钟内前进 180 m、第 6 分钟内前进 360 m，则 $x_6-x_1=(6-1)aT^2$，代入得 $a=0.01$ m/s²。\n\n**配合使用**：由位移差恒定还可顺推其他段的位移（如 $CD=BC+\Delta x$）；先对某两段的合位移用均速法求出中间时刻的瞬时速度，再用位移公式进一步求其他量。,各段的时间间隔必须相等，且属于同一个匀变速过程；若某段运动时间与相邻段并不相等（例如从 A 开始等时划分的时刻，恰好不对应 $OA$ 段），则 $OA$ 与 $AB$ 之间不能用位移差公式；位移差取绝对值还是带符号要按同一正方向判断；加速度变化（非匀变速）的过程不能用。,p12 大招4：位移差公式（大招识别＋大招解读）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-013,MATERIAL,纸带在力学实验中的应用分析,METHOD_MODEL,纸带实验直接用位移差公式求加速度,纸带求加速度不必逐差法，直接列位移差公式，并把相邻两段合并成间隔更大的两段以充分利用数据。,打点计时器纸带实验数据处理中求加速度；纸带被分成奇数段需要取舍时。,**基本原则**：匀加速直线运动的纸带满足位移差公式的使用条件，实验题中根据纸带数据求加速度时，不需要用逐差法，直接列位移差公式求解即可。\n\n**提高精度**：为尽量多利用数据使结果更精确，把相邻两段合起来看成一段。例如相邻计数点时间间隔 0.1 s，测得的位移依次为 24.00、28.00、32.00、36.00 mm，可令 $AC$、$CE$ 各为一大段，相当于以 $\Delta T=0.2$ s 的时间间隔划分，列 $CE-AC=a(\Delta T)^2$，注意把长度单位换算成米，解得 $a=0.4$ m/s²。\n\n**奇数段的取舍**：若纸带被分成奇数段、无法合成时间相等的两大段：① 要减小偶然误差，可舍去最短的一段（如图中的 $d_1$），对剩下的偶数段列位移差公式；② 要减小系统误差，可舍去中间的一段（如 $CD$），对剩下的偶数段列位移差公式。,各计数点之间的时间间隔必须相等；合并段时 $\Delta T$ 要同步翻倍，长度单位与时间单位要匹配；舍去的那一段不参与列式，不能说成“利用了全部数据”；只有匀变速（加速度基本不变）的纸带才适用，若纸带显示加速度明显变化则不能用此法。,p13 大招4示例3及跳跳学长敲黑板（纸带数据）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-014,MATERIAL,x-t图像-v-t图像-a-t图像的对比,REPRESENTATION_GUIDE,运动学图像问题通解,x-t图、v-t图、a-t图的截距、斜率、面积、线型与拐点含义逐一对照，是分析运动学图像的通用模板。,题目给出 $v$-$t$、$x$-$t$ 或 $a$-$t$ 图像，要求计算速度、位移、加速度或判断运动性质、比较不同图像时。,**适用范围**：$v$-$t$ 图像、$x$-$t$ 图像只能表示直线运动——位移和速度虽是矢量、方向可以任意，但这两类图像只能表示正方向与反方向两个方向，且这两个方向互为反方向。\n\n**分析思路**：按轴、点、线、截距、斜率、面积依次观察。\n\n| 观察项 | $v$-$t$ 图像 | $x$-$t$ 图像 | $a$-$t$ 图像 |\n|---|---|---|---|\n| 纵截距 | 起始速度 | 起始位置与规定原点的距离 | 起始加速度 |\n| 横截距 | 速度为零的时刻 | 回到原点的时刻 | 加速度为零的时刻 |\n| 斜率 | 加速度 | 速度 | 加速度的变化率 |\n| 与 $t$ 轴围成的面积 | 位移的变化量（有正负） | 无特殊含义 | 速度的变化量（有正负） |\n| 线的形状 | 倾斜直线表示匀变速、曲线表示非匀变速 | 直线表示匀速、曲线表示变速 | 直线表示加速度均匀变化或恒定、曲线表示加速度非均匀变化 |\n| 拐点 | 加速度方向发生改变（大小可能改变） | 物体掉头 | 加速度的变化率改变 |\n\n**比较题的用法**：同一物体同时给出 $x$-$t$ 图与 $v$-$t$ 图时，先分别读出每段的运动性质（匀速、静止、匀变速），再判断位移与速度变化量，注意 $x$-$t$ 图的纵坐标之差是位移而 $v$-$t$ 图只能得到速度的变化量。,图像的斜率与面积只在与坐标轴含义对应时才有物理意义；$x$-$t$ 图中的曲线不是运动轨迹；$v$-$t$ 图求位移要带正负号，$t$ 轴下方的面积为负；水平直线在 $x$-$t$ 图中表示静止，在 $v$-$t$ 图中表示匀速，两者含义不同，不可混淆。,p14 大招5：运动学图像问题通解（大招识别＋大招解读）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-014,MATERIAL,非常规运动学图像,METHOD_MODEL,非常规图像的斜率与截距含义,x/t-t 图斜率是 a/2、截距是 v0；v2-x 图斜率是 2a、截距是 v0 的平方，特殊图像先化成一次函数再读斜率截距。,题目给出 $\frac{x}{t}$-$t$ 图、$v^2$-$x$ 图等非常规图像，要求求加速度、初速度或某时刻平均速度时。,**$\frac{x}{t}$-$t$ 图像**：由 $x=v_0t+\frac{1}{2}at^2$ 两边除以 $t$ 得 $\frac{x}{t}=v_0+\frac{1}{2}at$，所以图线的斜率等于 $\frac{1}{2}a$、纵截距等于 $v_0$；纵轴上 $\frac{x}{t}$ 本身表示平均速度，$0\sim t_1$ 时间内物体的平均速度就由图线在 $t_1$ 时刻对应的纵坐标给出。\n\n**$v^2$-$x$ 图像**：由 $v^2-v_0^2=2ax$ 得 $v^2=2ax+v_0^2$，所以图线的斜率等于 $2a$、纵截距等于 $v_0^2$；已知图上两点坐标即可求加速度。\n\n**通用思路**：遇到不熟悉的图像不要慌，关键是先写出图像所对应的函数关系式，把式子整理成一次函数 $y=kx+b$ 的形式，斜率对应的就是 $a$、截距对应的就是 $b$ 所代表的物理量，再列方程求解（数形结合）。,只有匀变速直线运动才具有上述线性关系；必须先看清横、纵轴代表的物理量与单位（如横轴是位移还是时间）；横轴起点不为零时不能把图线与横轴的交点当作原点的物理量；读斜率要用图线上两点坐标，不能用某一点的纵坐标代替斜率。,p14 大招5：图像解读 3（x/t-t 图像和 v2-x 图像）,b
