chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-001,MATERIAL,质点,CONCEPT_EXPLANATION,质点与看成质点的条件,质点是用来代替物体的有质量的点；只有物体形状大小对所研究问题的影响可忽略时才能把它看作质点。,判断“能否把物体看成质点”的选择题；把实际物体简化为质点前先做这一判断。,1.定义：质点用来代替物体，是一个具有质量的点，是一种理想化模型。质点没有大小和形状，但保留了物体的全部质量。\n2.把物体看作质点的条件：物体的形状和大小对所研究问题的影响可以忽略不计。\n3.判断示例：研究运动员的击球动作、研究跳水转体动作时，形状大小的影响不可忽略，不能看成质点；研究运动员在400 m自由泳比赛中的位移、研究运动所经历的时间时，形状大小的影响可以忽略，可以看成质点。,能否看成质点与物体本身大小无关，只取决于所研究的问题；研究物体的转动、姿态和动作细节时不能视为质点；质点是一种科学抽象，实际并不存在。,p1 考点1 质点和参考系,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-001,MATERIAL,参考系,CONCEPT_EXPLANATION,参考系的选取与运动的描述,参考系是描述物体运动时用来作为参考的物体；同一运动选不同参考系描述结果可能不同。,涉及“以谁为参考系”“甲相对乙的运动”的题目。,1.定义：在描述物体运动时，用来作为参考的物体叫做参考系。\n2.选取原则：参考系可以任意选取，为研究方便通常以地面为参考系；被选作参考系的物体被认为是不动的。\n3.同一运动的描述与参考系有关：选不同的参考系，对同一运动的描述可能不同，但运动本身不因参考系的选择而改变。\n4.比较两个物体的运动情况时必须选择同一参考系。,参考系不一定是静止的地面；判断“甲相对乙”的运动时要先明确以谁为参考系；不能把研究对象与参考系混淆。,p1 考点1 质点和参考系,b
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-001,MATERIAL,位移与路程的区别,CONCEPT_EXPLANATION,位移与路程,位移是由初位置指向末位置的有向线段（矢量）；路程是运动轨迹的长度（标量）。,比较位移大小与路程大小、判断二者是否相等的题目。,1.位移：由初位置指向末位置的有向线段，是矢量，既有大小又有方向。\n2.路程：物体运动轨迹的长度，是标量，只有大小没有方向。\n3.点拨提醒（大小关系）：位移的大小一般小于路程；只有在单向直线运动中，位移的大小才等于路程。\n4.判断方法：两点间直线段最短，轨迹越弯曲路程越大；只要轨迹不是直线或中途改变方向，位移的大小就小于路程。,只有单向直线运动时位移的大小才等于路程；往返运动（如绕操场跑一整圈）位移可以为零而路程不为零；位移的正负号只表示方向，不表示大小。,p1 考点1 位移与路程,c
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-001,MATERIAL,平均速度与瞬时速度的区别,CONCEPT_EXPLANATION,平均速度、瞬时速度、平均速率与速率,平均速度是位移与时间的比值，瞬时速度是某一时刻的速度，速率是瞬时速度的大小，平均速率是路程与时间的比值。,区分平均速度与瞬时速度、平均速率与速率的概念辨析题与计算题。,| 项目 | 平均速度 | 瞬时速度 | 平均速率 | 速率 |\n|---|---|---|---|---|\n| 定义 | 位移与发生这段位移所用时间的比值 $\bar v=\frac{\Delta x}{\Delta t}$ | 物体在某一时刻的速度 | 路程与通过这段路程所用时间的比值 | 瞬时速度的大小 |\n| 矢标性 | 矢量，与Δx方向一致 | 矢量，与某一时刻运动方向一致 | 标量 | 标量 |\n\n联系：(1)当时间趋近于零时，平均速度等于瞬时速度；(2)平均速率为0，则平均速度必为0；平均速度为0，平均速率不一定为0（如绕操场跑一圈回到出发点）。,平均速度的大小一般不等于平均速率，只有单向直线运动时二者才相等；平均速率不是平均速度的大小；求平均速度必须用位移与时间的比值，中途变速也要用总位移除以总时间。,p1 考点2 平均速度和瞬时速度,d
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-002,MATERIAL,速度-速度的变化量-加速度的比较,CONCEPT_EXPLANATION,速度、速度变化量与加速度的比较,三个量分别描述运动的快慢、速度的变化和速度变化的快慢，它们的大小之间没有必然联系。,辨析“速度大加速度是否大”“速度变化量大加速度是否大”的概念题。,| 项目 | 速度 | 速度变化量 | 加速度 |\n|---|---|---|---|\n| 物理意义 | 描述物体运动的快慢和方向 | 描述物体速度的变化 | 描述物体速度变化的快慢和方向 |\n| 定义式 | $v=\frac{\Delta x}{\Delta t}$ | $\Delta v=v-v_0$（矢量差） | $a=\frac{\Delta v}{\Delta t}=\frac{v-v_0}{\Delta t}$ |\n| 方向 | 与Δx同向，即物体运动的方向 | 由 v0 与 v 共同确定，与 a 的方向一致 | 由 F合 的方向决定，与 Δv 同向，但与 v0、v 的方向无必然联系 |\n\n联系：三者的大小无必然联系，v 很大时 Δv 可以很小甚至为零，此时 a 可能很大、也可能很小甚至为零。,加速度由 Δv 与 Δt 共同决定，不能只看 v 的大小或 Δv 的大小；速度变化量的方向与加速度的方向一致，但速度方向与加速度方向无关。,p2 考点3 速度、速度变化量、加速度的比较,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-002,MATERIAL,加速度,MISCONCEPTION_GUIDE,加速度如何影响速度的变化,加速度的大小决定速度变化的快慢，加速度与速度的方向关系决定物体加速还是减速，与加速度大小的变化无关。,判断物体做加速还是减速、速度如何变化的易错题。,1.加减速的判定：a 与 v 同向，速度增大；a 与 v 反向，速度减小。\n2.速度变化快慢的判定：a 增大，速度变化越来越快；a 减小，速度变化越来越慢。\n3.正负号的意义：“+”与“-”只表示加速度的方向，不表示大小。\n4.常见易错情形：加速度大小逐渐减小到零的过程中，若 a 始终与 v 同向，速度仍在增大，只是增大得越来越慢，a 减为零后物体做匀速直线运动；加速度不断增大时，若 a 与 v 反向，物体仍然减速。,物体做加速运动还是减速运动由加速度方向与速度方向的关系决定，与加速度大小的变化无关；不要看到“加速度减小”就认为速度减小。,p2 考点3 加速度对速度变化的影响,b
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-002,MATERIAL,极限思想,METHOD_MODEL,用极限法求瞬时物理量,把平均量中的时间（或位移）无限缩短，平均速度、平均加速度就过渡为该时刻（该位置）的瞬时量。,用于理解瞬时速度、瞬时加速度的定义，以及处理“Δt 很小”的近似估算问题。,1.平均速度公式 $v=\frac{\Delta x}{\Delta t}$ 中，当 Δt→0 时 v 是瞬时速度，即 $v=\lim_{\Delta t\to 0}\frac{\Delta x}{\Delta t}$。\n2.平均加速度公式 $a=\frac{\Delta v}{\Delta t}$ 中，当 Δt→0 时 a 是瞬时加速度，即 $a=\lim_{\Delta t\to 0}\frac{\Delta v}{\Delta t}$。\n3.极限法的意义：把一段时间（一段位移）上的平均量，通过无限缩短时间（位移）过渡为某一时刻（某一位置）的瞬时量，这也是“当时间趋近于零时平均速度等于瞬时速度”的依据。\n4.方法价值：极限法把“瞬时”这一难以直接测量的量转化为可计算的平均量的极限，是处理瞬时量的一般思维方法。,只有 Δt 趋近于零得到的才是严格的瞬时量；用很小的 Δt 算出的平均速度只是瞬时速度的近似值；计算前必须先确认该段时间内物体的运动性质。,p2 考点3 拓展思维,c
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-002,MATERIAL,NEW:另类加速度,CONCEPT_EXPLANATION,“另类加速度”的理解,把速度变化量与位移的比值 A=(v_t-v_0)/x 称为另类加速度，A 不变时速度随位移均匀变化。,以新定义形式（信息题）考查加速度概念的题目，如“相等位移内速度变化相等”的直线运动。,1.定义：把 $A=\frac{v_t-v_0}{x}$ 叫做“另类加速度”，其中 v0、vt 分别为某段位移 x 内的初速度和末速度。A>0 表示物体做加速运动，A<0 表示物体做减速运动。\n2.与教材加速度的区别：教材中 $a=\frac{v_t-v_0}{t}$。若 A 保持不变，由 $v_t=v_0+Ax$ 可知速度随位移均匀变化，而 $a=\frac{\Delta v}{\Delta t}=A\frac{\Delta x}{\Delta t}=A v$，即 a 随 v 的增大而逐渐变大，物体做的不是匀变速直线运动。\n3.图像理解：给出 v-x 图像时，等位移间隔对应等速度增量，图线为直线；把它转换到 v-t 图像中分析，v-t 图线的斜率（加速度）不断增大。\n4.判读要点：A 只反映“速度变化量与位移”的比例关系，判断加速、减速仍看 Δv 与 v 的关系。,另类加速度是题中给出的新定义，不能与教材加速度混用；A 不变时速度随位移均匀变化但加速度并不恒定，匀变速直线运动的公式（如平均速度公式）不能直接套用。,p2 考点3 典例5（“另类加速度”信息题） 建议父级：运动的描述,d
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-004,MATERIAL,匀变速直线运动,CONCEPT_EXPLANATION,匀变速直线运动的特点,加速度不变且不为零、速度随时间均匀变化的直线运动。,判断运动性质、由 v-t 图像识别匀变速运动。,1.加速度不变且不为 0（大小和方向都不变）。\n2.速度随时间均匀变化，相同时间内速度的变化量相同，速度变化量的方向与加速度方向相同。\n3.分类：a 与 v 同向为匀加速直线运动；a 与 v 反向为匀减速直线运动。\n4.图像特征：v-t 图像是一条倾斜的直线，图线的斜率等于加速度；x-t 图像是抛物线。,速度大小均匀变化的直线运动才是匀变速直线运动；加速度恒定是使用三个基本公式的前提，加速度变化时必须分段处理。,p4 第2节 考点1 匀变速直线运动的特点,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第一章匀变速直线运动/1_专题资料包/1_讲册PDF 01-第一章 匀变速直线运动.pdf,7a98dc3927-004,MATERIAL,匀变速直线运动的规律,METHOD_MODEL,匀变速直线运动的三个基本公式,速度时间公式、位移时间公式、速度位移公式，以及“不涉及哪个量就选哪个公式”的选取原则。,一切匀变速直线运动的求解，是运动学问题的基本工具。,三个基本公式（均为矢量式，应用前先规定正方向）：\n(1)速度与时间关系：$v=v_0+at$（不涉及位移 x）。\n(2)位移与时间关系：$x=v_0t+\frac{1}{2}at^2$（不涉及末速度 v）。\n(3)速度与位移关系：$v^2-v_0^2=2ax$（不涉及时间 t）。\n\n选取方法：题目中不涉及哪个物理量，就选用不含该量的公式，可减少未知量、简化运算。\n\n符号规则：以初速度方向为正方向时，匀加速 a 取正值、匀减速 a 取负值，位移、速度的正负号要与所选正方向一致。,三个公式只适用于匀变速直线运动；都是矢量式，必须先规定正方向再代入符号；刹车问题要先算出停止时刻，再判断所给时间是否超出实际运动时间。,p4 第2节 考点1 匀变速直线运动的基本规律,b
