chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-001,MATERIAL,苯的同系物的命名,METHOD_MODEL,含苯环有机物的命名,含苯环有机物按以苯环为母体或以苯基为取代基两类命名并给出多取代时的编号顺序。,给含苯环的有机物命名或根据名称写结构简式。,含苯环有机物命名分两种思路。**一、以苯环为母体**：称某苯，如甲苯、乙苯、溴苯、硝基苯等。**二、以苯基为取代基**：当苯环上连有优先于苯环的官能团或不饱和链时，苯环作为取代基，如苯乙烯、苯乙炔、苯胺、苯甲醇、苯乙醛、苯甲酸等。**三、苯环上有 2 个取代基**时，习惯命名可用邻、间、对表示相对位置。**四、系统命名**时对苯环中的碳原子编号（编号方法与链状有机物相似），并使取代基位号尽量小。例如 1，2，4-三甲苯；1-甲基-2-乙基苯；2，6-二氯甲苯（母体为甲苯）；2-甲基苯酚（母体为苯酚）。,判断母体时不要一律把苯环当母体：当分子中含有羧基、醛基等优先官能团时要改用链状母体；有 3 个及以上取代基时不能用邻、间、对而要用编号。,p1 重难透析·有机物的结构特点,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-001,MATERIAL,命名原则,METHOD_MODEL,多官能团有机物命名的母体选择,多官能团分子先确定主官能团再以其类别命名并给出主官能团的优先顺序。,分子中含两种或两种以上官能团时的命名与命名正误判断。,在多官能团分子中要先确定主官能团，再以主官能团的类别命名物质。主官能团的优先顺序为：—COOH＞—CONH₂＞—CHO＞—OH＞—NH₂＞碳碳双键＞碳碳三键＞—Ph（苯基）＞烷基＞—X（卤素原子）＞—NO₂。例如 CH₂=CHCOOH 中羧基优先，命名为丙烯酸，不能命名为乙烯基甲酸。,优先顺序中越靠前的官能团越应作母体、越靠后的越作取代基；烷基与卤素原子、硝基等只能作取代基。,p1 重难透析·知识拓展,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-001,MATERIAL,隐含的限制条件-有机物分子的不饱和度-ω,METHOD_MODEL,有机物分子不饱和度的确定,用通式计算或按结构计数确定分子不饱和度 Ω 并用于结构推断。,推断有机物分子中含有的双键、三键、环、苯环数目以及书写限定条件下的同分异构体。,**一、用计算公式确定**。烃 $\mathrm{C_xH_y}$：$\Omega=\frac{1}{2}(2x+2-y)$。注意：①若分子中含有卤素原子，可将其视为氢原子；②若含有氧原子，则不予考虑；③若含有氮原子 $\mathrm{C_xH_yO_zN_n}$，则 $\Omega=\frac{1}{2}(2x+2+n-y)$。**二、利用结构确定**。1 个碳碳双键或 1 个脂环：Ω=1；1 个碳碳三键：Ω=2；1 个氰基：Ω=2；1 个苯环：Ω=4。**三、作用**。由 Ω 可反推分子中可能的双键、三键、环、苯环数目，是推断结构与同分异构体的重要工具。,该方法只适用于二维或可看成二维结构的物质，不适用于有多层次三维结构的物质，如立方烷（分子式 $\mathrm{C_8H_8}$、不饱和度为 5）。计算时卤素按氢处理、氧一律不计，氮要额外加上。,p1 重难透析·有机物的结构特点,c
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-001,MATERIAL,同系物,METHOD_MODEL,同系物判断的两步法,判断两种有机物是否互为同系物要同时满足结构相似与组成相差 CH₂ 的整数倍。,同系物的判断、同系物与同分异构体的辨析。,**第一步：看结构是否相似**，即官能团的种类和数目是否相同、是否为同类物质。例如苯甲醇（羟基连在苯环侧链上）与环己醇（羟基连在环己烷环上）中羟基所连的烃基不同，二者不是同类物质，不互为同系物。**第二步：看分子组成上是否相差一个或若干个 CH₂ 原子团**，即不饱和度是否相同。只有结构相似且组成上相差一个或若干个 CH₂ 原子团时，二者才互为同系物。,两个条件缺一不可：结构相似但不相差 CH₂ 的整数倍（如甲醇与丙三醇）不是同系物；通式相同但官能团不同的（如烯烃与环烷烃）也不是同系物。,p1 重难透析·有机物的结构特点,d
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-001,MATERIAL,同分异构现象和同分异构体,CONCEPT_EXPLANATION,同分异构的类型,同分异构体按碳架异构、位置异构、官能团异构和立体异构分类并给出常见对应关系。,判断同分异构体的类型、书写限定条件下的同分异构体。,**1．碳架异构**：碳骨架不同，如正戊烷与异戊烷。**2．位置异构**：官能团或取代基的位置不同，如 $\mathrm{CH_3CH_2CH_2OH}$ 与 $\mathrm{CH_3CHOHCH_3}$。**3．构造异构（官能团异构）**：官能团种类不同，常见对应关系为：① $\mathrm{C_nH_{2n}}$（n≥3）：烯烃和环烷烃；② $\mathrm{C_nH_{2n-2}}$（n≥4）：二烯烃、炔烃、环烯烃、含有 2 个环的环烷烃；③ $\mathrm{C_nH_{2n+2}O}$（n≥2）：饱和一元醇和饱和一元醚；④ $\mathrm{C_nH_{2n}O}$（n≥3）：饱和一元醛、饱和一元酮、烯醇、环醇；⑤ $\mathrm{C_nH_{2n}O_2}$（n≥2）：饱和一元羧酸、饱和一元酯等；⑥ $\mathrm{C_nH_{2n+1}O_2N}$（n≥2）：饱和氨基酸、硝基烷烃等。**4．立体异构**：①顺反异构，如顺-2-丁烯和反-2-丁烯；②对映异构（手性异构），如 $\mathrm{CHClBrI}$ 的两种对映异构体。,碳架异构、位置异构、官能团异构都属构造异构；顺反异构、对映异构属立体异构。判断时先确认是否为同一物质，再判断构型差异，注意分子中只有存在 $\mathrm{C=C}$ 且每个双键碳上连两个不同基团时才有顺反异构。,p1 重难透析·有机物的结构特点,e
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-002,MATERIAL,脂肪烃的结构和性质,CONCEPT_EXPLANATION,脂肪烃的化学性质,烷烃取代、烯烃与炔烃加成、加聚、二烯烃的 1，2-加成与 1，4-加成及氧化反应规律。,判断脂肪烃能发生的反应类型、书写加成与加聚反应的产物。,**1．烷烃的取代反应**：$\mathrm{CH_4+Cl_2 \xrightarrow{光照} CH_3Cl+HCl}$。**2．烯烃、炔烃的加成反应**：$\mathrm{CH_2=CH_2+Br_2 \rightarrow CH_2BrCH_2Br}$；$\mathrm{CH \equiv CH+HCl \xrightarrow[Δ]{催化剂} CH_2=CHCl}$；$\mathrm{CH \equiv CH+H_2O \xrightarrow[Δ]{催化剂} CH_3CHO}$。注意 $\mathrm{CH_2=CHOH}$ 不稳定，易转化为乙醛。**3．加聚反应**：$n\mathrm{CH_2=CH_2 \xrightarrow{催化剂} [-CH_2-CH_2-]_n}$；$n\mathrm{CH \equiv CH \xrightarrow{催化剂} [-CH=CH-]_n}$。**4．二烯烃的加成反应**：$\mathrm{CH_2=CH-CH=CH_2+Br_2 \rightarrow CH_2BrCH=CHCH_2Br}$（1，4-加成）或 $\mathrm{CH_2BrCHBrCH=CH_2}$（1，2-加成）。**5．氧化反应**：$\mathrm{C_xH_y+(\frac{y}{4}+x)O_2 \xrightarrow{点燃} xCO_2+\frac{y}{2}H_2O}$。,烷烃不能使酸性高锰酸钾溶液褪色，烯烃、炔烃可以；二烯烃与溴加成时有 1，2-加成和 1，4-加成两种方式，须按题意（1 mol 加成物用量、温度）判断主产物。,p2 重难透析·烃和卤代烃,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-002,MATERIAL,乙烯,METHOD_MODEL,乙烯的实验室制法,乙醇与浓硫酸共热制乙烯的原理、体积比与检验前的除杂要点。,乙烯的实验室制备、实验装置与除杂顺序的判断。,**反应原理**：$\mathrm{CH_3CH_2OH \xrightarrow[170℃]{浓硫酸} CH_2=CH_2 \uparrow +H_2O}$。**实验要点**：①乙醇和浓硫酸的体积比为 1∶3，浓硫酸是催化剂；②加入沸石或碎瓷片防止暴沸；③制得的乙烯中含有 $\mathrm{CO_2}$、$\mathrm{SO_2}$、乙醇蒸气等杂质，用溴水或酸性 $\mathrm{KMnO_4}$ 溶液检验乙烯前可先用 NaOH 溶液除杂。,温度必须迅速升至 170 ℃，否则在 140 ℃ 时发生分子间脱水生成乙醚；检验乙烯前必须除去 $\mathrm{SO_2}$，因为 $\mathrm{SO_2}$ 也能使溴水和酸性 $\mathrm{KMnO_4}$ 溶液褪色而造成干扰。,p2 重难透析·乙烯和乙炔的实验室制法,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-002,MATERIAL,乙炔的实验室制法,METHOD_MODEL,乙炔的实验室制法,电石与水反应制乙炔的原理、用饱和食盐水控制速率及硫化氢等杂质的除去。,乙炔的实验室制备、反应速率的控制与杂质气体的除去。,**反应原理**：$\mathrm{CaC_2+2H_2O \rightarrow Ca(OH)_2+CH \equiv CH \uparrow}$。**实验要点**：①为得到平稳的乙炔气流，常用饱和食盐水代替水，并用分液漏斗控制滴加速度；②生成的乙炔中含有 $\mathrm{H_2S}$、$\mathrm{PH_3}$ 等杂质，用溴水或酸性 $\mathrm{KMnO_4}$ 溶液检验乙炔前可先用 $\mathrm{CuSO_4}$ 溶液除杂。,电石与水反应剧烈并放出大量热，不能直接用蒸馏水；$\mathrm{H_2S}$、$\mathrm{PH_3}$ 具有还原性、会干扰乙炔的检验，必须先经 $\mathrm{CuSO_4}$ 溶液除去。不能用启普发生器，因为反应放热且生成糊状 $\mathrm{Ca(OH)_2}$。,p2 重难透析·乙烯和乙炔的实验室制法,c
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-002,MATERIAL,苯及其同系物的性质,CONCEPT_EXPLANATION,苯及其同系物的化学性质,苯与苯的同系物的卤代、硝化、磺化、加成与侧链氧化反应及条件差异。,苯与苯的同系物发生取代、加成、氧化反应的条件与产物判断。,**1．卤代反应**：苯与液溴在 $\mathrm{FeBr_3}$ 催化下发生苯环上的取代，生成溴苯和 $\mathrm{HBr}$；甲苯在光照条件下发生侧链上的取代（$\mathrm{Br_2(g)}$），生成溴化苄；甲苯与液溴在 $\mathrm{FeBr_3}$ 催化下发生苯环上的取代，生成 2-溴甲苯和 4-溴甲苯。**2．硝化反应**：苯与浓硝酸在浓硫酸催化并加热条件下生成硝基苯；甲苯与浓硝酸在浓硫酸、加热条件下生成 2，4，6-三硝基甲苯（TNT）。**3．磺化反应**：苯与浓硫酸加热生成苯磺酸。**4．加成反应**：苯与 $\mathrm{H_2}$ 在催化剂、加热条件下生成环己烷；甲苯与 $\mathrm{H_2}$ 加成生成甲基环己烷。**5．氧化反应**：甲苯等苯的同系物能被酸性 $\mathrm{KMnO_4}$ 溶液氧化，侧链被氧化为羧基（—COOH），体现苯环对侧链的活化。,①苯不能被酸性高锰酸钾溶液氧化；②苯的同系物中只有与苯环直接相连的碳原子上有氢原子时才能被酸性高锰酸钾溶液氧化（如叔丁基苯不能）；③卤代时条件决定产物：光照取代侧链、催化剂取代苯环。,p2 重难透析·苯及其同系物的化学性质,d
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十有机物的结构  烃和烃的衍生物/专题PDF/专题十  有机物的结构  烃和烃的衍生物.pdf,a4f995ac24-002,MATERIAL,卤代烃的水解反应和消去反应,CONCEPT_EXPLANATION,卤代烃的水解与消去反应,卤代烃在 NaOH 水溶液中水解、在 NaOH 乙醇溶液中消去及各自的反应条件。,卤代烃发生水解或消去反应的条件判断与方程式书写。,**1．水解反应（取代反应）**：$\mathrm{CH_3CH_2Br+NaOH \xrightarrow[Δ]{水} CH_3CH_2OH+NaBr}$。**2．消去反应**：$\mathrm{CH_3CH_2Br+NaOH \xrightarrow[Δ]{乙醇} CH_2=CH_2 \uparrow +NaBr+H_2O}$。两条路线所用溶剂不同，产物不同，据此可由卤代烃制备醇或烯烃。,连接卤素原子的碳原子没有邻位碳原子、或邻位碳原子上没有氢原子（无 β-H）时不能发生消去反应，如 $\mathrm{CH_3Cl}$、$\mathrm{(CH_3)_3CCH_2Br}$ 只能水解。水解用 NaOH 水溶液、消去用 NaOH 乙醇溶液，条件不能互换。,p2 重难透析·卤代烃的化学性质,e
