node_slug,type,title,summary,applicability,content,boundary,note
饱和汽,CONCEPT_EXPLANATION,饱和汽与饱和汽压,汽液动态平衡时汽的压强叫饱和汽压；同温度下饱和汽压与体积无关，温度升高饱和汽压增大，湿度用相对湿度描述。,判断饱和汽压随温度的变化与相对湿度计算。,①动态平衡：在密闭容器中，液面上同时进行蒸发和液化，当单位时间内从液面飞出的分子数与回到液体中的分子数相等时，汽与液达到动态平衡。②饱和汽：与同种液体的液态处于动态平衡的汽叫作饱和汽，它的压强叫作饱和汽压。③饱和汽压随温度变化：温度升高时分子的平均动能增大，单位时间内从液面飞出的分子数增多，饱和汽压随之增大（同一种液体的饱和汽压只与温度有关）。④同一温度下饱和汽压与汽的体积无关：体积被压缩时部分汽液化为液体，汽的密度与压强保持不变，因此不能用玻意耳定律处理饱和汽。⑤未饱和汽：压强小于同温度下饱和汽压的汽叫作未饱和汽，它可以通过降温或减小体积趋于饱和。⑥湿度：空气中所含水蒸气的压强与同温度下水的饱和汽压之比叫作相对湿度，表达式为B＝（p／p_s）×100%；当水蒸气的压强等于同温度下的饱和汽压时相对湿度为100%，此时对应的温度叫露点。,饱和汽压只由液体种类和温度决定、与体积无关；涉及饱和汽时不能套用气体实验定律。,非五三页面转写：五三物理精讲册第十五章（P179–P192／内文页172–185）未收录饱和汽；据人教版选择性必修三第二章（节点 sourceLocator）补写，相对湿度公式经外部来源核对
分子模型,CONCEPT_EXPLANATION,分子的两种模型与微观量估算,固体液体用球体模型d＝∛（6V₀／π）；气体用立方体模型d＝∛V₀，此时d为分子间平均距离。,估算分子直径、分子间距与物体所含分子数。,①分子很小：分子直径的数量级为10⁻¹⁰ m，分子质量的数量级为10⁻²⁶ kg。②球体模型：对固体和液体分子，把分子看成紧密排列的球体，V₀＝πd³／6，则d＝∛（6V₀／π），d为分子直径、V₀为分子体积。③立方体模型：对气体分子，把分子占据的空间看成一个小立方体，V₀＝d³，则d＝∛V₀，此时d为气体分子间的平均距离、V₀为分子所占空间的体积（气体分子本身的体积远小于它所占的空间）。④宏观量与微观量的换算：分子质量m₀＝M／N_A＝ρV_mol／N_A；分子体积（气体为所占空间）V₀＝V_mol／N_A＝M／（ρN_A）。⑤阿伏加德罗常数N_A＝6.02×10²³ mol⁻¹，物体所含分子数N＝（V／V_mol）N_A＝（m／M）N_A＝（ρV／M）N_A。,气体分子的d是分子间平均距离而不是分子直径，分子体积远小于分子所占空间体积。,五三物理精讲册 P179（内文页172）
布朗运动,CONCEPT_EXPLANATION,布朗运动与扩散现象,悬浮微粒的无规则运动反映液体分子的热运动，微粒越小、温度越高越明显；扩散直接反映分子的热运动。,区分分子运动与微粒运动、判断实验现象。,①分子热运动：分子在做永不停息的无规则运动。②扩散现象：相互接触的不同物质彼此进入对方的现象；扩散现象直接反映了分子的热运动，温度越高扩散越快。③布朗运动：悬浮在液体或气体中的微粒的无规则运动。④实质：布朗运动是花粉或炭颗粒（等小颗粒）的无规则运动，反映了液体分子的无规则运动；它不是分子本身的运动，而是分子热运动的间接体现。⑤影响因素：微粒越小、温度越高，布朗运动越明显。⑥注意：显微镜下看到的是固体小颗粒的运动而不是分子运动；颗粒越小、温度越高，来自各方向分子碰撞的不平衡性越显著，运动越明显。,布朗运动的主体是悬浮微粒而不是分子；它只能间接说明分子在运动。,五三物理精讲册 P179（内文页172）
分子运动速率分布图像-气体分子速率呈-中间多-两头少-的规律分布-如下图所示,REPRESENTATION_GUIDE,气体分子速率分布规律,任意温度下分子速率都呈中间多、两头少的分布；温度升高时高峰向速率大的方向移动，平均速率增大。,分析速率分布曲线随温度的变化。,①坐标含义：横轴为速率区间，纵轴为各速率区间的分子数占总分子数的百分比，图线与横轴所围的面积为1。②在任意一温度下，气体分子的速率都按“中间多、两头少”的规律分布，即速率处于中间区间的分子数目最多。③温度升高时，“中间多”的这一“高峰”向速率大的方向移动，速率小的分子数减少，速率大的分子数增多，分子的平均速率增大。④温度升高并不是每个分子的速率都增大，而是分子总数的统计规律；温度越高，分子的平均动能越大。⑤图线比较：温度高（如100 ℃）的曲线峰值较低且偏右，温度低（如30 ℃）的曲线峰值较高且偏左；速率分布只对大量分子才有意义。,温度升高对应高峰右移、峰值降低，不是所有分子速率都增大。,五三物理精讲册 P179（内文页172）
分子间的作用力与分子间距离的关系,CONCEPT_EXPLANATION,分子力与分子势能随间距的变化,r＜r₀时表现为斥力，r＝r₀时分子力为零且分子势能最小，r＞r₀时表现为引力，r＞10r₀时可忽略。,判断分子力方向、分子力做功与分子势能变化。,①当r＜r₀时，F随r增大而减小，表现为斥力；r增大时F做正功，分子势能E_p减小。②当r＝r₀时，F＝0，此时E_p最小且小于0。③当r＞r₀时，r增大F先增大后减小，表现为引力；r增大时F做负功，E_p增大。④当r＞10r₀时，可近似看作F＝0，E_p＝0。⑤图像特征：E_p随r变化的曲线极小值出现在r＝r₀处；分子势能与重力势能、弹性势能、电势能类似，都是与某种力对应、由相对位置决定的能量。⑥易错：分子势能为0与分子势能最小含义不同，前者与选择的零势能面有关，后者的位置一定在r＝r₀处。,r＝r₀是分子力为零、分子势能最小的位置，不要把分子力先增大后减小误用到r＜r₀段。,五三物理精讲册 P180（内文页173）
内能,CONCEPT_EXPLANATION,分子动能、分子势能与内能,内能是所有分子的热运动动能与分子势能的总和，由温度、体积、物质的量决定；温度是分子平均动能的标志。,判断内能变化及其影响因素。,①分子动能：分子做无规则运动所具有的动能；温度是分子平均动能的标志，温度越高分子的平均动能越大，分子动能由温度决定。②分子势能：由分子间的相对位置决定的势能，与分子间距（即体积）有关。③内能：所有分子的热运动动能和分子势能的总和，由温度、体积、物质的量共同决定。④内能是微观量：温度、内能等物理量只对大量分子才有意义，对单个或少量分子没有实际意义；内能与物体宏观机械运动情况无关。⑤判断方法：温度升高时分子平均动能增大，但若体积同时变化使分子势能减小，内能不一定增大，应结合ΔU＝W＋Q综合判断。,温度升高不等于内能一定增大；内能由温度、体积、物质的量三者共同决定。,五三物理精讲册 P180（内文页173）
晶体,CONCEPT_EXPLANATION,晶体与非晶体的比较,单晶体外形规则、物理性质各向异性；多晶体和非晶体各向同性；只有晶体有确定熔点。,判断晶体与非晶体、解释各向异性。,①外形：单晶体规则，多晶体不规则，非晶体不规则。②熔点：单晶体和多晶体有确定熔点，非晶体没有确定熔点。③物理性质：单晶体各向异性，多晶体各向同性，非晶体各向同性。④微观结构：单晶体的原子（或分子、离子）按一定的规则排列，具有空间上的周期性；多晶体由许多单晶体杂乱无章地组合而成；非晶体的排列不规则、无空间上的周期性。⑤典型物质：单晶体如单晶硅、单晶锗；多晶体如蔗糖块、铜；非晶体如玻璃、蜂蜡、松香。⑥提分关键：凡是具有确定熔点的物体必定是晶体，反之必是非晶体；单晶体具有各向异性，但并不是在各种物理性质上都表现出各向异性；晶体和非晶体在一定条件下可以相互转化。,判断顺序是先看有无确定熔点再谈各向异性；多晶体有确定熔点但各向同性。,五三物理精讲册 P180（内文页173）
表面张力,CONCEPT_EXPLANATION,液体表面张力与浸润,表面层分子间距比内部大、分子力表现为引力，方向与液面相切，使液面趋于最小；由此决定浸润与毛细现象。,解释表面张力、浸润与毛细现象。,①定义：使液体表面绷紧的力叫作表面张力。②形成原因：表面层中分子间的距离比液体内部分子间的距离大，分子间的作用力表现为引力。③方向：和液面相切，垂直于液面上的各条分界线。④作用：使液体表面具有收缩的趋势，使液体表面积趋于最小（在体积相同的条件下，球体的表面积最小）。⑤浸润与不浸润：当液体和与之接触的固体间的相互作用比液体分子之间的相互作用强时，液体能够浸润固体；弱时液体不浸润固体。⑥毛细现象：浸润液体在细管中上升、不浸润液体在细管中下降的现象；细管内径越小，毛细现象越明显。,表面张力是表面层分子间的引力，作用效果是使液面收缩。,五三物理精讲册 P181（内文页174）
气体压强,DERIVATION,气体压强的微观解释与推导,压强由分子数密度与分子平均速率共同决定；由动量定理可推出p＝2Nmv／（SΔt）。,定性分析气体压强的变化、解释微观原因。,①产生原因：气体中大量分子做无规则运动时对器壁频繁碰撞，形成对器壁各处均匀、持续的压力。②决定因素：气体分子的数密度和分子的平均速率（温度）。③推导：设气体分子质量为m、与器壁碰撞时的速度大小为v，弹性碰撞后动量反向，碰撞前后动量大小均为mv；设Δt时间内有N个气体分子撞击器壁，由动量定理得−FΔt＝Nm（−v）−Nmv，即F＝2Nmv／Δt；器壁单位面积上受到的压力就是气体压强，p＝F／S＝2Nmv／（SΔt）。④因果链：体积V减小则气体分子的数密度N／V增大，单位时间内撞击单位面积的分子数增多；温度T升高则分子平均速率增大，每个分子的撞击力度增大；二者都使压强p增大。⑤形象理解：气体压强是单位时间单位面积上气体分子的撞击次数与一次撞击的平均作用力的乘积。,压强变化要同时看分子数密度和分子平均速率，不能说成分子间斥力变大。,五三物理精讲册 P182（内文页175）
气体实验定律,CONCEPT_EXPLANATION,三个气体实验定律与状态方程,玻意耳、查理、盖-吕萨克定律分别描述等温、等容、等压过程，统一为理想气体状态方程pV／T＝C。,一定质量理想气体的状态变化计算。,①玻意耳定律：一定质量的某种气体，在温度不变的情况下，压强与体积成反比，p₁V₁＝p₂V₂。②查理定律：一定质量的某种气体，在体积不变的情况下，压强与热力学温度成正比，p₁／T₁＝p₂／T₂，也可写成Δp＝（p₁／T₁）ΔT。③盖-吕萨克定律：一定质量的某种气体，在压强不变的情况下，其体积与热力学温度成正比，V₁／T₁＝V₂／T₂，也可写成ΔV＝（V₁／T₁）ΔT。④理想气体状态方程：一定质量的理想气体p₁V₁／T₁＝p₂V₂／T₂，或pV／T＝C；式中C是与p、V、T无关的常量，它与气体的质量、种类有关；实际上该方程是由克拉伯龙方程pV＝nRT得出的。⑤理想气体：在任何温度、任何压强下都遵从气体实验定律的气体；理想气体不计分子间的作用力，即不计分子势能，其内能仅由温度决定。,三个定律都要求一定质量的某种气体；温度必须用热力学温度，查理定律与盖-吕萨克定律的图线过原点。,五三物理精讲册 P182（内文页175）
液柱模型,METHOD_MODEL,玻璃管-液柱模型的分析方法,热学对象是封闭气体、力学对象是液柱；核心方程p_下＝p_上＋ρgh，h为两液面间的高度差。,液柱封闭气体的压强与状态变化计算。,①两个研究对象：热学对象是被液柱封闭的气体，依据气体实验定律或理想气体状态方程列方程；力学对象是液柱，对它进行受力分析并列相关方程。②两者的区别：连通的气体压强处处相等，液体的压强与该位置的高度有关。③核心方程：一段液柱下表面处的压强等于液柱上表面处的压强加上由于液柱重力产生的压强，即p_上＋ρgh＝p_下；其中h是液柱上、下两液面间的高度差，而不是液柱的长度。④基本步骤：找到大气与液柱的接触面，列出该液面处压强表达式；找到封闭气体与液柱的接触面，结合气体实验定律列出该液面的压强表达式；联立两液面间的压强关系方程求解。⑤求压强的三种方法：力平衡法（取与气体接触的液柱为研究对象，由受力平衡结合p＝F／S求压强）、等压面法（连通器中同种液体同一深度处压强相等，p＝p₀＋ρgh）、液片法（取假想液片，两侧压强相等）。⑥加速运动系统中取与气体接触的液柱为研究对象，用牛顿第二定律列方程。,公式中的h是两液面高度差而不是液柱长度；压强的单位要统一。,五三物理精讲册 P184（内文页177）
活塞气缸模型,METHOD_MODEL,活塞-汽缸模型的解题思路,活塞作力学对象、气体作热学对象，由活塞移动情况判断等压、等容、等温或绝热过程。,汽缸类气体状态变化综合题。,①模型关系：活塞与气体通过压力和压强相互关联，对活塞根据牛顿第二定律或力的平衡建立等量关系，对气体根据气体实验定律或理想气体状态方程建立等量关系。②以活塞为研究对象：明确活塞的质量是否忽略不计、活塞是水平放置还是竖直放置、是否考虑活塞重力产生的压强；活塞处于力学平衡状态时，根据受力平衡得出气体的压强或活塞两侧隔离气体的压强关系；活塞处于力学非平衡状态时，根据牛顿运动定律得出压强关系。③以气体为研究对象：单个汽缸中需明确气体的变化过程，分析清楚气体初末状态的温度、压强、体积，再依据气体实验定律或理想气体状态方程列方程；涉及两个或多个汽缸封闭几部分气体且相互关联时，分别研究各部分气体，找出各自遵循的规律并写出方程，最后联立求解。④如何选用定律：活塞自由移动时是等压过程；活塞不动时是等容过程；活塞或汽缸不传热、缓慢改变活塞产生的压力时是等温过程；活塞与汽缸均绝热时是绝热过程。,先判断过程性质再选定律；活塞两侧气体压强由受力平衡关联。,五三物理精讲册 P186（内文页179）
变质量问题的处理思想-等效,METHOD_MODEL,气体变质量问题的等效处理,把打气、灌气、漏气、抽气等变质量问题转化为总质量不变的定质量问题，用分态式或玻意耳定律列方程。,打气、抽气、漏气、分装类问题。,①一个思想：把变质量问题转化为定质量问题。②巧选研究对象：将问题涉及的全部气体选为研究对象，这些气体状态不管怎样变化，其总质量都不变。充气（打气）时将即将充进容器内的气体和容器内的原有气体构成的整体作为研究对象；灌气（分装）时把大容器中的剩余气体和多个小容器中的气体构成的整体作为研究对象；漏气时选容器内剩余气体和漏出气体构成的整体作为研究对象；抽气时将每次抽气过程中抽出的气体和剩余气体构成的整体作为研究对象。③选择适当的方程：应用理想气体状态方程的分态式p₁V₁／T₁＋p₂V₂／T₂＋…＝p₁′V₁′／T₁′＋p₂′V₂′／T₂′＋…求解，或巧妙应用玻意耳定律p₁V₁＋p₂V₂＋…＝pV。④一个流程：审（审清题意、明确物理过程，找出初态、末态和中间态）→定（确定变质量问题类型，选定合适的研究对象）→列（找出各个状态的气体状态参量，应用理想气体状态方程或玻意耳定律列出适当方程，联立求解）。,研究对象必须选全部相关气体使总质量不变；温度不变时才可用玻意耳定律的分态式。,五三物理精讲册 P188（内文页181）
