chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-013,MATERIAL,热重分析确定金属化合物的组成,METHOD_MODEL,热重曲线分析三步法,由剩余固体质量随温度变化的曲线，用剩余质量或失重质量推算各温度段产物的组成。,结晶水合物、碳酸盐、氢氧化物等固体受热分解，给出热重曲线，要求判断中间产物化学式、结晶水数目或失重比例。,**大招1 热重曲线分析（三步法）**\n\n热重曲线的纵轴是剩余固体质量（或其质量分数），横轴是温度。曲线上的每一个平台段对应一个组成稳定的物质。\n\n- **第一步：计算对应温度下剩余固体的质量。** 在横轴上找到指定温度，读出该平台对应的 $m_{剩}$；若纵轴给的是质量分数 $w$，则 $m_{剩}=w\times m_{始}$。\n- **第二步：计算 $M_{剩}$、$\Delta M$。** 由 $\dfrac{m_{剩}}{m_{始}}=\dfrac{M_{剩}}{M_{始}}$ 求中间产物的平均摩尔质量 $M_{剩}$；再由 $\Delta M=M_{始}-M_{剩}$ 得到该段失去部分的摩尔质量。\n- **第三步：根据 $M_{剩}$ 或 $\Delta M$，推断物质。** 用 $M_{剩}$ 反推剩余固体的化学式；用 $\Delta M$ 反推每摩尔起始物失去的小分子（$\mathrm{H_2O}$、$\mathrm{CO_2}$ 等）的数目，从而写出该段分解的化学方程式。,只适用于隔绝空气或惰性气氛下的受热分解；起始物必须纯净且摩尔质量已知；若产物中含变价元素被空气中氧气氧化，热重数据会失真。判断中间产物时要同时用金属元素守恒（如 Ca、Fe 的物质的量全程不变），不能凭空增删原子。,p13 大招1：热重曲线分析,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-031,MATERIAL,氧化还原反应方程式的配平方法,METHOD_MODEL,氧化还原方程式配平五步法,标变价、列得失、求总数、配系数、查守恒，五步配平氧化还原反应方程式。,一切氧化还原反应方程式的配平，包括新情境下陌生的氧化还原反应。,**大招2 氧化还原反应方程式的书写（五步法）**\n\n- **第一步：标变价。** 标出反应中变价元素的化合价，只需标真正发生变化的元素。\n- **第二步：列得失。** 列出每种变价元素化合价的升降数值，也就是每个原子得失电子的数目。\n- **第三步：求总数。** 求出化合价升高总数与降低总数的最小公倍数，用最小公倍数确定氧化剂、还原剂及其对应产物的化学计量数。\n- **第四步：配系数。** 运用得失电子守恒、原子守恒、电荷守恒（离子方程式）配平其余物质的系数。\n- **第五步：查守恒。** 检查原子守恒、电荷守恒（离子方程式），确认质量守恒。\n\n口诀：升失氧还（化合价升高、失电子、被氧化、作还原剂），降得还氧（化合价降低、得电子、被还原、作氧化剂）。,必须先正确判断氧化剂与还原剂；升降数值以每个原子为基准，不能按分子计数；缺项配平要靠原子守恒和电荷守恒补出 $\mathrm{H^+}$、$\mathrm{OH^-}$ 或 $\mathrm{H_2O}$，不能凭感觉添加。歧化或归中反应同一元素既升又降，要分列计算。,p31 大招2：氧化还原反应方程式的书写,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-034,MATERIAL,陌生化学方程式书写的思路,METHOD_MODEL,陌生反应方程式的书写类型,先用信息确定反应主体，再按氧化还原型或非氧化还原型、并按四种常见类型配平。,工艺流程题、实验探究题中给出新信息，要求书写陌生化学方程式或离子方程式。,**大招3 陌生反应方程式的书写**\n\n**总思路（信息型）**\n\n- **第一步：提取信息，确定反应主体。** 能通过题干信息确定反应物与产物的，严格按信息书写；不能由信息确定的，按照常识来确定，不能凭记忆硬套。\n- **第二步：配平。** 氧化还原型按五步法配平（标变价、列得失、求总数、配系数、查守恒）；非氧化还原型直接配平。\n\n**四种常见类型**\n\n- **金属离子与碳酸氢根离子反应型：** 金属离子 + 碳酸氢根离子 → 金属碳酸盐↓ + 水 + 二氧化碳↑。\n- **复杂较强酸制较弱酸型：** 用箭头交叉法，由较强的酸或酸酐制较弱的酸。\n- **广义水解型：** 根据化合价把化合物分成正电性部分和负电性部分，再把两化合物中正电性部分与负电性部分交叉结合，得到产物。,必须先用信息确定反应主体，不能靠背模板；非氧化还原型不要硬套电子守恒；写完要检查产物是否漏写沉淀、气体、弱电解质，离子方程式还要查电荷守恒与拆写规则。,p34 专项：陌生反应方程式的书写（大招3）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-037,MATERIAL,与量有关的离子方程式书写技巧,METHOD_MODEL,与量有关的离子方程式书写,少量物质定为 1 ，过量物质按需供，按配比型、连续型、竞争型分别书写。,题干出现“少量”“过量”“滴加”“至沉淀质量最大”等与量有关条件的离子方程式书写与正误判断。,**大招4 与量有关的离子方程式的书写**\n\n总口诀：少量物质定为 1 → 过量物质按需供 → 配平离子方程式。\n\n- **配比型：** 少量物质拆成的离子的化学计量数要符合该物质化学式中的比例；足量物质拆成的离子按照化学式中的比例提供且有多余。\n- **连续型：** 根据反应规律，确定少量物质完全反应时对应的产物（如 $\mathrm{CO_2}$ 少量生成 $\mathrm{CO_3^{2-}}$，$\mathrm{CO_2}$ 过量生成 $\mathrm{HCO_3^-}$）。\n- **竞争型：** 强者先行，先判断谁先反应（氧化性强的先得电子，结合能力强的先沉淀）。,判断少量与过量必须以题干的滴加顺序和用词为准；配比型中过量物质的离子不必全部反应，方程式中写出的只是实际参与的部分；连续型产物随量改变，不能一律写成同一产物；离子方程式写完后必须查电荷守恒。,p37 大招4：与量有关的离子方程式,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-037,MATERIAL,分析离子能否大量共存必备知识,METHOD_MODEL,离子共存判断五查,一色二性三特殊四反应五注意，系统排查离子能否大量共存。,判断给定溶液中离子能否大量共存的选择题。,**大招5 离子共存的判断**\n\n- **一色：** 先看溶液有无颜色，排除带色离子，如 $\mathrm{Cu^{2+}}$、$\mathrm{Fe^{3+}}$、$\mathrm{Fe^{2+}}$、$\mathrm{MnO_4^-}$。\n- **二性：** 判断溶液是酸性、碱性还是中性。\n- **三特殊：** $\mathrm{[Al(OH)_4]^-}$ 与 $\mathrm{HCO_3^-}$ 不能大量共存；相互促进水解但水解微弱的离子对可以共存，如 $\mathrm{NH_4^+}$ 和 $\mathrm{HCO_3^-}$、$\mathrm{NH_4^+}$ 和 $\mathrm{CH_3COO^-}$ 等；注意酸碱性影响，酸性条件下不能共存的，碱性条件下可能共存。\n- **四反应：** 复分解反应、氧化还原反应、相互促进的水解反应、配合反应。\n- **五注意：** 审清题干是“一定”还是“可能”；准确判断溶液的酸碱性；注意“透明”不等于“无色”；酸性溶液中 $\mathrm{NO_3^-}$ 具有强氧化性，与 $\mathrm{Fe^{2+}}$、$\mathrm{I^-}$、$\mathrm{S^{2-}}$ 等不能大量共存；中性溶液中 $\mathrm{Fe^{3+}}$、$\mathrm{Al^{3+}}$ 不能大量存在。,“透明”与“无色”是两个不同条件，不可混用；“一定能共存”与“可能共存”结论相反；由水电离出的 $c(\mathrm{H^+})$ 很小只说明水的电离受到抑制，还要结合酸碱性继续判断；不能只看某对离子是否反应，必须结合题干给的酸碱性条件。,p37 大招5：离子共存,b
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-069,MATERIAL,化工流程题的分析模型,METHOD_MODEL,无机工艺流程分析三步法,明确最终目标、追踪杂质去向、按设问规范作答的工艺流程通法。,无机化工流程综合题，需要分析流程图并回答操作目的、方程式、条件控制、循环利用等问题。,**大招6 无机工艺流程分析（三步法）**\n\n- **第一步：明确流程的最终目标，确认杂质元素。** 先看原料含哪些元素、产品是哪一种物质，从原料到产品之间必须被除去的元素就是杂质元素。\n- **第二步：要的留下来，不要的踢出去，做好杂质追踪。** 沿流程逐段追踪目标元素与杂质元素各变成了什么、进入了哪一相（滤液还是滤渣）。每一步操作的目的都可以归结为留下目标、除去杂质。\n- **第三步：根据设问，规范严谨作答。** 常见设问有：某步反应的化学方程式或离子方程式；调节 pH 的目的与 pH 范围；试剂的选择与作用；提高浸出速率或浸出率的措施；可循环利用的物质；产率与纯度的计算。,追踪杂质时必须按元素守恒逐段核对，不能只看某一步；回答调节 pH 的目的要写出两端，pH 太小杂质除不尽，pH 太大目标离子也会沉淀；写方程式要先判断是氧化还原型还是非氧化还原型；计算产率时注意起始投料与理论产量的对应关系。,p69 专项：无机工艺流程分析（大招6）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-075,MATERIAL,位-构-性-关系的应用,METHOD_MODEL,元素推断三步法,找突破口定一个元素，顺藤摸瓜推出其余元素，再逐条验证。,给出原子结构、周期表位置、元素性质等信息，要求推断元素并比较性质的推断题。,**大招7 元素位—构—性关系的综合应用（三步法）**\n\n- **第一步：找准突破口。** 找题干中能直接确定某一元素的特征信息作为突破口，例如原子结构（电子排布式、未成对电子数、能层与能级、运动状态数）、元素在周期表中的位置、物质的特殊性质与用途、特征反应现象等。\n- **第二步：推测余元素。** 根据题中其他信息或元素之间的相关信息顺藤摸瓜推出其他元素。常用关联有：原子序数依次递增、同周期或同主族、最外层电子数关系、原子半径与电负性大小关系、第一电离能的异常等。\n- **第三步：检查验证。** 把推出的全部元素代回题目，检查所有元素是否符合题目给出的每一条信息，确认无误后再作答。,突破口的信息必须唯一指向一个元素，若有多解要继续找信息排除；注意第一电离能与电负性的反常（如 N 大于 O、Mg 大于 Al）不能被当成错误；未成对电子数与价电子排布要区分开；同一元素在不同小题中推出的结论要前后一致。,p75 大招7：元素位—构—性关系的综合应用,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-078,MATERIAL,中心原子杂化类型的判断,METHOD_MODEL,杂化类型与空间结构两步判断,先算中心原子价层电子对数，再由电子对数确定杂化类型、VSEPR 模型与空间结构。,判断分子或离子的中心原子杂化方式、VSEPR 模型名称与实际空间结构。,**大招8 分子的空间结构及中心原子杂化轨道类型判断（两步法）**\n\n- **第一步：确定中心原子价层电子对数。** 价层电子对数 = σ键电子对数 + 孤电子对数。σ键电子对数等于与中心原子成键的原子数；孤电子对数 $=\dfrac{a-xb}{2}$，其中 $a$ 为中心原子的价电子数（离子要加上或减去电荷数），$x$ 为配位原子数，$b$ 为每个配位原子最多能接受的电子数（H 与卤素为 1，O 与 S 为 2，N 为 3）。\n- **第二步：确定杂化轨道类型、VSEPR 模型与空间结构。** 电子对数为 2 时为 sp 杂化、VSEPR 模型为直线形；为 3 时为 sp² 杂化、平面三角形；为 4 时为 sp³ 杂化、四面体形。再由孤电子对数确定分子或离子的实际空间结构：孤电子对数为 0 时与 VSEPR 模型相同；为 1 时去掉一个顶点（V 形、三角锥形）；为 2 时去掉两个顶点。,孤电子对数计算时离子的电荷要正确加减；VSEPR 模型描述的是电子对（含孤电子对）的排布，空间结构只描述原子，两者不能混用；推论要与杂化轨道理论的结果互相印证；注意 $a$ 是中心原子价电子数而不是最外层电子数。,p78 大招8：分子的空间结构及中心原子杂化轨道类型判断,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-079,MATERIAL,大π键,METHOD_MODEL,大π键的书写方法,ABn 型用计算法算出大π键电子数，环状化合物用电子式法逐个统计。,要求用 Π 的形式表示分子或离子中大π键的组成。,**大招9 大π键的书写**\n\n大π键记作 $\Pi_n^m$，$n$ 为参与形成大π键的原子数，$m$ 为形成大π键的电子数。\n\n**类型一：$\mathrm{AB_n}$ 型 —— 计算法**\n\n参与形成大π键的电子数 = 价电子总数 − 参与杂化的电子数 = 价电子总数 − （原子总数 × 每个原子杂化轨道数 − σ键个数）× 2。\n\n**类型二：环状化合物 —— 电子式法**\n\n- 第一步：找出微粒中参与形成大π键的原子。\n- 第二步：画出结构中全部的 σ 键。\n- 第三步：画出所有参与形成大π键的原子的剩余价电子。\n- 第四步：统计形成大π键的电子数。\n\n例如苯环中存在六中心六电子的大π键，可表示为 $\Pi_6^6$。,参与形成大π键的原子必须共平面且都有相互平行的 p 轨道；杂化轨道数要按实际杂化方式数（sp² 为 3）；已用于形成 σ 键或作为孤对电子的电子不能重复计入；阴离子要把所得电荷计入价电子总数，阳离子要把失去的电子扣除。,p79 大招9：大π键,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,da2d86034b-079,MATERIAL,键角大小的比较,METHOD_MODEL,键角大小比较三看,看杂化轨道类型、看孤电子对数、看电负性，三步比较键角大小。,比较不同分子或离子中键角大小并说明原因的选择题与填空题。,**大招10 键角大小比较（三看）**\n\n- **一看杂化轨道类型。** 杂化轨道类型不同时，sp 杂化的键角最大（180°），sp² 次之（120°），sp³ 最小（约 109°28′）。\n- **二看孤电子对数。** 杂化类型相同时，中心原子的孤电子对数越多，孤电子对对成键电子对的排斥作用越强，键角越小。\n- **三看电负性。** 配位原子电负性越大，共用电子对越偏离中心原子，成键电子对之间的排斥作用越小，键角越小；中心原子电负性越大则相反。\n\n比较时按上述顺序逐条使用，前面的条件能定出大小就不必再看下一条。,必须先把两个微粒归到同一比较层次，杂化类型不同时不要直接比孤电子对；电负性一条要分清说的是中心原子还是配位原子，两者规律方向相反；109°28′ 是理想角度，实际键角会因孤电子对压缩而小于该值。,p79 大招10：键角大小比较,b
