chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-007,MATERIAL,NEW:力与运动知识体系,CONCEPT_EXPLANATION,力与运动知识体系总览,按物体所受合力的情况把力学问题分成五类并对应各自的典型运动与处理方法。,二轮复习开局梳理力学主干时用它；拿到一道力学题先判断它属于哪一类运动从而选择对应规律。,力与运动的分类框架（按合力特征划分）：\n一、合力为零\n静止或匀速直线运动 分为静态平衡与动态平衡。\n二、合力恒定\n与速度共线时是匀变速直线运动 其中又分运动学问题（自由落体运动、竖直上抛运动）与动力学两类基本问题（超重、失重和完全失重）。\n与速度不共线时是匀变速曲线运动 包括平抛运动、斜抛运动、类平抛运动、类斜抛运动。\n三、合力大小一定、方向变化\n方向与速度垂直时为匀速圆周运动、螺旋式运动。\n方向周期性变化时为周期性加速、减速运动 处理方法是图像法。\n四、合力大小和方向都变化\n变速圆周运动 处理方法为牛顿运动定律与能量守恒定律。\n简谐运动 特点是 $F=-kx$、具有周期性、对称性。\n运动轨迹是一般曲线 处理方法为能量观点。\n使用要点：先由合力与速度的方向关系给运动定性 再调用该类运动的规律 可避免一上来就盲目列式。,该框架只按合力特征分类 不涉及具体受力细节；合力恒定的恒定指大小和方向都不变 大小一定而方向变化的圆周类运动不能按恒力处理；简谐运动的回复力 $F=-kx$ 要求回复力与位移成正比且方向相反。,p7 知识体系 建议父级：专题一 力与运动,
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-007,MATERIAL,受力分析多力漏力-受力分析方法,METHOD_MODEL,受力分析的一般步骤,按选取研究对象、画受力分析图、验证合理性三步做受力分析 保证不漏力不多力。,所有力学题的第一步 尤其是多物体连接、有摩擦、含弹簧的平衡或动力学问题。,受力分析的三步流程：\n1. 研究对象的选取\n整体法与隔离法：求系统外力时取整体 求系统内力时隔离受力较少的物体。\n转换研究对象法：当直接分析研究对象不方便时 转而分析与它相互作用的另一个物体 再由牛顿第三定律反推。\n2. 画受力分析图\n按重力、场力、接触力（弹力、摩擦力）的顺序逐项分析 每找一个力都要问清楚是谁施加的。\n只分析研究对象受到的力 不画研究对象对别的物体施加的力 也不把合力与分力同时画上。\n3. 验证力的合理性\n假设法：假设某个接触面不存在 或假设摩擦力存在 看物体的状态是否与题设矛盾。\n动力学分析法：由物体的运动状态反推合力的方向 再看已画出的力能否提供这样的合力。\n常见对应用法：求两弹簧的伸长量之比用整体与隔离；分析地面对磁体摩擦力的方向用转换研究对象 先分析磁体对铁块的力；判断墙对A是否有作用力用假设法；分析物块A受到的摩擦力方向用动力学分析法。,弹力与摩擦力都属于接触力 必须两物体接触且有挤压或相对运动趋势才存在；不能把惯性力或向心力当作额外的真实力画上去；转换研究对象后 结论要靠牛顿第三定律转换方向 否则会得到相反的结果；只画研究对象受的力 多画或少画一个力后续方程全错。,p7 知识梳理,
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-007,MATERIAL,整体法与隔离法在受力分析中的应用,METHOD_MODEL,整体法与隔离法的选用,求外力用整体法、求内力用隔离法 两者交替使用可解多物体连接体问题。,连接体、叠放体、用轻绳或轻杆或弹簧相连的多物体系统 需要判断内力或外力时。,整体法与隔离法的分工：\n整体法：把几个物体看成一个系统 只分析系统外的物体对系统的作用力 不分析系统内各物体之间的内力。求系统受到的外力（如地面对系统的支持力、加在系统上的外力 $F$）时用整体法最简洁。\n隔离法：把某个物体单独取出 分析它受到的所有力。求系统内部的作用力（如A对B的压力、绳中张力）时必须用隔离法。\n转换研究对象法：当研究对象受力难以直接分析时（如分析地面对磁体的摩擦力 而磁体受力复杂） 转而分析与研究对象相互作用且受力简单的另一个物体（如铁块） 求出它受到的力后由牛顿第三定律得到所求。\n使用顺序：先整体求外力 再隔离求内力；也可先隔离受力最少的物体以打开局面。,整体法不能用来求内力 因为内力在整体中成对抵消；整体法中系统内各物体的加速度必须相同 若加速度不同则只能用牛顿第二定律的分量式分别处理；隔离研究对象时不能漏掉研究对象与系统外物体的所有接触力。,p7 方法梳理,b
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-008,MATERIAL,共点力平衡,METHOD_MODEL,处理平衡问题的三种常用方法,合成法、分解法、矢量三角形法三种处理三力及多力平衡的通用手段。,物体在三个或三个以上共点力作用下平衡 需要求某个力的大小或方向时。,处理共点力平衡问题的三种常用方法：\n1. 合成法\n物体受三个共点力作用而平衡 则任意两个力的合力一定与第三个力大小相等、方向相反。先把两个力合成 再与第三个力列平衡式。\n2. 分解法\n按效果分解：将某一个力按力的作用效果分解 则其分力和其他两个力分别满足平衡条件。\n正交分解法：物体受到三个或三个以上力的作用时 将物体所受的力分解为相互垂直的两组 每组力都满足平衡条件 即列 $\sum F_x=0$ 与 $\sum F_y=0$ 两个方程。多力平衡时优先用正交分解。\n3. 矢量三角形法\n对受三个共点力作用而平衡的物体 把力的矢量图平移 使三个力组成一个首尾依次相接的矢量三角形（闭合三角形） 再根据正弦定理、余弦定理或相似三角形等数学知识求解未知力。\n选用建议：三力平衡且夹角特殊时用合成法或矢量三角形法；三个以上力平衡时用正交分解法；三力之间存在几何长度关系时用相似三角形法。,合成法与矢量三角形法只适用于三力平衡 力多于三个时应先合成为三个力再处理；正交分解的两个坐标轴方向可任意选取 但应使尽量多的力落在坐标轴上以减少需分解的力；用矢量三角形时方向由首尾相接的顺序确定 方向画反会得出错误结论。,p8 方法梳理,
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-008,MATERIAL,降维法处理三维空间平衡,METHOD_MODEL,空间对称结构的单元分析法,n个单元呈空间对称时只分析其中一个单元 其竖直方向的合力与重力的n分之一平衡。,立体结构求张力或角度的问题 如多根等长绳悬挂同一物体、多个相同单元沿圆周分布、单杠、吊环等。,空间对称结构的多题归一处理：\n当题目给出的是 $n$ 个完全相同的单元 且它们在空间中对某个轴呈对称分布时（例如四根等长的细线把灯笼悬挂在水平天花板上、四根等长细线沿竖直方向共同拉起一个物体、单杠、无人机吊钢管等） 可以只分析其中一个单元。\n核心结论：这一个单元上竖直方向的合力 与重力的 $n$ 分之一相平衡 即每个单元承担的竖直分力都等于 $G/n$。\n操作步骤：\n1. 先由竖直方向的平衡求出每个单元承受的竖直分力 $G/n$。\n2. 再对这个单元单独做受力分析 结合绳与竖直方向的夹角 求出绳的张力或绳长、间距等几何量。\n3. 空间角度不直观时 把该单元投影到竖直平面内 化三维为二维。\n这样处理避免了对整体直接做三维受力分析 计算量大幅减少。也可用于逐段求绳的张力 例如 n 个小球串接悬挂时 第 k 与第 k+1 球之间绳的张力对应其下方 $n-k$ 个小球的重力在竖直方向的分量。,必须满足 $n$ 个单元完全相同且空间对称 否则各单元承担的竖直分力不相等 不能直接用 $G/n$；对称性只对竖直方向成立 水平方向的合力要靠对称性成对抵消 结构不对称时水平方向也会有合力；用前要确认多个单元是并联承受同一重力而非串联 串联时每段张力不同。,p8 多题归一,b
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-009,MATERIAL,整体法与隔离法在受力分析中的应用,METHOD_MODEL,多物体平衡的整体法与隔离法组合,出现两个或多个物体时用整体法或隔离法的组合策略 依题目灵活选择。,共点力平衡问题中出现两个或多个物体（叠放、串接、绳连接）时。,处理共点力平衡问题时若出现了两个或多个物体 一般会使用整体法或隔离法 具体有整体法加隔离法、隔离法加隔离法两种组合 可根据具体题目灵活应用。\n典型情景：斜绳悬挂小球、多个小球用绳串接悬挂、电场中带电小球的平衡、风中飘带、拱形结构等。\n选择原则：先整体求出系统与外界之间的力（地面对系统的支持力、摩擦力、外力） 再隔离受力个数较少的那个物体求内部作用力；也可以先隔离求出关键力 再整体核对结果。,不能对整体求系统内力；系统内各物体加速度不同时不能直接用整体法 需分别隔离或按牛顿第二定律的分量式处理；整体法与隔离法的分析结果必须相互一致 不一致说明漏力或方向画错。,p9 多题归一,
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-009,MATERIAL,NEW:匀质绳索平衡的选段分析法,METHOD_MODEL,匀质绳索平衡的选段分析法,对匀质绳索取一段做受力分析 再逐渐增减排所选段长 逐步求解。,匀质绳、飘带、链条、拱形结构等连续体的平衡问题 如悬挂重绳最低点的张力、绳中各点张力分布。,对于匀质绳索的平衡问题 可以选择合适的一段或几段进行受力分析计算；也可以选择一段进行受力分析 逐渐增加（或减少）所选段的长度 再进行受力分析计算 从而解决问题。\n操作要点：\n1. 取包含研究对象（如绳的最低点、某悬挂点）的一段绳作为隔离体 这一段的两端各受一个沿绳切线方向的张力。\n2. 对所取段列平衡方程 该段的重力作用在其重心 即该段的中点。\n3. 若一次取段无法解出 就把所选段加长或缩短 重新列式 直到方程可解。\n4. 绳上各点张力沿绳的切线方向 绳的最低点处张力沿水平方向。,所选段必须是匀质绳且重力按段长比例计算；绳不能看作轻绳 因为绳自身重力正是解题的关键；两端张力的方向沿各自端点处绳的切线 不能想当然地认为沿竖直方向；段取得越短计算越简单 但必须包含所有已知量。,p9 多题归一 建议父级：相互作用 5 共点力的平衡,b
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-009,MATERIAL,安培力作用下导体的平衡与加速问题,CONCEPT_EXPLANATION,电磁场中平衡问题的受力分析要点,静电场与磁场中平衡问题要关注场力方向 并把立体图转化为平面图。,通电导线在磁场中的平衡、带电体在静电场中的平衡等问题。,总结提升：\n1. 对于静电场、磁场中的平衡问题 受力分析时要注意静电力、磁场力方向的判断 再结合平衡条件分析求解。静电力方向由电荷正负与电场方向共同决定 安培力方向由左手定则结合电流方向和磁场方向确定。\n2. 涉及安培力的平衡问题 画受力示意图时要注意将立体图转化为平面图。通常取垂直于导线的截面（侧视图）或沿导线方向的视图 把三维的导线、磁场、重力画到同一个平面内 再按共点力平衡处理。\n3. 场力与其他力并存时 场力要按性质力单独画出 不能与其他力合并或漏画。,静电力、安培力都是性质力 要按受力分析的顺序单独画出；安培力方向同时垂直于电流方向和磁场方向 不能只凭直觉判断；立体图不转化为平面图容易把安培力的方向画错 导致方程整体错误；磁场方向与导线平行时安培力为零 也属于平衡的常见情形。,p9 总结提升,c
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-010,MATERIAL,共点力的动态平衡,METHOD_MODEL,三力作用下动态平衡的方法选择,按恒力个数与方向是否变化把三力动态平衡分为两类 各配对应方法。,物体受三个共点力作用而缓慢变化（动态平衡） 求某个力大小或方向的变化趋势时。,三力作用下的动态平衡（方法选择图）：\n第一步 分析物体受力情况 构建矢量三角形。\n第二步 按条件分为两类：\n1. 一个力为恒力、另一个力方向恒定（只有大小变化）：用图解法或解析法。通常把恒力固定 画出矢量三角形随另一个力变化的动态过程 直接看出各力的增减。\n2. 一个力为恒力、另外两个力的方向均变化：用相似三角形法、辅助圆图解法或正弦定理（或拉密定理）。\n使用要点：先判断三个力中哪个是不变的力 再看方向是否改变 据此选定方法 可以避免盲目列方程。,三个力必须是共点力且合力为零；缓慢一词意味着任一时刻都处于平衡 忽略动能变化；图解法只适用于方向变化的关系能画到同一三角形中的情形；方向均变化时必须找到第三个恒力作为参考 否则无法用相似三角形或辅助圆。,p10 总结提升,
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,206fb04353-010,MATERIAL,相似三角形-动态三角形-拉密定理等方法解决临界极值问题,METHOD_MODEL,正弦定理与拉密定理在力学中的应用,三个共点力平衡时各力与其对角正弦的比值相等 即拉密定理。,三力平衡中已知角度或力的几何关系、需要求某个力的大小时 尤其适合动态平衡与临界极值问题。,正弦定理：在任意三角形ABC中 $\dfrac{a}{\sin A}=\dfrac{b}{\sin B}=\dfrac{c}{\sin C}=2R$（$R$ 为 $\triangle ABC$ 外接圆的半径）。\n拉密定理：当三个共点力的合力为 0 时 其中任意一个力与其他两个力的夹角正弦的比值相等 即 $\dfrac{F_1}{\sin\alpha}=\dfrac{F_2}{\sin\beta}=\dfrac{F_3}{\sin\gamma}$ 其实质为正弦定理的变形。\n用法对照：\n- 物体受三个共点力平衡时 把表示三个力的有向线段作闭合矢量三角形 可用正弦定理求某一个力或分析力的变化。\n- 直接把三个力画成共点（合力为 0）的图形 应用拉密定理 比用正弦定理更加便捷。\n注意角度的取法：拉密定理中的 $\alpha$、$\beta$、$\gamma$ 分别是力 $F_1$、$F_2$、$F_3$ 各自对面的角 即另外两个力之间的夹角。,用正弦定理时必须把三个力首尾相接围成闭合三角形 力与角对应关系不能错位；拉密定理中的角是另外两个力之间的夹角 容易与矢量三角形中的角混淆；两个定理都只适用于三力平衡 力多于三个时必须先合成或分解为三力；角度用错会得到数值完全错误的结果。,p10 总结提升,b
