chunk_id,midx,node_slug,type,title,summary,applicability,content,boundary,note
5ac0808c8d-007,,无机盐,CONCEPT_EXPLANATION,细胞中无机盐的存在形式与作用,无机盐大多以离子形式存在、主要经主动运输吸收，参与构成化合物并维持生命活动、酸碱平衡和渗透压。,梳理无机盐的存在形式、吸收方式与四项生理作用。,①存在形式：细胞中大多数无机盐以离子的形式存在，阳离子如Na+、K+、Ca2+，阴离子如Cl-、SO42-。②吸收方式：主要为主动运输，通过离子通道进出细胞时为协助扩散。③作用一：某些重要化合物的组成部分，如Mg是构成叶绿素的元素、Fe是构成血红素的元素。④作用二：对于维持细胞和生物体的生命活动有重要作用，如人体内Na+缺乏会引起神经、肌肉细胞的兴奋性降低，出现肌肉酸痛、无力；血液中Ca2+含量太低会抽搐、含量太高则肌无力。⑤作用三：对维持细胞酸碱平衡非常重要。⑥作用四：维持正常渗透压即水盐平衡，细胞外液渗透压与Na+、Cl-有关，细胞内液渗透压与K+有关。,无机盐也参与有机物的合成（如Mg2+参与构成叶绿素），认为它只维持酸碱平衡、不参与合成是典型误判。,一轮复习讲义 第02讲 细胞中的元素和化合物 知识点2 细胞中的无机盐
899608dc9f-006,,无机盐,CONCEPT_EXPLANATION,无机盐的生理功能实例,缺钙引起肌肉抽搐、缺硼导致花而不实；无机盐还调节渗透压并维持内环境的酸碱平衡。,用实例说明无机盐维持生命活动、渗透压与酸碱平衡的作用。,①维持生命活动：足球运动员在激烈比赛中有时会出现肌肉抽搐，这是随汗液丢失了大量钙离子引起的；硼能促进花粉的萌发和花粉管的生长，缺少硼时常导致花而不实。这些实例说明无机盐对维持生物体的正常生命活动有着重要意义。②调节渗透压：无机盐能调节人体的渗透压，维持细胞的正常形态。③维持酸碱平衡：人体血液中存在H2CO3/NaHCO3和NaH2PO4/Na2HPO4等无机盐，对维持人体内环境酸碱平衡的相对稳定具有重要作用。④与吸收的关系：农田施肥的同时往往需要适当浇水，原因是肥料中的矿质元素只有溶解在水中才能被作物根系吸收。,答题要把作用落到具体离子（如Ca2+影响肌肉兴奋性、B影响花粉萌发），不能只笼统写调节生命活动。,一轮复习知识清单 第02讲 细胞中的元素和化合物 特别提醒
f8ce7af1fa-002,,脂质,CONCEPT_EXPLANATION,脂质的分类与功能,脂质主要由C、H、O组成，分为脂肪、磷脂和固醇三类，分别承担储能、构成生物膜和调节等功能。,比较脂肪、磷脂、固醇的元素组成、结构与功能。,①元素组成：脂质主要是C、H、O，有些还含有N、P；相对于糖类，脂质分子中氧含量低、氢含量高。②脂肪：由三分子脂肪酸和一分子甘油构成，是细胞内良好的储能物质，还有保温、缓冲和减压的作用。③磷脂：除C、H、O外还有P甚至N，由一分子甘油、二分子脂肪酸、一分子磷酸及其他衍生物构成，是构成生物膜的重要成分，在人和动物的脑、卵细胞、肝脏以及大豆种子中含量丰富。④固醇：元素组成为C、H、O，包括胆固醇（构成动物细胞膜的重要成分、参与人体血液中脂质的运输）、性激素（促进人和动物生殖器官发育和生殖细胞形成）和维生素D（促进人和动物肠道对钙和磷的吸收）。⑤溶解性：脂质通常不溶于水，而溶于脂溶性有机溶剂。,脂肪不参与生物膜的构成，磷脂才是所有细胞必不可少的脂质；脂质中只有脂肪可被苏丹Ⅲ染液染成橘黄色。,一轮复习知识清单 第03讲 糖类和脂质 考点2 细胞中的脂质
ef246a12be-007,,脂质,MISCONCEPTION_GUIDE,脂质的易错辨析与脂肪酸,磷脂是所有细胞必不可少的脂质而脂肪不参与生物膜；脂肪含C、H高而O低，也不是生物大分子。,排查脂质元素组成、脂肪酸类型与染色检测的易错判断。,①磷脂是所有细胞必不可少的脂质，脂肪不参与生物膜的构成。②脂质中只有脂肪可被苏丹Ⅲ染液染成橘黄色。③与糖类相比，脂肪中C、H含量高而O含量低，故脂肪氧化分解释放的能量多、需要O2多、产生的H2O多。④脂肪不是生物大分子，但脂肪也是以碳链为骨架的。⑤脂肪酸分为饱和脂肪酸和不饱和脂肪酸：长链中碳原子之间都以单键连接的为饱和脂肪酸，存在双键的为不饱和脂肪酸；植物脂肪大多数含有不饱和脂肪酸、室温时呈液态，大多数动物脂肪含有饱和脂肪酸、室温时呈固态，耐极端低温细菌的膜脂富含不饱和脂肪酸。⑥糖类转化为脂肪容易，脂肪转化为糖类困难。,脂肪只含C、H、O三种元素不含P，认为大豆中的脂肪和磷脂都含C、H、O、P是典型错误判断。,一轮复习讲义 第03讲 糖类和脂质 知识点2 细胞中糖类与脂质的关系
31cabeac93-006,,蛋白质相关计算题,METHOD_MODEL,蛋白质计算的核心关系式,肽键数等于脱水数等于氨基酸数减肽链数；相对分子质量用氨基酸总质量减去脱去水的质量。,由氨基酸数与肽链数推算肽键数、相对分子质量和各原子数。,①肽键数与脱水数：肽键数＝失去水分子数＝氨基酸数－肽链数。②相对分子质量：蛋白质相对分子质量＝氨基酸数目×氨基酸平均相对分子质量－脱去水分子数×18（不考虑形成二硫键）。③游离氨基或羧基：蛋白质中至少含有的氨基（或羧基）数＝肽链数；实际数目＝肽链数＋R基上的氨基（或羧基）数＝各氨基酸中氨基（或羧基）总数－肽键数。④原子守恒法：N原子数＝肽键数＋肽链数＋R基上的N原子数＝各氨基酸中N原子总数；O原子数＝肽键数＋2×肽链数＋R基上的O原子数＝各氨基酸中O原子总数－脱去水分子数；H原子数＝各氨基酸中H原子总数－2×脱去水分子数－2×二硫键数；C原子数＝氨基酸的分子数×2＋R基上的C原子数。因R基上的C原子数不易确定，计算时以N原子数或O原子数为突破口最简便。⑤水解计算：除去多肽内部的1个氨基酸需水解掉2个肽键，除去一端的1个氨基酸只需水解掉1个肽键；每水解1个肽键需1分子水参与，产物与原多肽相比氧原子增加1个、氢原子增加2个、氨基增加1个、羧基增加1个。,公式默认的是链状肽；环状肽要把肽链数视为0、肽键数等于氨基酸数，含二硫键时相对分子质量还要每键再减2。,一轮复习讲义 第04讲 蛋白质和核酸 知识点3 蛋白质的相关计算
31cabeac93-007,,蛋白质相关计算题,METHOD_MODEL,环状肽与二硫键的计算修正,环状多肽把肽链数视为0，肽键数等于脱去水分子数等于氨基酸数；每个二硫键使相对分子质量减少2。,计算环状多肽的肽键数、游离基团数及含二硫键蛋白质的相对分子质量。,①环状多肽的公式修正：可将公式中的肽链数视为0，再进行相关计算，即肽键数＝脱去水分子数＝氨基酸数。②环状多肽的游离基团：环状多肽主链中无游离的氨基和羧基，其所含氨基或羧基只存在于构成它的氨基酸的R基中，数目取决于R基中氨基和羧基的数目。③二硫键的修正：在计算蛋白质相对分子质量时，还要考虑是否存在特殊变化，如二硫键（－S－S－）的形成，每形成一个二硫键，脱去2个H，相对分子质量减少2。,环状肽没有游离的末端，所以至少含有的氨基数等于肽链数这条规律对它不成立，必须只看R基。,一轮复习讲义 第04讲 蛋白质和核酸 知识点3 蛋白质的相关计算（补充）
c244f5f146-030,,酶的作用和本质,CONCEPT_EXPLANATION,酶的作用机理与本质,活化能是分子转变为活跃状态所需的能量，酶能降低活化能；酶是活细胞产生的具催化作用的有机物。,理解活化能概念、酶催化原理及酶本质探索的科学史。,①活化能：分子从常态转变为容易发生化学反应的活跃状态所需要的能量。②原理：酶可以降低化学反应的活化能；同无机催化剂相比，酶降低活化能的作用更显著、催化效率更高，其意义是使细胞代谢能在温和条件下快速有序地进行。③本质探索历程：巴斯德提出只有活酵母菌细胞参与才能进行发酵，李比希认为酵母菌细胞死亡裂解后释放出某些物质引起发酵；毕希纳发现酵母菌细胞的提取液也能使糖液变成酒，把其中引起发酵的物质称为酿酶；萨姆纳1926年从刀豆种子中提取出脲酶并证明其化学本质是蛋白质；切赫和奥尔特曼发现少数RNA也具有催化功能。④酶的概念：酶是活细胞产生的具有催化作用的有机物，绝大多数是蛋白质，少数是RNA。⑤高效性：酶的催化效率大约是无机催化剂的10^7～10^13倍。,加热不能降低活化能，它只是为反应提供能量；说酶为反应提供能量是错误的。,一轮复习知识清单4 第五章第1节 降低化学反应活化能的酶 知识点一至二
b4db603e6e-001,,酶的作用和本质,CONCEPT_EXPLANATION,酶的作用机理与三大特性,酶可重复利用且既可作催化剂又可作底物，具有高效性、专一性和作用条件较温和三大特性。,辨析酶与无机催化剂的异同、专一性含义及温度、pH对酶活性的影响。,①作用机理：酶通过降低化学反应的活化能催化反应，可以重复多次利用、不会立即被降解；酶既可以作为催化剂，又可以作为另一个化学反应的底物。②高效性：酶与无机催化剂的相同点是都能降低化学反应的活化能、可加快化学反应速率、缩短达到平衡点的时间，但不改变平衡点。③专一性：每一种酶只能催化一种或一类化学反应，例如过氧化氢酶只能催化过氧化氢分解、脲酶只能催化尿素分解。④作用条件较温和：在最适温度和最适pH条件下酶的活性最高；高温、过酸、过碱等条件会使酶的空间结构遭到破坏而永久失活；低温条件下酶的活性很低但空间结构稳定，因此酶的保存宜选择低温、适宜的pH等条件。⑤拓展：锁钥学说认为酶表面具有与底物互补的特定形状，诱导契合学说认为酶表面没有固定形状，是底物诱导后才形成互补形状而有利于结合。,高温使酶失活不可恢复，低温只是抑制活性；检验蛋白酶对蛋白质的水解要选蛋白块，不能用双缩脲试剂。,一轮复习讲义 第8讲 酶和ATP 考点一 酶在代谢中的作用
c244f5f146-035,,atp的结构和功能,CONCEPT_EXPLANATION,ATP的结构简式与结构特点,ATP是腺苷三磷酸，结构简式为A—P～P～P，含两个特殊化学键，1 mol ATP水解释放30.54 kJ能量。,辨识ATP的组成、元素、结构简式与高能的确切含义。,①中文名称：ATP是腺苷三磷酸的英文名称缩写。②结构简式：A—P～P～P，其中A代表腺苷（由腺嘌呤和核糖组成），T代表三，P代表磷酸基团，—代表普通化学键，～代表一种特殊的化学键。③元素组成：C、H、O、N、P。④结构特点之一是不稳定：由于两个相邻的磷酸基团都带负电荷而相互排斥等原因，～这种化学键不稳定，末端磷酸基团有一种离开ATP而与其他分子结合的趋势，即具有较高的转移势能。⑤结构特点之二是高能量：1 mol ATP水解释放的能量高达30.54 kJ，所以说ATP是一种高能磷酸化合物。⑥功能：ATP是驱动细胞生命活动的直接能源物质。,ATP不等于能量，它是一种储存能量的高能磷酸化合物；ATP中的A是腺苷，与腺嘌呤脱氧核苷酸中的A含义不同。,一轮复习知识清单4 第2节 细胞的能量货币ATP 知识点一
43f6e87739-001,,atp的结构和功能,CONCEPT_EXPLANATION,ATP与ADP的相互转化,ATP与ADP的相互转化从物质看可逆、从酶和能量看不可逆，二者时刻转化使ATP含量保持动态平衡。,辨析ATP与ADP转化的可逆性、合成ATP的能量来源与ATP的利用。,①转化不可逆：ATP与ADP的相互转化不是一个可逆反应，原因是从物质方面来看是可逆的，但从酶、进行的场所、能量的来源等方面来看是不可逆的。②含量动态平衡：人体内ATP的含量很少，但在剧烈运动时ATP的总含量并没有太大变化，原因是ATP与ADP时刻不停地发生相互转化，并且处于动态平衡之中。③水解过程：ATP转化为ADP是水解过程，需要水作为反应物。④合成ATP的能量来源：绿色植物既可来自光能，也可以来自呼吸作用所释放的能量；动物、人、真菌和大多数细菌均来自细胞进行呼吸作用时有机物分解所释放的能量。⑤化学结构相似的GTP（鸟苷三磷酸）也能供能，原因是它含有两个特殊的化学键，远离鸟苷的那个特殊化学键容易水解断裂并释放能量。,ATP不一定在有氧条件下合成，无氧呼吸也能产生ATP；唾液淀粉酶水解淀粉不消耗ATP。,一轮复习讲义 第三单元 第10课时 细胞的能量货币ATP
