subject,slug,boundary_body
MATH,函数的概念,阐明函数是集合间唯一对应关系这一概念，并包含由方程判断是否构成函数关系。与导数的概念、排列与组合等概念相区分。范围限于概念本身的建立，不涉及具体函数的性质。
MATH,函数的定义域,讨论如何确定函数的定义域，即使解析式有意义时自变量的取值集合。多个条件并存时取交集，需使用交集的符号。定义域是研究函数奇偶性、单调性等性质的前提，须先予检验。
MATH,函数的值域,讨论函数因变量的所有可能取值构成的集合，即值域。它与定义域相配套，两者共同构成函数的基本范围。值域由定义域和对应关系决定，是刻画函数取值大小的基本属性。
MATH,函数的对应关系,聚焦函数三要素中的对应关系，即定义域元素如何唯一映到值域。延伸到由三要素判定两个函数是否同一函数，以及通过图象判断对应关系。与样本相关系数的公式相区分，后者属统计学，度量两组数据的线性相关程度。
MATH,函数的单调性,讨论函数在区间上递增或递减的判断，并给出单调性的定义及其两种等价形式。单调性必须结合具体区间讨论，不指明区间说函数单调没有意义。它是利用单调性比较大小的基础。
MATH,函数的奇偶性,讨论函数的奇偶性质，满足f(-x)=f(x)为偶函数，满足f(-x)=-f(x)为奇函数。延伸到正弦、余弦、正切等三角函数形式的奇偶性判定。奇偶性的前提是定义域关于原点对称，否则必非奇非偶。
MATH,函数的周期性,讨论函数值随自变量变化呈规律重复，即周期性，并给出常用周期性结论。对三角函数，最小正周期与自变量系数有关，如正切型函数最小正周期为T=π/|ω|。周期须结合最小正周期讨论，周期并不唯一。
MATH,函数的对称性,讨论函数图象的轴对称与点对称，即对称性。延伸到平移后偶函数的对称轴，如f(x+1)为偶函数，以及正弦、余弦等三角函数的对称轴与对称中心。轴对称与点对称是两类不同的对称结构，须加区分。
MATH,幂函数,讨论形如y=x^a的幂函数，即其定义与性质。幂函数与指数函数y=a^x相区分：幂函数底为变量、指数为常数，指数函数则相反。其单调性、奇偶性与图象特征随指数a的取值而不同。
MATH,判别式法-主要用于含有二次的分式函数-形如,判别式法主要用于求含二次项的分式函数的值域。思路是把函数式化成关于x的方程，由方程有实解、判别式非负，夹逼出y的取值范围。应用时须考虑原函数定义域，并注意变形的等价性，要与导数法求最值相区分。
MATH,为奇函数,针对判断某具体函数为奇函数，依据奇偶性定义f(-x)=-f(x)及其判定结论。前提是定义域关于原点对称。它与偶函数相对，二者共同构成奇偶性的两种基本形态。
MATH,函数的奇偶性-周期性-对称性关系,讨论函数奇偶性、对称性、周期性三者之间的相互推出关系，并给出五种常用对称关系。核心规律是三结论中任意两个可推出第三个，双对称函数必为周期函数。多用于由已知对称结构求周期或奇偶性。
MATH,判断抽象函数单调性的方法,讨论未给解析式的抽象函数如何判断单调性，核心方法是凑与赋值：凑是利用定义或已知条件，赋值是按条件与结论的关系给变量取值。和型、积型抽象函数须先变形再判断符号。延伸到周期性等抽象函数性质的判定与应用。
MATH,忽略二次型式子最高次系数为0致错,针对含参二次问题中最高次项系数可能为0的易错点：系数为0时函数由二次退化为一次，须先讨论系数是否为0。二次型中首项系数非零图象为抛物线，为零则变为一次函数。要与确定的二次函数相区分，含参时须分类讨论。
MATH,判断函数奇偶性时忽略定义域致错,针对只按解析式判断奇偶而忽略定义域的易错点。奇偶的必要条件是定义域关于原点对称，不满足则必非奇非偶。只有在定义域对称的前提下再按f(-x)=±f(x)判断，才能完成不跳过定义域检验的完整判断。
MATH,利用单调性解不等式时忽略定义域致错,针对用单调性解不等式时忽略定义域、直接去函数符号求解的易错点。用单调性解不等式须先保证不等式两侧自变量都在定义域内，再利用单调性转化。和、积混合的抽象不等式还要结合奇偶性变形，并注意系数比关系。
MATH,研究分段函数单调性时忽略分段点致错,针对研究分段函数单调性时只看各段、忽略分段点的易错点。分段函数在区间上单调须同时满足两段条件：每段同向单调，且分段点两侧函数值衔接不破坏单调方向。求参数时须单独检验分段点。
MATH,方程组法-主要解决已知与-的方程-求解析式,方程组法主要用于由含f(x)与f(-x)的对称型函数方程求解析式。思路是把原条件中自变量换为-x得到第二个式子，与原式联立，消去未知函数值解出解析式。要与只给单一条件直接读式的方法相区分。
MATH,分段函数的常见类型及解法,覆盖分段函数求值、解方程或不等式、求最值或值域、作图象四类常见问题。核心是分类讨论：先确定自变量落在哪一段，在该段求解，再检验解是否符合该段取值范围。求值有时须交替使用各段对应关系，作图注意各段端点虚实。
MATH,利用函数的单调性求参数,讨论利用函数单调性条件求参数取值范围：把参数视为已知数，依据图象或单调性定义确定函数单调区间，再与已知单调区间比较。须注意函数在区间上单调则在其任意子区间上也单调。也包含幂函数的参数求法。
MATH,利用奇偶性求值-将待求函数值或不等式利用奇偶性转化为已知区间上的函数值求解,利用奇偶性求值指借助函数奇偶性，把待求的未知区间函数值转化为已知区间上的函数值求解。还延伸到用奇偶性恒等式求解析式参数，以及两奇偶函数和差时构造方程组求解析式。常与周期性结合处理求值与不等式问题。
MATH,二次函数在闭区间上的最值问题,讨论二次函数在闭区间上求最大最小值。按对称轴与区间是否固定分为四类，关键都是对称轴与区间的位置关系。含参数时须按对称轴与区间端点的位置关系分类讨论，比较顶点与两端点的函数值确定最值。
MATH,指数型复合函数的值域问题,讨论指数型复合函数值域的求法：用换元把复合函数化为简单函数，但要注意新元的取值范围，再依据指数函数单调性求值域。核心是内层先、外层后的复合转化，不能直接沿用内层函数的范围。
MATH,对数型复合函数的值域问题的求解策略,讨论对数型复合函数值域的求解策略：用换元先求内层函数值域，再依据对数函数单调性进一步转化求外层值域。关键要区分对数底数大于1还是介于0与1，它决定单调方向，影响值域的转化。
MATH,嵌套函数的零点问题,讨论复合嵌套函数零点个数的求法：先区分内层与外层函数，求外层函数零点，再转化为一条水平线与内层函数图象的交点个数。包含由外向内和由内向外、整体替换两种求解路径，后者常用于复合三角方程根的分层处理。
MATH,函数零点的求和问题,讨论函数多个零点之和的求法：把零点问题转化为两个函数图象的交点问题，若两图象都关于同一直线或同一点对称，则交点成对出现，每对零点和可直接得出。关键是先识别图象的对称轴或对称中心。
MATH,忽略对指数与对数底数的讨论致错,针对指数或对数函数底数不是确定值时忽略讨论底数的易错点。底数须分a大于1或0小于a小于1两种情况讨论，因为两种情况下函数单调方向相反。要与底数确定的函数相区分，后者无需此种分类。
MATH,求复合函数单调性时忽略定义域致错,针对求复合函数单调性时未先求定义域、直接按同增异减写单调区间的易错点。一般步骤是先求函数定义域，再依内外层单调性用同增异减法写单调区间。两类常见错误是忽视定义域和法则用错。
MATH,对零点存在定理理解不准确致错,针对对零点存在定理适用条件理解不清的易错点。定理要求函数在区间上连续且两端点函数值异号，才能推出区间内有零点；它不可逆，端点不变号并不意味无零点。也要区分变号零点与不变号零点的分类。
MATH,对数运算中的几个运算技巧,总结对数运算的三个常用技巧：用提公因式、平方差或完全平方构造已知结构再化简；两个对数底数真数位置颠倒时用乘积公式化简；把指数恒等式指对互化设元求值。它们是在基本对数运算法则之上的化简技巧。
MATH,幂函数的图象与性质,讨论幂函数图象的画法与性质。把握图象靠x=1、y=1、y=x三条线把第一象限分成六个区域，图象位置由指数a的取值确定，其余象限部分由奇偶性决定。要与指数函数图象相区分。
MATH,指数函数的图象与性质应用,讨论指数函数图象问题的两大策略：数形结合，依据上升下降、定点、与坐标轴交点、值域等特征识别图象；变换作图，从基本指数函数图象经平移、伸缩、对称变换得到复杂图象。变换时须跟踪定点、渐近线等特殊点线的变化。
MATH,对数函数的图象与性质应用,讨论对数函数图象的识别与应用。识别图象要善于利用函数性质和图象上的特殊点排除错误选项，一些对数型方程、不等式问题可转化为图象问题用数形结合求解。要与指数函数图象相区分，二者互为反函数。
MATH,构造函数-运用函数的单调性比较,构造函数比较大小指观察待比数的同构结构，构造合适函数，再用其单调性比较大小。对抽象函数可借对称、周期等性质去掉函数符号；对有解析式的函数可求导或利用性质找单调性。某数的同构规律可能被隐藏，宜先从结构最接近的两个数入手。
MATH,性质法-利用函数性质-若能确定函数的单调性-则其零点个数不难得到,性质法指依据函数单调性、周期性、对称性等固有性质判断零点个数。若函数是周期函数，只需先求一个周期内零点个数再推广。适用于三次函数、三角函数等确定形态的函数，常与数形结合判断交点个数配合使用。
