subject,slug,name,kind,current_book,current_chapter,declared_book,declared_chapter
MATH,函数的相关概念,函数的相关概念,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,函数的三要素,函数的三要素,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,相等函数与分段函数,相等函数与分段函数,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,单调函数的定义,单调函数的定义,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,函数的单调区间,函数的单调区间,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,函数单调性的性质,函数单调性的性质,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,函数奇偶性的几个重要结论,函数奇偶性的几个重要结论,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,周期函数的定义,周期函数的定义,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,关于线对称,关于线对称,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,关于点对称,关于点对称,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,函数值域的求法,函数值域的求法,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,配方法-主要用于二次函数或可化为二次函数的函数-要特别注意自变量的取值范围,配方法,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,判别式法-主要用于含有二次的分式函数-形如,判别式法：主要用于含有二次的分式函数，形如：,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,为奇函数,为奇函数．,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,函数的奇偶性-周期性-对称性关系,函数的奇偶性、周期性、对称性关系,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,抽象函数的性质综合,抽象函数的性质综合,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,判断抽象函数单调性的方法,判断抽象函数单调性的方法：,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,复合函数定义域忽略内层值域与外层定义域关系致错,复合函数定义域忽略内层值域与外层定义域关系致错,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,忽略二次型式子最高次系数为0致错,忽略二次型式子最高次系数为0致错,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,判断函数奇偶性时忽略定义域致错,判断函数奇偶性时忽略定义域致错,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,利用单调性解不等式时忽略定义域致错,利用单调性解不等式时忽略定义域致错,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,研究分段函数单调性时忽略分段点致错,研究分段函数单调性时忽略分段点致错,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,函数定义域的常见类型,函数定义域的常见类型,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,偶次方根的被开方数的被开方数必须大于等于零-即中,n次方根的性质,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,待定系数法-若已知函数的类型-如一次函数-二次函数等-可用待定系数法,待定系数法,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,换元法-主要用于解决已知的解析式-求函数的解析式的问题,换元法,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,方程组法-主要解决已知与-的方程-求解析式,方程组法,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,分段函数的常见类型及解法,分段函数的常见类型及解法,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,比较函数值的大小-先将自变量转化到同一个单调区间内-然后利用函数的单调性解决,比较函数值的大小,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,利用函数的单调性求参数,利用函数的单调性求参数,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,利用奇偶性求值-将待求函数值或不等式利用奇偶性转化为已知区间上的函数值求解,利用奇偶性求值,prefix_only,数学必修第一册,函数的概念与性质,数学必修第一册,第三章 函数的概念与性质
MATH,根式与分数指数幂,根式与分数指数幂,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指数幂的运算性质,指数幂的运算性质,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数与对数运算,对数与对数运算,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,幂函数的定义-一般地-函数y-xα叫做幂函数-其中x是自变量-α是常数,幂函数的定义,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,幂函数的性质,幂函数的性质,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指数函数及其性质,指数函数及其性质,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指数函数的常用技巧,指数函数的常用技巧,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数函数的概念,对数函数的概念,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数函数图象的常用结论,对数函数图象的常用结论,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,函数零点的定义,函数零点的定义,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,函数零点存在定理,函数零点存在定理,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,二分法,二分法,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,二次函数在闭区间上的最值问题,二次函数在闭区间上的最值问题,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指数型复合函数的单调性问题,指数型复合函数的单调性问题,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指数型复合函数的值域问题,指数型复合函数的值域问题,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数型复合函数的单调性问题的求解策略,对数型复合函数的单调性问题的求解策略,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数型复合函数的值域问题的求解策略,对数型复合函数的值域问题的求解策略,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,嵌套函数的零点问题,嵌套函数的零点问题,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,函数零点的求和问题,函数零点的求和问题,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,忽略对指数与对数底数的讨论致错,忽略对指数与对数底数的讨论致错,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,求复合函数单调性时忽略定义域致错,求复合函数单调性时忽略定义域致错,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对零点存在定理理解不准确致错,对零点存在定理理解不准确致错,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指数幂运算的一般原则,指数幂运算的一般原则,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数混合运算的一般原则,对数混合运算的一般原则,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数运算中的几个运算技巧,对数运算中的几个运算技巧,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,幂函数的图象与性质,幂函数的图象与性质,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指数函数的图象与性质应用,指数函数的图象与性质应用,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,对数函数的图象与性质应用,对数函数的图象与性质应用,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,指对幂比较大小的常用方法,指对幂比较大小的常用方法,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,作差法-作商法,作差法、作商法,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,估值法-1-估算要比较大小的两个值所在的大致区间,估值法,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,构造函数-运用函数的单调性比较,构造函数法比较大小,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,定理法-利用零点存在定理-函数的图象在区间上是连续不断的曲线-且,定理法,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,性质法-利用函数性质-若能确定函数的单调性-则其零点个数不难得到,性质法,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,直接法-利用零点存在的判定定理构建不等式求解,直接法：利用零点存在的判定定理构建不等式求解；,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,分离参数法-分离参数后转化为求函数的值域-最值-问题求解,分离参数法,same_book_other_chapter,数学必修第一册,函数的概念与性质,数学必修第一册,第四章 指数函数与对数函数
MATH,重要不等式-当且仅当时取号,"重要不等式：,（当且仅当时取号）.",same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,利用基本不等式求最值,利用基本不等式求最值,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,不等式恒成立与能成立问题,不等式恒成立与能成立问题,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,含参一元二次不等式的解法,含参一元二次不等式的解法,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,忽视不等式性质成立的条件致错,忽视不等式性质成立的条件致错,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,忽视基本不等式应用的条件致错,忽视基本不等式应用的条件致错,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,连续使用基本不等式忽略等号同时成立致错,连续使用基本不等式忽略等号同时成立致错,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,解分数不等式忽略分母不为零致错,解分数不等式忽略分母不为零致错,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,作差法,作差法,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,利用不等式的性质求数-式-的范围,利用不等式的性质求数（式）的范围,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,解一元二次不等式的步骤,解一元二次不等式的步骤,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,基本不等式的实际应用,基本不等式的实际应用,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,在求函数的最值时-一定要在定义域-使实际问题有意义的自变量的取值范围-内求解,在求函数的最值时,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,证明不等式,证明不等式,same_chapter_alias,数学必修第一册,不等式,数学必修第一册,第二章 一元二次函数、方程和不等式
MATH,集合运算中的常用二级结论,集合运算中的常用二级结论,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,充要条件,充要条件,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,全称量词与全称量词命题,全称量词与全称量词命题,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,存在量词与存在量词命题,存在量词与存在量词命题,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,命题的否定-对命题p加以否定-得到一个新的命题-记作-读作-非p-或p的否定,命题的否定,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,利用元素与集合的关系求参数,利用元素与集合的关系求参数,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,利用集合间的关系求参数,利用集合间的关系求参数,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,根据交集-并集-补集的运算结果求参数,根据交集、并集、补集的运算结果求参数,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,利用充分必要条件求参数,利用充分必要条件求参数,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,端点取值需谨慎-在求参数范围时-要注意边界或区间端点值的检验-从而确定取舍,端点取值需谨慎,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,根据全称-存在量词命题的真假求参数,根据全称、存在量词命题的真假求参数,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,解决双变量-存在性-或-任意性-的等式问题,解决双变量“存在性”或“任意性”的等式问题,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,解决双变量-存在性-或-任意性-的不等式问题,解决双变量“存在性”或“任意性”的不等式问题,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,对集合表示方法的理解偏差致错,对集合表示方法的理解偏差致错,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,忽视-漏-空集致错,忽视（漏）空集致错,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
MATH,忽视集合元素的互异性致错,忽视集合元素的互异性致错,prefix_only,数学必修第一册,集合与常用逻辑用语,数学必修第一册,第一章 集合与常用逻辑用语
