subject,slug,action,new_name,new_slug,reason
MATH,已知的定义域为-求的定义域-其实质是的取值范围为-求的取值范围,rename,复合函数定义域的求法,,原文线索"已知的定义域为，求的定义域，其实质是…"；同专题材料有《复合函数定义域的求解规则》
MATH,已知的定义域-求的定义域-要先按-2-求出的定义域,rename,由复合函数定义域求外层函数定义域,,与上一条互为反方向；摘录是典例，但名称指向"已知f(g(x))定义域求f(x)定义域"这一真实方法
MATH,偶次方根的被开方数的被开方数必须大于等于零-即中,rename,偶次方根被开方数的取值范围,,原文线索"奇次方根的被开方数取全体实数"与之成对；原名有"的被开方数的被开方数"重复串接错误
MATH,零次幂的底数不能为零-即中,rename,零次幂的底数限制,,摘录讨论定义域约束；原名是陈述句，改为概念名
MATH,在中-角a-的对边分别为-且,delete,,,纯题干（摘录"(1)求；(2)若，求."且该来源单元无任何材料）——抽取事故
MATH,在求函数的最值时-一定要在定义域-使实际问题有意义的自变量的取值范围-内求解,rename,求函数最值时须在定义域内,,摘录是基本不等式实际应用的典例；名称本身是真实的易错点
MATH,在等差数列-an-中-当m-n时-d-为公差公式-利用这个公式很容易求出公差,rename,等差数列的公差公式,,原文线索"还可变形为am＝an＋(m－n)d"即公差公式 d=(am-an)/(m-n)
MATH,若s奇表示奇数项的和-s偶表示偶数项的和-公差为d,rename,等差数列奇偶项和的性质,,原文线索给出 S偶－S奇＝nd（偶数项）与 S奇－S偶＝an（奇数项）
MATH,在棱长为的正四面体中-高-外接球半径-内切球半径,rename,正四面体的高与外接球、内切球半径,,名称指向正四面体三个半径公式；公式数值在抽取时被剥离
MATH,立体几何中的探索性问题立体几何中的探索性问题的主要类型,rename,立体几何探索性问题的主要类型,,原名有整段重复串接；原文线索"①探索条件②探索结论"
MATH,利用-线线平行-线面平行-面面平行-的相互转化,rename,线线、线面、面面平行的相互转化,,摘录是典例，但名称指向平行关系转化的真实方法
MATH,α-γ-β-γ-α-β-l-l-γ-客观题可用,rename,面面垂直的性质推论,,名称是结论式（α⊥γ，β⊥γ，α∩β＝l⇒l⊥γ），改为概念名
PHYSICS,路程-物体运动轨迹的长度-只有大小-没有方向-是标量-其单位就是长度的单位,merge,,路程,与既有节点「路程」是同一概念（本条只是把定义写进了名称）
PHYSICS,分类,rename,匀变速直线运动的分类,,原文线索"匀加速直线运动…匀减速直线运动"即按加速度与速度方向分类
PHYSICS,基本规律-x1,rename,自由落体运动的基本规律,,原文线索给出 v＝gt、h＝½gt²、v²＝2gh 三式
PHYSICS,在1t末-2t末-3t末-4t末-n-t末的速度比为-1-2-3-n,rename,初速度为零的匀变速直线运动的推论,,原文线索列出速度比、位移比、连续等位移时间比
PHYSICS,解题方法,rename,自由落体运动规律的应用,,原文线索是初速度为零规律的适用与"从中间截取的一段不是自由落体"
PHYSICS,意义,rename,牛顿第一定律的意义,,原文线索"揭示了物体的一种固有属性——惯性""揭示了力的本质"
PHYSICS,定义-物体具有保持原来匀速直线运动状态或静止状态的性质-质量是惯性的唯一量度,rename,惯性,,原文线索"惯性是物体的固有属性…只与物体的质量有关"
PHYSICS,公式,rename,牛顿第二定律的公式与适用条件,,原文线索列出 F、m、a 与惯性参考系/宏观低速两条适用条件
