subject,point_slug,prereq_slug,verdict,reason
MATH,函数的概念,函数的对称性,inverted,对称性是函数性质，实际概念是前提
MATH,函数的定义域,函数的奇偶性,inverted,奇偶性要求定义域对称，实际定义域在先
MATH,函数的值域,函数的三要素,inverted,三要素是定义域值域对应之总结，实际值域在先
MATH,函数的对应关系,函数的定义域,unrelated,定义并列要素，同时引入无先后
MATH,函数的单调性,函数的单调区间,inverted,单调区间由单调性派生，实际单调性在先
MATH,函数的奇偶性,函数的周期性,unrelated,平行函数性质
MATH,函数的周期性,函数的单调性,unrelated,平行性质无前置关系
MATH,函数的对称性,函数的对应关系,unrelated,中间隔函数概念，无直接前置
MATH,函数的相关概念,函数的概念,valid,相关概念以函数概念为基础
MATH,函数的三要素,函数定义域的常见类型,inverted,常见类型是定义域应用，实际三要素在先
MATH,相等函数与分段函数,直线的方程,unrelated,直线方程在不同册无关
MATH,单调函数的定义,利用函数的单调性求参数,inverted,求参数是定义的应用，实际定义在先
MATH,函数的单调区间,函数的值域,unrelated,平行概念无前置关系
MATH,函数单调性的性质,函数值域的求法,inverted,求值域用到单调性，实际单调性在先
MATH,函数奇偶性的几个重要结论,函数单调性的性质,unrelated,奇偶性与单调性平行
MATH,周期函数的定义,同角三角函数的基本关系,unrelated,不同章节无关
MATH,关于线对称,关于点对称,unrelated,平行对称概念
MATH,关于点对称,全称量词与全称量词命题,unrelated,逻辑用语与函数对称无关
MATH,函数值域的求法,关于线对称,unrelated,无前置关系
MATH,为奇函数,两角和与差的公式,unrelated,三角公式与奇偶性无关
MATH,抽象函数的性质综合,抛物线的焦点与准线,unrelated,圆锥曲线与抽象函数无关
MATH,函数定义域的常见类型,函数奇偶性的几个重要结论,unrelated,互非对方前提
MATH,分段函数的常见类型及解法,函数零点的求和问题,unrelated,平行专题无关
MATH,利用函数的单调性求参数,利用充分必要条件求参数,unrelated,平行求参数技巧
MATH,指数幂的运算性质,指数型复合函数的单调性问题,unrelated,中间隔指数函数，无直接前置
MATH,对数与对数运算,对数,valid,对数运算建立在对数概念上
MATH,幂函数的性质,幂函数的图象与性质,unrelated,同一概念不同侧面
MATH,指数函数及其性质,指数函数,valid,性质建立于指数函数概念
MATH,指数函数的常用技巧,指数函数的图象与性质应用,unrelated,平行应用技巧
MATH,对数函数的概念,对数函数的图象与性质应用,inverted,应用建立于概念，实际概念在先
MATH,对数函数图象的常用结论,对数函数,valid,图象结论建立于对数函数概念
MATH,函数零点的定义,函数零点存在定理,inverted,存在定理以零点定义为基础
MATH,函数零点存在定理,函数的相关概念,unrelated,中间隔零点定义，无直接前置
MATH,二分法,二倍角公式,unrelated,三角公式与二分法无关
MATH,二次函数在闭区间上的最值问题,二分法,unrelated,不同专题无关
MATH,指数型复合函数的单调性问题,指数型复合函数的值域问题,unrelated,平行应用问题
MATH,指数型复合函数的值域问题,指数函数的常用技巧,unrelated,平行应用无直接前置
MATH,嵌套函数的零点问题,对零点存在定理理解不准确致错,unrelated,易错辨析非前置
MATH,函数零点的求和问题,函数零点的定义,valid,零点求和以零点定义为基础
MATH,对零点存在定理理解不准确致错,对数运算中的几个运算技巧,unrelated,对数运算与零点定理无关
MATH,指数幂运算的一般原则,指数幂的运算性质,valid,运算原则建立于运算性质
MATH,对数混合运算的一般原则,对数函数的概念,unrelated,对数运算先于对数函数
MATH,对数运算中的几个运算技巧,对数运算,valid,运算技巧建立于对数运算法则
MATH,幂函数的图象与性质,幂函数,valid,图象与性质建立于幂函数定义
