subject,slug,name,book,chapter,section,score
MATH,函数的概念,函数的概念,数学必修第一册,第三章 函数的概念与性质,3.1 函数的概念及其表示,0.67
MATH,函数的定义域,函数的定义域,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.40
MATH,函数的值域,函数的值域,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,函数的对应关系,函数的对应关系,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,函数的单调性,函数的单调性,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,函数的奇偶性,函数的奇偶性,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.40
MATH,函数的周期性,函数的周期性,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.40
MATH,函数的对称性,函数的对称性,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,幂函数,幂函数,数学必修第一册,第三章 函数的概念与性质,3.3 幂函数,1.00
MATH,指数,指数,数学必修第一册,第四章 指数函数与对数函数,4.1 指数,1.00
MATH,指数函数,指数函数,数学必修第一册,第四章 指数函数与对数函数,4.2 指数函数,1.00
MATH,对数,对数,数学必修第一册,第四章 指数函数与对数函数,4.3 对数,1.00
MATH,对数函数,对数函数,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,1.00
MATH,换底公式,换底公式,数学必修第一册,第五章 三角函数,5.3 诱导公式,0.33
MATH,对数运算,对数运算,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.2 导数的运算,0.75
MATH,指数不等式,指数不等式,数学必修第一册,第四章 指数函数与对数函数,4.1 指数,0.50
MATH,任意角与弧度制,任意角与弧度制,数学必修第一册,第五章 三角函数,5.1 任意角和弧度制,1.00
MATH,三角函数的定义,三角函数的定义,数学必修第一册,第五章 三角函数,5.7 三角函数的应用,0.67
MATH,同角三角函数的基本关系,同角三角函数的基本关系,数学必修第一册,第五章 三角函数,5.7 三角函数的应用,0.44
MATH,诱导公式,诱导公式,数学必修第一册,第五章 三角函数,5.3 诱导公式,1.00
MATH,三角函数的图象与性质,三角函数的图象与性质,数学必修第一册,第五章 三角函数,5.4 三角函数的图象与性质,1.00
MATH,正弦函数,正弦函数,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,余弦函数,余弦函数,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,正切函数,正切函数,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,三角函数的值域与最值,三角函数的值域与最值,数学必修第一册,第五章 三角函数,5.7 三角函数的应用,0.57
MATH,函数y-asin-ωx-φ-的图象,函数y=Asin(ωx+φ)的图象,数学必修第一册,第五章 三角函数,5.6 函数 y=Asin(ωx+φ),0.67
MATH,三角恒等变换,三角恒等变换,数学必修第一册,第五章 三角函数,5.5 三角恒等变换,1.00
MATH,两角和与差的公式,两角和与差的公式,数学必修第一册,第五章 三角函数,5.3 诱导公式,0.29
MATH,二倍角公式,二倍角公式,数学必修第一册,第五章 三角函数,5.3 诱导公式,0.29
MATH,正弦定理,正弦定理,数学选择性必修第三册,第七章 随机变量及其分布,7.4 正态分布,0.20
MATH,余弦定理,余弦定理,数学选择性必修第三册,第六章 计数原理,6.3 二项式定理,0.17
MATH,三角形面积公式,三角形面积公式,数学必修第一册,第五章 三角函数,5.3 诱导公式,0.22
MATH,边角互化,边角互化,数学必修第一册,第五章 三角函数,5.7 三角函数的应用,0.14
MATH,解三角形的实际应用,解三角形的实际应用,数学必修第一册,第五章 三角函数,5.7 三角函数的应用,0.29
MATH,不等式的基本性质,不等式的基本性质,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.67
MATH,一元二次不等式,一元二次不等式,数学必修第一册,第二章 一元二次函数、方程和不等式,2.3 二次函数与一元二次方程、不等式,0.60
MATH,基本不等式,基本不等式,数学必修第一册,第二章 一元二次函数、方程和不等式,2.2 基本不等式,1.00
MATH,不等式恒成立,不等式恒成立,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.29
MATH,绝对值不等式,绝对值不等式,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.33
MATH,数列的概念,数列的概念,数学选择性必修第二册,第四章 数列,4.1 数列的概念,1.00
MATH,等差数列,等差数列,数学选择性必修第二册,第四章 数列,4.2 等差数列,1.00
MATH,等差数列的通项,等差数列的通项,数学选择性必修第二册,第四章 数列,4.2 等差数列,0.60
MATH,等差数列的前n项和,等差数列的前n项和,数学选择性必修第二册,第四章 数列,4.2 等差数列,0.60
MATH,等比数列,等比数列,数学选择性必修第二册,第四章 数列,4.3 等比数列,1.00
MATH,等比数列的通项,等比数列的通项,数学选择性必修第二册,第四章 数列,4.3 等比数列,0.60
MATH,等比数列的前n项和,等比数列的前n项和,数学选择性必修第二册,第四章 数列,4.3 等比数列,0.60
MATH,数列求和,数列求和,数学选择性必修第二册,第四章 数列,4.2 等差数列,0.50
MATH,数学归纳法,数学归纳法,数学选择性必修第二册,第四章 数列,4.4 数学归纳法,1.00
MATH,导数的概念,导数的概念,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.1 导数的概念及其意义,0.67
MATH,导数的几何意义,导数的几何意义,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.1 导数的概念及其意义,0.50
MATH,基本初等函数的导数,基本初等函数的导数,数学必修第一册,第三章 函数的概念与性质,3.2 函数的基本性质,0.57
MATH,导数的运算法则,导数的运算法则,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.2 导数的运算,0.67
MATH,复合函数的导数,复合函数的导数,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.3 导数在研究函数中的应用,0.43
MATH,函数的单调性与导数,函数的单调性与导数,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.3 导数在研究函数中的应用,0.43
MATH,函数的极值,函数的极值,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,函数的最值,函数的最值,数学必修第一册,第四章 指数函数与对数函数,4.4 对数函数,0.50
MATH,导数与不等式,导数与不等式,数学必修第一册,第二章 一元二次函数、方程和不等式,2.1 等式性质与不等式性质,0.33
MATH,导数与零点,导数与零点,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.2 导数的运算,0.33
MATH,平面向量的概念,平面向量的概念,数学必修第二册,第六章 平面向量及其应用,6.1 平面向量的概念,1.00
MATH,平面向量的线性运算,平面向量的线性运算,数学必修第二册,第六章 平面向量及其应用,6.2 平面向量的运算,0.75
MATH,平面向量的数量积,平面向量的数量积,数学必修第二册,第六章 平面向量及其应用,6.4 平面向量的应用,0.67
MATH,平面向量的坐标运算,平面向量的坐标运算,数学必修第二册,第六章 平面向量及其应用,6.2 平面向量的运算,0.75
MATH,平面向量基本定理,平面向量基本定理,数学必修第二册,第六章 平面向量及其应用,6.3 平面向量基本定理及坐标表示,0.64
MATH,向量的模与夹角,向量的模与夹角,数学必修第二册,第六章 平面向量及其应用,6.4 平面向量的应用,0.29
MATH,投影向量,投影向量,数学必修第二册,第六章 平面向量及其应用,6.4 平面向量的应用,0.33
MATH,向量共线定理,向量共线定理,数学选择性必修第一册,第一章 空间向量与立体几何,1.2 空间向量基本定理,0.33
MATH,复数的概念,复数的概念,数学必修第二册,第七章 复数,7.1 复数的概念,1.00
MATH,复数的四则运算,复数的四则运算,数学必修第二册,第七章 复数,7.2 复数的四则运算,1.00
MATH,复数的几何意义,复数的几何意义,数学选择性必修第二册,第五章 一元函数的导数及其应用,5.1 导数的概念及其意义,0.33
MATH,复数的模,复数的模,数学必修第二册,第七章 复数,7.1 复数的概念,0.40
MATH,共轭复数,共轭复数,数学必修第二册,第七章 复数,7.1 复数的概念,0.33
MATH,空间几何体,空间几何体,数学选择性必修第一册,第一章 空间向量与立体几何,1.4 空间向量的应用,0.29
MATH,三视图与直观图,三视图与直观图,数学必修第二册,第八章 立体几何初步,8.2 立体图形的直观图,0.38
MATH,多面体与旋转体,多面体与旋转体,数学必修第二册,第八章 立体几何初步,8.3 表面积和体积,0.29
MATH,表面积与体积,表面积与体积,数学必修第二册,第八章 立体几何初步,8.3 表面积和体积,1.00
MATH,空间点线面的位置关系,空间点线面的位置关系,数学必修第二册,第八章 立体几何初步,8.4 空间点、直线、平面之间的位置关系,0.82
MATH,直线与平面平行,直线与平面平行,数学必修第二册,第八章 立体几何初步,8.5 直线、平面平行,1.00
MATH,直线与平面垂直,直线与平面垂直,数学必修第二册,第八章 立体几何初步,8.6 直线、平面垂直,1.00
MATH,空间向量与立体几何,空间向量与立体几何,数学选择性必修第一册,第一章 空间向量与立体几何,1.4 空间向量的应用,0.50
MATH,异面直线所成的角,异面直线所成的角,数学必修第二册,第八章 立体几何初步,8.5 直线、平面平行,0.33
MATH,二面角,二面角,数学必修第一册,第四章 指数函数与对数函数,4.5 函数的应用（二）,0.20
MATH,随机事件,随机事件,数学必修第二册,第十章 概率,10.1 随机事件与概率,0.67
MATH,古典概型,古典概型,数学必修第二册,第十章 概率,10.3 频率与概率,0.25
MATH,随机事件的相互独立性,随机事件的相互独立性,数学必修第二册,第十章 概率,10.2 事件的相互独立性,0.78
MATH,条件概率,条件概率,数学选择性必修第三册,第七章 随机变量及其分布,7.1 条件概率与全概率公式,0.57
MATH,全概率,全概率,数学必修第二册,第十章 概率,10.3 频率与概率,0.50
MATH,离散型随机变量,离散型随机变量,数学选择性必修第三册,第七章 随机变量及其分布,7.2 离散型随机变量及其分布列,0.75
