subject,slug,action,new_name,reason
MATH,偶次方根的被开方数的被开方数必须大于等于零-即中,RENAME,n次方根的性质,名为“公式被剥离”残句（以“即中”收尾）；边界自述偶次方根被开方数非负、奇次方根取全体实数；库内无同名节点
MATH,在等差数列-an-中-当m-n时-d-为公差公式-利用这个公式很容易求出公差,KEEP,,内容为等差数列下标和性质、等间隔抽取与公差公式变形；与既有节点「等差数列的常用性质」完全重合；改名会与既有名重复，宜并入该节点
MATH,若s奇表示奇数项的和-s偶表示偶数项的和-公差为d,KEEP,,内容为等差数列前n项和的奇偶项关系；既有节点「等差数列前项和的常用性质」的别名已含“等差数列奇偶项和的关系”，该点已被覆盖，宜合并
MATH,立体几何中的探索性问题立体几何中的探索性问题的主要类型,RENAME,立体几何探索性问题的类型与策略,名为重复拼接的长句；边界为“探索条件/探索结论”两类；别名与绑定材料均为该名
MATH,利用-线线平行-线面平行-面面平行-的相互转化,RENAME,线面平行的判定与性质,名为教材残句（以“．”收尾）；别名与绑定材料（math-hj-s74-line-plane-parallel）即“线面平行的判定与性质”
PHYSICS,路程-物体运动轨迹的长度-只有大小-没有方向-是标量-其单位就是长度的单位,RENAME,位移与路程的区别,名为路程定义整句；边界写的是位移定义；别名与绑定材料（phys-hj2-weiyi-lucheng-qubie）为“位移与路程的区别”
PHYSICS,运动规律,RENAME,传动装置中的运动规律,名为小节标题被冒号截断的残词；别名与唯一绑定材料即“传动装置中的运动规律”
PHYSICS,在1t末-2t末-3t末-4t末-n-t末的速度比为-1-2-3-n,RENAME,初速度为零的匀变速直线运动比例式,名为比例式整句；边界为初速度为零匀变速按时间/位移等分的速度比与时间比；绑定材料同为该比例式
PHYSICS,定义-物体具有保持原来匀速直线运动状态或静止状态的性质-质量是惯性的唯一量度,RENAME,惯性,名为“定义：…质量是惯性的唯一量度”整句；边界为惯性定义与“只与质量有关”；别名含“惯性”且库内无同名节点
PHYSICS,模型示意图,RENAME,力的图示与力的示意图,名为“模型示意图：”标题残词；别名与两条绑定材料为“力的图示与力的示意图”“力的概念”；库内无同名节点
PHYSICS,运动特征,RENAME,曲线运动的特点,名为“运动特征：”标题残词；边界通篇讲曲线运动（变速/加速度/瞬时性/轨迹）；绑定材料却是简谐运动，疑错配
PHYSICS,水平射程-即水平射程由初速度v0和下落高度h共同决定-与其他因素无关,RENAME,平抛运动的射程与落地速度,名为整句；边界为平抛落地速度与水平射程公式（只与初速度v0和下落高度h有关）
PHYSICS,物体间恰好不发生相对滑动-的临界条件是物体间恰好达到最大静摩擦力,RENAME,相对滑动的临界条件,名为整句；边界为静摩擦力提供向心力与“恰好达到最大静摩擦力”的临界判据；19条绑定材料同族
PHYSICS,绳球模型-杆球模型两类经典模型中的临界条件-情景分析,RENAME,竖直面内绳球与杆球模型的临界条件,名为“——情景分析”长句；别名与绑定材料（phys-kb-rope-rod-ball-critical）为“竖直面内绳球与杆球模型的临界条件”
PHYSICS,力的分解-x1,KEEP,,与既有节点「力的分解」同物（slug 的 -x1 即去重拆分后缀）；改名会重名，宜合并后复核绑定
