subject,pdf_rel,page,page_kind,ink,rows,rule,fig,formulas,figs,note
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,1,封面/扉页,0.3467,5,383,0.4034,0.0,2,前 3 页
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,2,封面/扉页,0.037,11,0,0.0311,0.0,2,前 3 页
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,3,公式密排,0.0166,59,0,0.0,25.3,0,公式 25.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,4,公式密排,0.0262,68,0,0.0,32.1,3,公式 32.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,5,公式密排,0.0223,49,0,0.0,30.9,2,公式 30.9/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,6,公式密排,0.029,59,0,0.0,37.8,6,公式 37.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,7,表格式,0.1749,17,247,0.1907,0.0,1,横线 247
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,8,图密集,0.0378,70,0,0.0244,0.0,5,【图】5
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,9,图密集,0.0228,58,0,0.0153,0.0,7,【图】7
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,10,叙述,0.0422,54,0,0.0073,0.6,0,行 54
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,11,叙述,0.0276,73,0,0.0,2.4,0,行 73
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,12,叙述,0.0515,46,0,0.0,6.3,0,行 46
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,13,叙述,0.0288,55,0,0.0036,1.7,0,行 55
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,14,叙述,0.0441,50,0,0.0021,2.7,0,行 50
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,15,叙述,0.0294,54,0,0.0057,0.0,0,行 54
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,16,叙述,0.0357,63,0,0.0,0.0,0,行 63
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,17,叙述,0.0298,53,0,0.0071,0.6,0,行 53
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,18,叙述,0.0418,62,0,0.0068,0.0,0,行 62
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,19,叙述,0.0178,44,0,0.0,0.0,0,行 44
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,20,叙述,0.0627,46,0,0.0036,3.4,0,行 46
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,21,叙述,0.0203,69,0,0.0,1.4,0,行 69
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,22,叙述,0.0607,42,0,0.0,1.1,0,行 42
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,23,公式密排,0.0174,32,0,0.0066,42.0,4,公式 42.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,24,公式密排,0.0585,42,2,0.014,33.5,2,公式 33.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,25,叙述,0.0259,58,1,0.0042,19.4,1,行 58
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,26,公式密排,0.0442,38,0,0.0031,38.1,0,公式 38.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,27,公式密排,0.034,60,0,0.0066,49.5,2,公式 49.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,28,公式密排,0.0504,54,0,0.0047,35.6,3,公式 35.6/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,29,公式密排,0.0355,43,0,0.0051,37.1,2,公式 37.1/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,30,公式密排,0.0474,45,0,0.0073,44.2,2,公式 44.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,31,公式密排,0.0335,58,0,0.0068,33.7,3,公式 33.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,32,公式密排,0.0381,45,0,0.0005,37.3,2,公式 37.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,33,公式密排,0.0405,52,0,0.0047,32.2,5,公式 32.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,34,公式密排,0.041,45,0,0.0047,30.8,2,公式 30.8/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,35,公式密排,0.0346,44,0,0.0068,56.5,1,公式 56.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,36,公式密排,0.0471,40,0,0.001,40.3,0,公式 40.3/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,37,公式密排,0.0288,53,1,0.0062,32.7,1,公式 32.7/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,38,表格式,0.0525,48,2,0.0161,24.4,0,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,39,表格式,0.0406,39,0,0.0088,24.1,0,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,40,公式密排,0.0418,47,0,0.0016,30.2,0,公式 30.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,41,公式密排,0.0236,38,0,0.0071,53.5,4,公式 53.5/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,42,公式密排,0.0494,60,3,0.0078,33.0,1,公式 33.0/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,43,公式密排,0.0275,48,0,0.0042,39.2,1,公式 39.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,44,表格式,0.0302,67,0,0.0068,21.8,0,含表行
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,45,叙述,0.024,59,1,0.003,19.5,0,行 59
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,46,公式密排,0.0438,51,0,0.0036,26.2,0,公式 26.2/千字
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,47,公式密排,0.0345,60,1,0.0114,33.0,1,公式 33.0/千字
