subject,pdf_page,content_page,wusan_chapter,wusan_section,renjiao_book,renjiao_chapter,locator
MATH,0001-0004,1,《2027 5·3 A版 高考数学》精讲册 目录（内容页 1–4）,,,,《2027 5·3 A版 高考数学》精讲册 目录（内容页 1–4）
MATH,0005,1,第一章 集合、常用逻辑用语与不等式,考情清单,,,第一章 集合、常用逻辑用语与不等式 / 考情清单
MATH,0006,2,第一章 集合、常用逻辑用语与不等式,1.1 集合,必修第一册,第一章 集合与常用逻辑用语,第一章 集合、常用逻辑用语与不等式 / 1.1 集合
MATH,0007,3,第一章 集合、常用逻辑用语与不等式,考点清单：集合及其运算,必修第一册,第一章,第一章 集合、常用逻辑用语与不等式 / 考点清单：集合及其运算
MATH,0008,4,第一章 集合与常用逻辑用语,"1.1 集合（页面含""角度 3 容斥原理""""角度 4 创新题""两个栏目）",必修第一册,第一章 集合与常用逻辑用语,"第一章 集合与常用逻辑用语 / 1.1 集合（页面含""角度 3 容斥原理""""角度 4 创新题""两个栏目）"
MATH,0009,5,第一章,1.2 常用逻辑用语,必修第一册,第一章 集合与常用逻辑用语,第一章 / 1.2 常用逻辑用语
MATH,0010,6,第一章,1.2 常用逻辑用语（考点清单）,必修第一册,第一章,第一章 / 1.2 常用逻辑用语（考点清单）
MATH,0011,7,第一章,1.3 不等式的性质与解法,必修第一册,第二章 一元二次函数、方程和不等式,第一章 / 1.3 不等式的性质与解法
MATH,0012,8,第一章,1.3 不等式的性质与解法（考点清单）,必修第一册,第二章,第一章 / 1.3 不等式的性质与解法（考点清单）
MATH,0013,9,第一章,1.3（续） / 一元二次不等式恒成立问题,必修第一册,第二章,第一章 / 1.3（续）/ 一元二次不等式恒成立问题
MATH,0014,10,第一章,1.4 基本不等式,必修第一册,第二章 一元二次函数、方程和不等式,第一章 / 1.4 基本不等式
MATH,0015,11,第一章,1.4（续） / 常数代换法、消元法、恒成立与有解问题,必修第一册,第二章,第一章 / 1.4（续）/ 常数代换法、消元法、恒成立与有解问题
MATH,0016,12,第一章,1.4（续） / 基本不等式的实际应用、与其他知识的交汇,必修第一册,第二章,第一章 / 1.4（续）/ 基本不等式的实际应用、与其他知识的交汇
MATH,0017,13,第二章 函数及其性质,考情清单,,,第二章 函数及其性质 / 考情清单
MATH,0018,14,第二章 函数及其性质,2.1 函数的概念及表示,必修第一册,第三章 函数的概念与性质,第二章 函数及其性质 / 2.1 函数的概念及表示
MATH,0019,15,第二章,2.1（续） / 复合函数定义域、解析式求法、分段函数,必修第一册,第三章,第二章 / 2.1（续）/ 复合函数定义域、解析式求法、分段函数
MATH,0020,16,第二章,2.2 函数的单调性和最值,必修第一册,第三章 函数的概念与性质,第二章 / 2.2 函数的单调性和最值
MATH,0021,17,第二章,2.2（续） / 单调性的判断、比较大小、解不等式,必修第一册,第三章,第二章 / 2.2（续）/ 单调性的判断、比较大小、解不等式
MATH,0022,18,第二章,2.2（续） / 利用单调性求参数、函数的最值（值域）,必修第一册,第三章,第二章 / 2.2（续）/ 利用单调性求参数、函数的最值（值域）
MATH,0023,19,第二章,2.3 函数的奇偶性、周期性和对称性,必修第一册,第三章,第二章 / 2.3 函数的奇偶性、周期性和对称性
MATH,0024,20,第二章,2.3（续） / 函数奇偶性的判断与应用,必修第一册,第三章,第二章 / 2.3（续）/ 函数奇偶性的判断与应用
MATH,0025,21,第二章,2.3（续） / 奇偶性与单调性、周期性与对称性,必修第一册,第三章,第二章 / 2.3（续）/ 奇偶性与单调性、周期性与对称性
MATH,0026,22,第二章,2.3（续） / 对称性与周期性、函数性质综合,必修第一册,第三章,第二章 / 2.3（续）/ 对称性与周期性、函数性质综合
MATH,0027,23,第二章,2.4 二次函数与幂函数,必修第一册,第三章（幂函数）；二次函数为初中延伸内容,第二章 / 2.4 二次函数与幂函数
MATH,0028,24,第二章,2.4（续） / 二次函数的图象、解析式与性质,必修第一册,第三章（初中延伸）,第二章 / 2.4（续）/ 二次函数的图象、解析式与性质
MATH,0029,25,第二章,2.4（续） / 幂函数的图象与性质,必修第一册,第三章,第二章 / 2.4（续）/ 幂函数的图象与性质
MATH,0030,26,第二章,2.5 指数函数与对数函数,必修第一册,第四章 指数函数与对数函数,第二章 / 2.5 指数函数与对数函数
