chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题16 植物生命活动的调节/专题PDF/专题16 植物生命活动的调节 《分层训练》PDF.pdf,449af6bec2-005,MATERIAL,环境因素参与调节植物的生命活动,CONCEPT_EXPLANATION,环境因素调节植物生命活动的实例,光周期决定开花时间、光质影响种子萌发、重力决定根的向地性 三者都通过改变体内激素的合成与分布来实现调节,遇到“环境因素影响植物生命活动”的机理判断题、表格题或曲线分析题时使用,环境因素通过改变植物体内激素的合成与分布来调节生命活动 常见证据有三类。\n\n1 光照时间（光周期）与开花 长日照植物在长日照下开花 短日照植物在短日照下开花 湖北夏季日照长、秋季日照短 所以长日照植物甲夏季开花、短日照植物乙秋季开花 对短日照植物人工补光延长光照时间（模拟长日照）反而延迟其开花 说明开花的关键是连续暗期的长度 而不是光照强度。\n\n2 光质与种子萌发 光敏色素吸收红光后 通过信号转导促进赤霉素合成基因表达 进而促进莴苣等种子萌发 红光促进萌发的效应可被红外光逆转 红外光抑制莴苣种子萌发。\n\n3 重力与根的向地生长 玉米种子萌发后 根冠平衡石细胞中的淀粉体沿重力方向沉降 引起体内一系列信号分子改变 导致生长素向近地侧横向运输 抑制近地侧细胞伸长 从而造成根向地生长。\n\n4 光与激素共同调节的典型路径（番茄红素合成） PSY是番茄红素合成的关键酶 PIF蛋白在黑暗中积累 光照下与光敏色素结合被诱导降解 从而解除对PSY基因转录的抑制 促进番茄红素合成 黑暗中茉莉酸诱导NATA积累 使PIF乙酰化后活性增强 抑制PSY的合成。,环境因素多通过改变内源激素的合成、分布或活性间接起作用 不直接参与代谢反应 光周期现象强调连续暗期长度 不能把“延长光照”一律理解为促进开花 番茄红素路径中的MYC、NATA、PIF是特定调控因子 不能推广到所有植物,环境因素参与调节植物的生命活动 p123 考点3,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题16 植物生命活动的调节/专题PDF/专题16 植物生命活动的调节 《分层训练》PDF.pdf,449af6bec2-006,MATERIAL,其他植物激素,MISCONCEPTION_GUIDE,种子萌发中激素的协同与拮抗,判断两种植物激素关系只看它们对同一生理过程的作用方向 相同为协同 相反为拮抗,判断种子萌发、休眠调控中激素间的协同或拮抗关系时使用,判断两种植物激素的关系 唯一标准是看它们对同一生理过程的作用方向是否一致 方向相同为协同 相反为拮抗。\n\n1 赤霉素与脱落酸 赤霉素促进种子萌发、解除种子休眠 脱落酸维持种子休眠、抑制萌发 二者在种子萌发调控中作用相反 属于拮抗关系。\n\n2 油菜素内酯（EBR）与赤霉素 EBR可抑制蛋白1的合成 而蛋白1通过促进蛋白2、蛋白3来促进激素①、抑制激素② 当激素②为促进萌发的赤霉素时 EBR与赤霉素在促进种子萌发上作用相同 表现为协同。\n\n3 常考易错点 光敏色素是一类色素—蛋白质复合体 不是脂质 植物激素是信息分子 只起调节作用 不直接参与代谢反应 也不具有催化功能 所以“激素通过催化代谢使靶细胞原有生理活动发生变化”的说法错误。\n\n4 判断外源激素能否替代环境因素时要区分途径 外源赤霉素可代替低温促进油菜开花 但外源赤霉素是直接补充激素 低温是通过代谢过程使内源赤霉素含量升高 两者途径不同。,协同与拮抗只针对同一生理过程而言 同一对激素在不同生理过程中可能表现不同 光敏色素属于蛋白质 要与脂溶性色素区分 外源激素替代环境因素不等于作用机理相同,其他植物激素 p124 真题解析,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题16 植物生命活动的调节/专题PDF/专题16 植物生命活动的调节 《分层训练》PDF.pdf,449af6bec2-007,MATERIAL,生长素的极性运输,CONCEPT_EXPLANATION,极性运输的载体、能量与调控,生长素的极性运输由细胞膜上的PIN蛋白介导并消耗能量 属主动运输 且载体活性受光照和重力调控 从而引起向性运动,分析生长素的运输方式、向光性与向地性机理、植物生长调节剂作用原理时使用,1 运输方式 生长素的极性运输依赖细胞膜上的PIN蛋白 该蛋白通过消耗能量把生长素定向转运至细胞的特定区域 因此生长素的极性运输属于主动运输 判断依据是需要载体并消耗能量 而不是浓度梯度。\n\n2 载体分布决定运输方向 PIN蛋白只分布在细胞靠近某一侧的一侧膜上 生长素只能从这一侧运出 因而表现为极性运输 例如中柱细胞中的生长素只能向根尖运输 原因就是PIN蛋白只位于中柱细胞靠近根尖的一侧。\n\n3 载体活性受环境因素调控 PIN蛋白的活性受光照和重力等因素调控 从而影响植物的向性运动（向光性、向地性） 若PIN蛋白缺失 植物会丧失向光性。\n\n4 易错辨析 生长素与赤霉素都能通过促进细胞伸长来促进茎伸长 二者是协同作用而不是拮抗 生长素的作用特性是低浓度促进生长、浓度过高时抑制生长 不能把高浓度抑制误当作高浓度促进。,极性运输强调形态学上端到形态学下端的定向 与成熟组织韧皮部中的非极性运输不同 向性运动中的分布不均由横向运输造成 不是极性运输造成 判断主动运输必须同时有载体和能量两条证据,生长素的极性运输 p125 基础强化练解析,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题16 植物生命活动的调节/专题PDF/专题16 植物生命活动的调节 《分层训练》PDF.pdf,449af6bec2-008,MATERIAL,其他植物激素,CONCEPT_EXPLANATION,脱落酸提高抗逆性的机理,脱落酸作为信息分子 通过清除自由基、保护细胞膜和促进气孔关闭来减少逆境伤害,分析植物抗逆性、气孔开闭、激素作用方式的判断题时使用,1 脱落酸的抗逆机理 高温干旱胁迫下 脱落酸能清除细胞内过多的自由基 自由基会攻击细胞膜的磷脂和蛋白质 清除自由基可降低逆境对细胞膜的伤害 脱落酸还能促进气孔关闭 减少水分蒸腾散失 避免植物过度失水 从而保护光合系统。\n\n2 易错辨析 提高细胞持水能力需要提高细胞液渗透压 而渗透压升高需要把多糖分解为可溶性糖以增加溶质微粒的数目 把促进可溶性糖向多糖转化当作提高持水能力的措施是错的 植物激素是信息分子 只起调节生命活动的作用 不具有催化功能 也不直接参与代谢反应 因此脱落酸通过催化细胞代谢使靶细胞原有生理活动发生变化的说法错误。\n\n3 抗逆性表述的规范写法 脱落酸通过调节细胞代谢、调控渗透压、清除过多自由基等方式 使植物适应高温、干旱等逆境。,脱落酸促进气孔关闭 不能套用到促进气孔开放的激素 自由基的清除是减少伤害而不是提供能量 使细胞持水能力提高的正确途径是提高细胞液渗透压,其他植物激素 p126 综合提升练1题解析,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题16 植物生命活动的调节/专题PDF/专题16 植物生命活动的调节 《分层训练》PDF.pdf,449af6bec2-008,MATERIAL,其他植物激素,METHOD_MODEL,用嫁接实验判断激素的合成部位与作用部位,通过野生型与合成缺失突变体交叉嫁接 依据不同组合的生理效应反推激素的合成部位、运输能力和作用部位,分析激素合成部位、能否长距离运输、作用部位判断的题时使用,嫁接实验是判断激素合成部位与作用部位的经典方法 分析步骤是看处理组与对照组在目标部位的效应 反推激素的来源与运输。\n\n1 实验设计 把植物的地下部分与地上部分分别取自野生型（WT）与激素合成缺失突变体 交叉组合嫁接 再在叶片上施加相同损伤处理 观察叶片是否出现防御反应。\n\n2 推理规则 若地下根部为野生型、地上部分为突变体的组合叶片损伤后出现防御反应 说明根部能合成该激素 且该激素可长距离运输到叶片发挥作用 若地下根部为突变体、地上部分为野生型的组合叶片损伤后无防御反应 说明地上部分不能合成该激素 激素只能由地下部分合成后向叶片运输。\n\n3 结论的一般表述 该激素是植物体内自身合成的、具有调节作用的有机物 不能在叶片（地上部分）合成 但能长距离运输 在叶片发挥作用 根部无法合成时 外源施用该激素仍可激活叶片防御机制 处理后会出现防御反应。,该推理只在突变体缺失的是激素合成而非受体时成立 判断合成部位时必须让上下两部分的来源不同 判断作用部位必须以出现生理效应为准 不能只看激素含量,其他植物激素 p126 真题解析,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题16 植物生命活动的调节/专题PDF/专题16 植物生命活动的调节 《分层训练》PDF.pdf,449af6bec2-009,MATERIAL,生长素,CONCEPT_EXPLANATION,生长素的作用特点与作用后被灭活,生长素在细胞水平上促进细胞伸长生长并诱导细胞分化 作用后即被灭活 因此植物体必须源源不断合成生长素,解释为什么植物需要不断合成生长素、为什么生长素必须运输到根尖等长句题时使用,1 细胞水平的作用 生长素在细胞水平上具有促进细胞伸长生长和诱导细胞分化的作用 作答时要区分细胞水平与器官水平 促进器官生长属于器官水平的表述。\n\n2 作用后被灭活 生长素是信息分子 发挥作用后会被灭活 因此植物体需要源源不断合成生长素 才能满足调节生命活动的需求 这一条常作为长句题的标准答案。\n\n3 由此派生的运输问题 根尖产生的生长素很少 根所需的生长素主要来自地上部分 地上部分产生的生长素通过中柱只能向根尖运输 到达根尖后再通过皮层细胞回流 所以生长素需要连续合成并不断运输。\n\n4 极性运输的分子解释 中柱细胞的生长素运输载体PIN蛋白只位于细胞靠近根尖的一侧 生长素必须由此侧出细胞才能进入下一个细胞 因此中柱中的生长素只能向根尖运输。,细胞水平与器官水平的表述不能混用 作用后被灭活强调的是需要持续合成 不等于根本不产生 生长素运输方向由载体在细胞膜上的位置决定 与浓度梯度无关,生长素 p127 真题解析,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题16 植物生命活动的调节/专题PDF/专题16 植物生命活动的调节 《分层训练》PDF.pdf,449af6bec2-009,MATERIAL,探究动植物生命活动调节实验的思路与方法,METHOD_MODEL,验证某性状与某蛋白无关的实验思路,取野生型与缺失突变体在相同条件下处理 排除无关变量干扰后比较同一指标 表现一致即可证明无关,设计探究型实验题、要求写出实验思路和预期结果时使用,1 实验类型判断 题目要求证明根向水性与某蛋白无关 属于验证型实验 自变量是该蛋白的有无 因变量是是否表现向水性 思路是设法排除其他因素干扰。\n\n2 材料处理 把已培养7天的等量正常植株与该蛋白缺失突变体分别移栽到两个盛有琼脂培养基的装置的上侧（含较少水的一侧） 用遮光罩遮住根部以排除光照对根的干扰。\n\n3 观察与预期 培养一段时间后每天观察记录根的生长和弯曲情况 预期两种植株都表现为向含水量高的下侧弯曲 即两者的向水性没有差异 从而证明该性状与该蛋白无关。\n\n4 通用模板 该实验思路可概括为取野生型与缺失突变体 在相同且适宜的条件下处理 排除无关变量的干扰 观察同一指标的差异 若两者表现一致则说明该性状与该蛋白无关。,验证型实验与探究型实验的预期结果表述不同 探究型要分情况讨论 验证型直接写支持假设的结果 排除无关变量时必须写出具体措施 如遮光排除光照干扰 突变体与野生型必须在相同且适宜条件下等量培养,探究动植物生命活动调节实验的思路与方法 p127 真题解析,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题17 种群及其动态/专题PDF/专题17 种群及其动态 《分层训练》PDF.pdf,524cba8aa4-001,MATERIAL,标志重捕法,METHOD_MODEL,标志重捕法的操作要点与误差分析,重捕间隔适宜时长的目的是使标记个体与未标记个体充分混合 间隔过长过短都会使估算值偏离真实值,遇到种群密度调查方法的选择与误差分析题时使用,1 间隔时长的真正作用 重捕前需要间隔适宜时长 目的是确保标记个体与未标记个体重新充分混合分布 而不是为了确保标记个体在调查区域内均匀分布 这两种表述指向不同的错误。\n\n2 间隔过长的后果 若两次捕捉的时间间隔过长 种群可能因出生、死亡、迁入或迁出而使数量发生显著改变 使估算结果偏离调查时的真实值。\n\n3 红外触发相机 其原理是通过检测动物与环境之间的热量差异（红外辐射）触发拍摄 恒温动物体温与环境差异明显容易被触发 变温动物体温与环境接近 可能难以触发红外触发相机的传感器 因此该方法主要适用于恒温动物的野外种群数量调查。\n\n4 大型水生动物的识别 调查鲸类时可利用声音的稳定性、非损伤、低干扰特征进行个体识别。\n\n5 土壤小动物 调查土壤中小动物种群数量时用取样器取样法 打开诱虫器顶部的电灯可以驱使具有趋湿、避光、避热习性的土壤小动物向下移动进入收集装置。,标志重捕法的估算成立前提是标记个体与未标记个体混合均匀、标记不影响其生存与活动、没有大量迁入迁出和出生死亡 红外触发相机不适用于变温动物 取样器取样法用于土壤小动物而不是大型动物,标志重捕法 p128 考点1 知识拓展,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题17 种群及其动态/专题PDF/专题17 种群及其动态 《分层训练》PDF.pdf,524cba8aa4-001,MATERIAL,种群的数量特征,CONCEPT_EXPLANATION,年龄结构与性别比例对种群数量的影响,性别比例主要通过影响出生率影响种群数量 年龄结构能预测种群数量变化 捕捞压力会改变鱼群的性别比例与性成熟年龄,分析年龄结构类型判断、性别比例作用、捕捞对种群影响的题时使用,1 性别比例的作用 性别比例主要通过影响种群的出生率来影响种群数量 一般不影响死亡率 因此把种群数量变化说成由性别比例变化直接导致是不准确的。\n\n2 年龄结构与种群数量 年龄结构可以预测种群数量的变化趋势 年龄结构为稳定型时 种群数量应保持相对稳定 而不是稳定性增长。\n\n3 性反转与捕捞压力 若某种鱼在初次性成熟后均为雌性 继续生长到一定大小后才转变为雄性（雌性先熟） 则重度捕捞大型个体（多为雄性）后 渔获中雄性大量减少 雌性比例相对上升 长期捕捞使鱼群性成熟年龄提前 这是生物对环境压力的一种适应。\n\n4 增长型与衰退型的判断 判断种群年龄结构的变化必须有各年龄期个体数目的比较 只有雌性比例的提前转变而没有各年龄段个体数的数据 无法判断年龄结构的变化。,性别比例一般只影响出生率 不能据此推断死亡率变化 年龄结构预测的是变化趋势而不是立即实现的数量结果 判断增长型、稳定型、衰退型要比较各年龄期个体数目 不能只看某一项指标,种群的数量特征 p128 考点1真题解析,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题17 种群及其动态/专题PDF/专题17 种群及其动态 《分层训练》PDF.pdf,524cba8aa4-002,MATERIAL,种群的数量特征,METHOD_MODEL,种内竞争与种间竞争的判断,判断种群衰退的原因要同时看种内竞争、种间竞争和出生率死亡率 缺一不可,分析濒危植物种群数量下降、竞争关系判断的题时使用,1 竞争类型的判断依据 种群密度小说明种内竞争弱 与其他植物发生遮阴说明在种间竞争中处于劣势 因此该地种群面临的主要生存压力来自种间竞争而非种内竞争 依据要写两方面 即种群密度小、种内竞争弱 以及受其他植物遮阴 在种间竞争中处于劣势。\n\n2 年龄结构与衰退原因 幼苗幼树数量远多于成树 年龄结构为增长型 但种群可能仍处于衰退状态 原因要从种群数量特征角度答 种子少且萌发率低导致出生率低 幼树向成树过渡阶段的死亡率高 两方面共同导致种群衰退。\n\n3 提高种群数量的措施 针对种子少、萌发率低 可人工繁育幼苗并移栽以增加数量 针对受其他植物遮阴导致在种间竞争中处于劣势的问题 可适度采伐或修剪周围遮阴植物以提高存活率。\n\n4 珍稀濒危植物种群密度的调查方法 天然种群数量很少 要准确掌握种群数量须采用逐个计数法。,增长型年龄结构不等于种群数量一定增加 还要看出生率与死亡率的实际对比 回答主要生存压力时不能只答一句 必须给出密度小、种内竞争弱等依据 措施题要针对具体原因提出 不能笼统写加强保护,种群的数量特征 p129 真题解析,
