subject,count,declared_book,declared_chapter,current_book,current_chapter,samples
CHEMISTRY,73,化学选择性必修1,第二章 化学反应速率与化学平衡,化学必修第二册,化学反应与能量,基元反应 / 反应机理 / 过渡态理论
CHEMISTRY,49,化学选择性必修3,第三章 烃的衍生物,化学选择性必修3,有机化学基础,一种2-甲基色酮内酯 / 卤代烃 / 卤代烃的概念
CHEMISTRY,48,化学必修第二册,第五章 化工生产中的重要非金属元素,化学必修第二册,硫氮及其化合物,硫单质 / 硫酸 / 硫酸的性质与实验应用
CHEMISTRY,39,化学选择性必修1,第三章 水溶液中的离子反应与平衡,化学选择性必修1,水溶液中的离子平衡,溶液pH的计算 / 实验原理 / 酸碱中和滴定的关键
MATH,36,数学必修第一册,第四章 指数函数与对数函数,数学必修第一册,函数的概念与性质,根式与分数指数幂 / 指数幂的运算性质 / 对数与对数运算
CHEMISTRY,34,化学选择性必修2,第二章 分子结构与性质,化学必修第二册,化学反应与能量,物质变化过程中的化学键变化 / 甲、乙、丙三种有机物的结构如下： / 价层电子对互斥模型
MATH,32,数学选择性必修第一册,第一章 空间向量与立体几何,数学必修第二册,平面向量,空间向量的有关概念 / 空间向量的线性运算 / 空间向量的有关定理
CHEMISTRY,29,化学必修第一册,第二章 海水中的重要元素——钠和氯,化学必修第一册,物质分类与转化,摩尔质量的计算方法 / 阿伏加德罗定律及其推论 / n＝＝＝的关系应用
CHEMISTRY,28,化学选择性必修3,第二章 烃,化学选择性必修3,有机化学基础,(1)写出分子式为C5H12的烷烃的结构简式： / 烯烃 / 炔烃
CHEMISTRY,26,化学必修第一册,第二章 海水中的重要元素——钠和氯,化学必修第一册,钠及其化合物,钠及其化合物的化学性质 / 钠的制取及保存 / 钠的用途
CHEMISTRY,26,化学选择性必修3,第一章 有机化合物的结构特点与研究方法,化学必修第二册,有机化合物,依据官能团分类 / 含官能团的链状有机物命名 / 苯的同系物的命名
CHEMISTRY,26,化学选择性必修1,第三章 水溶液中的离子反应与平衡,化学选择性必修1,化学平衡,强电解质与弱电解质 / 电离常数 / 电离度
PHYSICS,25,物理必修第二册,第五章 抛体运动,物理必修第一册,运动的描述,曲线运动的特点 / 核心思想:运动分解 / 核心处理思想：运动的合成与分解 + 约束条件：
PHYSICS,24,物理必修第一册,第四章 运动和力的关系,物理必修第一册,运动的描述,非惯性参考系 / 惯性 / 惯性的两种表现形式
PHYSICS,24,跨册综合,物理实验基础与仪器,PHYSICS,综合,实验基础知识 / 常见的导出单位 / 系统误差
CHEMISTRY,24,化学必修第一册,第一章 物质及其变化,化学必修第一册,离子反应与氧化还原,电解质及其分类 / 电解质的电离 / 电解质溶液的导电性
CHEMISTRY,24,化学必修第一册,第一章 物质及其变化,化学选择性必修1,反应热与能量,常见的氧化剂与还原剂 / 氢化钠(NaH)广泛应用于工业生产。 / 氧化性、还原性的判断
MATH,23,数学选择性必修第二册,第五章 一元函数的导数及其应用,数学选择性必修第二册,函数与导数,函数y＝f(x)在x＝x0处的导数定义 / 导数与函数的单调性的关系 / 导数法求函数单调区间的步骤
PHYSICS,23,物理选择性必修第三册,第四章 原子结构和波粒二象性,物理选择性必修第三册,近代物理,光子说 / 波粒二象性 / 玻尔模型
PHYSICS,22,物理必修第一册,第二章 匀变速直线运动的研究,物理必修第一册,运动的描述,位移与路程的区别 / 匀变速直线运动公式的选用原则 / 列方程时规定正方向
PHYSICS,22,物理必修第二册,第八章 机械能守恒定律,物理必修第二册,机械能与能量守恒,功和能 / 对公式W＝Flcosα的理解 / 合力做功的计算方法
PHYSICS,21,物理选择性必修第三册,第五章 原子核和核反应,物理选择性必修第三册,近代物理,天然放射现象 / 半衰期 / 核反应
CHEMISTRY,21,化学必修第一册,第一章 物质及其变化,化学必修第一册,物质分类与转化,物理变化与化学变化的两种判断方法 / 不同类别的物质之间的转化关系 / 不能一步实现的物质转化
PHYSICS,20,物理选择性必修第二册,第二章 电磁感应,物理必修第三册,磁场与电磁感应,产生感应电流的条件 / 判断电磁感应现象能否产生的方法： / 适用情况：判断导线切割磁感线产生的感应电流方向。
CHEMISTRY,20,化学选择性必修3,第五章 合成高分子,化学必修第二册,有机化合物,4-溴甲基-1-环己烯的一种合成路线如下： / 由官能团预测反应类型 / 官能团的转化
CHEMISTRY,20,化学选择性必修3,第四章 生物大分子,化学选择性必修3,有机化学基础,糖类 / 糖类的组成和分类 / 单糖
CHEMISTRY,20,化学必修第一册,第三章 铁 金属材料,CHEMISTRY,综合,铝元素的原子结构和存在 / 铝的物理性质 / 铝的化学性质
CHEMISTRY,19,化学选择性必修1,第四章 化学反应与电能,化学必修第一册,铁与金属材料,电解和电解池 / 电解饱和食盐水——氯碱工业 / 金属腐蚀的类型
CHEMISTRY,19,化学选择性必修1,第一章 化学反应的热效应,化学必修第二册,化学反应与能量,吸热反应和放热反应 / ΔH的计算公式 / 在一定温度下
