subject,slug,alias
BIOLOGY,DNA分子中碱基数量关系,DNA分子中碱基数量的关系
BIOLOGY,DNA复制的拓展,DNA复制的引物与半不连续复制
BIOLOGY,DNA复制的拓展,双向复制与环状DNA的复制
BIOLOGY,DNA复制的拓展,端粒、端粒酶与真核复制特点
BIOLOGY,DNA复制的数量关系,DNA复制的数量关系与计算
BIOLOGY,DNA复制的数量关系,DNA复制计算的注意事项与相关酶
BIOLOGY,DNA指纹技术,DNA指纹技术及其应用
BIOLOGY,DNA指纹技术,DNA指纹技术的原理与应用
BIOLOGY,H和ATP的来源与去向,细胞呼吸中[H]和ATP的来源与去向
BIOLOGY,atp与adp的转化,ATP-ADP循环是细胞能量的闭环系统
BIOLOGY,atp与adp的转化,ATP与ADP的相互转化及磷酸化
BIOLOGY,atp与adp的转化,ATP与ADP的转化不是可逆反应
BIOLOGY,atp与adp的转化,ATP与ADP的转化过程
BIOLOGY,atp与adp的转化,ATP去掉1个磷酸基团后简称ADP
BIOLOGY,atp与adp的转化,ATP合成
BIOLOGY,atp与adp的转化,ATP含量少而需求大的解决方式
BIOLOGY,atp与adp的转化,ATP的水解反
BIOLOGY,atp与adp的转化,细胞内的吸能反应一般与ATP
BIOLOGY,atp的合成和利用,10%NaOH溶液应放在A瓶中
BIOLOGY,atp的合成和利用,ATP中四个负电荷相距很近且相互排斥
BIOLOGY,atp的合成和利用,ATP合酶与H+梯度直接动力
BIOLOGY,atp的合成和利用,ATP水解脱下来的磷酸基团可能形成游
BIOLOGY,atp的合成和利用,ATP的利用与磷酸化
BIOLOGY,atp的合成和利用,ATP的利用与细胞内的能量流通
BIOLOGY,atp的合成和利用,ATP的来源与利用方式
BIOLOGY,atp的合成和利用,ATP结构中的“A”为腺苷
BIOLOGY,atp的合成和利用,ATP荧光检测法的原理
BIOLOGY,atp的合成和利用,C6H12O62C3H6O3（乳酸）
BIOLOGY,atp的合成和利用,CO2可使澄清的石灰水变浑浊
BIOLOGY,atp的合成和利用,H+ 经 ATP 合成酶回流驱动 ATP 合成
BIOLOGY,atp的合成和利用,不同生物产生ATP的生理过程
BIOLOGY,atp的合成和利用,以“中耕松土”为例
BIOLOGY,atp的合成和利用,光反应之一：ATP的合成
BIOLOGY,atp的合成和利用,光反应的场所与三个反应
BIOLOGY,atp的合成和利用,光系统、电子传递链与ATP合成的联系
BIOLOGY,atp的合成和利用,吸能反应与放能反应及ATP的流通作用
BIOLOGY,atp的合成和利用,无论是分解成酒精和二氧化碳或者
BIOLOGY,atp的合成和利用,检测酒精的产生
BIOLOGY,atp的合成和利用,细胞内的化学反应有些是需要吸收能量
BIOLOGY,atp的合成和利用,酶的合成场所主要在核糖体
BIOLOGY,atp的合成和利用,阶段、场所、原料、产物、能量
BIOLOGY,atp的结构,1mol ATP水解释放
BIOLOGY,atp的结构,ADP中文全称
BIOLOGY,atp的结构,ATP
BIOLOGY,atp的结构,ATP水解本身
BIOLOGY,atp的结构,ATP的中文全称
BIOLOGY,atp的结构,ATP的化学性质不稳定
BIOLOGY,atp的结构,ATP的组成与快速供能物质的选择
BIOLOGY,atp的结构,ATP的结构与底物水平磷酸化
BIOLOGY,atp的结构,ATP的结构与特点
BIOLOGY,atp的结构,ATP的结构简式
BIOLOGY,atp的结构,ATP的结构简式与组成
BIOLOGY,atp的结构,ATP的能源作用与A的含义
BIOLOGY,atp的结构,与能量转换
BIOLOGY,atp的结构与作用,ATP不等于能量
BIOLOGY,atp的结构与作用,ATP产生量与O2供给量的关系及能源物质
BIOLOGY,atp的结构与作用,ATP的结构与元素组成
BIOLOGY,atp的结构与作用,ATP的结构与组成
BIOLOGY,atp的结构与作用,DNA结构与复制易错判定汇总
BIOLOGY,atp的结构与作用,NADPH的名称与作用
BIOLOGY,atp的结构与作用,反射弧的结构与各部分受损的影响
BIOLOGY,atp的结构与作用,水的分子结构与其理化特性
BIOLOGY,atp的结构与作用,病毒的结构与核酸类型
BIOLOGY,atp的结构与作用,病毒的结构与生活方式
BIOLOGY,atp的结构与作用,蓝细菌的结构与代谢特点
BIOLOGY,atp的结构和功能,ATP的结构简式与直接供能作用
BIOLOGY,atp的结构和功能,ATP的结构简式与结构特点
BIOLOGY,c4植物-cam植物等特殊代谢类型,C3、C4和CAM植物固定CO2的方式比较
BIOLOGY,c4植物-cam植物等特殊代谢类型,C3、C4和CAM植物的比较
BIOLOGY,c4植物-cam植物等特殊代谢类型,C3与C4植物叶片结构与途径比较
BIOLOGY,c4植物-cam植物等特殊代谢类型,C3途径是碳同化的基本途径
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4 植物与 CAM 植物固定 CO2 的方式
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4 植物高温强光下仍光合强：无明显'午休'现象
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4植物与CAM植物的碳同化特点
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4植物与CAM植物（景天科植物）的代谢特点
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4植物无光合午休的原因
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4植物的CO2固定途径
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4植物的结构与代谢特点
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4植物的结构与光合途径
BIOLOGY,c4植物-cam植物等特殊代谢类型,C4途径与CAM途径
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM 植物昼夜气孔策略：夜间开放、白天关闭
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM 途径
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM植物的景天酸代谢
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM植物（景天科）的昼夜代谢规律
BIOLOGY,c4植物-cam植物等特殊代谢类型,CAM植物（景天酸代谢）的特点
BIOLOGY,c4植物-cam植物等特殊代谢类型,CO₂ 浓缩机制
BIOLOGY,c4植物-cam植物等特殊代谢类型,C₄ 植物的叶绿体分化与 CO₂ 补偿点
BIOLOGY,c4植物-cam植物等特殊代谢类型,C₄ 途径
BIOLOGY,c4植物-cam植物等特殊代谢类型,C₄植物与CAM植物的代谢途径
BIOLOGY,c4植物-cam植物等特殊代谢类型,C₄途径与CAM途径的CO₂浓缩机制
BIOLOGY,c4植物-cam植物等特殊代谢类型,由气体交换与苹果酸变化判断植物光合类型
BIOLOGY,c4植物-cam植物等特殊代谢类型,蓝细菌的 HCO₃⁻ 泵途径
BIOLOGY,dna-rna-蛋白质等的水解产物和氧化产物-归纳总结,五种有机物的分解产物对比
BIOLOGY,dna-rna-蛋白质等的水解产物和氧化产物-归纳总结,多糖水解终产物与氧化分解终产物的区别
BIOLOGY,dna是主要的遗传物质,1944年
BIOLOGY,dna是主要的遗传物质,DNA是主要的遗传物质（结论归纳）
BIOLOGY,dna是主要的遗传物质,DNA是主要遗传物质的探索
BIOLOGY,dna是主要的遗传物质,RNA病毒的遗传物质特点与疫苗困难
BIOLOGY,dna是主要的遗传物质,主要与唯一的辨析（能源与遗传物质）
BIOLOGY,dna是主要的遗传物质,加热并没有使DNA完全失去活性
BIOLOGY,dna是主要的遗传物质,各类生物的核酸与遗传物质
BIOLOGY,dna是主要的遗传物质,噬菌体侵染大肠杆菌的实验
BIOLOGY,dna是主要的遗传物质,因为绝大多数生物的遗传物质是DNA
BIOLOGY,dna是主要的遗传物质,在对照实验中
BIOLOGY,dna是主要的遗传物质,实验中获得含放射性同位素标记
BIOLOGY,dna是主要的遗传物质,实验误差分析
BIOLOGY,dna是主要的遗传物质,常见的错误说法
BIOLOGY,dna是主要的遗传物质,并非所有的R型细菌都转化为S型细菌
BIOLOGY,dna是主要的遗传物质,有些病毒的遗传物质是RNA
BIOLOGY,dna是主要的遗传物质,格里菲思实验仅能证明S型细菌中
BIOLOGY,dna是主要的遗传物质,烟草花叶病毒侵染实验
BIOLOGY,dna是主要的遗传物质,烟草花叶病毒侵染实验（RNA是遗传物质）
BIOLOGY,dna是主要的遗传物质,烟草花叶病毒感染实验证明RNA是遗传物质
BIOLOGY,dna是主要的遗传物质,生物的遗传物质
BIOLOGY,dna是主要的遗传物质,病毒的分类：按宿主与按遗传物质
BIOLOGY,dna是主要的遗传物质,细胞中遗传物质（DNA）的初
BIOLOGY,dna是主要的遗传物质,细胞生物的遗传物质只有DNA
BIOLOGY,dna是主要的遗传物质,肺炎链球菌体内转化实验不能简单地说成
BIOLOGY,dna是主要的遗传物质,肺炎链球菌有两类
BIOLOGY,dna是主要的遗传物质,肺炎链球菌转化实验的易错辨析
BIOLOGY,dna是主要的遗传物质,肺炎链球菌转化的实质
BIOLOGY,dna是主要的遗传物质,艾弗里证明DNA是遗传物质的实验
BIOLOGY,dna是主要的遗传物质,赫尔希和蔡斯利用放射性同位素标记技术
BIOLOGY,dna是主要的遗传物质,转化的实质是基因重组而非基因突变肺炎
BIOLOGY,dna是主要的遗传物质,选用细菌和病毒作为实验材料的优点
BIOLOGY,dna是主要的遗传物质,遗传物质探索实验易错辨析
BIOLOGY,dna是主要的遗传物质,遗传物质相关易错判定汇总
BIOLOGY,dna的双螺旋结构,DNA分子一般为“双螺旋结构”
BIOLOGY,dna的双螺旋结构,DNA分子的双螺旋结构要点
BIOLOGY,dna的双螺旋结构,DNA分子的多样性、特异性和稳定性
BIOLOGY,dna的双螺旋结构,DNA分子的稳定性、多样性和特异性
BIOLOGY,dna的双螺旋结构,DNA分子的结构与结构特点
BIOLOGY,dna的双螺旋结构,DNA双螺旋结构模型的构建依据
BIOLOGY,dna的双螺旋结构,DNA双螺旋结构的主要特点
BIOLOGY,dna的双螺旋结构,DNA双螺旋结构的特点
BIOLOGY,dna的双螺旋结构,DNA双链的碱基数量关系
BIOLOGY,dna的双螺旋结构,DNA精确复制的原因
BIOLOGY,dna的双螺旋结构,威尔金斯和富兰克林的DNA衍射图谱
BIOLOGY,dna的双螺旋结构,碱基互补配对原则与DNA中的化学键
BIOLOGY,dna的复制,DNA 复制准确性唯一保障：碱基互补配对
BIOLOGY,dna的复制,DNA 复制需要引物：DNA 聚合酶不能从头合成
BIOLOGY,dna的复制,DNA半保留复制的实验证据
BIOLOGY,dna的复制,DNA复制方式的三种早期猜测
BIOLOGY,dna的复制,DNA复制的作用与主要特点
BIOLOGY,dna的复制,DNA复制的四条底层逻辑
BIOLOGY,dna的复制,DNA复制的模型核心与复制叉
BIOLOGY,dna的复制,DNA复制的相关计算
BIOLOGY,dna的复制,DNA复制的过程与条件
BIOLOGY,dna的复制,DNA复制计算：子代DNA分子数与链数
BIOLOGY,dna的复制,DNA复制需要RNA引物的原因
BIOLOGY,dna的复制,DNA复制需要引物与半不连续复制（拓展）
BIOLOGY,dna的复制,DNA的半保留复制
BIOLOGY,dna的复制,前导链与后随链的合成差异
BIOLOGY,dna的复制,半保留复制的假说与实验证据
BIOLOGY,dna的复制,复制泡与三类环状DNA复制模型
BIOLOGY,dna的复制,密度梯度离心证明半保留复制
BIOLOGY,dna的复制,引物的来源与端粒缩短的原因
BIOLOGY,dna的复制,染色体标记类问题的分析方法
BIOLOGY,dna的复制,染色体标记问题的减数分裂模型
BIOLOGY,dna的复制,染色体标记问题的有丝分裂模型
BIOLOGY,dna的复制,染色体标记题的两种设定与判读要点
BIOLOGY,dna的复制,真核生物DNA有多个复制起点
BIOLOGY,dna的结构及特点,DNA基本骨架与紫外线损伤
BIOLOGY,dna的结构及特点,DNA的基本骨架与碱基的位置
BIOLOGY,dna的结构及特点,DNA碱基计算的四个规律
BIOLOGY,dna的结构及特点,DNA结构模型构建的探索成果
BIOLOGY,dna的结构及特点,DNA结构模型的探索历程
BIOLOGY,dna的结构及特点,RNA充当信使（三种RNA与结构特点）
BIOLOGY,dna的结构及特点,人工碱基对参与DNA复制
BIOLOGY,dna的结构及特点,双链DNA中碱基数量关系的计算规律
BIOLOGY,dna的结构及特点,氨基酸的结构特点
BIOLOGY,dna的结构及特点,氨基酸的结构特点（通式）
BIOLOGY,dna的结构及特点,碱基计算规律三：非互补碱基之和互补链互为倒数
BIOLOGY,dna的结构及特点,脱氧核糖少一个氧使DNA更稳定
BIOLOGY,dna连接酶,DNA复制与处理相关的四种酶
BIOLOGY,dna连接酶,DNA连接酶与DNA聚合酶的区别
BIOLOGY,dna连接酶,与DNA相关的四种酶的区别
BIOLOGY,dna连接酶,冈崎片段与后随链的连接
BIOLOGY,k值,K值与K/2值在实践中的应用
BIOLOGY,k值,K值与K/2的实践应用
BIOLOGY,k值,K值与环境容纳量
BIOLOGY,k值,K值的变化与不同曲线模型中的K、K/2值
BIOLOGY,k值,K值的解读与应用及标记重捕法误差分析
BIOLOGY,k值,K值（环境容纳量）的含义与特点
BIOLOGY,k值,“S”形增长曲线的解读与K值
BIOLOGY,k值,最大捕捞量与最大持续捕捞量
BIOLOGY,k值,环境容纳量（K值）的含义
BIOLOGY,pcr技术,DNA提取、析出与PCR扩增的操作流程
BIOLOGY,pcr技术,PCR反应体系的组成与扩增三步
BIOLOGY,pcr技术,PCR反应体系的组成条件
BIOLOGY,pcr技术,PCR引物的特点与设计原则
BIOLOGY,pcr技术,PCR引物设计与酶切产物长度计算
BIOLOGY,pcr技术,PCR扩增与电泳条带判读
BIOLOGY,pcr技术,PCR扩增出现非目标条带的原因与策略
BIOLOGY,pcr技术,PCR技术的条件 步骤与结果
BIOLOGY,pcr技术,PCR的原理与三个基本步骤
BIOLOGY,pcr技术,RNA病毒的检测与PCR模板要求
BIOLOGY,pcr技术,RT-PCR与实时荧光定量PCR的对比
BIOLOGY,pcr技术,RT-PCR与实时荧光定量PCR的检测原理
BIOLOGY,pcr技术,不对称PCR制备单链DNA探针
BIOLOGY,pcr技术,制备荧光标记DNA探针的反应管分析
BIOLOGY,pcr技术,卡端法选择引物结合位点
BIOLOGY,pcr技术,双脱氧测序法与电泳图判读
BIOLOGY,pcr技术,反向PCR的原理与操作步骤
BIOLOGY,pcr技术,巢式PCR的两阶段设计与特异性优势
BIOLOGY,pcr技术,引物方向的判断与检测引物的选择
BIOLOGY,pcr技术,引物设计的三条基本原则
BIOLOGY,pcr技术,引物设计的温度匹配与题目要求
BIOLOGY,pcr技术,引物设计的自身序列与相互作用原则
BIOLOGY,pcr技术,扩增目的基因与检验插入方向时的引物选择
BIOLOGY,pcr技术,按启动子位置确定引物末端的酶切位点
BIOLOGY,pcr技术,插入片段在引物扩增区外时产物长度不变
BIOLOGY,pcr技术,用重叠引物与电泳定位突变区间
BIOLOGY,pcr技术,由引物延伸方向选择PCR引物并写出序列
BIOLOGY,pcr技术,由扩增片段反推引物序列与限制酶种类
BIOLOGY,pcr技术,病毒诱导法检测基因表达与Ct值
BIOLOGY,pcr技术,结合实验需求修改引物序列
BIOLOGY,pcr技术,重叠延伸PCR实现定点突变
BIOLOGY,pcr技术,重叠延伸PCR拼接两段DNA
BIOLOGY,pcr技术,重叠延伸PCR融合两个基因的引物与酶切设计
BIOLOGY,λ曲线分析,λ曲线的分段分析方法
BIOLOGY,一对相对性状的杂交实验,一对相对性状杂交实验与假说内容
BIOLOGY,一对相对性状的杂交实验,一对相对性状杂交实验的现象、假说与测交验证
BIOLOGY,一对相对性状的杂交实验,一对相对性状杂交实验的现象与孟德尔的解释
BIOLOGY,一对相对性状的杂交实验,一对相对性状杂交实验的现象与问题
BIOLOGY,一对相对性状的杂交实验,一对相对性状的杂交实验与假说
BIOLOGY,一对相对性状的杂交实验,假说演绎法环节的易错辨析
BIOLOGY,一对相对性状的杂交实验,假说演绎法：提出假说
BIOLOGY,一对相对性状的杂交实验,孟德尔一对相对性状杂交实验的假说演绎
BIOLOGY,一昼夜CO2浓度变化曲线,密闭环境中CO2浓度变化曲线
BIOLOGY,一昼夜CO2浓度变化曲线,自然环境中夏季CO2浓度变化曲线
BIOLOGY,三率-的关系及测定,三率的文字依据
BIOLOGY,三率-的关系及测定,光合作用的“总”与“净”
BIOLOGY,三率-的关系及测定,光合作用的常用测量指标
BIOLOGY,三率-的关系及测定,光补偿点与光饱和点移动的判断方法
BIOLOGY,三率-的关系及测定,判定三率的关键词对应表
BIOLOGY,三率-的关系及测定,半叶法与叶圆片称重法测定光合速率
BIOLOGY,三率-的关系及测定,总光合速率、净光合速率与呼吸速率的关系
BIOLOGY,三率-的关系及测定,总光合＝净光合＋呼吸及两种计算模型
BIOLOGY,三率-的关系及测定,测定光合速率与呼吸速率的几种方法
BIOLOGY,三率-的关系及测定,液滴移动法测定光合与呼吸速率
BIOLOGY,三率-的关系及测定,黑白瓶法与间隔光照法
BIOLOGY,下丘脑的功能,下丘脑的四大功能
BIOLOGY,与酶有关的曲线分析,λ曲线各段含义分析
BIOLOGY,与酶有关的曲线分析,一昼夜CO2吸收（释放）曲线关键点分析
BIOLOGY,与酶有关的曲线分析,与酶有关的曲线分析方法
BIOLOGY,与酶有关的曲线分析,光补偿点与光饱和点及光照强度曲线分析
BIOLOGY,与酶有关的曲线分析,密闭容器一昼夜气体变化的分析
BIOLOGY,与酶有关的曲线分析,密闭容器中CO2浓度变化曲线分析
BIOLOGY,与酶有关的曲线分析,温度和pH对酶活性影响的曲线
BIOLOGY,与酶有关的曲线分析,竞争性抑制的曲线特征
BIOLOGY,与酶有关的曲线分析,转化率与产物量的曲线分析
BIOLOGY,两对相对性状杂交实验过程,F2 比例的范围、重组类型与测交辨析
BIOLOGY,两对相对性状杂交实验过程,两对相对性状杂交实验F2为9：3：3：1的解释
BIOLOGY,两对相对性状杂交实验过程,两对相对性状杂交实验与9∶3∶3∶1
BIOLOGY,两对相对性状杂交实验过程,两对相对性状杂交实验与自由组合现象
BIOLOGY,两对相对性状杂交实验过程,两对相对性状杂交实验的数据分析
BIOLOGY,两对相对性状杂交实验过程,两对相对性状杂交实验的现象与结论
BIOLOGY,两对相对性状杂交实验过程,两对相对性状杂交实验的现象与逐对分析
BIOLOGY,两对相对性状杂交实验过程,重组类型比例与测交的辨析
BIOLOGY,个体或配子致死问题的处理-规律方法,ab 配子致死：F2 = 4:1:1
BIOLOGY,个体或配子致死问题的处理-规律方法,伴性遗传中的致死与基因缺失
BIOLOGY,个体或配子致死问题的处理-规律方法,伴性遗传中的致死问题分类
