rel_path	state	location	sha16	size	action
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\02-【数学】2027版高中《解题觉醒》\数学解题觉醒-第2册 名师大招册.pdf	90fc2142a8a9f0ce	156911484	delete
04-【物理】2027版高中《解题觉醒》/物理要点觉醒.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\04-【物理】2027版高中《解题觉醒》\物理要点觉醒.pdf	3f23ff6aa71005c8	4986396	delete
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\04-【物理】2027版高中《解题觉醒》\物理解题觉醒-第2册 名师大招册.pdf	33298cff8077e9ca	181161028	delete
05-【化学】2027版高中《解题觉醒》/化学要点觉醒图示.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\05-【化学】2027版高中《解题觉醒》\化学要点觉醒图示.pdf	69d18c3903d2205d	5035344	delete
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\05-【化学】2027版高中《解题觉醒》\化学解题觉醒-第1册 主书.pdf	5c0cc69199d85cc2	286942697	delete
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\05-【化学】2027版高中《解题觉醒》\化学解题觉醒-第2册 名师大招册.pdf	3908bd2fe6ab9f81	166812718	delete
06-【生物】2027版高中《解题觉醒》/生物要点觉醒.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\06-【生物】2027版高中《解题觉醒》\生物要点觉醒.pdf	3716a06430f45df3	4540896	delete
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\06-【生物】2027版高中《解题觉醒》\生物解题觉醒-第1册 主书.pdf	4edab13f582df152	282722432	delete
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\06-【生物】2027版高中《解题觉醒》\生物解题觉醒-第2册 名师大招册.pdf	983833782f37d9f4	183722755	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.1集合的概念（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.1集合的概念（讲义）（学生版）.docx	ac99954a510830db	260819	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.1集合的概念（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.1集合的概念（讲义）（教师版）.docx	-	182537	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.2集合间的基本关系（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.2集合间的基本关系（讲义）（学生版）.docx	74191848f24f93d5	1270396	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.2集合间的基本关系（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.2集合间的基本关系（讲义）（教师版）.docx	-	1408743	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.3集合的基本运算（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.3集合的基本运算（讲义）（学生版）.docx	1791311a7e8712ab	1717808	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.3集合的基本运算（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.3集合的基本运算（讲义）（教师版）.docx	-	1912879	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.4命题与充要条件（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.4命题与充要条件（讲义）（学生版）.docx	828f32e273717d5b	973452	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/1.4命题与充要条件（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\1.4命题与充要条件（讲义）（教师版）.docx	-	983098	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/2.1基本不等式（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\2.1基本不等式（讲义）（学生版）.docx	576a21eaeabb47bd	921474	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/2.1基本不等式（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\2.1基本不等式（讲义）（教师版）.docx	-	943668	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.1平面向量的概念（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.1平面向量的概念（讲义）（学生版）.docx	cec287e48ef03e3c	917090	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.1平面向量的概念（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.1平面向量的概念（讲义）（教师版）.docx	-	926485	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.2平面向量的线性运算（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.2平面向量的线性运算（讲义）（学生版）.docx	ecaccdacd94a4225	1581888	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.2平面向量的线性运算（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.2平面向量的线性运算（讲义）（教师版）.docx	-	1995095	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.3平面向量的数量积（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.3平面向量的数量积（讲义）（学生版）.docx	4df05bcbf68ebfd8	1037882	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.3平面向量的数量积（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.3平面向量的数量积（讲义）（教师版）.docx	-	1057127	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.4平面向量的坐标运算（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.4平面向量的坐标运算（讲义）（学生版）.docx	8f2da8a135f149fa	917168	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/3.4平面向量的坐标运算（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\3.4平面向量的坐标运算（讲义）（教师版）.docx	-	957055	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.1任意角与弧度制（讲义）（学生版）.docx	EXTRACTED	C:\Users\听云\Desktop\知识库原始数据资料\zz-已判定隔离\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\4.1任意角与弧度制（讲义）（学生版）.docx	146e037397f762a9	1039180	delete
2026年新高考资料/一轮复习/2026年体育单招数学零基础一轮总复习/资料/4.1任意角与弧度制（讲义）（教师版）.docx	CHUNKED	C:\Users\听云\Desktop\知识库原始数据资料\2026年新高考资料\一轮复习\2026年体育单招数学零基础一轮总复习\资料\4.1任意角与弧度制（讲义）（教师版）.docx	-	1106372	delete
