subject,material,current_node_slug,verdict,node_slug,evidence,slice
BIOLOGY,bio-fj-04-dna-diversity-specificity,dna的双螺旋结构,REBIND,DNA分子的多样性与特异性,材料讲4种脱氧核苷酸数量不限与排列顺序构成多样性、特定比例与顺序构成特异性且与空间结构无关；候选节点即专收该内容（以碱基对的排列顺序与4^n排列数为准）；现挂节点是双螺旋结构要点（反向平行链与碱基互补配对）仅在边界末附带提及该内容,slice_01
BIOLOGY,bio-fj-04-nucleic-acid-function,遗传信息的翻译,REBIND,核酸是遗传信息的携带者,材料讲核酸携带遗传信息并控制生物体的遗传变异和蛋白质的生物合成、每个人的遗传物质有区别故DNA可供嫌疑人信息；属必修1第二章核酸功能点的范围、而现挂「遗传信息的翻译」边界只收翻译的场所模板与密码子特性,slice_02
BIOLOGY,bio-fj-07-factors-affecting-transport,物质出入细胞的方式,REBIND,影响物质跨膜运输的因素,材料讲浓度差与载体数量与氧气与温度如何影响跨膜运输速率（低氧时主动运输速率降但不为零；高氧后因载体限制饱和）；现挂节点边界只收五类物质出入细胞方式的比较与判断方法并明示不涉及各运输的详细分子机制；候选节点边界正是这些速率曲线与供能要点,slice_03
BIOLOGY,bio-fj-17-genetic-disease-survey,人类遗传病,REBIND,调查人群中的遗传病,材料通篇讲遗传病调查方法（发病率要在人群中随机抽样并给出计算公式；遗传方式要在患者家系中调查）；候选节点边界正是「发病率必须在人群中随机取样…调查遗传方式必须在患者家系中进行」；现挂节点边界收的是人类遗传病的概念与三大类型,slice_04
BIOLOGY,bio-fj-32-population-research-application,细胞呼吸原理的应用,REBIND,种群研究的应用,材料讲调查种群密度与年龄结构保护濒危动物、中等强度捕捞可持续高产、降低环境容纳量防治鼠害；现挂节点边界只讲细胞呼吸原理在粮食储存与果蔬保鲜中的应用；候选节点边界正是保护要提高环境容纳量、防治要降低环境容纳量,slice_05
BIOLOGY,bio-kb2-07-transport-factors,物质出入细胞的方式,REBIND,影响物质跨膜运输的因素,材料逐条给出三类运输的限制因素（自由扩散看浓度梯度；协助扩散还看转运蛋白数量；主动运输看载体种类数量与能量且氧气温度经呼吸供能影响）；现挂节点边界只声明五类出入方式的比较与判断方法并明说不涉及各运输的详细分子机制；同名节点边界正是运输速率限制因素（载体饱和、缺氧低温、无氧呼吸供能）,slice_06
BIOLOGY,bio-kb2-07-transport-modes-compare,自由扩散,REBIND,物质跨膜运输方式的比较,材料按是否需转运蛋白、是否耗能与顺逆浓度三维并行比较自由扩散与协助扩散、主动运输、胞吞胞吐四类方式并举红细胞与小肠上皮细胞吸收葡萄糖说明同一物质在不同细胞中方式不同；候选边界正是这三维度与「同一物质在不同细胞中运输方式可能不同」；现挂「自由扩散」只收该方式本身的定义与影响因素,slice_07
BIOLOGY,bio-kb3-f2-s2-5-n01,遗传信息的翻译,REBIND,核酸是遗传信息的携带者,材料只讲核酸分DNA与RNA两类及真核细胞DNA主要分布在细胞核与线粒体叶绿体、原核生物DNA在拟核；现挂节点边界限于翻译的场所模板与密码子特性 不含核酸的种类与分布；候选节点同名且边界即DNA分布与病毒只含一种核酸 并已挂「核酸的种类及其分布」材料；同批 bio-kb3-f2-s2-5-n05 与 bio-fj-04-nucleic-acid-function 已同向改绑,slice_08
BIOLOGY,bio-kb3-f2-s2-5-n05,遗传信息的翻译,REBIND,核酸是遗传信息的携带者,材料只讲核酸是遗传信息携带者及其在遗传变异与蛋白质合成中的作用；现挂节点边界限于翻译的场所模板与密码子特性 不含此内容；候选节点同名且其别名含「核酸的功能」,slice_09
BIOLOGY,bio-mo-cell-064,核酸,KEEP,,材料是生物《第2章 组成细胞的分子（背诵版）》里「生物体内各种物质的元素组成」（纤维素/脂肪/磷脂/酶/DNA/RNA/ATP）；现挂「核酸」定位即第二章「核酸是遗传信息的携带者」一节并收核酸的元素组成；候选边界讲6∶3∶1计算与双缩脲、二苯胺检测及分布，与元素组成不对口,slice_10
