subject,survivor_slug,merged_slug,reason
BIOLOGY,dna是主要的遗传物质,dna是主要的遗传物质-x1,同章同名去重副本 DNA是主要的遗传物质
BIOLOGY,人类遗传病,人类遗传病-x1,同章同名去重副本 人类遗传病
BIOLOGY,人类遗传病,人类遗传病-x2,同章同名去重副本 人类遗传病
BIOLOGY,伴性遗传的特点及应用,伴性遗传的特点及应用-x1,同章同名去重副本 伴性遗传
BIOLOGY,免疫失调,免疫失调-x1,同章同名去重副本 免疫失调
BIOLOGY,其他植物激素,其他植物激素-x1,同章同名去重副本 其他植物激素
BIOLOGY,动物细胞的吸水和失水,动物细胞的吸水和失水-x1,同章同名去重副本 动物细胞工程
BIOLOGY,受精作用,受精作用-x1,同章同名去重副本 减数分裂和受精作用
BIOLOGY,基因位于染色体上的实验证据,基因位于染色体上的实验证据-x1,同章同名去重副本 遗传的细胞基础
BIOLOGY,基因型-表型的推断,基因型-表型的推断-x1,同章同名去重副本 遗传的基本规律
BIOLOGY,孟德尔两对相对性状的杂交实验,孟德尔两对相对性状的杂交实验-x1,同章同名去重副本 孟德尔的豌豆杂交实验（一
BIOLOGY,实验-探究酵母菌细胞呼吸的方式,实验-探究酵母菌细胞呼吸的方式-x1,同章同名去重副本 细胞呼吸的原理和应用
BIOLOGY,实验-检测生物组织中的糖类-脂肪和蛋白质,实验-检测生物组织中的糖类-脂肪和蛋白质-x1,同章同名去重副本 细胞与生命活动
BIOLOGY,成熟植物细胞的吸水和失水,成熟植物细胞的吸水和失水-x1,同章同名去重副本 植物细胞工程
BIOLOGY,无氧呼吸-x1,无氧呼吸-x2,同章同名去重副本 细胞与生命活动
BIOLOGY,有氧呼吸-x1,有氧呼吸-x2,同章同名去重副本 细胞与生命活动
BIOLOGY,核酸是由核苷酸连接而成的长链,核酸是由核苷酸连接而成的长链-x1,同章同名去重副本 核酸是遗传信息的携带者
BIOLOGY,物质出入细胞的方式,物质出入细胞的方式-x1,同章同名去重副本 物质的输入与输出
