node_slug,type,title,summary,applicability,content,boundary,note
集合中元素的特征,CONCEPT_EXPLANATION,集合元素的三大特征,确定性、互异性、无序性是集合元素的三大特征，含参问题必须用互异性代回检验。,判断能否构成集合、含参集合求值后检验,①确定性：给定一个集合，任何一个对象是不是这个集合的元素必须是明确的，不能模棱两可。②互异性：集合中的任何两个元素都是不同的对象，相同的对象归入同一集合时只能算作一个元素。③无序性：集合中的元素没有先后顺序，只要构成集合的元素相同，两个集合就相等。④命题常由这三条设陷阱：判断某组对象能否构成集合看确定性；含参求值问题求出参数后必须代回原集合检验，若与其他元素重复则舍去该值；判断两个集合是否相等只看元素是否相同而不看顺序。⑤常用数集符号：非负整数集（自然数集）N、正整数集 N* 或 N+、整数集 Z、有理数集 Q、实数集 R。⑥集合的三种表示方法是列举法、描述法与图示法，如 {1，2，3} 与 {x|x<3，x∈N}。,含参集合求出参数后未代回检验而忽略互异性，得出多余的解。,五三数学精讲册 P6
忽视-漏-空集致错,MISCONCEPTION_GUIDE,集合关系问题勿漏空集,由 A⊆B 或 A⊊B 求参数时漏掉 A 为空集的情形，是集合问题最常见的失分点。,含参集合的子集与交集、并集、补集运算,①空集是任何集合的子集，是任何非空集合的真子集，因此讨论集合间的关系时必须先单独考虑 A 为空集的情形。②典型错误：已知 A⊆B（或由 A∩B=A、A∪B=B 推出 B⊆A）求参数范围时，直接按 A 为非空集合列不等式组求解，遗漏 A 为空集，导致所求范围偏小。③正确路径：先令 A 为空集求出对应参数范围，再令 A 非空按端点大小列不等式组，两种情况取并集。④另一常见疏漏是端点取值：求出范围后须把区间端点值代回原题检验，判断端点能否取到。⑤判别方法：若集合用描述法给出且含参数系数，必须先讨论该系数为零的情形，因为此时集合恰为空集。,按 A 非空直接列不等式组，未讨论 A 为空集，答案范围偏小。,五三数学精讲册 P6
充要条件,CONCEPT_EXPLANATION,充分条件与必要条件的集合刻画,把 p、q 对应为集合 A、B，用集合的包含关系一次性判断四种条件关系。,判断条件关系、由条件关系求参数范围,①记 p、q 对应的集合分别为 A、B，则条件关系可完全用集合的包含关系刻画。②若 p⇒q（即 A⊆B），则 p 是 q 的充分条件；若 q⇒p（即 A⊇B），则 p 是 q 的必要条件；若 p⇔q（即 A=B），则 p 是 q 的充要条件。③若 p⇒q 且 q⇏p（即 A⊊B），则 p 是 q 的充分不必要条件；若 p⇏q 且 q⇒p（即 A⊋B），则 p 是 q 的必要不充分条件；若 p⇏q 且 q⇏p（即 A⊄B 且 A⊉B），则 p 是 q 的既不充分也不必要条件。④判断技巧：先明确"谁推谁"，再把条件翻译成集合的包含关系，小集合推出大集合；由条件关系求参数时按包含关系列不等式组，并逐一检验端点能否取到。,把"p 是 q 的充分条件"误判为 q⇒p，充分性与必要性位置颠倒。,五三数学精讲册 P9
基本不等式,CONCEPT_EXPLANATION,基本不等式与几个重要不等式,√(ab)≤(a+b)/2 及其变形链、成立条件与积定和最小、和定积最大的最值结论。,求最值、证明不等式、实际优化问题,①基本不等式：√(ab)≤(a+b)/2，其中 (a+b)/2 为正数 a、b 的算术平均数，√(ab) 为它们的几何平均数；不等式成立的条件是 a>0，b>0，等号成立的条件是 a=b。该不等式可叙述为：两个正数的算术平均数不小于它们的几何平均数。②几个重要不等式：a²+b²≥2ab（a，b∈R）；a/b+b/a≥2（a，b 同号）；ab≤((a+b)/2)²（a，b∈R）；√((a²+b²)/2)≥(a+b)/2≥√(ab)≥2/(1/a+1/b)（a，b 为正数），当且仅当 a=b 时等号成立。③与最值：已知 x>0，y>0，若积 xy 是定值 p，则当且仅当 x=y 时 x+y 有最小值 2√p（积定和最小）；若和 x+y 是定值 s，则当且仅当 x=y 时 xy 有最大值 s²/4（和定积最大）。,忽略 a>0、b>0 与等号能否取到两个前提，直接套用公式求最值。,五三数学精讲册 P14
函数的单调性,CONCEPT_EXPLANATION,函数单调性的定义与等价形式,单调性的定义、两种等价判定形式，以及复合函数同增异减的判定法则。,判断或证明单调性、解不等式、比较大小,①定义：设函数 f(x) 的定义域为 D，区间 I 是 D 的子集。若对任意 x₁，x₂∈I，当 x₁<x₂ 时都有 f(x₁)<f(x₂)，则 f(x) 在 I 上单调递增；当 x₁<x₂ 时都有 f(x₁)>f(x₂)，则 f(x) 在 I 上单调递减。②单调区间：若 y=f(x) 在区间 I 上单调递增或递减，则称函数在这一区间上具有（严格的）单调性，区间 I 叫做它的单调区间；在定义域上单调递增（减）时称它是增（减）函数。③等价形式：对 x₁，x₂∈[a，b] 且 x₁≠x₂，(f(x₁)-f(x₂))/(x₁-x₂)>0 ⇔ f(x) 单调递增，小于 0 ⇔ 单调递减；也可写成 (x₁-x₂)(f(x₁)-f(x₂))>0 ⇔ 递增，小于 0 ⇔ 递减。④复合函数：y=f(φ(x)) 中，若 y=f(u) 与 u=φ(x) 单调性相同，则复合函数递增；若相反则递减，简记同增异减。,多个单调区间之间用并集符号连接，而正确写法应是"和"。,五三数学精讲册 P20
函数的奇偶性-周期性-对称性关系,DERIVATION,奇偶性周期性与对称性的联动,由两条对称轴、两个对称中心或对称轴与对称中心的组合推导函数周期，是抽象函数小题的通用推理链。,抽象函数求周期、求值、比较大小,①两个对称性推出周期性：若 f(x) 的图象关于直线 x=a 和 x=b 对称（a≠b），则周期 T=2|b-a|；关于点 (a，0) 和 (b，0) 对称，则 T=2|b-a|；关于直线 x=a 和点 (b，0) 对称，则 T=4|b-a|。②迭代型周期：若 f(x+a)=-f(x)，则周期 T=2|a|；若 f(x+a)=1/f(x) 或 -1/f(x)（f(x)≠0），则周期 T=2|a|。③解析刻画：f(a+x)=f(b-x) ⇔ 关于直线 x=(a+b)/2 对称；f(a+x)=-f(b-x) ⇔ 关于点 ((a+b)/2，0) 对称；f(a+x)+f(b-x)=c ⇔ 关于点 ((a+b)/2，c/2) 对称。④奇偶性：f(x) 为奇函数 ⇔ f(-x)+f(x)=0；为偶函数 ⇔ f(-x)-f(x)=0；定义域关于原点对称是前提，奇函数在 x=0 有定义则 f(0)=0。,只记结论不记前提，把 f(x+a)=-f(x) 的周期误写为 |a| 而不是 2|a|。,五三数学精讲册 P23
函数零点存在定理,CONCEPT_EXPLANATION,零点存在定理及其适用边界,连续函数在区间端点函数值异号则区间内至少有一个零点，但逆命题不成立，定量还须结合单调性。,判断零点个数、求零点所在区间、含参零点问题,①零点定义：对于一般函数 y=f(x)，我们把使 f(x)=0 的实数 x 叫做函数 y=f(x) 的零点。②三个等价关系：方程 f(x)=0 的实数解 ⇔ 函数 y=f(x) 的零点 ⇔ 函数 y=f(x) 的图象与 x 轴公共点的横坐标；函数 F(x)=f(x)-g(x) 有零点 ⇔ 方程 F(x)=0 有实数解 ⇔ y=f(x) 与 y=g(x) 的图象有交点。③零点存在定理：如果函数 y=f(x) 在区间 [a，b] 上的图象是一条连续不断的曲线，且有 f(a)·f(b)<0，那么函数 y=f(x) 在区间 (a，b) 内至少有一个零点，即存在 c∈(a，b)，使得 f(c)=0，这个 c 也就是方程 f(x)=0 的解。④适用边界：f(a)·f(b)<0 是 y=f(x) 在 (a，b) 上有零点的充分不必要条件；若再满足 f(x) 在 (a，b) 上单调，则有且仅有一个零点。,认为 f(a)·f(b)>0 就一定没有零点，或认为只要有零点都能用二分法求出近似值。,五三数学精讲册 P36
导数的几何意义,CONCEPT_EXPLANATION,导数的几何意义与切线方程,f′(x₀) 是曲线在点 P(x₀，y₀) 处切线的斜率，由此写切线方程并区分"在"与"过"。,求切线方程、求公切线、由切线求参数,①几何意义：函数 f(x) 在 x=x₀ 处导数的几何意义是曲线 y=f(x) 在点 P(x₀，y₀) 处切线的斜率，相应地，切线方程为 y-y₀=f′(x₀)(x-x₀)。②导数定义：f′(x₀)=lim(Δx→0) Δy/Δx=lim(Δx→0) [f(x₀+Δx)-f(x₀)]/Δx；y=f(x) 的导函数 f′(x)=lim(Δx→0) [f(x+Δx)-f(x)]/Δx。f′(x₀) 是常数而 f′(x) 是函数。③变化趋势：|f′(x)| 的大小反映 f(x) 图象变化的快慢，|f′(x)| 越大，曲线在这点处的切线越陡。④区分两类问法：曲线"在"某点处的切线，该点必为切点；曲线"过"某点的切线，该点未必是切点，须设切点为 (t，f(t)) 写出切线方程，再代入已知点求 t。⑤求两曲线的公切线时，需同时满足切点为两曲线的公共点、切线斜率相同两组条件。,把"过某点的切线"当作"在某点处的切线"，漏掉以该点为切点之外的其他情形。,五三数学精讲册 P41
导数与函数的单调性的关系,CONCEPT_EXPLANATION,用导数符号判断函数单调性,在区间上可导时 f′(x) 的符号决定单调性，同时须注意由单调性反求参数时的等号处理。,求单调区间、含参单调性讨论、由单调性求参数,①设函数 f(x) 在区间 (a，b) 内可导，f′(x) 是 f(x) 的导数，则在 (a，b) 上：f′(x)>0，f(x) 单调递增；f′(x)<0，f(x) 单调递减；f′(x)=0，f(x) 为常数函数。②求单调区间的步骤：先确定函数的定义域，单调区间一定是定义域的子区间；再求导数 f′(x)；令 f′(x)>0 与 f′(x)<0 分别解出单调递增区间与单调递减区间；最后把解集与定义域取交集。③由单调性求参数：若 f(x) 在区间上单调递增，只需 f′(x)≥0 在该区间上恒成立且 f′(x) 不恒为 0，因此列不等式时须带等号；若求"单调递增区间"，则解 f′(x)>0，此时不带等号，二者不可混用。④含参函数讨论单调性时，应先按参数分类，再逐类求 f′(x) 的零点并列表判断符号，不能直接除以含参数的因式。,把 f′(x)>0 当成 f(x) 单调递增的充要条件，由单调性求参数时漏掉导数可取零的情形。,五三数学精讲册 P43
诱导公式,REPRESENTATION_GUIDE,诱导公式八组表与记忆口诀,2kπ+α、π±α、-α、π/2±α、3π/2±α 共八组诱导公式及其记忆口诀。,三角函数化简、求值、证明恒等式,①公式一至四（函数名不变，符号看象限）：sin(2kπ+α)=sinα，cos(2kπ+α)=cosα（k∈Z）；sin(π+α)=-sinα，cos(π+α)=-cosα；sin(-α)=-sinα，cos(-α)=cosα；sin(π-α)=sinα，cos(π-α)=-cosα；这四组的正切依次为 tanα，tanα，-tanα，-tanα。②公式五至八（函数名改变，符号看象限）：sin(π/2-α)=cosα，cos(π/2-α)=sinα；sin(π/2+α)=cosα，cos(π/2+α)=-sinα；sin(3π/2+α)=-cosα，cos(3π/2+α)=sinα；sin(3π/2-α)=-cosα，cos(3π/2-α)=-sinα。③口诀：奇变偶不变，符号看象限——k·π/2±α 中 k 的奇偶决定函数名是否改变，把 α 视为锐角由所在象限定符号。,用公式时不先判断角所在象限的符号，或把公式二与公式四的符号记混。,五三数学精讲册 P59
