chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题22 基因工程/专题PDF/专题22 基因工程 《分层训练》PDF.pdf,5b6cb16a7f-047,MATERIAL,基因工程,METHOD_MODEL,无缝克隆（同源重组）法构建表达载体,不依赖限制酶切位点，用PCR给目的基因两端加同源臂再与线性化载体定向重组的技术。,题目要把目的基因（或两个基因串联后）装进质粒、而目的基因内部含有限制酶切位点或没有合适酶切位点时使用；也用于需要把两个基因首尾相连（如BKT基因与CRTR-B基因串联）的情况。,**原理**：把载体线性化，同时用PCR在目的基因两端各加上一段与载体两端（或与相邻片段两端）**同源**的序列，即同源臂；在体外重组酶催化下两端的同源序列互补配对，目的基因被定向“缝合”进线性化载体，得到重组质粒（图1中的“上游同源序列1/下游同源序列1”即两段同源臂）。\n**操作链条**：\n1. 载体用限制酶处理成线性；\n2. 设计引物时在5'端额外加上同源臂序列，PCR扩增目的基因，使产物两端带上同源序列；\n3. 目的基因与线性化载体按同源臂配对重组，形成重组质粒。\n**引物设计规则**：扩增某基因时，若还要在基因两侧引入限制酶识别序列或同源序列，只能加在引物的**5'端**，该修饰序列不参与与模板的配对，因此引物序列（5'→3'）写作：同源序列 + 限制酶识别序列 + 该基因部分序列。\n**优点**：不依赖酶切位点、不产生多余“疤痕”序列，可用于多基因串联或大片段组装。,同源臂必须与载体（或相邻片段）两端序列一致且方向、位置对应（上游对上游、下游对下游），否则片段会接反或接不上；5'端额外添加的序列不参与配对延伸，故PCR扩增时只要求引物3'端与模板互补即可；扩增过程需用耐高温的DNA聚合酶。,p246 题型突破（同源重组·无缝克隆技术图示）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题22 基因工程/专题PDF/专题22 基因工程 《分层训练》PDF.pdf,5b6cb16a7f-048,MATERIAL,基因编辑,CONCEPT_EXPLANATION,CRISPR/dCas9系统的基因转录调控,dCas9失去切割活性但保留与sgRNA结合能力，改变sgRNA靶向区域即可激活或抑制基因表达。,题目出现CRISPR/Cas9或dCas9系统、sgRNA靶向结合某基因的不同区域、检测产物量或细胞数量变化，要求分析基因激活或抑制的机制时使用。,**系统组成与改造**：sgRNA（单链引导RNA）与 Cas9/dCas9 蛋白结合。**野生型 Cas9** 具有核酸酶活性，能切割DNA；通过突变使它**失去切割DNA的功能**，但保留与 sgRNA 结合的功能，就得到 **dCas9**，目前 CRISPR/dCas9 系统常用于**基因组转录调控**。\n**靶向识别的原则**：系统 Y 中可以含有多种序列不同的 sgRNA，每种 sgRNA 依据**碱基互补配对**原则与目标序列**特异性结合**，从而引导 dCas9 结合到 DNA 上；sgRNA 可以与 dCas9 **自动组装**到一起。\n**sgRNA 的来源与构成**：sgRNA 基因由**目标基因的特征序列**与 **tracrRNA 基因（含重复序列的互补序列）**拼接而成（图2：目标基因R先经PCR扩增出特征序列，再与重复序列拼接，得到含目标基因特征序列的 sgRNA 基因，转录后形成 crRNA—连接环—tracrRNA 的结构）。拼接时两个片段靠**互补的重叠序列**配对延伸，因此特征序列与重复序列的扩增要放在**不同的PCR体系**中进行，以免引物（R1与F2）互相配对导致PCR失败。\n**激活转录（CRISPRa）**：系统 Y 中 dCas9 蛋白与**转录激活因子 P 蛋白**相连；当 sgRNA 与 R 基因的**上游区域**结合时，P 蛋白可**募集 RNA 聚合酶**启动 R 基因转录，使该菌抗肿瘤化合物 Z 的产量提升约 2.9 倍。\n**抑制转录（CRISPRi）**：设计靶向结合 F 基因（与细胞分裂相关）不同区域 Q1、Q2 的 sgRNA1、sgRNA2，分别转入不同的大肠杆菌中并检测细胞数量。结果表明：**两种靶向区域均能抑制基因表达**（细胞数量相对值均较低），其中**靶向 Q1 时抑制效果更好**；且 P 蛋白**不影响**该系统的抑制功能。\n**结论**：改变 sgRNA 的**靶向区域**，即可实现对多个基因的**同步激活与抑制**，从而改造菌株的代谢（如提高目标产物产量）。,dCas9 与野生型 Cas9 的区别在于有无切割（核酸酶）活性，但二者都能与 sgRNA 结合；sgRNA 靠碱基互补配对识别靶序列，靶序列必须与 sgRNA 的特征序列互补；靶向基因上游区域用于激活转录，靶向基因的不同区域可造成不同程度的抑制；抑制效果与 P 蛋白无关，不能把激活机制套用到抑制上；拼接 sgRNA 基因的两段扩增必须分体系进行，否则引物互相配对。,p247 题型突破（CRISPR/Cas9与dCas9技术图示）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题22 基因工程/专题PDF/专题22 基因工程 《分层训练》PDF.pdf,5b6cb16a7f-049,MATERIAL,基因编辑,CONCEPT_EXPLANATION,Cre-LoxP条件性基因敲除,用Cre重组酶识别LoxP位点并切除两个位点之间序列，实现时空可控的基因敲除。,题目出现两个LoxP位点、flox小鼠、与表达Cre的品系杂交等条件，要求分析敲除原理、写出基因型或设计筛选方案时使用。,**核心**：Cre重组酶能特异识别DNA上的LoxP位点，并介导**两个LoxP位点之间的序列被切除**，从而使该区段内的基因失活（敲除）。\n**构建思路**：\n1. 把目的基因改造成两端各带一个LoxP位点的形式（这样的等位基因记作 flox，如 floxM）；\n2. 通过同源重组把带LoxP的片段整合到胚胎干细胞（ES细胞）的染色体上，经早期胚胎注射、代孕母鼠移植，筛选出携带该等位基因的小鼠；\n3. 将该小鼠与特异表达Cre重组酶的品系杂交，在Cre表达的细胞中两个LoxP位点间的序列被切除，目的基因失活。\n**可控性来源**：Cre基因由特异或诱导型启动子驱动，因此敲除可限定在特定组织或特定时间；再让融合了绿色荧光蛋白基因的M基因（M-GFP）表达，可示踪被敲除基因的功能是否恢复。\n**读图要点**：流程用箭头串起片段设计→载体构建→ES细胞整合→胚胎注射→杂交筛选，每一步对应一个基因型（如 Cre/+/A/+）。,敲除只发生在Cre表达的组织或细胞中，未表达Cre的细胞该基因仍完整；被切掉的是两个LoxP位点之间的序列，LoxP位置决定敲除范围；LoxP需先经同源重组定位到染色体上，与随机整合区分；基因型按题注解读（如A基因嵌合在一条同源染色体上记作 A/＋，即Aa）。,p248 题型突破（Cre-LoxP基因敲除流程图示）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题22 基因工程/专题PDF/专题22 基因工程 《分层训练》PDF.pdf,5b6cb16a7f-049,MATERIAL,pcr技术,METHOD_MODEL,重叠延伸PCR拼接两段DNA,让两个片段通过端部互补序列退火、互为引物延伸，在体外拼成一条重组DNA。,需要把两段DNA无缝拼接（如目的基因与标记基因），或题目出现扩增产物A与B再经一步拼接成重组片段时使用。,**原理**：两个待拼接片段（图中A、B）的相接端各有一段**彼此互补的序列**（设计引物时人为引入的重叠区）。混合后高温变性、复性时，A与B的单链通过互补序列配对，此时**片段自身的一端就充当引物**，DNA聚合酶从该单链的3'端开始延伸，即可得到拼接好的重组DNA片段。\n**关键结论**：拼接这一步**不需要另加引物**，因为A、B的单链互为引物和模板；所以设计引物时必须让R1与F2的序列部分互补，扩增产物A、B才会有相同的一段重叠序列。\n**操作注意**：特征序列与重复序列的扩增要在**不同的PCR体系**中进行，否则R1与F2会在同一体系中碱基互补配对，导致PCR失败。\n**附带结论**：常规PCR前2轮循环的产物两端不都由同一对引物限定，第3轮循环才首次出现长度与目的基因完全一致的产物。,两片段之间必须有互补重叠区，重叠区是拼接的前提；两个片段的扩增须分开进行，避免互补引物彼此配对；拼接得到的是重组片段，还需克隆与鉴定，不能直接认为已得到正确重组质粒。,p248 题型突破解析（重叠延伸PCR拼接原理）,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题3 细胞的物质输入和输出/专题PDF/专题3 细胞的物质输入和输出 《分层训练》PDF.pdf,7533a1e1fd-001,MATERIAL,质壁分离,MISCONCEPTION_GUIDE,质壁分离实验的四个易错判断,质壁分离中细胞始终存活，原生质层的选择透过性与细胞壁的全透性、小伸缩性决定了相关现象。,做质壁分离（及复原）实验类选择题，判断细胞是否死亡、比较细胞吸水能力、判断细胞体积是否变化时使用。,**判断一：细胞是否失活**。质壁分离及复原过程中叶肉细胞始终保持活性；因为要发生质壁分离与复原，原生质层必须具有选择透过性，死细胞的原生质层丧失选择透过性，不会发生质壁分离。\n**判断二：细胞膜与细胞壁的分离与谁有关**。二者的分离既与细胞壁的全透性有关，也与细胞膜（原生质层）的选择透过性有关，不能只归因于细胞壁或只归因于细胞膜。\n**判断三：吸水能力如何变化**。已发生质壁分离的细胞因细胞液失水，细胞液浓度升高、渗透压升高，故其吸水能力比未分离时更强。\n**判断四：细胞体积是否明显变小**。细胞壁的伸缩性较小，所以质壁分离前后细胞体积基本不变，发生变化的只是原生质层，不能认为整个细胞明显皱缩。,细胞的体积以细胞壁为界，故体积基本不变；分离的是原生质层与细胞壁，不是细胞膜与细胞壁二者单独作用；比较吸水能力时先比较细胞液浓度；死细胞不能发生质壁分离，不能作对照。,p250 考点练第1题解析（易错辨析）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题3 细胞的物质输入和输出/专题PDF/专题3 细胞的物质输入和输出 《分层训练》PDF.pdf,7533a1e1fd-002,MATERIAL,质壁分离,METHOD_MODEL,同一蔗糖溶液中比较细胞液浓度,把几种植物细胞放入同一浓度蔗糖溶液，由它们是否失水或吸水反推细胞液浓度大小。,题目给出a、b、c三种细胞放入同一浓度蔗糖溶液的实验结果（未变化、体积增大、发生质壁分离），要求比较细胞液浓度或判断平衡时的浓度关系时使用。,**判断依据**：蔗糖溶液初始浓度相同，平衡时——\n- 细胞a未发生变化：说明水分进出平衡，水分交换前细胞液浓度**等于**外界蔗糖溶液浓度；\n- 细胞b体积增大：细胞吸水，说明细胞液浓度**大于**外界蔗糖溶液浓度；\n- 细胞c发生质壁分离：细胞失水，说明细胞液浓度**小于**外界蔗糖溶液浓度。\n**平衡时的浓度关系**：水分交换前 a、b、c 的细胞液浓度分别等于、大于、小于外界蔗糖溶液浓度，即 c < a < b（也就是 b > a > c）。\n**易错的第二问**：细胞c失水后，试管中的蔗糖溶液被稀释，其浓度**下降并小于初始浓度**；水分交换平衡时，细胞c的细胞液浓度等于它周围被稀释后的蔗糖溶液浓度，但仍**小于**细胞a的细胞液浓度。因此不能说c的细胞液浓度大于a。,这套比较只在“同一浓度蔗糖溶液且各细胞初始细胞液浓度不同”的前提下成立；细胞壁上是否发生质壁分离要注意区分（体积增大不等于未发生渗透）；平衡时是细胞液浓度与外界溶液浓度相等，失水细胞外界溶液浓度已被稀释，必须用稀释后的浓度去比。,p251 考点练第4题解析（方法模型）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题3 细胞的物质输入和输出/专题PDF/专题3 细胞的物质输入和输出 《分层训练》PDF.pdf,7533a1e1fd-002,MATERIAL,主动运输,CONCEPT_EXPLANATION,钙泵类载体蛋白的运输与载体通道辨析,载体蛋白转运时与被转运物结合并发生构象改变，通道蛋白不结合并且只放行适配的分子。,判断某蛋白是载体还是通道、判断某物质的跨膜方式与能量关系、分析泵蛋白（如Ca²⁺泵、质子泵）的功能与速率变化时使用。,**泵蛋白（如Ca²⁺泵，即Ca²⁺-ATP酶）**：能催化细胞膜内侧的ATP水解，用释放的能量把细胞内的Ca²⁺逆浓度梯度泵出细胞，属于**主动运输**。转运过程中泵蛋白先与Ca²⁺结合，再发生磷酸化与去磷酸化，**空间结构发生改变**，从而把Ca²⁺送到膜的另一侧。\n**速率**：能量供应充足时，因载体蛋白数量有限，运输速率会达到**最大值**（饱和）；抑制细胞呼吸会减少ATP，进而降低泵蛋白的运输功能。\n**载体蛋白与通道蛋白的辨析**：\n- 通道蛋白：只容许与自身通道的直径、形状相适配及大小、电荷相适宜的分子或离子通过，**不与被转运的物质结合**；\n- 载体蛋白：转运时**先与被转运物结合，再发生构象改变**，把物质释放到膜的另一侧，因此每次转运都会发生自身构象改变。,“与转运物质结合”是载体蛋白的特征，不能安到通道蛋白上；只有逆浓度梯度且消耗ATP（或由其他离子梯度供能）的才是主动运输，顺浓度梯度经通道蛋白属于协助扩散；载体蛋白饱和后速率不再随浓度升高而增大。,p251 考点练第1题解析（载体与通道蛋白辨析）,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题3 细胞的物质输入和输出/专题PDF/专题3 细胞的物质输入和输出 《分层训练》PDF.pdf,7533a1e1fd-003,MATERIAL,协助扩散,CONCEPT_EXPLANATION,水通道蛋白与水的跨膜运输,水既能自由扩散，也能经水通道蛋白协助扩散；通道蛋白不结合水，只提高运输能力而不改变方向。,分析水分子跨膜运输方式、水通道蛋白（如蛋白M）功能、植物耐寒（抗逆）能力与结合水关系时使用。,**水的两种跨膜方式**：自由扩散；借助水通道蛋白的**协助扩散**。因此水通道蛋白介导的运输不是水进出细胞的唯一方式。\n**水通道蛋白的特点**：只容许与自身通道直径和形状相适配、大小和电荷相适宜的分子通过，**不与转运的物质（水分子）结合**；它增加水的运输能力，但**不改变水的运输方向**。\n**运输方向由什么决定**：由细胞内外的渗透压（即水分子的化学势能）决定，不是由水通道蛋白决定。\n**抗逆性**：一般情况下细胞内结合水占比增加时，其抗逆性（如耐寒能力）增强。\n**协助扩散速率的影响因素**：需要转运蛋白，故速率与细胞膜上转运蛋白的**数量**有关，而转运蛋白由细胞代谢合成；同时细胞代谢会消耗一部分葡萄糖，使细胞内外浓度差发生变化，进而影响转运速率，所以协助扩散的速率并非与细胞代谢无关。,通道蛋白不与被转运物结合，凡出现“与通道蛋白结合”的表述均错；水通道蛋白只改速率不改方向；比较运输方式时要区分自由扩散（不需转运蛋白）与协助扩散（需转运蛋白、不耗ATP）；结合水占比高才与抗逆性正相关。,p252 考点练第3、2题解析（水通道蛋白与协助扩散）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题3 细胞的物质输入和输出/专题PDF/专题3 细胞的物质输入和输出 《分层训练》PDF.pdf,7533a1e1fd-003,MATERIAL,主动运输的类型,CONCEPT_EXPLANATION,离子梯度驱动的同向转运（协同运输）,利用一种离子的跨膜浓度梯度作动力，把另一种物质逆浓度梯度运进细胞。,题目出现H⁺（或Na⁺）与某离子（如H₂PO₄⁻）共用同一载体蛋白、由质子泵维持梯度时，要求判断运输方式、能量来源及抑制剂影响时使用。,**实例分析（H₂PO₄⁻的吸收）**：土壤中H₂PO₄⁻的浓度通常远低于根毛细胞液中的浓度，H₂PO₄⁻仍能进入根毛细胞，是**逆浓度梯度**运输。\n**动力来源**：该过程由H⁺的跨膜浓度梯度驱动，方式为：H⁺与H₂PO₄⁻共同结合在同一种载体蛋白上、同向转运进细胞，H⁺顺浓度梯度进入所提供的能量驱动H₂PO₄⁻逆浓度梯度进入——因此该过程**属于主动运输**。\n**梯度的维持**：H⁺的跨膜浓度梯度由细胞膜上的质子泵（消耗ATP）逆浓度梯度泵出H⁺来维持，而ATP来自细胞呼吸。所以抑制细胞呼吸会使ATP减少，H⁺梯度难以维持，驱动H₂PO₄⁻运输的动力不足，吸收速率下降。\n**载体蛋白的通用机制**：物质与载体蛋白结合，载体蛋白构象改变，物质被释放到膜的另一侧，故每次转运载体蛋白都会发生构象改变。,逆浓度梯度运输并非都要直接由ATP水解供能，也可以由另一种离子的浓度梯度驱动，但最终仍依赖ATP（继发性主动运输）；判断时先看是否逆浓度梯度，再看梯度由谁维持；不要把同向转运误判为协助扩散。,p252 考点练第4题解析（协同运输）,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.生物学.新高考版.高三.全一册_学生用书全一册/本书配套电子教参/专题3 细胞的物质输入和输出/专题PDF/专题3 细胞的物质输入和输出 《分层训练》PDF.pdf,7533a1e1fd-004,MATERIAL,胞吐,MISCONCEPTION_GUIDE,胞吐与细胞膜面积的暂时变化,胞吐通过囊泡与细胞膜融合释放物质，使细胞膜面积暂时增加而不是减少。,判断胞吐过程中细胞膜面积如何变化、分析分泌型酶或蛋白质的分泌方式、联系膜的流动性作答时使用。,**过程**：分泌蛋白、酸性磷酸酶等大分子物质先在细胞内被包裹进囊泡，囊泡移到细胞膜处与之**融合**，把内容物释放到细胞外。\n**面积变化（易错点）**：融合时囊泡膜并入细胞膜，所以此过程会使**细胞膜面积暂时增加**，而不是减少；若要维持稳态，增加的膜还会通过胞吞等方式被回收。\n**结构与能量特点**：胞吐依赖细胞膜的**流动性**（囊泡膜与细胞膜能融合），并且需要消耗能量（由细胞呼吸提供ATP）。\n**对比记忆**：胞吞时细胞膜内陷形成囊泡，细胞膜面积暂时减小；胞吐时面积暂时增大，两者方向相反。,不能在胞吐与膜面积减小之间建立因果；胞吐与胞吞运输的是大分子或颗粒物，小分子和离子通过转运蛋白跨膜；胞吐需要能量，不能写成不需消耗能量；面积变化是暂时的，题目常以“分泌后细胞膜面积如何变化”设问。,p253 考点练第6题解析（胞吐与膜面积）,
