chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-012,MATERIAL,滑块-斜面-曲面-模型-相对运动与临界问题,METHOD_MODEL,非固定圆槽中小球与槽的双守恒,槽不固定而桌面与槽面均光滑时，小球在槽内滑动过程中系统水平方向动量守恒且机械能守恒，联立两式可求速度、压力与做功。,小球在半圆槽或曲面槽内滑动、槽可在光滑水平面上自由移动的问题，求速度、压力、做功。,1.守恒判断：小球与槽组成系统，槽不固定且桌面光滑、槽面光滑时，水平方向系统所受合外力为零，水平方向动量守恒；整个过程中只有重力做功，系统机械能守恒。\n2.小球滑到最低点 B 时两者速度方向相反，由动量守恒 $mv_1-2mv_2=0$，由机械能守恒 $mgR=\frac{1}{2}mv_1^2+\frac{1}{2}\times 2mv_2^2$，联立解得 $v_1=\sqrt{\frac{4Rg}{3}}$、$v_2=\sqrt{\frac{Rg}{3}}$。\n3.求槽与球之间的作用力必须用球相对于槽运动的速度：$v=v_1+v_2=\sqrt{3gR}$；对最低点的小球由牛顿第二定律 $N-mg=m\frac{v^2}{R}$ 得 $N=4mg$，再由牛顿第三定律得球对槽的压力 $N'=4mg$。\n4.求功：小球对槽做的功 $W_1=\frac{1}{2}\times 2mv_2^2=\frac{1}{3}mgR$，槽对小球做的功 $W_2=\frac{1}{2}mv_1^2-mgR=-\frac{1}{3}mgR$，两者之和为零。,只有槽不固定且桌面和槽面都光滑时水平方向动量才守恒、机械能才守恒，竖直方向动量不守恒；求压力时用球对地速度会漏掉槽自身速度，必须用相对速度；槽被固定时弹力不做功，不固定时槽对球做功不为零。,p28 微专题12 题型4 能力进阶1（非固定槽）,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-012,MATERIAL,人船模型,METHOD_MODEL,圆槽模型的位移与椭圆轨迹,槽不固定且系统初动量为零时，由人船模型位移与质量成反比求小球和槽的位移，联立几何关系还能得到小球的椭圆轨迹方程。,槽（或船、小车）不固定且系统在水平方向初动量为零，求两物体各自对地位移或运动轨迹的问题。,1.求位移：由水平方向动量守恒且初动量为零得 $ms_1=2ms_2$，即位移与质量成反比；两物体位移方向相反，位移大小之和等于 A、C 两点间的水平距离，$s_1+s_2=2R$，解得小球位移 $s_1=\frac{4}{3}R$、槽的位移 $s_2=\frac{2}{3}R$。\n2.求轨迹：设小球的位置横坐标为 x、纵坐标为 y，槽的圆心向左移动 $x_M$，圆心与小球连线与水平方向的夹角为 $\theta$，由几何关系 $R\cos\theta=R-x_M-x$、$R\sin\theta=R-y$，又由动量守恒 $mx=2mx_M$，联立消去 $x_M$ 得 $\frac{(x-\frac{2}{3}R)^2}{(\frac{2}{3}R)^2}+\frac{(y-R)^2}{R^2}=1$，即小球的轨迹是椭圆。,人船模型的前提是系统在某一方向初动量为零且该方向动量守恒；公式中 $s$ 必须是相对地面的位移，不能把相对位移代入；两物体的位移大小之和要由几何关系确定，不要想当然取两个半径。,p28 微专题12 题型4 能力进阶2（人船模型+轨迹方程）,b
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-012,MATERIAL,动能定理及其应用-功能关系,METHOD_MODEL,用动能定理定性判断同位置速度的大小,槽固定且粗糙时，由动能定理比较不同初速度下小球经过同一位置的速度大小，关键是摩擦力做功随速度增大而增大。,槽固定且有摩擦、需比较高位置处速率变化的定性判断题。,1.槽固定且槽面粗糙，小球从 A 滑到 B 克服摩擦力做的功：由动能定理 $mgR-W_克=\frac{1}{2}mv_0^2-\frac{1}{2}mv_0^2=0$，得 $W_克=mgR$。\n2.若初速度大小改为 $2v_0$：由动能定理 $mgR-W_克'=\frac{1}{2}mv_B^2-\frac{1}{2}m(2v_0)^2$。小球经过同一位置时速度更大，需要的向心力更大，弹力更大，摩擦力也更大，因而克服摩擦力做的功更多，即 $W_克'>W_克$。\n3.由上式移项可知 $v_B<2v_0$：动能定理中除动能变化外，还要把克服摩擦力做的功一并比较，不能认为速率加倍后末速率也加倍。,比较同一位置速率变化时不能只看动能变化量，还要考虑摩擦力做功随速度增大而增大；动能定理是标量式，不能用来判断速度方向。,p28 微专题12 题型4 解析（槽固定且粗糙情形）,c
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-013,MATERIAL,滑块-斜面-曲面-模型-相对运动与临界问题,METHOD_MODEL,单侧固定槽的多过程分析,一端被挡板固定时小球下滑阶段动量不守恒而机械能守恒，越过最低点后系统水平方向动量守恒，槽先加速后减速并取得最大速度。,小球在半圆槽内多次往返、槽只有一侧被物块挡住（挡板只挡不拉）的多过程问题。,1.守恒判断：小球从 A 滑到 B 的过程中，因物块固定使槽静止不动，小球与槽组成的系统动量不守恒（槽受到挡板作用），但机械能守恒；小球滑过 B 点后，槽与球组成的系统在水平方向动量守恒、机械能也守恒。\n2.定性过程：小球从 B 到 C 的过程中槽沿水平方向向右加速运动；小球滑到 C 点时在水平方向与槽共速；若小球在 C 点竖直方向的分速度不为零，则此后小球水平方向的速度与槽的速度保持不变，竖直方向上小球先上升后下落，并从 C 点落回槽内。\n3.小球从 C 滑到 B 的过程中，槽向右继续加速，滑到 B 点时槽向右的速度达到最大；小球从 B 向 A 滑动的过程中槽向右做减速运动。从动量守恒的角度看，小球回落滑到 B 点且向左滑动时槽具有向右的最大速度。\n4.定量关系：设小球第一次到达 B 点的速度为 $v_1$、升到 C 点时水平方向的速度为 $v_2$、距 C 点的最大高度为 $H$、第二次到达 B 点的速度为 $v_3$、槽的最大速度为 $v_m$，由动量守恒和机械能守恒 $mv_1=(2m+m)v_2=2mv_m-mv_3$ 及对应的能量关系联立解得 $v_m=\frac{2}{3}\sqrt{v_0^2+2Rg}$、$H=\frac{1}{3}(\frac{v_0^2}{g}-R)$。,有挡板的一端在小球下滑阶段不能对球与槽用动量守恒，只能用机械能守恒；共速指水平方向共速，竖直分速度不为零时小球会离开槽内壁做斜抛再落回；判断槽的加速与减速要看小球对槽的压力方向。,p29 微专题12 题型4 能力进阶3（单侧固定槽+多过程分析）,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-014,MATERIAL,动力学三大观点的基本理解和应用,METHOD_MODEL,力学三大观点的对应规律,力的瞬时作用对应牛顿第二定律，力的时间累积作用对应动量定理，力的空间累积作用对应动能定理、功能关系与机械能守恒定律。,力学综合题中判断该用哪个规律、怎样把三种观点对应的规律正确配对。,1.力的瞬时作用——牛顿第二定律：物体的加速度大小与合力成正比、与质量成反比，方向与合力的方向相同，$F=ma$。\n2.力的时间累积作用——动量定理：物体所受合力的冲量等于物体动量的变化，$Ft=\Delta p$。\n3.力的空间累积作用——动能定理：合力对物体所做的功等于物体动能的变化，$W=\Delta E_k$；功能关系：一个力做了多少功就有多少能从一种形式转化为其他形式；机械能守恒定律：在只有重力（或系统内弹力）做功的情况下系统机械能的总量保持不变，$E_{k1}+E_{p1}=E_{k2}+E_{p2}$。\n4.动量观点与能量观点的比较：相同点是研究对象都是相互作用的物体组成的系统、都是针对某一运动过程的初末状态列式求解；不同点是动量守恒定律是矢量表达式、还可写出某一方向上的分量表达式，而动能定理和能量守恒定律都是标量表达式、没有分量表达式。,动量守恒定律可以用矢量式也可用某一方向的分量式，动能定理与能量守恒定律只能列标量式；机械能守恒的条件是只有重力或系统内弹力做功，有其他力做功时要用功能关系或能量守恒定律。,p30 微专题13 力学三大观点 知识归纳一、二,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-014,MATERIAL,动力学三大观点的基本理解和应用,METHOD_MODEL,力学三大观点的选用原则,按题目所给和所求选用观点：涉及加速度用动力学观点，涉及时间或打击碰撞用动量观点，不涉及加速度和时间用能量观点。,动力学综合题中选取牛顿运动定律、动量定理或动量守恒、动能定理或机械能守恒的决策。,1.动力学观点：牛顿运动定律结合运动学规律可处理匀变速直线运动问题。涉及加速度的问题一般用牛顿运动定律；涉及瞬时状态的分析和运动性质的分析可用动力学观点。\n2.动量观点：对不涉及运动过程中的加速度而涉及运动时间的问题，特别是打击、冲击一类时间短且作用力随时间变化的问题，应用动量定理求解，$Ft=mv-mv_0$；对碰撞、爆炸、反冲问题，若只涉及初末速度而不涉及力和时间，应用动量守恒定律求解。\n3.能量观点：对不涉及加速度和时间的问题，无论是恒力做功还是变力做功，一般都利用动能定理求解；如果只有重力和弹簧弹力做功而又不涉及加速度和时间，则采用机械能守恒定律求解。\n4.单独用动量观点或能量观点无法解决时，可尝试两种观点结合联立方程求解。,观点选用要看已知与待求的物理量：涉及时间优先动量定理，涉及位移或功优先动能定理，涉及瞬时状态优先牛顿第二定律；碰撞、爆炸、反冲这类时间极短的过程优先动量守恒，不要硬算加速度。,p30 微专题13 力学三大观点 知识归纳三 力学三大观点的应用,b
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-015,MATERIAL,多物体-多过程问题中动量守恒定律的应用,METHOD_MODEL,绳绷紧瞬间的动量守恒与重复过程的总路程,绳突然绷紧的瞬间张力远大于重力、重力的冲量可忽略，该过程系统近似动量守恒；重复发生的运动过程用等比数列求总路程。,跨过滑轮的连接体中有一物体中途落地、绳松弛后又绷紧的多过程问题；以及反复碰撞、反复弹起的重复过程。,1.绳绷紧瞬间的处理（易错点）：细线再次绷紧时线中张力远大于重力，重力的冲量可忽略不计，此过程系统近似动量守恒，可直接用动量守恒列式，不必考虑重力冲量的影响。\n2.以跨过光滑定滑轮的连接体为例：A 由静止释放至第一次落地的阶段只有重力做功，对系统用机械能守恒求得落地的速度 $v_1=\sqrt{\frac{2}{3}gh}$；A 碰地后立即静止，B 继续向上做竖直上抛，由 $v_1^2=2gh'$ 得上升高度 $h'=\frac{1}{3}h$；B 返回、绳再次绷紧时用近似动量守恒 $mv_1=(m+2m)v_2$ 得 $v_2=\frac{1}{3}\sqrt{\frac{2}{3}gh}$；此后对连接体用牛顿第二定律 $2mg-mg=3ma$ 得 $a=\frac{g}{3}$，运动时间由 $v_2=at$ 求得。\n3.求冲量优先用动量定理：对该连接体的一段减速过程，对 A 由动量定理 $I-2mgt=0$ 求得绳对 A 的冲量 $I=\frac{2}{3}m\sqrt{6gh}$、方向竖直向上，比用牛顿第二定律逐段求解更简便。\n4.重复过程的总路程：再次上升的最大高度 $h_2=\frac{v_2^2}{2a}=\frac{h}{9}$，之后每次的高度为上一次的 $\frac{1}{9}$，故总路程 $x=h+2h_2+2h_3+\cdots=\frac{5}{4}h$，用等比数列前 n 项和公式求和。,绳松弛阶段两物体不再相互作用，必须拆成独立过程（上抛、自由落体）；只有绳绷紧的这一瞬间才能用近似动量守恒；总路程中除第一次外每次上升和下降都要计两次；求冲量时别漏掉重力的冲量项。,p31 微专题13 典例2 解析（点拨：细线绷紧瞬间近似动量守恒）,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-016,MATERIAL,摩擦力做功与能量关系分析技巧,METHOD_MODEL,用相对路程判断与箱壁碰撞的次数,系统克服摩擦力做的功等于摩擦力与相对路程的乘积，也等于系统动能的损失，由此先求相对路程再与箱内壁间距比较即可确定碰撞次数。,物体在箱子或容器内往返滑动并与器壁碰撞、已知动摩擦因数求碰撞次数或物体和容器的位移的问题。,1.先判断终态：系统要克服摩擦力做功，物体最终会停在箱子上并与箱子以相同的速度一起运动，由动量守恒 $mv_0=(m+M)v$ 求共同速度。\n2.用功能关系求相对路程：$\mu mgs=\frac{1}{2}mv_0^2-\frac{1}{2}(m+M)v^2$，其中 $s$ 是物体相对箱子运动的总路程（相对路程）；把 $s$ 与箱子内侧两壁间距 $l$ 比较，即可判断物体与箱壁碰撞的次数（物体每走完一次壁间距的距离才可能碰壁一次）。\n3.碰壁能否发生要看碰前两者的速度大小：若碰前物体速度 $v_2$ 不小于箱子速度 $v_1$（即 $v_2\ge v_1$），物体追不上箱子右壁，不能与右壁发生碰撞；质量相同的弹性碰撞两者交换速度。\n4.求箱子对地位移的常规解法：设碰前物体和箱子的对地位移分别为 $x_1$、$x_2$、速度分别为 $v_1$、$v_2$，由动量守恒 $mv_0=mv_1+Mv_2$；分别对物体和箱子用动能定理 $\mu mgx_1=\frac{1}{2}mv_0^2-\frac{1}{2}mv_1^2$ 和 $\mu mgx_2=\frac{1}{2}Mv_2^2$；再由几何关系 $x_1-x_2=\frac{l}{2}$ 联立求解。,功能关系中的位移必须是相对路程而不是对地位移；一对摩擦力对系统做的总功等于摩擦力乘相对路程、等于系统机械能的减少量；箱子受到摩擦力做正功、其位移要用动能定理或 v-t 图像面积求，不能与相对路程混用。,p32 微专题13 典例3 解析（关键：根据相对路程计算碰撞次数）,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-017,MATERIAL,NEW:质心运动定律,CONCEPT_EXPLANATION,质心运动定律,作用在质点系上的合外力等于质点系总质量与质心加速度的乘积；系统所受合外力为零时质心加速度为零、质心做匀速直线运动。,系统内部相互作用复杂（多次碰撞、内部摩擦）而外力简明的多体问题，用来判断整体的速度或位移。,1.内容：作用在质点系上的合力等于质点系总质量与质心加速度的乘积，即 $F=Ma_c$，其中 $F$ 表示质点系所受的合外力，$M$ 表示质点系总质量，$a_c$ 表示质心的加速度。\n2.推论：系统所受合外力为零时 $a_c=0$，质心做匀速直线运动——系统内部即使发生多次碰撞或相对滑动，质心的运动不受影响。\n3.应用示例：物体与箱子组成的系统水平方向所受合外力为零，质心加速度为 0，质心以共同速度 $v_c$ 匀速运动，经过时间 $t$ 质心通过的位移 $x_c=v_ct$；作出各物体的运动示意图后，由几何关系即可求出箱子或物体的对地位移，比逐段用动能定理更简便。\n4.与动量守恒的联系：质心速度 $v_c=\frac{m_1v_1+m_2v_2}{m_1+m_2}$，即系统总动量与总质量之比；内力不改变质心速度，这正是动量守恒定律的另一种表述。,质心运动定律的前提是先判断系统所受合外力是否为零（重力与支持力等也要计入矢量和，竖直方向一般不满足）；质心位移是等效于“全部质量集中在质心”的位移，不等于某个物体的位移，两者要用几何关系换算。,p33 提分关键·知识拓展 质心运动定律 建议父级：动量,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第七章动量守恒定律/1_专题资料包/1_讲册PDF 07-第七章 动量守恒定律.pdf,2b63d7a05b-018,MATERIAL,多物体-多过程问题中动量守恒定律的应用,METHOD_MODEL,多次碰撞问题的归纳推理法,对反复碰撞的系统逐次列动量守恒（弹性碰撞再加机械能守恒）求出碰后速度，比较各次结果找出周期性规律，用归纳推理推广到第 n 次碰撞。,两球在圆环内或竖直圆轨道内反复碰撞，求第 n 次碰撞后的速度、碰撞位置或某球通过的总路程。,1.步骤：先由轨道形状与几何关系确定每次碰撞的位置（如等边三角形的三个顶点、圆环上被等分的固定点）；再对每次碰撞列动量守恒（弹性碰撞再加机械能守恒）求出碰后速度；然后比较各次速度的数值规律，用归纳推理推广到第 n 次。\n2.弹性碰撞的公共结论：$m_A$ 以 $v_0$ 撞静止的 $m_B$，碰后 $v_A=\frac{m_A-m_B}{m_A+m_B}v_0$、$v_B=\frac{2m_A}{m_A+m_B}v_0$；$m_A>m_B$ 时两球碰后同向运动，$m_A<m_B$ 时 A 被反弹，$m_A=m_B$ 时两者交换速度。\n3.周期性规律示例（竖直圆轨道最低点的反复弹性碰撞）：碰撞次数为奇数时两球碰后速度与第一次相同（$v_1=-\frac{1}{2}\sqrt{2gR}$、$v_2=\frac{1}{2}\sqrt{2gR}$）；碰撞次数为偶数时与第二次相同（$v_1'=-\sqrt{2gR}$、$v_2'=0$），即每两次碰撞构成一个周期，此后 B 球停在最低点、A 球回到最初的位置。\n4.求总路程：写出相邻两次同类碰撞之间的运动路程，得到等比数列（如 $x_{B1}+x_{B2}+\cdots+x_{B2n}=\frac{2\pi Rm_A}{m_A+m_B}(\frac{1}{e}+\frac{1}{e^2}+\cdots+\frac{1}{e^{2n}})$），再用等比数列求和公式求总路程。\n5.计算技巧：对始终发生碰撞的系统，为计算方便，动量守恒等式左边可以始终用系统的初始动量（如 $m_Av_0$）代替上一次碰后的总动量。,归纳推理必须先算准前两次碰撞的速度与位置，不能凭“对称”直接猜结论；只有弹性碰撞才能动量守恒与机械能守恒联立，非弹性碰撞只能再用相对速度关系式补充；圆环内碰后两球同向运动时要判断谁追谁，速度比值为负的解要舍去。,p34 微专题13 典例4 解析（应用归纳推理求解多次碰撞问题）,
