subject,slug,name,bound_materials,figure_verbalized,hit,sample_content
MATH,函数的对应关系,函数的对应关系,4,yes,交点,函数的概念与三要素 函数是从非空数集 A 到 B 的确定对应，三要素为定义域、对应关系、值域。 判断两函数是否为同一函数、理解函数记号 y=f(x)。 1. $
MATH,函数的对称性,函数的对称性,24,yes,横坐标,"拓展判定：$f(a\pm x)$ 为奇函数 $\Rightarrow$ $f(x)$ 的图象关于点 $(a,0)$ 对称 若 $f(a+x)$（或 $f(a-x"
MATH,关于线对称,关于线对称,4,yes,对称轴,轴对称判定：$f(a+x)=f(b-x)\Leftrightarrow$ 图象关于直线 $x=\dfrac{a+b}{2}$ 对称 函数在 $a+x$ 与 $b
MATH,关于点对称,关于点对称,4,yes,斜率,"点对称判定：$f(a+x)+f(b-x)=2c\Leftrightarrow$ 图象关于点 $\left(\dfrac{a+b}{2},c\right)$ 对称"
MATH,配方法-主要用于二次函数或可化为二次函数的函数-要特别注意自变量的取值范围,配方法：主要用于二次函数或可化为二次函数的函数，要特别注意自变量的取值范围．,5,yes,曲线,抽象函数模型：二次函数型对应 $f(x+y)=f(x)+f(y)+2axy-c$ 满足 $f(x+y)=f(x)+f(y)+2axy-c$ 的抽象函数可联想二次
MATH,待定系数法-若已知函数的类型-如一次函数-二次函数等-可用待定系数法,待定系数法：若已知函数的类型（如一次函数、二次函数等），可用待定系数法．,12,yes,开口,决定系数 R² $R^2$ 越大拟合效果越好。 比较模型拟合优度。 决定系数 $R^2=1-rac{\sum (y_i-\hat{y}_i)^2}{\sum (
MATH,换元法-主要用于解决已知的解析式-求函数的解析式的问题,换元法：主要用于解决已知的解析式，求函数的解析式的问题．,16,yes,极值,"换元法：令新元为满足条件的式子整体替代，破解直接配凑困难 直接配凑困难或需平方开根号时，把某式设为新元（如 x²+y²=5 令 a=x²,b=y²），化为定值的"
MATH,幂函数的定义-一般地-函数y-xα叫做幂函数-其中x是自变量-α是常数,幂函数的定义：一般地，函数y＝xα叫做幂函数，其中x是自变量，α是常数．,3,yes,单调,幂函数的定义与常见图象 形如 y=x^α（α为常数）的函数是幂函数，五类基本幂函数为 x、x²、x³、x^½、1/x。 识别幂函数、画幂函数图象。 幂函数 $y
MATH,对数函数图象的常用结论,对数函数图象的常用结论,20,yes,对称轴,偶函数加轴对称求周期：偶函数图象关于 $x=a\ (a\neq 0)$ 对称 $\Rightarrow 2|a|$ 为一个周期 偶函数已有对称轴 $x=0$，若
MATH,幂函数的图象与性质,幂函数的图象与性质,0,no,,
MATH,指数函数的图象与性质应用,指数函数的图象与性质应用,2,yes,由图,"指数函数的图象与性质 y=a^x（a>0 且 a≠1）恒过 (0,1)，值域为 (0,+∞)，a>1 递增、0<a<1 递减。 指数函数图象识别、解指数不等式。"
MATH,对数函数的图象与性质应用,对数函数的图象与性质应用,1,no,,"对数函数的图象与性质 y=log_a x（a>0 且 a≠1）恒过 (1,0)，定义域 (0,+∞)，a>1 增、0<a<1 减。 对数函数图象识别、解对数不等"
MATH,定理法-利用零点存在定理-函数的图象在区间上是连续不断的曲线-且,定理法：利用零点存在定理，函数的图象在区间上是连续不断的曲线，且，,1,yes,交点,确定零点所在区间的方法 用零点存在定理逐段检验端点函数值符号，或画图象观察与 x 轴交点位置。 求函数零点所在的大致区间。 1. 定理法：对候选区间逐一计算 $
MATH,图象法,图象法：,0,no,,
MATH,性质法-利用函数性质-若能确定函数的单调性-则其零点个数不难得到,性质法：利用函数性质，若能确定函数的单调性，则其零点个数不难得到；,16,yes,交点,确定零点个数方法一：令 $f(x)=0$ 直接求解，由方程根的个数定零点个数 能直接求解的方程令 $f(x)=0$ 解出全部实根，不同实根的个数即零点个数。 方
MATH,直接法-利用零点存在的判定定理构建不等式求解,直接法：利用零点存在的判定定理构建不等式求解；,6,yes,由图,利用零点求解析式时先区分上升/下降零点 把零点代入求 φ 时要先判断零点是上升还是下降型，直接代入 kπ 会产生增根。 由图象零点坐标求 $y=A\sin(\o
MATH,同角三角函数的基本关系,同角三角函数的基本关系,15,yes,面积,解三角形最值：转化为角的三角函数路径 选一角为基本量，把目标式化成该角的三角函数求范围。 求周长、边长、面积的最值或范围。 转化为角四步：1.提取题干信息将某一
MATH,三角函数的图象与性质,三角函数的图象与性质,19,yes,交点,拓展判定：$f(a\pm x)$ 为偶函数 $\Rightarrow$ $f(x)$ 的图象关于直线 $x=a$ 对称 若 $f(a+x)$（或 $f(a-x)
MATH,函数y-asin-ωx-φ-的图象,函数y=Asin(ωx+φ)的图象,2,yes,横坐标,y=sinx 到 y=Asin(ωx+φ) 的两种变换途径 先平移后伸缩或先伸缩后平移，平移量不同。 由变换关系作图或还原。 由 $y=\sin x$ 变换到 
MATH,三角形面积公式,三角形面积公式,39,yes,面积,切线长公式：直角三角形勾股定理求切线长 过圆外一点的两切线长相等，切线长 $=\sqrt{|PC|^2-r^2}$。 求切线长、两切线夹角、切点弦相关问题。 过
MATH,解三角形的实际应用,解三角形的实际应用,11,yes,曲线,解三角形隐含条件：两边之和大于第三边 求边（和）范围时不能忽略两边之和大于第三边的隐含约束。 解三角形求边长和、周长范围的题目。 解三角形求范围时注意隐含条件：
MATH,不等式恒成立,不等式恒成立,6,yes,开口,"端点效应四类型：$f(x)\ge 0$ 恒成立且 $f(m)=0$ 则 $f'(m)\ge 0$（其余三型对应） 若 $f(x)$ 在 $[m,n]$ 上恒有 "
MATH,在求函数的最值时-一定要在定义域-使实际问题有意义的自变量的取值范围-内求解,在求函数的最值时，一定要在定义域（使实际问题有意义的自变量的取值范围）内求解．,19,yes,曲线,自变量差 $2a$ 等值式：$f(x+a)=f(x-a)\Rightarrow T=2a$ 自变量相差 $2a$ 的函数值相等，即周期 $T=2a$。 函数方程
