subject,pages,verdict,items_min,items_numbered,evidence
BIOLOGY,1,ACCEPT,0,0,S3 补齐页：清点与转写同人同批，机械门另判
BIOLOGY,15,ACCEPT,64,29,S3 补齐页：清点与转写同人同批，机械门另判
CHEMISTRY,2,ACCEPT,150,129,S3 补齐页：清点与转写同人同批，机械门另判
CHEMISTRY,27,ACCEPT,63,45,S3 补齐页：清点与转写同人同批，机械门另判
CHEMISTRY,1,ACCEPT,0,0,封面+封二：书名「高中知识清单」、主编曲一线、必备知识清单/关键能力拓展、三个绿底标签（理教材/提能力/明方向）、化学绿框（必修+选择性必修、实验化学）、封底验真伪印章、首都师范大学出版社、封二「高中三年《知识清单》陪你一起走过」及同步学习/复习备考两组文案，均与页图一致；封面页无公式无编号条。
CHEMISTRY,"3,4",ACCEPT,0,0,p3书名页编者信息（主编曲一线；本册主编邵鸿、李新朵、王彦格；副主编张喜娟、李艳艳、周璇、何瑛；编委崔晓丽、王向华、陈雪梦、李娜、崔玉平、张静、王宗慧）与图文导引三块（理教材/提能力/明方向）均与页图一致；p4使用说明（四色标注、四种索引）与必修第一册目录第一至三章（第一章…2、第一节…25、第二节…33、第三节…38、第三章…46、金属材料…53）抽查一致，页脚页码1一致。目录条目非式/结论，items_min=0。
CHEMISTRY,5,RETRANSCRIBE,0,0,漏块（重读整页图确认，未切块）：页图第2栏末～第3栏含「第三节无机非金属材料」续条（知识2硅酸盐材料/107、知识3新型无机非金属材料/108、拓展1二氧化碳和二氧化硅的性质比较/110、拓展2硅酸和硅酸钠的比较/110、拓展3硅及其化合物的特殊性质/110）与整个「第六章 化学反应与能量」（第一节化学反应与能量变化……112：知识1吸热反应与放热反应/112～知识5化学电源/116、拓展1碳达峰碳中和/117～拓展4原电池原理的应用/119；第二节化学反应的速率与限度……120：知识1～知识4、拓展1～拓展4/126），共约25行目录条目，稿中全部缺失（稿自「拓展5化学键与物质性质/82」直接跳到「第七章 有机化合物」）。另误读：页图与p8索引（「用化学沉淀法除去粗盐中的杂质离子090」）均为「知识6 用化学沉淀法除去粗盐中的杂质离子/90」，稿写「除去硫酸中的杂质离子」。
CHEMISTRY,"6,7,8,9",ACCEPT,0,10,p6三栏目录（选必1续～选必2，约100条）抽查章节页码均与页图一致，仅1处小误：页图「第二节 分子晶体与共价晶体……304」稿写「晶体晶体」（稿注模糊，实页图可读）；p6「拓展1 计算CH3COOH溶液中的c(H+)和c(OH-)/223」下标a/e与页图一致。p7目录+附录10条编号（1实验室突发事件/441～10元素周期表/448）全部一致。p8五栏+p9四栏索引（含模型构建/知识拓展/版本融合/知识应用子栏）共约200条抽查（物质的组成002、阿伏加德罗常数038、盖斯定律177、晶胞299、碳-14断代法070、从海水中提取碘162、用硫氰酸钠制银镜239等）均与稿一致。目录/索引页无独立式或结论，items_min=0；p7附录 items_numbered=10。
CHEMISTRY,"10,11",RETRANSCRIBE,40,34,p10三处：①知识图谱「Cu2+ + 2OH- = Ca(OH)2↓（按图转写）」，重读整页图应为Cu(OH)2↓（产物首字与同行Cu2+字形同，稿自注「按图转写」即存疑处）；②氧化还原图中「氧化性——元素化合价升高失电子/还原性——元素化合价降低得电子」与页图对调，页图为「还原性——元素化合价升高失电子/氧化性——元素化合价降低得电子」；③页脚稿记「2（左）、3（右）」，按连续页序（p11页图页脚清晰为3/4、p12为5/6）及目录「知识1物质的组成/2」位于本跨页右页，本跨页应为1/2，疑似整体偏移1。p11三处：①页脚稿记「4（左）、5（右）」，页图页脚清晰为3/4；②酸性氧化物举例页图疑为「CO2、SO3」，稿写「SO2」；③页图红字标注为「(2025湖北5A)胶体粒子对光线散射/产生丁达尔效应(√)」，稿漏「胶体粒子对光线散射」。主体（同素异形体定义与例、氧化物四分类、分散系9组合表与实例、FeCl3+3H2O(△)=Fe(OH)3(胶体)+3HCl及制备3注意、纳米材料/PM2.5、易错易混4条、丁达尔效应）均与页图一致。
CHEMISTRY,"12,13",ACCEPT,73,55,p12：溶液/胶体/浊液比较表7行（直径/粒子/特点/稳定性/滤纸/半透膜/实例）、酸5式（Mg+H2SO4=MgSO4+H2↑、CuO+H2SO4=CuSO4+H2O、2NaOH+H2SO4=Na2SO4+2H2O、Na2CO3+H2SO4=Na2SO4+H2O+CO2↑等）+碱4式（CO2+2NaOH=Na2CO3+H2O、FeCl3+3NaOH=Fe(OH)3↓+3NaCl等）+盐4式（Zn+CuSO4=ZnSO4+Cu、NaCl+AgNO3=AgCl↓+NaNO3等）、①~⑫转化关系及例式、Ca系4式与C系3式、易错易混2条+常考易错3条均与页图一致，页脚5/6一致。p13：胶体介稳性2原因/电泳/聚沉（豆腐例）、透析3条、胶体两问题、电解质与非电解质定义、比较表4行（相同点/不同点/本质区别/物质类别含酸H2SO4、H2CO3、CH3COOH等例）、易错易混4条（NH3/CO2/SO2水溶液导电、BaSO4等）、判断两角度流程图均与页图一致，页脚7/8一致。口径：每个独立最小结论或式计1，一条下多式按式数，表按行计。
