subject,slug,material_slug,current_node_slug,suggested_node_slug,verdict,evidence,slice
BIOLOGY,atp的合成和利用,ext-bio-cdea66a95d-015,atp的合成和利用,,KEEP,材料落在节点名的「利用」面上：「ATP 是细胞内流通的能量货币：吸能反应一般与 ATP 的水解相联系，放能反应一般与 ATP 的合成相联系」，与节点边界「水解释放的能量直接用于各项需能生命活动」同轴。｜材料正文原句（materials[6]）,slice-06
BIOLOGY,个体或配子致死问题的处理-规律方法,bio-fx-lethal-gamete-calculation,个体或配子致死问题的处理-规律方法,,KEEP,材料给的就是节点名下致死比例的处理链：「若含a的花粉50%致死，则雄配子A:a＝2:1（雌配子仍1:1），用两组配子分别计算」；节点名为「个体或配子致死问题的处理(规律方法)」。｜材料正文原句（materials[1]）,slice-06
BIOLOGY,免疫系统的组成和功能,bio-ecosystem-component-consumers,免疫系统的组成和功能,生态系统的结构,REBIND,材料正文原句：「1. 消费者：主要以动植物为食的异养生物（大多数动物、寄生微生物等）。」——对象是生态系统的组成成分（消费者），同上；现绑为张冠李戴,slice-05
BIOLOGY,免疫系统的组成和功能,bio-ecosystem-component-decomposers,免疫系统的组成和功能,生态系统的结构,REBIND,材料正文原句：「1. 分解者：营腐生生活的细菌、真菌、蜣螂、蚯蚓等。」——对象是生态系统的组成成分（分解者），同上；现绑为张冠李戴,slice-05
BIOLOGY,免疫系统的组成和功能,bio-ecosystem-component-producers,免疫系统的组成和功能,生态系统的结构,REBIND,材料正文原句：「1. 生产者多为绿色植物（光合作用自养），也包括蓝细菌、化能合成细菌。」——对象是生态系统的组成成分（生产者），与免疫系统无关；现库有『生态系统的结构』节点，边界即「生态系统的组成成分（生产者、消费者、分解者）和非生物环境」,slice-05
BIOLOGY,免疫系统的组成和功能,bio-fj-03-disaccharide-composition,免疫系统的组成和功能,细胞中的糖类,REBIND,材料正文原句：「1. 蔗糖：葡萄糖+果糖，分布在甘蔗、甜菜中。」——对象是三种二糖的水解产物与分布，与免疫系统无关；现库有『细胞中的糖类』节点，边界正在于「重点包括三种二糖的水解产物与分布」,slice-05
BIOLOGY,免疫系统的组成和功能,bio-fx-crispr-components,免疫系统的组成和功能,基因编辑,REBIND,材料正文原句：「2. Cas9：细菌核酸酶，与向导RNA结合，切割与其配对的DNA，使双链断裂。」——对象是 CRISPR/Cas9 系统的组分与切割功能，与免疫系统无关；现库有『基因编辑』节点，边界即以 CRISPR/Cas9 为代表,slice-05
BIOLOGY,免疫系统的组成和功能,bio-fx-judge-allergy-overreaction,免疫系统的组成和功能,过敏反应,REBIND,材料正文原句：「2. 提示：过敏反应是已产生免疫的机体再次接受相同抗原时发生的组织损伤或功能紊乱。」——对象是过敏反应的归属（防御功能过强，而不是过低），属『过敏反应』节点边界（必须再次接触相同过敏原、不能把一切免疫过强都归为过敏）；同主题另有『免疫失调』节点，二者需人工定夺,slice-05
BIOLOGY,免疫系统的组成和功能,bio-kb2-28-immune-organs,免疫系统的组成和功能,,KEEP,正文：「胸腺：T细胞分化、发育、成熟的场所；脾和淋巴结是免疫细胞集中分布的场所。」——以骨髓与胸腺在免疫中的地位为对象，属组成与分工,slice-05
BIOLOGY,免疫系统的组成和功能,bio-kb2-28-immune-system-components,免疫系统的组成和功能,,KEEP,正文：「免疫器官：骨髓、胸腺、脾、淋巴结、扁桃体等；免疫细胞：执行免疫功能的细胞，来自骨髓的造血干细胞，包括各种白细胞；」——以免疫系统的三部分组成为对象,slice-05
BIOLOGY,免疫系统的组成和功能,bio-kb2-28-immune-three-functions,免疫系统的组成和功能,,KEEP,正文：「免疫防御：排除外来抗原性异物，是免疫系统最基本的功能，异常时导致组织损伤或易被病原体感染；」——以三大基本功能为对象，属免疫功能面,slice-05
BIOLOGY,免疫系统的组成和功能,bio-kb2-28-pd1-immune-escape,免疫系统的组成和功能,,NONE,正文：「肿瘤细胞通过过量表达PD-L1来逃避免疫系统的追杀；科学家使用PD-1或PD-L1抗体阻断该信号通路，使T细胞能对付癌细胞。」——同 bio-tumor-immunology-pd1：对象是 PD-1/PD-L1 免疫逃逸与抗体阻断（免疫治疗），非本节点的组成/分工；候选『免疫学的应用』『免疫失调』边界均不精确 ⇒ 留人工,slice-05
BIOLOGY,免疫系统的组成和功能,bio-mo-immunity-001,免疫系统的组成和功能,,KEEP,正文：「1. 免疫系统主要包括免疫器官、免疫细胞、免疫活性物质。」——以免疫系统三部分组成为对象,slice-05
BIOLOGY,免疫系统的组成和功能,bio-mo-immunity-002,免疫系统的组成和功能,非特异性免疫,REBIND,材料正文原句：「2. 体液中的杀菌物质和吞噬细胞是保卫人体的第二道防线，这两道防线属于非特异性免疫，特点是人人生来就有，不针对某一类特定的病原体，而是对多种病原体都有防御作用。」——对象是三道防线（第一、二道防线属非特异性免疫，第三道属特异性免疫），不是免疫系统的组成；现库有『非特异性免疫』节点，边界即「以第一、二道防线为代表的生来就有的免疫」,slice-05
BIOLOGY,免疫系统的组成和功能,bio-mo-immunity-003,免疫系统的组成和功能,,KEEP,正文：「1. 免疫系统的三大基本功能是免疫防御、免疫自稳和免疫监视，其中免疫防御是免疫系统最基本的功能。」——以三大基本功能为对象，属免疫功能面,slice-05
BIOLOGY,免疫系统的组成和功能,bio-mo-immunity-004,免疫系统的组成和功能,,KEEP,正文：「1. （1）免疫细胞并非只指淋巴细胞。」——以免疫细胞/免疫活性物质/防线归属的一组易错为对象，属节点边界的分工与配合面,slice-05
