chunk_id,midx,node_slug,type,title,summary,applicability,content,boundary,note
11e0cd0998-004,,光的波粒二象性,CONCEPT_EXPLANATION,光的波粒二象性与物质波,干涉、衍射、偏振证明光的波动性，光电效应说明粒子性，二者统一为波粒二象性，光波是概率波。,判断光的波动性与粒子性证据、物质波波长问题。,①波动性证据：光的干涉、衍射、偏振现象表明光具有波动性。②粒子性证据：光电效应说明光具有粒子性。③二象性：光既具有波动性又具有粒子性，称为光的波粒二象性。④概率波：干涉亮条纹是光子到达概率大的地方，暗条纹是光子到达概率小的地方，因此光波又叫概率波。⑤物质波：任何一个运动着的物体，小到微观粒子、大到宏观物体，都有一种波与之对应，其波长λ＝h/p，h为普朗克常量，p为运动物体的动量。,波动性与粒子性是同一光的两种表现，不能认为光有时是波、有时是粒子；概率波描述的是统计规律，单个光子的落点不确定。,一轮 第40讲 原子物理 高效培优讲义（教师版）考点四
fc6ffa52f7-010,,弹簧不锁定模型,METHOD_MODEL,弹簧不锁定模型,光滑水平面上弹簧连接的两物体系统合外力为零，动量守恒；弹簧最短或最长时两物体共速、弹性势能最大。,求解弹簧连接体的动量与能量综合问题。,①模型条件：对于光滑水平面上的弹簧类问题，作用过程中系统所受合外力为零，满足动量守恒的条件。②能量关系：整个过程涉及弹性势能、动能，还可能涉及内能的转化，应用能量守恒定律解决此类问题。③关键状态：弹簧压缩至最短（或伸长至最长）时，弹簧连接的两物体速度相同，此时弹簧形变量最大、弹性势能最大。④临界思想：两物体相距最近时速度必定相等，此时弹簧最短、压缩量最大，这是求解弹簧类极值问题的突破口。⑤注意弹簧的特殊位置：原长时弹力为零；合力为零的平衡位置速率最大。,弹簧形变量最大对应两物体共速而不是速度为零，此时系统动能最小、弹性势能最大；模型结论以系统合外力为零（动量守恒）为前提。,一轮 专题09 动力学三大观点的应用 知识清单（教师版）02 动力学中的经典模型
3edb60db02-004,,常见的导出单位,CONCEPT_EXPLANATION,单位制与导出单位,由基本单位和导出单位组成单位制；力学基本量为长度、质量、时间，导出单位由基本量按物理关系推导。,判断基本单位与导出单位、用单位检验表达式。,①单位制：由基本单位和导出单位一起组成了单位制。②基本单位：基本物理量的单位，力学中的基本量有三个，分别是质量、长度和时间，它们的国际单位分别是kg、m和s。③导出单位：由基本量根据物理关系推导出来的其他物理量的单位。④常见导出单位举例：由F＝ma得力的单位1 N＝1 kg·m/s²；由W＝Fl得功的单位1 J＝1 N·m；由P＝W/t得功率的单位1 W＝1 J/s。⑤应用：等式两边的单位必须一致，可据此检验表达式是否正确。,基本物理量与基本单位不能混淆（长度是基本量、米是基本单位）；导出单位由物理关系导出，不能与基本单位混记。,一轮 第09讲 牛顿运动定律的理解及基本应用（复习讲义）湖南专用（教师版）知识点3
6ee691cacf-006,,运动的合成与分解,CONCEPT_EXPLANATION,运动的合成与分解,位移、速度、加速度都是矢量，其合成与分解遵循平行四边形定则；合运动与分运动满足等时性、独立性、等效性。,判断合运动性质、处理渡河与关联速度问题。,①遵循的法则：位移、速度、加速度都是矢量，故它们的合成与分解都遵循平行四边形定则。②合运动与分运动的关系：等时性，合运动与分运动经历的时间相等，即同时开始、同时进行、同时停止；独立性，一个物体同时参与几个分运动时各分运动独立进行，不受其他运动的影响；等效性，各分运动的规律叠加起来与合运动的规律有完全相同的效果。③合运动的性质判断：看合初速度方向与合加速度方向是否共线，共线时做直线运动，不共线时做曲线运动，轨迹弯向合加速度（合外力）一侧。④方法价值：把复杂的曲线运动分解为两个简单的直线运动分别处理。,各分运动彼此独立、互不影响，不能把分运动的时间或加速度简单相加；判断直线或曲线运动的关键是看合初速度与合加速度是否共线。,一轮 专题05 曲线运动 热点知识讲练与题型归纳（学生版）题型二
233121e856-001,,电路中的基本概念,CONCEPT_EXPLANATION,电源、电动势与内阻,电源靠非静电力做功维持电势差；电动势由电源自身性质决定，与W、q无关，内阻由电源本身特点决定。,辨析电动势与电势差、分析电源供电与内阻问题。,①电源：不断把负电荷从正极搬运到负极，从而维持正负极之间一定电势差的装置，即通过非静电力做功把其他形式的能转化为电能的装置。②原理：电源内部非静电力做功把其他形式的能转化为电能，外电路中电场力做功把电能转化为其他形式的能。③电动势：数值上等于非静电力把1 C的正电荷在电源内从负极移送到正极所做的功，E＝W/q；E的大小与W和q无关，由电源自身的性质决定，不同种类的电源电动势大小不同；其数值等于电源没有接入电路时两极间的电压，在闭合电路中等于内外电路上电势降落之和。④内阻：电源内部导体也有电阻，叫做电源的内阻，由电源本身特点决定，一般新电池内阻小、旧电池内阻大。,电动势是电源自身的属性，与是否接入电路以及W、q无关；它并不总等于两极间电压，只有未接入电路时才在数值上相等。,一轮 专题11 恒定电流 知识清单（教师版）01 电路中的基本概念
233121e856-007,,电路中的基本定律,CONCEPT_EXPLANATION,电阻定律与串并联规律,同种材料导体的电阻与长度成正比、与横截面积成反比，还取决于材料；串并联电路有各自的电流、电压与电阻规律。,计算导体电阻与电阻率、求串并联电路等效电阻。,①电阻定律：同种材料的导体，其电阻与它的长度成正比、与它的横截面积成反比，导体电阻还与构成它的材料有关，即R＝ρl/S；适用条件为粗细均匀的金属导体或浓度均匀的电解质溶液。②电阻率ρ：反映导体的导电性能，是导体材料本身的属性，国际单位是欧·米（Ω·m）；金属的电阻率随温度升高而增大，负温度系数半导体的电阻率随温度升高而减小。③串并联规律：串联电路电流处处相等、总电压等于各部分电压之和、总电阻等于各部分电阻之和；并联电路各支路电压相等、总电流等于各支路电流之和、总电阻的倒数等于各支路电阻倒数之和。④常用推论：串联总电阻大于任一部分电阻；并联总电阻小于任一支路电阻；任一电阻变大时总电阻变大。,电阻率只由材料和温度决定，与导体长度、横截面积无关；电阻定律的适用条件不能忽略，非金属或非均匀导体不能直接套用。,一轮 专题11 恒定电流 知识清单（教师版）02 电路中的基本定律
4b9ca03ec9-015,,常见物理量和状态,CONCEPT_EXPLANATION,热力学系统、状态参量与平衡态,系统与外界由体积、压强、温度等状态参量描述；平衡态是状态参量稳定的状态，属动态平衡的理想情况。,判断系统与平衡态、区分热学平衡态与力学平衡态。,①热力学系统：由大量分子组成的研究对象叫做热力学系统，简称系统；系统之外与系统发生相互作用的其他物体统称外界。②状态参量：描述系统状态的物理量，如体积V、压强p、温度T等。③平衡态：在没有外界影响的情况下，系统内各部分的状态参量达到的稳定状态。④对平衡态的理解：热力学平衡态是一种动态平衡，组成系统的分子仍在不停地做无规则运动，只是分子运动的平均效果不随时间变化，表现为系统的宏观性质不随时间变化；而力学中的平衡态是指物体处于静止或匀速直线运动的状态。⑤热平衡：两个相互接触的热力学系统经过一段时间各自的状态参量不再变化，说明两系统达到了热平衡。,平衡态不是分子停止运动，而是分子运动的平均效果不变；热学的平衡态与力学的平衡态含义不同，不能混为一谈。,一轮 专题17 热学 知识清单（教师版）02 气体、液体、固体和热力学定理
7b614c35cb-004,,电火花打点计时器,CONCEPT_EXPLANATION,两种打点计时器的原理与使用,电磁式接8 V交流电、电火花式接220 V交流电，打点周期都是0.02 s，纸带记录位置、时刻、位移与时间。,选择打点计时器电源、确定打点周期与处理纸带。,①电磁打点计时器：构造有线圈、振片、振针、复写纸、限位孔、永久磁铁和纸带；当线圈通以8 V的交流电时，线圈产生的交变磁场使振动片磁化，由于振动片的磁极随电流方向改变而不断变化，在永久磁铁磁场作用下振动片上下振动打点。②电火花打点计时器：构造有正负脉冲输出插座、墨粉纸盒、纸盘轴、弹性卡；接220 V电源并按下脉冲输出开关，计时器发出脉冲电流，放电针与纸盘轴之间产生火花放电，在纸带上打出一系列的点，在交流电的每个周期放电一次。③打点周期：两种打点计时器的打点周期均为0.02 s，即打出点间的时间间隔等于交流电的周期。④记录信息：纸带可记录位置、时刻、位移、时间，是研究匀变速直线运动的基础。,电火花式接220 V交流、电磁式接8 V交流，电源类型不可混用；打点周期由交流电频率决定，频率不是50 Hz时周期不再等于0.02 s。,一轮 专题19 实验相关基础知识 知识清单（教师版）02 必备实验仪器的原理及使用
311bab1429-054,,电表的内接与外接,METHOD_MODEL,电流表内接与外接的选择,大内小外：被测电阻相对电流表内阻大时用内接法，相对电压表内阻小时用外接法；内接偏大、外接偏小。,伏安法测电阻时选测量电路并分析误差。,①选择条件：当Rx≫RA或Rx＞√(RA·RV)时，采用电流表内接法；当Rx≪RV或Rx＜√(RA·RV)时，采用电流表外接法，可简记为“大内小外”。②内接法的误差原因：电流表分压，U测＝Ux＋UA，故R测＝U测/I＝Rx＋RA＞Rx，测量值大于真实值，即“大内偏大”。③外接法的误差原因：电压表分流，I测＝Ix＋IV，故R测＝U测/I测＜Rx，测量值小于真实值，即“小外偏小”。④选择思路：两种接法都可行时，比较哪种接法引起的误差更小，即待测电阻远大于电流表内阻时用内接法，远小于电压表内阻时用外接法。,内接法测量值偏大、外接法偏小；判断依据是Rx与√(RA·RV)的大小关系，不能只凭“电表内阻大小”的模糊印象选接法。,一轮 精讲册PPT 第十章 电路及其应用 slide e63
7b614c35cb-013,,电表改装问题的两点提醒,MISCONCEPTION_GUIDE,电表改装的两点提醒,表头Ug、Ig、Rg三个特征量改装前后不变，满偏电流Ig不改变；改装后量程对应表头满偏时的串联电压或并联总电流。,表头改装成电压表或电流表、分析量程与读数。,①表头参数：小量程电流表（表头）主要由磁场和放入其中可转动的线圈组成，线圈中有电流通过时在安培力作用下带动指针偏转，电流越大偏转角度越大；其三个参数为满偏电流Ig、表头电阻Rg、满偏电压Ug，满足Ug＝IgRg；电压表和电流表实质上都是电流表。②改装原理：表头串联分压电阻改装成电压表，表头并联分流电阻改装成电流表。③提醒一：无论表头G改装成电压表还是电流表，它的三个特征量Ug、Ig、Rg是不变的，即通过表头的最大电流Ig并不改变。④提醒二：改装后电压表的量程指小量程电流表表头满偏时对应的R与表头串联电路的电压；改装后电流表的量程指表头满偏时对应的R与表头并联电路的总电流。,易错点：误以为改装后通过表头的电流可以变大或表头参数被改变；改装只是把量程扩展到外部电路，表头本身的特征量始终不变。,一轮 专题19 实验相关基础知识 知识清单（教师版）01 电表的改装
