chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-009,MATERIAL,物体间恰好不发生相对滑动-的临界条件是物体间恰好达到最大静摩擦力,METHOD_MODEL,转盘上静止物块的向心力临界,水平转盘上随盘匀速转动的物块由静摩擦力提供向心力 静摩擦力达到最大时物块恰好开始相对滑动 由此得许用半径 r 不大于 μg/ω²,判断转盘上的物块或陶屑能否随盘一起转动 能分布在多大半径范围内 以及临界角速度是多少,**受力分析**：水平转盘上的物块随盘一起做匀速圆周运动时 只受重力 支持力和静摩擦力 重力与支持力平衡 **静摩擦力提供向心力**\n对质量 $m$ 离转轴距离 $r$ 的物块：\n$$f=m\omega^2 r$$\n静摩擦力随 $\omega$ 增大而增大 直到达到最大值（最大静摩擦力按题目给定等于滑动摩擦力 $\mu mg$）时物块恰好开始相对滑动：\n$$\mu mg \geqslant m\omega^2 r \Rightarrow r \leqslant \frac{\mu g}{\omega^2}$$\n**结论**\n- 物块能分布的最大半径只由 $\mu$ $g$ $\omega$ 决定 与物块质量无关\n- 角速度越大 物块能分布的最大半径越小\n- 转动中物块有沿半径向外滑动的趋势 静摩擦力方向始终指向圆心\n**易错点**：向心力是效果力 不是物块实际受到的力 不能把向心力当成第三个力画进受力图,只适用于物块与盘面之间没有其他约束（无绳 无凹槽壁）的情形 最大静摩擦力须按题目给定的等于滑动摩擦力处理 物块相对转盘静止时该式才成立 一旦发生相对滑动 摩擦力变为滑动摩擦力且大小方向都可能改变,p489 真题解析中的模型建构（圆周运动中的临界极值问题）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-011,MATERIAL,常见的速度分解模型,REPRESENTATION_GUIDE,三类关联速度模型图解,用沿关联方向分速度相等处理绳 杆 接触面三类牵连体的速度关系 先找限制条件再分解速度,绳拉船 轻杆连两球 横杆与楔块接触 小球沿曲面下滑等牵连体速度关系的判断,关联速度问题中 两物体的速度通过不可伸长的绳 不可伸长的杆或一对保持接触的平面联系起来 **共同思路：先写出限制条件 再沿约束方向分解速度 令沿约束方向的分速度大小相等**\n**1. 绳关联模型**\n限制条件：绳不可伸长 速度关系：绳两端物体沿绳方向的分速度大小相等 例如人拉绳使船靠岸时 $v_{船}\cos\theta=v_{绳}$\n**2. 杆关联模型**\n限制条件：杆不可伸长 速度关系：沿杆方向的分速度相同 例如轻杆两端分别连接竖直杆上的小球和地面上的小球 任意时刻 $v_1\cos\theta_1=v_2\cos\theta_2$\n**3. 接触面关联模型**\n限制条件：接触点不脱离 速度关系：垂直于接触面方向的速度与加速度相同 例如横杆下落与楔块滑动 $v_{杆}=v_{楔}\cos45^\circ$\n**易错点**\n- 分解的对象是**实际速度即合速度** 不是某个力的方向\n- 绳与杆的转动分速度不做功 只有沿绳沿杆方向的分速度参与能量转化\n- 除绳与运动方向共线外 不能把绳两端物体的速度直接当作相等,仅适用于绳与杆不可伸长 接触面不脱离的理想约束 若绳松弛 接触面分离或杆可伸缩 约束关系失效 必须按自由运动重新分析 绳上各点速度大小相等只对沿绳方向的分量成立,p491 重难突破·题型10 关联速度模型 题型图解,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-012,MATERIAL,核心处理思想-运动的合成与分解-约束条件,METHOD_MODEL,关联速度模型四步解题策略,关联速度问题按判断合速度方向 定分速度方向 建立分速度关系 写出两物体速度关系四步求解,一切用绳 杆 接触面联系的运动系统 求两物体速度或角速度之间的关系,关联速度模型的通用解题策略（四步）：\n1. 根据物体的**实际运动**判断**合速度**的方向\n2. 根据关联速度的**类型**（绳 杆 接触面）确定**分速度的方向**并分解\n3. 建立**分速度与合速度**的关系式 如 $v_1\cos\theta_1=v_2\cos\theta_2$\n4. 建立有联系的两物体**速度之间的关系式**并求解\n**配套技巧**\n- **相对运动法**：以地面上的物体为参考系 另一球绕它做圆周运动 把球的速度沿绳杆方向和垂直绳杆方向分解 例如两球用轻杆连接时 由 $v_{甲}\sin\theta=v_乙\cos\theta$ 可解出 $45^\circ$ 这类特殊角\n- 求分速度最大或为零的极值问题：分速度为零对应物体的速度方向与约束方向垂直\n- 杆连两球时 若某球速度最大 则该球加速度为零 此时杆对它的弹力沿杆方向的分量必为零 可据此判断杆是否有力,第2步的分解方向必须由约束条件决定 不能凭感觉分解 接触面模型分解垂直于接触面方向的速度 绳杆模型分解沿绳沿杆方向的速度 使用 $\cos\theta$ 时必须明确 $\theta$ 是哪个夹角 不能混用速度偏转角与绳与速度的夹角,p492 方法拓展 关联速度模型的解题策略,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-013,MATERIAL,平抛运动,METHOD_MODEL,平抛运动规律与两个重要推论,平抛运动按水平匀速与竖直自由落体分解 速度与位移方向满足 tanθ=2tanα 等推论,所有平抛与类平抛问题 求时间 射程 落地速度方向 以及与斜面曲面结合的问题,以抛出点为坐标原点 初速度 $v_0$ 方向为 $x$ 轴正方向 竖直向下为 $y$ 轴正方向\n**速度关系**\n水平方向 $v_x=v_0$ 竖直方向 $v_y=gt$\n合速度大小 $v=\sqrt{v_x^2+v_y^2}$ 方向 $\tan\theta=\dfrac{v_y}{v_x}=\dfrac{gt}{v_0}$ （$\theta$ 为合速度与水平方向的夹角）\n**位移关系**\n水平方向 $x=v_0t$ 竖直方向 $y=\dfrac12gt^2$\n合位移大小 $s=\sqrt{x^2+y^2}$ 方向 $\tan\alpha=\dfrac{y}{x}=\dfrac{gt}{2v_0}$ （$\alpha$ 为合位移与水平方向的夹角）\n**轨迹方程**\n$y=\dfrac{g}{2v_0^2}x^2$ 是一条抛物线\n**两个重要推论**\n1. 平抛运动速度方向的反向延长线一定通过水平位移的中点 即 $x^\prime=\dfrac{x}{2}$\n2. 同一位置处速度偏转角与位移偏转角满足 $\tan\theta=2\tan\alpha$ 即速度偏转角的正切是位移偏转角正切的两倍\n**应用要点**\n- 求飞行时间只看竖直方向 由 $y=\dfrac12gt^2$ 或 $v_y=gt$ 求\n- 初速度只影响落点位置 不影响某一确定位置的速度偏转角,只适用于不计空气阻力 初速度水平的抛体运动 $y$ 轴取竖直向下时 $y$ 取正值 平抛的速度偏转角随下落时间增大而增大 两个推论只对平抛与类平抛成立 斜抛不适用,p493 题型11 类型1 平抛运动模型 题型图解,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-014,MATERIAL,平抛运动与斜面的结合分析,METHOD_MODEL,平抛落到斜面上的两种分解方法,平抛落到斜面上时位移方向与水平方向的夹角等于斜面倾角 沿斜面与垂直斜面分解可求离斜面的最远距离,小球从斜面顶端或对面平抛后落在斜面上的问题 求飞行时间 离斜面最远距离 初速度,**1. 落在斜面上时的飞行时间**\n落点的位移偏转角等于斜面倾角 $\theta$ 由 $\tan\theta=\dfrac{y}{x}=\dfrac{gt}{2v_0}$ 得\n$$t=\dfrac{2v_0\tan\theta}{g}$$\n初速度不同时位移偏转角恒等于斜面倾角（与 $v_0$ 无关） 而速度偏转角随 $v_0$ 变化\n**2. 离斜面的最远距离（沿斜面和垂直斜面分解）**\n以抛出点为原点 沿斜面向下为 $x$ 轴 垂直斜面向上为 $y$ 轴\n- 加速度分解：$a_x=g\sin\theta$ $a_y=-g\cos\theta$\n- 速度：$v_x=v_0\cos\theta+g\sin\theta\cdot t$ $v_y=v_0\sin\theta-g\cos\theta\cdot t$\n- 当垂直斜面方向的分速度减为零时物体离斜面最远\n$$t=\dfrac{v_0\tan\theta}{g}\qquad h=\dfrac{v_0^2\sin^2\theta}{2g\cos\theta}$$\n**3. 常规分解法**\n直接沿水平与竖直方向分解 再用几何关系把最远距离表示为竖直方向分量的组合（$h=\dfrac{x}{2}\sin\theta$）同样可解\n**易错点**：只有落在斜面上时才是位移偏转角等于斜面倾角 若是垂直打在斜面上 则条件是速度方向垂直于斜面 两者不能混淆,适用于斜面足够长 不计空气阻力的情形 必须区分位移偏转角与速度偏转角 落到斜面上时是位移偏转角等于斜面倾角 不是速度偏转角 若平抛起点在斜面上方一定高度 位移方向不再沿斜面 需重新用几何关系求解,p494 一题多解·方法拓展 另一种分解方式的应用方法,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-014,MATERIAL,斜抛运动的物理量求解-多过程问题,METHOD_MODEL,斜抛运动规律与射高射程,斜抛运动按水平匀速与竖直匀减速分解 可得飞行时间 射高 射程与对称性规律,斜向上抛出的炮弹 水柱 跳投等运动的飞行时间 射程 射高与落地速度方向求解,以抛出点为原点 水平向右为 $x$ 轴正方向 竖直向上为 $y$ 轴正方向 初速度 $v_0$ 与水平方向成 $\theta$ 角\n**速度关系**\n水平方向 $v_x=v_0\cos\theta$（恒定） 竖直方向 $v_y=v_0\sin\theta-gt$\n**位移关系**\n水平方向 $x=v_0\cos\theta\cdot t$ 竖直方向 $y=v_0\sin\theta\cdot t-\dfrac12gt^2$\n**飞行时间**\n由 $v_y=0$ 得上升时间 $t_1=\dfrac{v_0\sin\theta}{g}$ 落回同一水平面的总时间 $t_{总}=2t_1=\dfrac{2v_0\sin\theta}{g}$\n**射高**\n$$H_m=\dfrac{v_0^2\sin^2\theta}{2g}$$\n**射程**\n$$x=v_0\cos\theta\cdot t_{总}=\dfrac{v_0^2\sin2\theta}{g}$$\n**要点**\n- 斜抛运动是**匀变速曲线运动** 加速度恒为 $g$ 方向竖直向下\n- 具有对称性：同一高度处速度大小相等 方向关于竖直方向对称\n- $\theta=45^\circ$ 时射程最大 $\theta$ 与 $90^\circ-\theta$ 的两个抛射角射程相同\n- 运动到最高点时速度最小 且等于 $v_0\cos\theta$ 无其他速度,只适用于不计空气阻力 且落点与抛出点在同一水平面的情形 飞行时间公式 $t=\dfrac{2v_0\sin\theta}{g}$ 与射程公式 $\dfrac{v_0^2\sin2\theta}{g}$ 都以落点与抛出点等高为前提 跨越不同高度的多过程问题必须回到位移关系求解 不能直接用射程公式,p494 题型11 类型2 斜抛运动模型 题型图解,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-015,MATERIAL,抛体运动的规律及其应用,METHOD_MODEL,斜交分解法处理斜抛问题,以抛出点为原点 沿初速度方向建 x 轴 竖直向下建 y 轴 把斜抛化为两个直线运动 便于求到某直线的最远距离,已知两点连线方向 求初速度 飞行时间 或到该连线的最大距离一类斜抛问题,**建系方法（斜交分解）**\n以抛出点为坐标原点 **以初速度方向为 $x$ 轴正方向** **以竖直向下为 $y$ 轴正方向**\n| 方向 | 速度关系 | 位移关系 |\n|---|---|---|\n| 沿初速度方向（$x$） | $v_x=v_0$ | $x=v_0t$ |\n| 竖直方向（$y$） | $v_y=gt$ | $y=\dfrac12gt^2$ |\n**关键思路**\n- 把斜抛运动看成沿初速度方向的匀速直线运动与竖直向下的自由落体运动的合运动\n- 求物体到某一直线（如 $AB$）的最远距离时 只有当**速度方向平行于该直线**时距离最远 据此先由速度关系求出时刻 再由位移关系求最大距离\n- 求初速度时 把已知的两点间位移沿 $x$ $y$ 两个方向分解 结合 $x=v_0t$ 与 $y=\dfrac12gt^2$ 联立求解 比水平竖直分解更省力\n- 由几何关系可得 $v_0t_1\cos53^\circ=x_{AB}$ 这类方程 直接解出 $v_0$ 与 $t$\n**与常规分解的对比**：常规分解适合求射程 射高 落地速度方向 斜交分解适合已知连线方向 求最远距离这类几何约束强的问题,要求所选 $x$ 轴与初速度方向共线 两个方向都是匀变速（沿 $x$ 轴匀速 沿 $y$ 轴匀加速） 因此各方向的运动学公式才可直接使用 求最远距离时注意物体必须已越过该直线垂足 否则速度方向无法与该直线平行,p495 方法拓展 巧用斜交分解法解决斜抛运动问题,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-020,MATERIAL,水平转盘上运动物体模型,METHOD_MODEL,圆盘物块模型与谁远谁先飞,圆盘上多个物块随盘转动时 用谁离转轴远谁先滑动判断临界 绳绷紧后用整体法求整体滑动的临界角速度,水平转盘上用绳连接或叠放多个物块 随角速度增大求各阶段临界角速度与摩擦力方向,**1. 单个物块**\n静摩擦力提供向心力 $f=m\omega^2r$ **口诀：谁远谁先飞** 离转轴远的物块先达到最大静摩擦力 $f_{max}=\mu mg$ 其临界角速度 $\omega_0=\sqrt{\dfrac{\mu g}{r}}$\n**2. 绳连接在转轴两侧的 $A$ $B$ 两物块**\n- 绳出现拉力时先达到 $B$ 的临界角速度 $\omega_1=\sqrt{\dfrac{\mu g}{r_B}}$\n- $A$ $B$ 恰好相对圆盘滑动时 $f_{Amax}$ 与 $f_{Bmax}$ 一起指向圆心 此时\n  ① 隔离 $A$：$\mu m_Ag-T=m_A\omega^2r_A$\n  ② 隔离 $B$：$\mu m_Bg+T=m_B\omega^2r_B$\n  ③ 整体：$\mu m_Ag+\mu m_Bg=m_A\omega^2r_A+m_B\omega^2r_B$\n- **整体滑动的临界条件**\n$$\omega_2=\sqrt{\dfrac{\mu g(m_A+m_B)}{m_Ar_A+m_Br_B}}=\sqrt{\dfrac{\mu g}{r_{质心}}}$$\n**3. 阶段分析要点**\n随着 $\omega$ 缓慢增大 摩擦力先增大 之后内侧物块（离转轴近的那个）所受静摩擦力可能反向变为背离圆心并继续增大 必须逐段判断摩擦力方向与是否达到最大值 不能一步套用整体式\n**易错点**：把绳的拉力当成始终等于某个定值 或忽略摩擦力方向可能反向,仅适用于物块相对转盘静止的阶段 最大静摩擦力按等于滑动摩擦力 $\mu mg$ 处理 绳恰好伸直无弹力与绳已有拉力是两个不同阶段 必须分开讨论 若两物块位于转轴同侧或绳不在半径方向 结论不再适用,p500 题型12 圆周运动模型 题型图解（一、水平面内的圆周运动）,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-020,MATERIAL,圆锥摆模型规律总结,METHOD_MODEL,圆锥摆模型与摆高决定周期,圆锥摆由重力与绳拉力的合力提供向心力 周期只由摆高 h 决定 即 T=2π√(h/g) 且摆角与质量无关,细绳拴小球在水平面内做匀速圆周运动 蜂鸣器升高后转速变化 缓慢拉绳后角速度变化等问题,**受力分析**\n小球只受重力 $mg$ 和绳的拉力 $F_T$ 绳与竖直方向夹角为 $\theta$ 竖直方向无加速度 故\n$$F_T\cos\theta=mg$$\n水平方向的合力指向圆心 提供向心力：\n$$F_{合}=F_T\sin\theta=mg\tan\theta=m\dfrac{v^2}{r}=m\omega^2r=m\dfrac{4\pi^2}{T^2}r$$\n其中 $r=l\sin\theta$ $l$ 为绳长 $h$ 为摆高（悬点到圆轨道平面的竖直距离）\n**两条重要结论**\n1. 周期由摆高决定：由 $mg\tan\theta=m\omega^2l\sin\theta$ 得 $g=\omega^2l\cos\theta=\omega^2h$ 故\n$$T=2\pi\sqrt{\dfrac{h}{g}}$$\n2. 摆高 $h=\dfrac{g}{\omega^2}=l\cos\theta$：$\omega$ 增大时 $h$ 减小 $\theta$ 增大 且**摆角大小与小球质量无关**（质量被约掉）\n**处理要点**\n- 绳长变化（缓慢拉绳）时 $h$ 的变化决定 $\omega$ 的变化 由 $\omega=\sqrt{\dfrac{g}{h}}$ 判断角速度变大还是变小\n- 拉力大小 $F_T=\dfrac{mg}{\cos\theta}$ $\theta$ 增大时拉力增大\n- 向心加速度 $a=g\tan\theta$ 随 $\theta$ 增大而增大,只适用于小球在水平面内做匀速圆周运动 绳拉紧且绳与转轴共面（圆锥摆）的情形 若绳松弛或在竖直方向另有加速度 需回到一般受力分析 周期公式中的 $h$ 是悬点到圆轨道平面的竖直距离 不是绳长,p500 题型12 圆周运动模型 题型图解（圆锥摆模型）,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.物理.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题四  曲线运动/专题PDF/04：专题四  PDF.pdf,924170e5b1-020,MATERIAL,绳球模型-杆球模型两类经典模型中的临界条件-情景分析,METHOD_MODEL,竖直面内绳球与杆球模型对比,竖直面内绳球模型与杆球模型的弹力特征 最高点方程 速度范围与临界速度对比,小球在竖直光滑圆轨道内 轻杆两端 圆管内或大环上做圆周运动 判断能否过最高点以及压力变化,**两类模型的关键**：竖直面内的圆周运动通常只受重力和轨道（绳 杆）的弹力 关键都在竖直方向对最高点列牛顿第二定律\n| 项目 | 绳球模型 | 杆球模型 |\n|---|---|---|\n| 实例 | 绳连接球 轨道内球（凹形桥 水流星） | 杆连接球 管内球 大环套小球 |\n| 弹力特征 | 绳或轨道只能提供指向圆心的力 | 杆或轨道既能提供指向圆心的力 也能提供背离圆心的力 |\n| 最高点方程 | $mg+F_T=m\dfrac{v^2}{R}$ | 拉力：$mg+F_{拉}=m\dfrac{v^2}{R}$ 支持力：$mg-F_{支}=m\dfrac{v^2}{R}$ |\n| 最低点方程 | $F_T-mg=m\dfrac{v^2}{R}$ | $F_{支}-mg=m\dfrac{v^2}{R}$ |\n| 最高点速度范围 | $v\geqslant\sqrt{gR}$ | $v\geqslant0$ |\n| 最高点临界速度 | $v_{临}=\sqrt{gR}$ 不能为 0 | $v_{临}=0$ 可以为 0 |\n**结论与用法**\n- 绳球模型过最高点的条件：由 $mg=m\dfrac{v^2}{R}$ 得 $v=\sqrt{gR}$ 恰为临界 速度再小就会脱轨\n- 杆球模型中当 $v<\sqrt{gR}$ 时杆对球提供背离圆心的支持力 由 $mg-F_{支}=m\dfrac{v^2}{R}$ 求解\n- 杆球模型中弹力可能从支持力变为拉力 需要先判断方向再列式\n- 由最低点到最高点用动能定理 $-mg\cdot2R=\dfrac12mv_2^2-\dfrac12mv_1^2$ 可把最低点速度与最高点速度联系起来\n**易错点**：把杆球模型当成绳球模型 误认为最高点速度必须达到 $\sqrt{gR}$,只适用于竖直光滑圆轨道或光滑直杆 不计摩擦与空气阻力 绳球模型的脱轨发生在最高点速度小于 $\sqrt{gR}$ 时 杆球模型不存在脱轨 管内球与大环套小球属于杆球模型 弹力方向会改变,p500–p501 题型12 圆周运动模型 题型图解（二、竖直面内的圆周运动）,c
