chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-012,MATERIAL,NEW:四大类生物学物质辨析,METHOD_MODEL,四大类生物学物质辨析,按功能把高中生物常见物质归为能源物质、遗传物质、信息分子和其他物质四类并据此作答。,用于判断某物质属于哪一类功能物质、或判断物质功能与结构是否匹配的选择题。,按功能把高中生物常见物质划分为四大类：\n\n1. **能源物质**：糖类（主要能源物质）、脂肪（主要储能物质）、ATP（直接能源物质）。\n2. **遗传物质**：细胞生物的遗传物质是 DNA；某些病毒的遗传物质是 RNA。\n3. **信息分子**：激素、神经递质、细胞因子等，起调节作用。\n4. **其他物质**：酶（催化）、抗体（免疫）、转运蛋白（运输）等。\n\n解题时牢记 8 个字：**结构与功能相适应**。判断某物质的功能，先看其结构特征，如血红蛋白含 Fe 可运输 O₂、抗体呈 Y 形可识别抗原、载体蛋白有专一结合位点。,这是功能分类而非化学分类，同一物质可跨类（如蛋白质既可是结构物质又可是酶或抗体）；RNA 病毒的遗传物质是 RNA 而非 DNA，注意前提条件。,p12 大招1：四大类生物学物质辨析,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-020,MATERIAL,渗透作用,METHOD_MODEL,渗透作用中水分移动方向的判断,半透膜两侧水分子从溶液浓度低的一侧流向浓度高的一侧，即“水往高处走”。,判断水分移动方向、质壁分离与复原方向、比较渗透压大小类的试题。,**核心口诀：水往“高”处走。** 这里的“高”指**溶液的浓度高**，不是水的含量高。水分子会通过半透膜从溶液浓度低（水分子相对含量高）的一侧流向溶液浓度高（水分子相对含量低）的一侧。\n\n判断步骤：\n1. 先找出半透膜两侧溶液的浓度高低；\n2. 水从浓度低的一侧流向浓度高的一侧；\n3. 两侧浓度相等时水分进出达到动态平衡，液面不再变化。\n\n比较浓度时看的是**物质的量浓度**，不是质量浓度。,口诀中的“高”是溶液浓度高而不是水的含量多；比较必须用物质的量浓度；若溶质也能通过半透膜（如葡萄糖、尿素），则不能只看初始浓度，还要考虑溶质自身的扩散。,p20 大招2：渗透作用的原理和应用,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-021,MATERIAL,物质出入细胞的方式,METHOD_MODEL,物质跨膜运输方式的判断方法,一看膜两侧浓度关系、二看有无转运蛋白，两步锁定跨膜运输方式。,判断某物质进出细胞属于自由扩散、协助扩散还是主动运输的试题。,**判断流程（两步法）**：\n\n1. **一看膜两侧浓度关系**\n   - 逆浓度（低浓度一侧运输到高浓度一侧）→ **主动运输**\n   - 顺浓度（高浓度一侧运输到低浓度一侧）→ 进入第 2 步\n2. **二看有无转运蛋白**\n   - 顺浓度 + 需要转运蛋白 → **协助扩散**\n   - 顺浓度 + 不需要转运蛋白 → **自由扩散**\n\n**补充结论**：协同转运消耗的是电化学势能，不直接消耗 ATP，但属于主动运输；因此判断是否为主动运输时，用“是否逆浓度运输”比“是否消耗 ATP”更实用。,该判断法只适用于物质跨膜运输方式的定性判断；胞吞、胞吐依赖膜的流动性而非转运蛋白，不适用此流程；协同转运虽不直接耗 ATP 仍属主动运输，不能因“不耗 ATP”判为被动运输。,p21 大招3：物质的运输方式,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-029,MATERIAL,电子传递过程的三步定位法,METHOD_MODEL,电子传递过程的三步定位法,用定场所、定电子、定能量三步分析光合与呼吸中的电子传递链问题。,分析线粒体与叶绿体中电子传递链、H+ 浓度梯度、ATP 合成类试题。,**通用模型**：初始能量 → 电子传递（释放能量）→ 建立 $H^+$ 浓度梯度（储存势能）→ 最终能量（ATP 合酶利用势能合成 ATP 等）。\n\n**三步定位法**：\n1. **第一步 定场所**：根据过程所处的阶段确定场所。如细胞呼吸第一阶段在细胞质基质、第三阶段在线粒体内膜；光反应在类囊体薄膜上。\n2. **第二步 定电子**：牢记电子供体和电子受体。如 NADH、$FADH_2$ 是电子供体，$O_2$ 是有氧呼吸的最终电子受体。\n3. **第三步 定能量**：判断能量形式如何转化。电子传递释放的能量一部分用于建立 $H^+$ 浓度梯度储存为势能，最终由 ATP 合酶转化为 ATP 中的化学能。,该模型只针对电子传递链（光合电子传递、有氧呼吸第三阶段）类问题；无氧呼吸不涉及电子传递链，不能套用。$H^+$ 梯度既有浓度差也有电位差，是电化学势能而非单纯的浓度势能。,p29 大招4：三步定位法分析电子传递,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-033,MATERIAL,光呼吸,CONCEPT_EXPLANATION,光呼吸的含义与发生条件,光呼吸是植物在有光照、高O2、低CO2条件下发生的消耗有机物的过程。,判断光呼吸强弱、解释午休现象、比较 C3 与 C4 植物光合效率类试题。,**含义**：RuBP 羧化/加氧酶（Rubisco）在 $CO_2$ 浓度高时催化 $C_5$ 与 $CO_2$ 结合；当 $O_2$ 浓度高时，Rubisco 催化 $C_5$ 与 $O_2$ 结合，经过一系列过程消耗 ATP 和 NADPH、释放 $CO_2$，这一过程称为光呼吸。\n\n**发生条件**：有光照、$O_2$ 浓度高、$CO_2$ 浓度低。光呼吸消耗有机物（也消耗 ATP 和 NADPH），不积累有机物。\n\n**应用**：夏季晴朗的中午出现“午休现象”时，气孔关闭使叶肉细胞中 $CO_2$ 浓度降低、$O_2$ 浓度升高，光呼吸会有所增强。,光呼吸只在有光条件下进行，黑暗时不发生。C4 植物通常比 C3 植物光呼吸弱，因为其 PEP 羧化酶对 CO2 的亲和力约为 Rubisco 的 60 倍。光呼吸不是呼吸作用，不产生 ATP。,p33 大招5：光合作用相关的特殊类型,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-033,MATERIAL,c4植物-cam植物等特殊代谢类型,CONCEPT_EXPLANATION,C4植物与CAM植物的碳同化特点,C4植物用PEP羧化酶先固定CO2为C4再送入卡尔文循环，CAM植物夜间固定CO2储存、白天释放利用。,判断 C4 与 CAM 植物固定 CO2 的部位、产物、时间，及分析其耐旱耐高温优势的试题。,**C4 途径**：玉米、甘蔗等植物除具有与 C3 植物相同的卡尔文循环（固定 $CO_2$ 的初产物为 C3）外，还有另一条固定 $CO_2$ 的途径，其初产物为 C4（草酰乙酸、苹果酸等），具有 C4 途径的植物称 C4 植物。$CO_2$ 先被 PEP 羧化酶固定为 C4，C4 运入维管束鞘细胞后释放 $CO_2$ 参与卡尔文循环。C4 植物 PEP 羧化酶对 $CO_2$ 的亲和力约为 Rubisco 的 60 倍，因此在低浓度 $CO_2$ 和高温条件下光合效率高于 C3 植物。\n\n**CAM 途径（景天酸代谢）**：如景天科植物，夜间气孔打开吸收 $CO_2$，生成的苹果酸储存在液泡中；白天气孔关闭以减少水分蒸发，液泡中的苹果酸经脱羧释放 $CO_2$ 用于光合作用。,C4 植物固定 CO2 的最初产物是 C4（草酰乙酸）而不是 C3；CAM 植物白天气孔关闭、不吸收外界 CO2，只利用夜间储存的苹果酸脱羧产生的 CO2。两类植物都是对高温干旱环境的适应，判断时注意区分“固定产物”与“利用时间”。,p33 大招5：光合作用相关的特殊类型,b
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-036,MATERIAL,辨析真正光合速率-净光合速率和呼吸速率,METHOD_MODEL,真正光合速率、净光合速率与呼吸速率,总光合速率等于净光合速率加呼吸速率，并可用产氧量、固定CO2量、有机物产生量三种方式表达。,计算光合作用强度、比较光补偿点与光饱和点、定量分析图表数据的试题。,**核心关系**：总光合速率（真正光合速率）= 净光合速率 + 呼吸速率。\n\n**三种表达方式**：\n1. **以氧气计**：光合作用产氧量 = 氧气释放量（净） + 细胞呼吸耗氧量。\n2. **以 CO₂ 计**：光合作用固定 $CO_2$ 量 = $CO_2$ 吸收量（净） + 细胞呼吸释放 $CO_2$ 量。\n3. **以有机物计**：光合作用有机物产生量 = 有机物积累量（净） + 细胞呼吸消耗有机物量。\n\n**记忆要点**：凡题中给的是“释放量、吸收量、积累量”都是净量；凡“产生量、制造量、固定量”都是总量。,只有净光合速率为正时植物才能积累有机物，但净光合速率为 0 时植物并未死亡。光照强度为 0 时测得的 O2 吸收量或 CO2 释放量才等于呼吸速率。当真正光合速率为 0 时净光合速率为负值，注意正负号。,p36 大招6：光合作用和呼吸作用强度计算,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-044,MATERIAL,细胞分裂时期的判断方法,METHOD_MODEL,细胞分裂时期的两类图像判断法,模式图看有无减数第一次分裂特殊行为与同源染色体，显微图像分两步先定分裂方式再定时期。,给出细胞分裂模式图或显微照片、要求判断分裂方式或具体时期的试题。,**一、模式图判断**\n\n先看有无 MI（减数第一次分裂）的特殊行为：\n- 有特殊行为 → 处于 MI 的具体时期（联会形成四分体、同源染色体排列在赤道板两侧、同源染色体分离与非同源染色体自由组合）；\n- 无特殊行为 → 再看有无同源染色体：有同源染色体 → 有丝分裂的具体时期；无同源染色体 → MII（减数第二次分裂）的具体时期。\n\n**二、显微图像判断（两步）**\n1. **第一步：确认是有丝分裂还是减数分裂**，依据题目信息提示：根尖分生区对应有丝分裂，花药对应减数分裂。\n2. **第二步：判断具体时期**\n   - 若有丝分裂：间期有细胞核；前期染色体散乱分布；中期染色体排列在赤道板位置；后期姐妹染色单体分离并移向两极；末期形成两个新的细胞核。\n   - 若减数分裂：MI 前期染色体散乱分布、有四分体；MI 中期染色体排列在赤道板位置两侧；MI 后期染色体沿两条平行线排布；MII 中期染色体沿一条线排布；MII 后期染色体均匀分布在四个区域。,模式图判断的关键是“有无同源染色体”，而非染色体数目多少；MII 后期着丝粒分裂后染色体数暂时加倍，此时细胞中仍无同源染色体（不再有 MI 的特殊行为）。使用显微图像判断时要注意题目给出的取材部位，花药中既有减数分裂也有有丝分裂的细胞。,p44 大招7：细胞分裂的相关图像分析,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-045,MATERIAL,细胞分裂时期的判断方法,METHOD_MODEL,柱形图与折线图的画线法及两定法,折线图用画线法看斜线走势判断物质，柱形图用两定法先定物质再定时期。,给出核DNA、染色体、染色单体数量变化的折线图或柱形图、要求判断分裂时期或分裂方式的试题。,**一、画线法判断折线图**\n- 斜线从 $2n$ → $4n$ 的折线代表核 DNA 的数量变化；\n- 斜线从无到有的折线表示染色单体，其折线时有时无（有染色单体时，核 DNA 数 = 2 × 染色体数）。\n\n**二、两定法判断柱形图**\n1. **定物质**：先判断每个柱形代表的是染色体还是染色单体——染色单体的数量时有时无；\n2. **定时期**：再看是否存在染色单体以及数量多少，数量最少的一者对应分裂完成。,这些规律以二倍体生物为例，若纵坐标不以 n 为单位需先换算倍数关系；有丝分裂与减数分裂中核 DNA 都只加倍一次，但加倍发生的时期不同（有丝分裂在间期、减数分裂在减数第一次分裂前的间期），不能混用。,p45 大招7（续）：柱形图或折线图判断,
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,9752acd916-045,MATERIAL,减数分裂异常的原因分析,METHOD_MODEL,配子种类与减数分裂异常的两个口诀,配子种类记两两相同、两两互补、MI互补、MII相同；异常判断记相同MI、不同MII。,判断一个性母细胞产生几种配子、以及分析子细胞异常发生在减数第一次分裂还是第二次分裂的试题。,**一、配子种类问题**\n口诀：**两两相同，两两互补；MI 互补，MII 相同。** 即一个性母细胞经减数分裂产生的 4 个配子中，来自同一 MII 的两个配子基因型相同；来自同一次级性母细胞以外的两个配子与它互补。\n\n**二、分裂异常问题**\n口诀：**相同 MI，不同 MII。** 即同一次减数分裂产生的子细胞中，若出现的异常相同，说明异常发生在减数第一次分裂；若出现的异常不同，说明异常发生在减数第二次分裂。,使用这两个口诀的前提是不考虑基因突变与染色体结构变异，只考虑染色体不分离或姐妹染色单体分开异常；“相同 MI、不同 MII”比较的是同一个性母细胞产生的两个（或四个）子细胞。,p45 大招8：配子种类和分裂异常问题,b
