subject,slug,action,new_name,new_slug,reason
MATH,配方法-主要用于二次函数或可化为二次函数的函数-要特别注意自变量的取值范围,rename,配方法,,整句话当名称 -> 机械推导
MATH,判别式法-主要用于含有二次的分式函数-形如,rename,判别式法,,名称只含难度星号/结尾标点，清理即可
MATH,为奇函数,rename,为奇函数,,名称只含难度星号/结尾标点，清理即可
MATH,判断抽象函数单调性的方法,rename,判断抽象函数单调性的方法,,名称只含难度星号/结尾标点，清理即可
MATH,已知的定义域为-求的定义域-其实质是的取值范围为-求的取值范围,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,已知的定义域-求的定义域-要先按-2-求出的定义域,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,偶次方根的被开方数的被开方数必须大于等于零-即中,review,,,名称不可用（公式被剥离），需读上下文定名
MATH,零次幂的底数不能为零-即中,review,,,名称不可用（公式被剥离），需读上下文定名
MATH,待定系数法-若已知函数的类型-如一次函数-二次函数等-可用待定系数法,rename,待定系数法,,整句话当名称 -> 机械推导
MATH,换元法-主要用于解决已知的解析式-求函数的解析式的问题,rename,换元法,,整句话当名称 -> 机械推导
MATH,方程组法-主要解决已知与-的方程-求解析式,rename,方程组法,,整句话当名称 -> 机械推导
MATH,比较函数值的大小-先将自变量转化到同一个单调区间内-然后利用函数的单调性解决,rename,比较函数值的大小,,整句话当名称 -> 机械推导
MATH,利用奇偶性求值-将待求函数值或不等式利用奇偶性转化为已知区间上的函数值求解,rename,利用奇偶性求值,,整句话当名称 -> 机械推导
MATH,幂函数的定义-一般地-函数y-xα叫做幂函数-其中x是自变量-α是常数,rename,幂函数的定义,,整句话当名称 -> 机械推导
MATH,作差法-作商法,rename,作差法、作商法,,只有标题冒号 -> 机械推导
MATH,估值法-1-估算要比较大小的两个值所在的大致区间,rename,估值法,,整句话当名称 -> 机械推导
MATH,构造函数-运用函数的单调性比较,rename,构造函数法比较大小,,残句当名称（机械 rename 只把 slug 的连字符换成标点，名字并未成形）
MATH,放缩法,rename,放缩法,,只有标题冒号 -> 机械推导
MATH,定理法-利用零点存在定理-函数的图象在区间上是连续不断的曲线-且,rename,定理法,,整句话当名称 -> 机械推导
MATH,图象法,rename,图象法,,只有标题冒号 -> 机械推导
MATH,性质法-利用函数性质-若能确定函数的单调性-则其零点个数不难得到,rename,性质法,,整句话当名称 -> 机械推导
MATH,直接法-利用零点存在的判定定理构建不等式求解,rename,直接法,,名称只含难度星号/结尾标点，清理即可
MATH,分离参数法-分离参数后转化为求函数的值域-最值-问题求解,rename,分离参数法,,整句话当名称 -> 机械推导
MATH,2025-安徽蚌埠-三模-已知-则,delete,,,抽取事故：高考题干残句，非知识点
MATH,2023-山西-模拟预测-已知-且-则,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-黑龙江吉林-模拟预测-已知-则的值为,delete,,,抽取事故：高考题干残句，非知识点
MATH,2024-天津-一模-在中-角-的对边分别为-已知,delete,,,抽取事故：高考题干残句，非知识点
MATH,2024-天津红桥-二模-在中-内角-的对边分别为-已知-且,delete,,,抽取事故：高考题干残句，非知识点
MATH,已知函数,delete,,,抽取事故：题干/答案标记，非知识点
MATH,在中-角a-的对边分别为-且,review,,,名称不可用（公式被剥离），需读上下文定名
MATH,2023-天津-一模-在中-内角-的对边分别为-已知,delete,,,抽取事故：高考题干残句，非知识点
MATH,2024-四川宜宾-一模-已知函数-在锐角中-内角的对边分别为-且,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-天津南开-一模-在中-内角的对边分别为-且,delete,,,抽取事故：高考题干残句，非知识点
MATH,重要不等式-当且仅当时取号,rename,重要不等式,,名称只含难度星号/结尾标点，清理即可
MATH,基本不等式-x1,merge,,基本不等式,与 基本不等式 是同一概念（去星号后同名）
MATH,作差法,rename,作差法,,只有标题冒号 -> 机械推导
MATH,作商法,rename,作商法,,只有标题冒号 -> 机械推导
MATH,在求函数的最值时-一定要在定义域-使实际问题有意义的自变量的取值范围-内求解,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,命题的否定-对命题p加以否定-得到一个新的命题-记作-读作-非p-或p的否定,rename,命题的否定,,整句话当名称 -> 机械推导
MATH,端点取值需谨慎-在求参数范围时-要注意边界或区间端点值的检验-从而确定取舍,rename,端点取值需谨慎,,整句话当名称 -> 机械推导
MATH,列举观察法-列出几何中的全部元素-通过定义得出集合间关系,rename,列举观察法,,整句话当名称 -> 机械推导
MATH,等价转化法-将命题转化为另一个与之等价的且便于判断真假的命题,rename,等价转化法,,整句话当名称 -> 机械推导
MATH,前n项和公式法-为常数为等差数列,rename,前n项和公式法,,名称只含难度星号/结尾标点，清理即可
MATH,在等差数列-an-中-当m-n时-d-为公差公式-利用这个公式很容易求出公差,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,若s奇表示奇数项的和-s偶表示偶数项的和-公差为d,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,前项和公式法-若数列的前项和-则该数列是等比数列,rename,前项和公式法,,整句话当名称 -> 机械推导
MATH,累加法-适用于an-1-an-f-n-可变形为an-1-an-f-n,rename,累加法,,整句话当名称 -> 机械推导
MATH,累乘法-适用于an-1-f-n-an-可变形为-f-n,rename,累乘法,,整句话当名称 -> 机械推导
MATH,取倒数法-an-1-p-q-r是常数-可变形为,rename,取倒数法,,整句话当名称 -> 机械推导
MATH,裂项问题,rename,裂项问题,,只有标题冒号 -> 机械推导
MATH,等差乘等比数列求和-令-可以用错位相减法,rename,错位相减法求和,,残句当名称（机械 rename 只把 slug 的连字符换成标点，名字并未成形）
MATH,2025-新疆喀什-模拟预测-已知数列中-则,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-四川广安-模拟预测-已知数列满足-则使得成立的最小自然数为,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-江苏苏州-三模-已知数列满足-则,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-海南海口-模拟预测-若数列满足-已知-则,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-福建福州-模拟预测-记为正整数-的最大公约数-正整数数列满足,delete,,,抽取事故：高考题干残句，非知识点
MATH,已知数列-求证,delete,,,抽取事故：题干/答案标记，非知识点
MATH,2025-四川成都-一模-在等差数列中-则,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-江苏-模拟预测-函数满足-且-设-则的前项的和为,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-山西-三模-已知数列的通项公式为-则下列说法正确的是,delete,,,抽取事故：题干/答案标记，非知识点
MATH,2025-广东广州-三模-已知等差数列的前n项和为-则,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-广东佛山-三模-已知数列满足-且是关于的方程的两个根,delete,,,抽取事故：高考题干残句，非知识点
MATH,2025-云南昭通-模拟预测-已知数列是等差数列-且-数列的前项和为-且,delete,,,抽取事故：高考题干残句，非知识点
MATH,解决垂直问题-利用-可将垂直问题转化为向量数量积的计算问题,rename,解决垂直问题,,整句话当名称 -> 机械推导
MATH,二面角,merge,,二面角-x1,与 二面角-x1 是同一概念（去星号后同名）
MATH,破-重点难点-突破重难点-冲刺高分,rename,破·重点难点,,名称只含难度星号/结尾标点，清理即可
MATH,辨-易混易错-辨析易混易错知识点-夯实基础,rename,辨·易混易错,,名称只含难度星号/结尾标点，清理即可
MATH,点-方法技巧-点拨解题方法-练一题通一类,rename,点·方法技巧,,名称只含难度星号/结尾标点，清理即可
MATH,在棱长为的正四面体中-高-外接球半径-内切球半径,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,立体几何中的探索性问题立体几何中的探索性问题的主要类型,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,对命题条件探索的三种方法,rename,对命题条件探索的三种方法,,名称只含难度星号/结尾标点，清理即可
MATH,线面平行的定义-一条直线与一个平面无公共点-不相交,rename,线面平行的定义,,整句话当名称 -> 机械推导
MATH,利用面面平行的定义,rename,利用面面平行的定义,,名称只含难度星号/结尾标点，清理即可
MATH,利用-线线平行-线面平行-面面平行-的相互转化,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,α-γ-β-γ-α-β-l-l-γ-客观题可用,review,,,名称不可用（整句话当名称），需读上下文定名
MATH,垂线法求线面角-也称直接法,rename,垂线法求线面角（也称直接法）,,名称只含难度星号/结尾标点，清理即可
