node_slug,type,title,summary,applicability,content,boundary,note
醚的结构与性质,REPRESENTATION_GUIDE,醚的官能团与结构通式,醚键由氧原子连接两个烃基构成，通式R—O—R′；氧两侧均为碳是与醇酚的本质区别,官能团识别与有机物分类,①定义：醚可看作水分子中两个氢原子被烃基取代的产物，也可看作醇羟基上的氢被烃基取代的产物，两个烃基可以相同也可以不同。②官能团：醚键（写作 —C—O—C—，即碳—氧—碳单键骨架），氧原子两侧均连烃基碳原子，这是与醇（C—O—H）最本质的区别。③结构通式：R—O—R′，如CH3—O—CH3（甲醚）、CH3—O—CH2CH3（甲乙醚）、CH3CH2—O—CH2CH3（乙醚）。④精讲册官能团分类表中，醚与烯烃、炔烃、卤代烃、醇和酚、醛、酮、羧酸、酯、胺、酰胺并列，同属按官能团划分的一类有机物。⑤判断要点：只要分子中含有两端都连碳的醚键，即可判定该物质属于醚。,醚键两端必须都连碳原子；氧上若还连氢则属于醇或酚，不可当作醚,五三化学精讲册 P0113（书内页码 110）
醚的结构与性质,CONCEPT_EXPLANATION,环醚：多元醇分子内脱水成醚,二元醇在浓硫酸加热条件下分子内脱水生成环醚（如乙二醇生成环氧乙烷），属成环反应,成环反应与环醚结构判断,①精讲册"成环反应"归纳：多元酸与多元醇经酯化反应生成环酯；羟基酸、氨基酸、多元醇或多元酸分子内缩合和分子间缩合等也是成环途径；多元醇分子内脱水则生成环醚。②典例反应（按原文式）：2 HO—CH2—CH2—OH 在浓硫酸、加热（Δ）条件下发生分子内脱水，生成环氧乙烷（三元环醚，环由 —CH2—CH2—O— 构成）并放出 2 分子水，反应写作 2 HOCH2CH2OH —浓H2SO4、Δ→ 环氧乙烷+2H2O（形成环醚）。③结构特征：环醚中的氧原子以醚键的形式处于碳环上，氧两侧仍各连一个碳原子，仍符合醚键 —C—O—C— 的通用形式，所以环氧乙烷既是环醚也是醚。④判断要点：分子内脱水成环要求同一分子中存在两个羟基且相对位置适当，能形成稳定的环。,分子内脱水得环醚、分子间脱水得聚醚，需看清"一分子内"还是"两分子间",五三化学精讲册 P0132（书内页码 129）
醚的结构与性质,METHOD_MODEL,芳香醚脱甲基：醚键被HBr断裂,芳香醚与48% HBr作用断裂醚键生成酚，是有机合成中由醚制酚的常用手段,由芳香醚制备酚类,①精讲册给出的已知反应：芳香醚（文中以稠环上连 —OCH3 为例，写作芳香环—OCH3）与 48% HBr 反应，产物为芳香环—OH，即甲氧基转化为羟基并释放出溴甲烷。②反应实质：48% 氢溴酸使醚键中的碳氧键断裂，即发生脱甲基反应；这与 HI 的作用相同，二者都是使醚键断裂的试剂。③由此可知醚的一般化学性质：醚键比较稳定，但遇到强酸（HI、48% HBr 等）会发生断裂，生成对应的羟基化合物。④在有机合成与推断题中的应用：为使分子中保留（或最终暴露）酚羟基，常先把酚羟基保护为芳香醚；合成路线的最后一步再用 48% HBr 处理，使醚键断裂恢复酚羟基。⑤答题要点：反应物写芳香醚与 HBr，条件写 48% HBr 并加热，产物写酚与溴甲烷；不要把 HBr 当成苯环上的取代试剂。,醚键断裂得到的是酚和卤代甲烷，产物中不再保留醚键，勿写成苯环上继续取代,五三化学精讲册 P0137（书内页码 134）
醚的结构与性质,METHOD_MODEL,酚羟基保护：成醚与酸性复原,酚羟基易被氧化，合成中先用CH3I或(CH3)2SO4把—OH变为—OCH3，最后用HI复原,有机合成中官能团的保护,①精讲册"官能团的保护"表：因酚羟基易被氧化，所以在氧化其他基团前可以先使其与 CH3I 或 (CH3)2SO4 反应，把 —OH 转变为 —OCH3。②反应实质：酚羟基与卤代烃或硫酸酯发生取代反应，生成芳香醚，即用醚键 —C—O—C— 取代了原来的 —O—H，使酚羟基被保护起来；此时该位置不再具有酚羟基的还原性和弱酸性。③复原方法：待氧化等其他步骤完成后再加 HI，使醚键断裂、甲基离去，—OCH3 变回 —OH。④同类保护对照：碳碳双键可用 HCl 等加成保护、之后再消去复原；氨基可先用乙酸酐转成 —NHCOCH3、氧化后再水解复原；醛基可先转成缩醛结构、待氧化后再水解变回醛基。⑤这一组"成醚—断醚"是醚类在有机合成中最典型的两步用法，也是考查官能团保护的常见素材。,保护产物是醚（—OCH3）而不是酮或酯；复原必须用强酸断醚，碱不能使—OCH3变回—OH,五三化学精讲册 P0132（书内页码 129）
有机物的分类和官能团的识别,CONCEPT_EXPLANATION,按元素组成与碳骨架给有机物分类,只含碳氢的为烃，含其他元素的为烃的衍生物；按骨架分链状与环状两大类,有机物分类与官能团识别,①按元素组成分类：仅含碳、氢两种元素的有机物叫做烃，如烷烃、烯烃等；含有碳、氢以外元素的有机物称为烃的衍生物，如卤代烃、醇等。②按碳骨架分类：链状化合物包括脂肪烃及其衍生物，如 CH3CH2CH3、CH3CH2Br；环状化合物包括脂环化合物和芳香族化合物，如环己烷、环己醇、苯、溴苯等。③按官能团分类（精讲册表）：烯烃—碳碳双键、炔烃—碳碳三键、卤代烃—碳卤键（卤素原子 —X）、醇和酚—羟基 —OH、醛—醛基 —CHO、酮—酮羰基、醚—醚键、羧酸—羧基 —COOH、酯—酯基 —COO—R、胺—氨基 —NH2、酰胺—酰胺基 —CONH2。④易错提醒：含苯环的化合物属于芳香族化合物，但不一定是芳香烃——溴苯含溴，是烃的衍生物，只有苯等只含碳氢的才叫芳香烃。,含苯环的化合物不一定是烃；烃的衍生物的关键是含碳氢之外的第三种元素,五三化学精讲册 P0113（书内页码 110）
含官能团的链状有机物命名,METHOD_MODEL,含官能团链状有机物的命名三步,选含官能团的最长碳链为主链、从距官能团最近端编号，再按规范写出名称与位次,烯烃炔烃醇醛酸等命名,①选主链：选择含有（或连有）官能团的最长碳链为主链，按主链碳原子数称为"某烯""某炔""某醇""某醛""某酸"等。②定编号：从距离官能团最近的一端开始给主链碳原子编号。③写名称：以母体名称为主体名，再按规定注明取代基或官能团的数目和位次，得到有机物名称。④精讲册示例：CH3CH=CHCH3 称为 2—丁烯；带甲基和三键的 CH≡C—CH(CH3)—CH2—CH3 称为 4—甲基—1—戊炔；CH3CH2C(OH)(CH2CH3)CH3 称为 3—甲基—3—戊醇；CH3CH(CH3)CH2CH2CHO 称为 4—甲基戊醛。⑤含卤素时把卤素原子看作取代基，如 CH3CHClCH2CH3 称为 2—氯丁烷；酯按形成它的酸和醇命名，如 CH3CH2COOCH3 称为丙酸甲酯。,编号必须从离官能团最近的一端开始，不能因为某取代基更近就先给它小编号,五三化学精讲册 P0114（书内页码 111）
脂肪烃的结构和性质,CONCEPT_EXPLANATION,脂肪烃的通式与物理性质递变,烷烃CnH2n+2、单烯烃CnH2n、单炔烃CnH2n—2；碳数≤4为气，支链多沸点低,烃的分类与性质比较,①通式：烷烃 CnH2n+2（n≥1）；单烯烃 CnH2n（n≥2）；单炔烃 CnH2n—2（n≥2）。②物理性质递变：常温下碳原子数≤4 的烃为气体；随碳原子数增多，熔、沸点升高；碳原子数相同时支链越多，熔、沸点越低；密度均比水小，且随碳原子数增多而增大；均难溶于水。③注意：新戊烷常温下为气体。④化学性质差异：烷烃光照下与 Cl2 取代；烯烃在高温下也能与 Cl2 发生取代，如 CH3CH=CH2+Cl2 —Δ→ CH2ClCH=CH2+HCl，并能与 Br2、HCl、H2O 加成，炔烃能加成与加聚。⑤氧化性差异：烷烃不能使酸性高锰酸钾溶液褪色，烯烃、炔烃可以，可用于鉴别。,常温下≤4个碳的烃才是气体；烷烃不能使酸性KMnO4褪色，判断时勿混,五三化学精讲册 P0116（书内页码 113）
芳香烃,CONCEPT_EXPLANATION,苯及其同系物的四类特征反应,苯环可卤代、硝化、磺化、加成；苯的同系物侧链可被酸性KMnO4氧化,芳香烃性质与推断,①定义：分子里含有一个或多个苯环的烃叫芳香烃。②卤代反应：苯的同系物在光照条件下发生侧链卤代；在 FeBr3 催化下发生苯环上的卤代，如甲苯与 Br2(l) 生成溴代甲苯和 HBr。③硝化反应：苯与浓硝酸在浓硫酸、加热条件下生成硝基苯和水；甲苯与 3 分子浓硝酸在浓硫酸、加热条件下生成 2，4，6—三硝基甲苯和 3 分子水，体现烷基活化苯环。④磺化反应：苯与 HO—SO3H 加热生成苯磺酸和水，该反应可逆。⑤加成反应：苯环可与 3 分子 H2 在催化剂作用下发生加成反应。⑥氧化反应：苯不能被酸性高锰酸钾溶液氧化；苯的同系物中只有当与苯环直接相连的碳原子上有氢原子时，才能被酸性高锰酸钾溶液氧化成 —COOH。,苯本身不能被酸性KMnO4氧化；同系物也必须"与苯环直接相连的碳上有氢"才被氧化,五三化学精讲册 P0117（书内页码 114）
卤代烃的水解反应和消去反应,CONCEPT_EXPLANATION,卤代烃的水解与消去反应对比,水解用NaOH水溶液生成醇；消去用NaOH醇溶液生成碳碳双键，且必须有β—H,卤代烃性质与反应类型判断,①通式与官能团：饱和一元卤代烃通式为 CnH2n+1X，官能团为碳卤键（卤素原子）。②物理性质：常温下除 CH3Cl 等少数为气体外，大多数为液体或固体；不溶于水，可溶于有机溶剂；密度、沸点都大于、高于相应的烃；密度一般随碳原子数目增加而减小，沸点随碳原子数目增加而升高。③水解反应（取代反应）：以 CH3CH2Br 为例，与 NaOH 水溶液加热生成 CH3CH2OH 和 NaBr。④消去反应：以 CH3CH2Br 为例，与 NaOH 的乙醇溶液加热生成 CH2=CH2↑、NaBr 和 H2O。⑤α—碳与β—碳：与官能团直接相连的碳原子为 α—C，其上的氢为 α—H；与 α—C 相连的碳原子为 β—C，其上的氢为 β—H；只有有 β—H 的卤代烃才能发生消去反应。,水解与消去的试剂不同（水溶液与醇溶液）；无β—H的卤代烃不能消去,五三化学精讲册 P0117、P0118（书内页码 114、115）
为了测定某卤代烃分子中所含有的卤素原子种类-可按下列步骤进行实验,METHOD_MODEL,卤代烃中卤素原子的检验方法,先加NaOH水溶液加热水解，再加稀硝酸酸化，最后加AgNO3由沉淀颜色判定卤素,卤素原子种类检验,①步骤（精讲册流程）：取卤代烃 RX，先加 NaOH 水溶液并加热使其水解；再滴加稀硝酸酸化；最后加入 AgNO3 溶液，观察沉淀颜色。②现象与结论：若产生白色沉淀，则 X 是氯原子；若产生浅黄色沉淀，则 X 是溴原子；若产生黄色沉淀，则 X 是碘原子。③酸化顺序的原因：水解液中含过量的 NaOH，若不先中和，AgNO3 会与 NaOH 生成棕黑色的 Ag2O 沉淀，干扰对卤化银沉淀颜色的判断，所以必须先加稀硝酸酸化。④注意用稀硝酸而不用稀硫酸，因为硫酸会引入 SO4^2-，同样干扰检验。⑤该方法适用于卤代烃及一切能水解释放卤素离子的含卤有机物。,必须先酸化再加AgNO3；酸化用稀硝酸而不是稀硫酸,五三化学精讲册 P0118（书内页码 115）
