chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-001,MATERIAL,细胞学说,CONCEPT_EXPLANATION,细胞学说的建立与主要内容,细胞学说由德国科学家施莱登和施旺主要建立，提出一切动植物都由细胞发育而来并由细胞和细胞产物构成，使生物学研究进入细胞水平。,考查细胞学说的建立者、建立过程、主要内容三条及建立意义的选择题与教材表述判断题。,**建立过程**：肉眼观察 → 显微观察 → 理论归纳 → 不断修订；主要建立者是两位德国科学家施莱登和施旺。\n\n**主要内容**\n1. 细胞是一个有机体，一切动植物都由细胞发育而来，并由细胞和细胞产物所构成；\n2. 细胞是一个相对独立的单位，既有它自己的生命，又对与其他细胞共同组成的整体的生命起作用；\n3. 新细胞可以从老细胞中产生。\n\n**建立意义**\n1. 揭示了动物和植物的统一性，从而阐明了生物界的统一性；\n2. 打破植物学和动物学的壁垒，促进学科融通，催生生物学问世；\n3. 使生物学研究进入细胞水平，为后来进入分子水平打下基础；\n4. 解释了个体发育，也为生物进化论的确立埋下伏笔。,细胞学说只针对动植物，并非一切生物；其意义集中在说明生物界的统一性，不涉及生物或细胞间的差异性。也可与“细胞是最小结构层次”等易错表述一起辨析。,p1 知识梳理,
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-001,MATERIAL,细胞学说,MISCONCEPTION_GUIDE,细胞学说的两个易错辨析,细胞学说只提出一切动植物由细胞发育而来而非一切生物，且未涉及生物或细胞间的差异性。,判断教材中关于细胞学说表述正误、解释施莱登和施旺结论为何可信的题目。,(1) 细胞学说只提出一切动植物是由细胞发育而来，不是一切生物（病毒等非细胞生物不在此列）。\n(2) 细胞学说并未涉及到生物或者细胞间的差异性。\n\n**教材拾遗**：施莱登和施旺在只是观察了部分动植物的组织的基础上，利用不完全归纳法提出“所有的动植物都是由细胞构成的”，且这一结论是可信的。,两条都属“表述范围被扩大”型错误：把“一切动植物”偷换成“一切生物”，或把学说说成涵盖了差异性；使用不完全归纳法得到的结论虽不可穷尽验证，但在已有证据范围内是可信的。,p1 易错辨析,b
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-002,MATERIAL,细胞是基本的生命系统,CONCEPT_EXPLANATION,细胞是生命活动的基本单位,单细胞生物依赖单个细胞完成摄食生长应激，多细胞生物依赖分化的细胞密切合作，病毒的生命活动也离不开细胞。,用草履虫、衣藻、人的缩手反射、病毒增殖等实例说明“生命活动离不开细胞”的题目。,**1. 细胞是生命活动的基本单位，生命活动离不开细胞**\n- 单细胞生物（如草履虫、衣藻、眼虫）：依赖单个细胞完成摄食、生长、应激等生命活动。\n- 多细胞生物：依赖各种分化的细胞密切合作，共同完成复杂的生命活动，如人的生殖和发育、缩手反射。\n- 非细胞生物（病毒）：病毒的生命活动离不开细胞。\n\n**2. 动植物生理活动与细胞的联系**\n- 进行各种生理活动的基础：细胞代谢（细胞内化学反应的总和）；\n- 生长发育的基础：细胞增殖、分化；\n- 遗传与变异的基础：细胞内基因的传递与变化。,病毒虽有生命现象，但无细胞结构，其增殖必须依赖活细胞；细胞代谢指细胞内全部化学反应的总和，不能等同于某一种具体的化学反应。区分“单细胞生物”与“原核生物”时不能混为一谈。,p2 知识清单,
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-002,MATERIAL,生命系统的结构层次,CONCEPT_EXPLANATION,生命系统的结构层次,生命系统由小到大依次为细胞、组织、器官、系统（植物无）、个体、种群、群落、生态系统、生物圈，细胞是最小结构层次。,层次排序题、判断某实例属于哪一层次（如“瘦西湖中所有的鱼是不是一个种群”）以及病毒是否属于生命系统层次的判断题。,**生命系统的结构层次（由小到大）**：细胞（最小结构层次）→ 组织 → 器官 → 系统（植物无）→ 个体 → 种群 → 群落 → 生态系统 → 生物圈。\n\n**易错辨析**\n- 细胞是最小的结构层次。组成细胞的元素、化合物（蛋白质、核酸）、结构（细胞膜、细胞器）都不能独立表现生命特征，不属于生命系统的结构层次。\n- 病毒具有生命，但不属于生命系统的结构层次。\n\n**实例分析**：瘦西湖中所有的鱼不是一个种群。种群指一定的空间范围内同种生物的所有个体，瘦西湖中所有的鱼并非一个物种，故不构成种群。,植物没有“系统”这一层次；种群必须同时满足“一定空间范围”“同种生物”“所有个体”三个条件；判断某物质或结构是否属于生命系统层次，关键看它能否独立表现生命特征。,p2 知识清单,b
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-003,MATERIAL,使用高倍显微镜观察细胞,CONCEPT_EXPLANATION,显微镜的结构与目镜物镜特点,显微镜调焦先粗后细、调光用光圈和反光镜；目镜越长放大倍数越小，物镜越长放大倍数越大且距装片越近。,显微镜结构识图题、根据镜头长短判断放大倍数大小的选择题。,**1. 显微镜的结构**：目镜、镜筒、粗准焦螺旋、细准焦螺旋、物镜转换器、物镜、载物台、压片夹、通光孔、遮光器、反光镜、镜座。\n\n**调焦与调光**：调焦时先粗后细；调光用光圈和反光镜。\n\n**2. 目镜和物镜特点**\n- 目镜：镜头越长，放大倍数越小；\n- 物镜：镜头越长，放大倍数越大，镜头距离装片越近。\n\n**3. 放大倍数**：显微镜放大倍数 = 物镜倍数 × 目镜倍数。,显微镜放大的是长度或宽度而不是面积；目镜与物镜的长短—倍数规律相反，不要记混；结构图中粗准焦螺旋与细准焦螺旋的位置需与功能对应。,p3 知识梳理,
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-003,MATERIAL,使用高倍显微镜观察细胞,METHOD_MODEL,放大倍数与细胞数目的计算,显微镜放大的是长度或宽度，单行排布时细胞数目变为原来的 $1/n$，均匀排布时变为 $1/n^2$。,已知放大倍数变化求视野中细胞数目、或由细胞数目变化反推放大倍数的计算题。,**放大倍数**：显微镜放大倍数 = 物镜倍数 × 目镜倍数，放大的是宽度或长度，不是面积。\n\n**① 单行/单列排布**：视野中细胞排成一行（列）时，再放大 $n$ 倍后，看到的细胞数目是原来的 $1/n$。例如原来一行看到 8 个细胞，放大 2 倍后只能看到 4 个。\n\n**② 均匀排布**：细胞充满整个圆形视野时，再放大 $n$ 倍后，看到的细胞数目是原来的 $1/n^2$。例如原来均匀排布 64 个细胞，放大 2 倍后只能看到 16 个。\n\n**解题步骤**：先判断细胞是排成一行（列）还是充满整个视野，再选择 $1/n$ 或 $1/n^2$；若改为缩小放大倍数，则相应乘以 $n$ 或 $n^2$。,$n$ 是放大倍数的变化倍数（如由 10× 换成 20× 则 $n=2$），不是最终的放大倍数；放大倍数变化只改变视野范围，细胞本身大小不变；排布方式判断错误会差一个平方。,p3 方法·放大倍数与细胞数计算,b
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-003,MATERIAL,使用高倍显微镜观察细胞,REPRESENTATION_GUIDE,显微镜成像特点与装片移动规律,显微镜下看到的是倒立放大的虚像（相当于旋转 180°），移动装片遵循偏哪移哪，胞质环流方向与视野中一致。,由视野中物像位置判断装片移动方向、由物像形状判断成像特点、由视野中胞质环流方向判断实际方向等题目。,**① 成像**：显微镜下看到的是实物倒立且放大的虚像，相当于把实物旋转 180°。例如实物为 b，视野中看到的是 q。\n\n**② 移动装片**：遵循偏哪移哪。物像偏左上方，就应把装片向左上方移动，物像才会回到视野中央。\n\n**③ 胞质环流**：视野中观察到的细胞质环流方向与实际方向一致（旋转 180° 后环形流动的方向不变）。,不要按上下颠倒的字面理解去反向移动装片；胞质环流方向不颠倒，不能由旋转 180° 一概推论；显微镜成虚像，与投影仪的成实像规律不同。,p3 方法·成像与移动规律,c
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-004,MATERIAL,使用高倍显微镜观察细胞,CONCEPT_EXPLANATION,高倍镜与低倍镜的对比,高倍镜物像大、细胞数目少、视野暗、镜头距装片近、视野范围小；低倍镜各项相反。,比较高低倍镜视野特点、选择镜头、调节视野亮度的选择题。,**高倍镜与低倍镜对比**\n\n| 物镜 | 物象大小 | 看到的细胞数目 | 视野亮度 | 物镜和装片的距离 | 视野范围 |\n|---|---|---|---|---|---|\n| 高倍镜 | 大 | 少 | 暗 | 近 | 小 |\n| 低倍镜 | 小 | 多 | 亮 | 远 | 大 |\n\n**特别提醒**：低倍镜换高倍镜后，视野变小变暗，应调凹面镜、大光圈调亮；观察颜色深的材料应调亮，颜色浅的材料应调暗。,“细胞数目少”是相对同一视野而言；换高倍镜后视野范围变小，显微镜视野为圆形，不要把视野范围与细胞大小混淆；调节亮度须用反光镜与光圈，不能用准焦螺旋。,p4 知识梳理,
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-004,MATERIAL,使用高倍显微镜观察细胞,METHOD_MODEL,显微镜使用步骤与污点位置判断,使用步骤为取镜、安放、对光、调焦、观察且先用低倍镜再用高倍镜；污点随目镜动在目镜上，随玻片动在玻片上，都不动则在物镜上。,显微镜操作顺序题、判断视野中污点位置的实验分析题、由异常现象推断原因的实验题。,**1. 使用步骤**：取镜 → 安放 → 对光 → 调焦 → 观察。具体过程：①用低倍镜观察找到目标并移到视野中央 → ②用高倍镜观察。\n\n**2. 污点位置的判断方法**\n- 转动目镜，污点动 → 污点在目镜上；\n- 移动玻片，污点动 → 污点在玻片上；\n- 两者都不动 → 污点在物镜上。\n\n**3. 常见成像异常的原因（易错辨析）**\n- 一半清晰一半模糊 → 切片不均或镜头脏；\n- 带有黑边的圆圈 → 气泡；\n- 看不清物像 → 切片或盖玻片太厚、放置反了等。\n\n**4. 使用注意事项**\n- 必须先用低倍镜找到物像，移到中央后再换高倍镜；\n- 粗准焦螺旋下降时，眼睛要侧看物镜，防止压碎装片；\n- 换高倍镜后只能用细准焦螺旋调节；\n- 观察颜色深的材料应调亮，反之调暗。,换高倍镜后严禁使用粗准焦螺旋；判断污点位置时转动目镜与移动玻片要分别单独进行，不能同时操作；气泡与细胞、污点的形态不同，气泡有黑边、呈圆形。,p4 方法·使用步骤与污点判断,b
6. 2026生物总复习/2027年新高考资料【上新中】/2027年高考生物一轮/2027年高考生物一轮复习知识清单（全国通用）-G56/2027版/第01讲 走近细胞（图文版知识清单）.pdf,5fd81512c2-005,MATERIAL,原核细胞和真核细胞,CONCEPT_EXPLANATION,原核细胞与真核细胞的比较,原核细胞没有以核膜为界限的细胞核而只有拟核，真核细胞有核膜包被的细胞核，二者最本质区别是有无以核膜为界限的细胞核。,判断生物属于原核还是真核、比较两类细胞结构、辨别常见原核生物（蓝细菌、细菌、支原体）的题目。,**1. 原核细胞**：没有以核膜为界限的细胞核（无成形细胞核，只有拟核）。无染色质，DNA 不与蛋白质结合，散乱分布。有细胞壁、细胞膜、细胞质，细胞器只有核糖体。\n\n**2. 真核细胞**：含有由核膜包被的细胞核（有成形的细胞核），有核膜、核仁、染色质和众多复杂的细胞器。植物细胞还有细胞壁、液泡、叶绿体等。\n\n**3. 原核生物的主要类群**\n- 蓝细菌（蓝藻）：内含藻蓝素和叶绿素，是能进行光合作用的自养生物；\n- 细菌：大多数为营腐生或寄生生活的异养生物，少数为化能合成自养生物；\n- 支原体：最小、最简单的单细胞生物，无细胞壁。\n\n**4. 水华和赤潮（富营养化现象）**：水华（淡水）由蓝细菌、绿藻等异常增殖引起；赤潮（海水）由浮游生物爆发性繁殖导致海水变色。\n\n**核心区别**：原核与真核最本质的区别在于有无以核膜为界限的细胞核。,**记忆口诀**：蓝细菌自养色绿素，支原体小无细胞壁。分类依据只能是“有无以核膜为界限的细胞核”，不能拿“有无细胞壁”“能否光合作用”“是否单细胞”当分类标准；拟核不是真正的细胞核。,p5 知识梳理,
