node_slug,type,title,summary,applicability,content,boundary,note
原核细胞和真核细胞,CONCEPT_EXPLANATION,真核细胞、原核细胞与病毒比较,从结构、细胞壁、遗传与增殖比较真核细胞、原核细胞与病毒并归纳实例,细胞类型判断与实例辨析,①结构：真核细胞有以核膜为界限的细胞核，细胞质中有多种复杂的细胞器；原核细胞无细胞核，只有核糖体一种细胞器，但可具有拟核；病毒无细胞结构，主要由蛋白质和一种核酸组成，部分病毒（如HIV、流感病毒）还含有包膜中的磷脂等。②细胞壁：动物细胞无细胞壁，植物细胞的细胞壁主要由纤维素和果胶组成，大多数真菌细胞主要为几丁质，原核细胞绝大多数具有细胞壁且成分主要为肽聚糖。③遗传与增殖：三者的遗传物质均为DNA（RNA病毒的遗传物质为RNA）；真核细胞以有丝分裂、无丝分裂和减数分裂增殖，原核细胞主要为二分裂，病毒通过复制增殖并营寄生生活，复制所需的能量、原料和场所均由宿主细胞提供。④实例：菠菜、衣藻、酵母菌和霉菌属于真核细胞，大肠杆菌、乳酸菌、蓝细菌、放线菌和支原体属于原核细胞，T2噬菌体为DNA病毒，HIV、流感病毒和烟草花叶病毒为RNA病毒。,蓝细菌不含叶绿体但含藻蓝素和叶绿素，能进行光合作用而属于自养型生物；支原体无细胞壁，青霉素等抑制细胞壁合成的抗生素对其无效,五三生物精讲册 P0005
蛋白质的结构及其多样性,CONCEPT_EXPLANATION,蛋白质的结构层次与功能多样性,氨基酸脱水缩合形成肽链并经盘曲折叠成蛋白质，结构多样性决定功能多样性,蛋白质结构与功能分析,①基本单位：组成人体蛋白质的氨基酸有21种，其中13种为非必需氨基酸、8种为必需氨基酸；氨基酸种类和理化性质的差异由R基的不同导致，其种类和含量是评价食品中蛋白质营养价值的主要依据。②连接方式：氨基酸在核糖体上经脱水缩合形成肽链，n个氨基酸形成的一条肽链含（n－1）个肽键、脱去（n－1）个水分子；连接不同肽链或同一肽链不同部分的化学键为肽键，肽链之间还可形成二硫键等。③结构多样性的原因：直接原因是氨基酸的种类、数目、排列顺序不同以及肽链的盘曲、折叠方式及其形成的空间结构不同；根本原因是DNA（基因）的碱基排列顺序具有多样性。④功能多样性：既有肌肉、头发中的结构蛋白，又有催化（大多数酶）、运输（血红蛋白、转运蛋白）、调节（蛋白质类激素）和免疫（抗体和细胞因子）等功能蛋白。⑤检测：蛋白质与双缩脲试剂在碱性条件下生成紫色络合物，含2个及以上肽键的小分子肽也可发生紫色反应。,斐林试剂需甲乙液等量混匀后立即使用且需水浴加热，双缩脲试剂则先加A液再加B液且不需加热；脂肪等脂质不属于生物大分子,五三生物精讲册 P0009
细胞膜的结构和功能,REPRESENTATION_GUIDE,流动镶嵌模型的要点与细胞膜功能,磷脂双分子层构成基本支架，糖被在膜外侧，膜具有一定流动性和选择透过性,膜结构模型解读与功能分析,①制备材料：选哺乳动物成熟红细胞，因其无细胞核和众多具膜细胞器。②成分：脂质主要是磷脂，动物细胞膜含少量胆固醇，胆固醇对磷脂分子运动有双重调节作用；功能越复杂的细胞膜，蛋白质的种类和数量越多；糖类与细胞表面的识别、细胞间的信息传递有关。③流动镶嵌模型：磷脂双分子层构成膜的基本支架，磷脂的亲水端朝向膜两侧、疏水端向内；蛋白质镶、嵌或贯穿于磷脂双分子层，其分布体现膜的不对称性；糖被位于细胞膜的外侧，是细胞膜上的蛋白质或脂质结合的糖类分子，而不是指糖蛋白或糖脂。④特性：具有一定的流动性，原因是磷脂分子和大多数膜蛋白都可以运动；功能特性是选择透过性。⑤功能：将细胞与外界环境分隔开；控制物质进出细胞；进行细胞间的信息交流，方式有物质传递（如激素、神经递质）、通道传递（如胞间连丝）和接触传递（如精卵识别）。,细胞间的信息交流发生在细胞与细胞之间，不发生在细胞内部或物质与细胞之间；水分子既能通过磷脂分子运动产生的间隙跨膜运输，也能通过水通道蛋白通过细胞膜,五三生物精讲册 P0012
物质出入细胞的方式,REPRESENTATION_GUIDE,物质出入细胞的方式及影响因素,被动运输不耗能，主动运输需载体和能量，胞吞胞吐依赖膜的流动性,运输方式判断与实例辨析,①被动运输：自由扩散和协助扩散都从高浓度一侧向低浓度一侧运输，都不消耗能量；自由扩散不需要转运蛋白协助，如O₂、CO₂等气体和甘油、性激素、苯等脂溶性小分子；协助扩散需要转运蛋白协助，如哺乳动物成熟红细胞吸收葡萄糖、水分子通过水通道蛋白的运输。②主动运输：从低浓度一侧向高浓度一侧运输，既消耗能量又需要载体蛋白协助，如小肠上皮细胞吸收葡萄糖和氨基酸，以及细胞吸收Na⁺、K⁺、Ca²⁺等离子。③胞吞与胞吐：都消耗能量、不需要转运蛋白协助但需要特定的膜蛋白参与，并依赖膜的流动性；胞吞如吞噬细胞吞噬抗原，胞吐如胰岛素、消化酶、抗体等分泌物的分泌和多数神经递质的释放。④影响因素：温度可通过影响蛋白质的构象和膜的流动性影响物质运输；凡影响细胞呼吸和相关酶活性的因素都能通过影响ATP的产生影响主动运输。,一种转运蛋白往往只适合转运特定的物质，因此转运蛋白的数量或功能改变都会影响运输速率；葡萄糖进入成熟红细胞为协助扩散，进入小肠上皮细胞则为主动运输,五三生物精讲册 P0020
酶的特性,CONCEPT_EXPLANATION,酶的本质、特性与相关实验分析,酶是活细胞产生的具催化作用的有机物，具高效性、专一性和作用条件较温和,酶相关实验与曲线分析,①本质：绝大多数酶是蛋白质、少数是RNA；酶在活细胞中产生，但在细胞内、外均可发挥催化作用。②作用机理：酶通过降低化学反应的活化能加快反应速率，与无机催化剂相比降低活化能的作用更显著，且酶在反应前后性质不变、可重复利用。③高效性验证：在等量H₂O₂溶液中，加入2滴新鲜肝脏研磨液的试管产生气泡最多、卫生香复燃最明显，加入FeCl₃溶液的试管现象次之，90 ℃水浴加热和不处理组气泡很少；FeCl₃作为已知的无机催化剂，在本实验中起阳性对照作用。④专一性：一种酶只能催化一种或一类化学反应，如脲酶只能催化尿素分解；也有些酶可作用于一类结构相近的底物，催化一类物质分解。⑤作用条件较温和：酶在最适温度和pH条件下活性最高；高温、强酸和强碱会使酶的空间结构遭到破坏而永久失活，低温条件下酶的活性很低但空间结构稳定，因此酶制剂适宜在低温下保存。,酶只改变化学反应的速率，不改变最终生成物的量；低温只是抑制酶的活性而不使酶失活，故酶制剂宜低温保存,五三生物精讲册 P0025
减数分裂,CONCEPT_EXPLANATION,减数分裂的概念与四分体辨析,染色体复制一次而细胞分裂两次，同源染色体的联会与互换是配子多样性的基础,减数分裂图像与概念判断,①适用范围与特点：适用于进行有性生殖的生物，特点是染色体复制一次、细胞分裂两次；结果是成熟生殖细胞中染色体和核DNA数目比原始生殖细胞减少一半。②相关概念辨析：1个四分体等于1对同源染色体，即2条染色体、4条染色单体、4个核DNA分子、8条脱氧核苷酸链；同源染色体的形态和大小一般都相同，一条来自父方、一条来自母方；姐妹染色单体位于1条染色体上。③减数分裂Ⅰ：前期同源染色体联会形成四分体，四分体中的非姐妹染色单体之间可发生互换；中期同源染色体排列在赤道板两侧；后期同源染色体分离、非同源染色体自由组合；末期结束时细胞一分为二，染色体数和核DNA数均减半。④数目变化：减数分裂前的间期染色体数为2n、核DNA由2n增至4n；初级精（卵）母细胞中染色体数为2n、核DNA为4n；减数分裂Ⅱ的细胞中染色体数为n、核DNA为2n，最终形成的子细胞中染色体数和核DNA数均为n。,1个四分体含4条染色单体而不是4条染色体；着丝粒分裂发生在减数分裂Ⅱ后期，此时细胞内没有同源染色体,五三生物精讲册 P0056
一对相对性状的杂交实验,METHOD_MODEL,孟德尔一对相对性状杂交实验的假说演绎,按假说—演绎法分析高茎与矮茎的杂交实验，最终得出基因的分离定律,分离定律实验过程与测交验证,①实验材料：豌豆自花传粉、闭花受粉，自然状态下一般为纯种；具有多对易于区分的相对性状且能够稳定地遗传给后代；花较大，子代个体数量多。②杂交操作：花蕾期去除母本未成熟花的全部雄蕊后套袋，待雌蕊成熟时授以父本花粉再套袋，即人工去雄→套袋→人工授粉→套袋。③实验现象：P高茎×矮茎，F₁全部表现为高茎；F₁自交所得F₂出现性状分离，高茎与矮茎的比例为3∶1。④假说：生物的性状是由遗传因子决定的，体细胞中的遗传因子成对存在，产生配子时成对的遗传因子彼此分离，配子中只含有每对遗传因子中的一个；受精时雌雄配子随机结合，结合方式有4种。⑤演绎推理与验证：若假说正确，F₁（Dd）与矮茎（dd）测交，后代应出现高茎∶矮茎＝1∶1；实际结果与预期结果相符，假说正确，得出基因的分离定律。,测交的实质是用隐性纯合子检测待测个体产生的配子种类及比例；豌豆的去雄必须在花蕾期（花药未成熟时）进行，否则会发生自交,五三生物精讲册 P0064
两对相对性状杂交实验过程,METHOD_MODEL,两对相对性状杂交实验的数据分析,先分别分析每一对相对性状，再用乘法原理把9∶3∶3∶1拆成(3∶1)(3∶1),自由组合定律实验与数据推算,①实验现象：P黄色圆粒×绿色皱粒，F₁全为黄色圆粒；F₁自交所得F₂出现黄色圆粒、黄色皱粒、绿色圆粒、绿色皱粒四种类型，比例为9∶3∶3∶1。②结果分析：F₂中圆粒∶皱粒＝3∶1，说明种子粒形的遗传遵循分离定律；F₂中黄色∶绿色＝3∶1，说明种子粒色的遗传遵循分离定律；F₂中出现两种亲本类型和两种新类型，说明不同性状之间进行了自由组合。③数学关系：9∶3∶3∶1＝(3∶1)(3∶1)，数据分析时可依据此关系将多对性状拆开、逐一分析。④解释：两对相对性状由两对遗传因子控制；F₁产生配子时成对的遗传因子彼此分离，不同对的遗传因子自由组合，产生的雌雄配子均为比例相等的四种；受精时雌雄配子随机结合产生子代，F₂共有9种基因型、4种表型。⑤验证：F₁（YyRr）与绿色皱粒（yyrr）测交，测交后代的表型比例为1∶1∶1∶1，实际结果与演绎推理的预测结果一致，假说正确，得出基因的自由组合定律。,F₂中9∶3∶3∶1的前提是两对基因独立遗传且各种配子和个体存活率相同；测交后代比例为1∶1∶1∶1说明F₁产生四种比例相等的配子,五三生物精讲册 P0072
基因位于染色体上的实验证据,METHOD_MODEL,摩尔根果蝇眼色实验的假说演绎,用红眼与白眼果蝇的杂交和测交实验证明基因在染色体上,伴性遗传实验分析与推断,①萨顿假说：基因在染色体上，依据是基因和染色体的行为存在着明显的平行关系。②实验材料：果蝇体积小、易饲养、繁殖快、后代多，染色体少（2n＝8）易于观察。③现象与问题：红眼雌蝇与白眼雄蝇杂交，F₁全为红眼；F₁雌雄交配所得F₂中红眼与白眼的数量比为3∶1，且白眼性状的表现总是与性别相关联。④假说：控制果蝇白眼的基因（用w表示）在X染色体上，而Y染色体上不含有它的等位基因；据此可圆满解释F₁与F₂的性状分离情况。⑤演绎与验证：用测交实验验证，第一次测交为F₁红眼雌×亲本白眼雄，后代红眼雌、红眼雄、白眼雌、白眼雄的比例为1∶1∶1∶1，与演绎推理的预测结果一致，假说正确，说明控制红眼和白眼的基因位于X染色体上，即基因在染色体上。⑥延伸：摩尔根和他的学生们发明了测定基因位于染色体上相对位置的方法，说明了基因在染色体上呈线性排列。,第一次测交实验不能证明基因只位于X染色体上，因为若基因位于X、Y染色体的同源区段，后代的表现型比例与第一次测交结果相同,五三生物精讲册 P0081
噬菌体侵染细菌实验,METHOD_MODEL,噬菌体侵染细菌实验的同位素标记,用³²P和³⁵S分别标记T2噬菌体的DNA和蛋白质，证明DNA是遗传物质,遗传物质探究实验的误差分析,①病毒增殖过程：T2噬菌体专门寄生在大肠杆菌体内；合成T2噬菌体的原料（四种脱氧核苷酸和氨基酸）以及噬菌体蛋白质的合成场所核糖体，均由大肠杆菌提供。②标记方法：先分别用含³²P或³⁵S的培养基培养大肠杆菌，再用上述大肠杆菌培养T2噬菌体，得到DNA含³²P或蛋白质含³⁵S的噬菌体。③实验过程：用³²P标记的T2噬菌体侵染未标记的大肠杆菌，搅拌、离心后上清液放射性很低、沉淀物放射性很高；用³⁵S标记的T2噬菌体侵染后上清液放射性很高、沉淀物放射性很低。④误差分析：保温时间过短，部分噬菌体未侵染大肠杆菌；保温时间过长，部分大肠杆菌已经裂解，两者都会使上清液放射性强度升高；搅拌不充分会使沉淀物放射性强度升高。⑤结论：子代噬菌体中检测到³²P而未检测到³⁵S，说明T2噬菌体的DNA进入了大肠杆菌而蛋白质没有进入，即T2噬菌体的遗传物质是DNA。,不能用¹⁴C和¹⁸O标记区分蛋白质和DNA，因为蛋白质和DNA都含有C和O；标记蛋白质和DNA应分别选择S和P,五三生物精讲册 P0093
