chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-071,MATERIAL,NEW:奇偶分类数列的递推,METHOD_MODEL,奇偶分类数列的递推,递推式中 n 分奇偶、隔项递推、含 $(-1)^n$ 三类数列的分奇偶讨论通法。,递推公式随 n 的奇偶而变、递推式中出现 $a_{n+2}$ 与 $a_n$ 的关系、或递推式中含 $(-1)^n$ 的数列求通项与求和问题。,### 三类常见的奇偶分类数列\n**1. 递推式分奇偶**：n 为奇数与 n 为偶数时递推公式不同，只能分奇偶讨论，通项形如 n 为奇数时取 $h(n)$、n 为偶数时取 $g(n)$ 的分段形式。\n**2. 隔项递推**：递推式中出现 $a_{n+2}$ 与 $a_n$ 的关系，或给出的是 $a_{n+1}+a_n=f(n)$、$a_{n+1}a_n=f(n)$，此时直接分析 $a_{n+1}$ 与 $a_n$ 无法获得解题思路，需先转化为 $a_{n+2}$ 与 $a_n$ 的递推式再处理。对于通项奇偶分段的数列，奇数项与偶数项分别构成不同的数列，求和时需对奇数项和偶数项分组求和。\n**3. 递推式中含 $(-1)^n$**：对 $n\in N^*$ 分奇偶讨论，寻找前后项的递推关系分析求解。求和时会出现正负交替的情况，一般分奇偶，将相邻两项组合后并项求和。\n### 操作要点\n- 分奇偶：令 n 分别取奇数、偶数，写出两段递推式。\n- 分别判断奇数项、偶数项构成的新数列是等差还是等比，各自求通项后再合并写成分段通项。,分奇偶后两段的通项必须分别验证首项；隔项递推得到的公差（公比）是隔项的公差（公比），不能当作相邻项的公差（公比）使用；n 的奇偶不确定时求和必须按 n 为奇数、n 为偶数分别讨论，并注意最后一组是否完整。,p71 大招49：奇偶分类数列的递推（大招解读）；建议父级：数列 > 递推数列,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-071,MATERIAL,NEW:和数列与积数列的通项,METHOD_MODEL,和数列与积数列的隔项通项,形如 $a_{n+1}+a_n=An+B$ 的和数列是隔项等差数列，$a_{n+1}a_n=q^n$ 的积数列是隔项等比数列，据此写出奇数项、偶数项分段的通项公式。,相邻两项的和或积为等差式、指数式的递推数列求通项。,### 概念\n- 和数列：若数列 $\{a_n\}$ 满足 $a_{n+1}+a_n=f(n)$，则称为和数列。\n- 积数列：若数列 $\{a_n\}$ 满足 $a_{n+1}a_n=f(n)$，则称为积数列。\n\n### 和数列通项公式\n当 $a_{n+1}+a_n=f(n)=An+B$ 时，把 n 换成 $n-1$ 得 $a_n+a_{n-1}=A(n-1)+B$（$n\ge 2$），两式相减得 $a_{n+1}-a_{n-1}=A$（$n\ge 2$），故 $\{a_n\}$ 是隔项的等差数列，隔项公差 $d=A$，于是奇数项由 $a_1$ 表出、偶数项由 $a_2$ 表出：奇数项为 $a_1+A(\frac{n+1}{2}-1)$，偶数项为 $a_2+A(\frac{n}{2}-1)$。\n\n### 积数列通项公式\n当 $a_{n+1}a_n=f(n)=q^n$ 时，把 n 换成 $n-1$ 得 $a_na_{n-1}=q^{n-1}$，两式相除得 $\frac{a_{n+1}}{a_{n-1}}=q$，故 $\{a_n\}$ 是隔项的等比数列，隔项公比为 $q$，奇数项为 $a_1q^{\frac{n+1}{2}-1}$，偶数项为 $a_2q^{\frac{n}{2}-1}$。,只对 $f(n)$ 为等差（和数列）或 $q^n$（积数列）的形式成立；相减、相除都要求 $n\ge 2$；奇数项由 $a_1$ 表出、偶数项由 $a_2$ 表出，而 $a_2$ 需用原递推式单独求出；含 $(-1)^n$ 的递推式要先整理成 $a_{n+2}-a_n$ 为常数的形式才能套用。,p71 大招49 玩转小课堂；建议父级：数列 > 递推数列,b
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-072,MATERIAL,NEW:数列不等式的放缩,METHOD_MODEL,数列不等式的放缩总纲,证 $S_n>m$ 或 $S_n<l$ 时，构造辅助数列 $b_n$ 使 $a_n>b_n$（或 $a_n<c_n$），把和放缩成可求和的式子，常用七种放缩。,证明数列前 n 项和的不等式、或与数列有关的不等式证明题，直接求和与数学归纳法都解决不了时使用。,### 基本思路\n证明 $S_n>m$（或 $S_n<l$）：先考虑直接证明法以及数学归纳法；若这两种方法解决不了，就寻找辅助数列 $\{b_n\}$（或 $\{c_n\}$），使得 $a_n>b_n$，于是 $S_n>b_1+b_2+\cdots+b_n\ge m$（或由 $a_n<c_n$ 得 $S_n<c_1+c_2+\cdots+c_n\le l$）。即把不好求和的 $S_n$ 转化为辅助数列的和。\n\n### 七种常见放缩\n1. **分组放缩**：先将 $S_n$ 分成若干组，再对每组单独确定放缩或不放缩。\n2. **等比放缩**：$a_n=\frac{1}{q^n+m}$（$q>0$ 且 $q\ne 1$，$m>0$）时 $a_n<\frac{1}{q^n}$，于是 $S_n<\frac{1}{q}+\frac{1}{q^2}+\cdots+\frac{1}{q^n}=\frac{1-\frac{1}{q^n}}{q-1}$，辅助数列 $\{\frac{1}{q^n}\}$ 是等比数列。\n3. **裂项放缩**：把 $a_n$ 放缩成可以裂项相消求和的式子（分式裂项、根式裂项、分指结构裂项）。\n4. **分式放缩**：对分式的分子或分母放大、缩小，常用糖水不等式 $\frac{b}{a}<\frac{b+m}{a+m}$（$a>b>0$，$m>0$）。\n5. **基本不等式放缩**：某些项的和符合基本不等式的形式时直接放缩，条件往往不明显，需要一系列变形。\n6. **递推放缩**：只给递推式 $a_{n+1}=f(a_n)$ 而求不出通项时，直接利用递推式构造放缩式。\n7. **函数放缩**：利用导数研究函数单调性得到函数的相关结论，再放缩。,放缩方向必须与结论一致（证 $S_n>m$ 用下界、证 $S_n<l$ 用上界）；放缩精确度要够，过松会证不出结论，此时可保留前几项不放缩；解答题中使用任何放缩式之前都要先证明该放缩式成立。,p72 大招50：数列不等式的放缩（大招解读）；建议父级：数列 > 数列求和,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-072,MATERIAL,NEW:奇偶项个数与下标变换,METHOD_MODEL,奇偶项个数与下标变换,分奇偶计数时奇、偶项的个数公式，以及用 $a_{2k-1}=f(2k-1)$、$a_{2k}=f(2k)$ 的换元求统一通项。,奇偶分段的数列求和统计项数、由分段通项求统一通项公式，以及分奇偶讨论的数列求和题。,### 奇偶项的个数\n- 当 n 为奇数时：奇数项有 $\frac{n+1}{2}$ 个，偶数项有 $\frac{n-1}{2}$ 个。\n- 当 n 为偶数时：奇数项与偶数项各有 $\frac{n}{2}$ 个。\n\n### 下标变换\n奇偶分类问题中，奇数项表示为 $a_{2k-1}$，偶数项表示为 $a_{2k}$（$k\in N^*$）。若数列通项能统一写成 $a_n=f(n)$，则 $a_{2k-1}=f(2k-1)$，$a_{2k}=f(2k)$。\n\n已知 $a_{2k-1}$ 与 $a_{2k}$ 求 $a_n$ 时，本质上是已知 $f(2k-1)$ 与 $f(2k)$ 求 $f(n)$：可用换元法分别令 $2k-1=n$ 与 $2k=n$，求得各自的 $f(n)$，即得 $a_n$。,换元时自变量取值范围受限：用 $2k-1=n$ 求得的式子只在 n 为奇数时成立，用 $2k=n$ 求得的式子只在 n 为偶数时成立，最后必须写成分段形式；计数时注意区分项数与末项下标，$\frac{n+1}{2}$ 只在 n 为奇数时是奇数项的个数。,p72 大招49 抗神悄悄话；建议父级：数列 > 数列求和,b
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-073,MATERIAL,NEW:裂项放缩,METHOD_MODEL,裂项放缩（分式·根式·分指）,把通项放缩成能裂项相消的形式：分式裂项、根式裂项与分指结构裂项三类常用放缩式。,通项为 $\frac{1}{n^2}$、$\frac{1}{\sqrt n}$、$\frac{1}{q^n-m}$ 等形式的数列求和不等式证明。,### 1. 分式裂项放缩\n通项是分式（如 $a_n=\frac{1}{n^2}$、$\frac{1}{n^3}$）时，把 $a_n$ 放缩成可以分式裂项相消求和的式子，常见放缩式有\n$\frac{1}{n}-\frac{1}{n+1}=\frac{1}{n(n+1)}<\frac{1}{n^2}<\frac{1}{n(n-1)}=\frac{1}{n-1}-\frac{1}{n}$（$n\ge 2$），\n$\frac{1}{n^2}<\frac{1}{n^2-1}=\frac{1}{2}(\frac{1}{n-1}-\frac{1}{n+1})$（$n\ge 2$）。\n规律：若分母上相乘的各项呈等差形式，则可以进行裂项，在此基础上放缩。\n\n### 2. 根式裂项放缩\n通项含根式（如 $a_n=\frac{1}{\sqrt n}$、$\frac{1}{\sqrt[3]{n}}$）时，放缩成可以根式裂项相消求和的式子，两个常用放缩式：\n① $2(\sqrt{n+1}-\sqrt n)<\frac{1}{\sqrt n}<2(\sqrt n-\sqrt{n-1})$；\n② $\frac{1}{\sqrt n}-\frac{1}{\sqrt{n+1}}<\frac{1}{(n+1)\sqrt n}<2(\frac{1}{\sqrt n}-\frac{1}{\sqrt{n+1}})$。\n\n### 3. 分指结构裂项放缩\n若 $a_n=\frac{1}{q^n-m}$（$q>1$，$0<m<q$，$n\ge 2$），则 $a_n<\frac{1}{q-1}(a_{n-1}-a_n)$。,放缩方向必须与所求结论一致，且放缩后仍要能求和；$\frac{1}{n^2}<\frac{1}{n(n-1)}$ 一类式子在 $n=1$ 处无意义，需从 $n\ge 2$ 起用并把第一项单独保留；$q^n-m$ 型通项不能用等比放缩（$\frac{1}{q^n-m}>\frac{1}{q^n}$ 方向相反），必须改用分指结构裂项。,p73 大招50 大招解读 3.裂项放缩；建议父级：数列 > 数列求和,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-073,MATERIAL,NEW:等比放缩,MISCONCEPTION_GUIDE,等比放缩的适用条件与失效情形,等比放缩只适用于 $a_n=\frac{1}{q^n+m}$ 型，放缩结果固定、精确度常不够；遇到 $\frac{1}{q^n-m}$ 型会失效。,用等比放缩证明数列和的不等式时，判断能否使用、以及精确度不足时如何补救。,### 适用形式\n等比放缩要求数列 $\{a_n\}$ 的通项满足 $a_n=\frac{1}{q^n+m}$（$q>0$ 且 $q\ne 1$，$m>0$），形式相对固定。\n\n### 两个弊端\n1. 放缩结果 $\frac{1-\frac{1}{q^n}}{q-1}$ 也比较固定，很容易导致放缩后的精确度不满足题目要求。当精确度过低时，需要保留数列的前几项不予放缩（前几项误差较大，n 越大误差越小），只对后面的项放缩。\n2. 如果遇见 $a_n=\frac{1}{q^n-m}$（$q>1$，$m>0$）的形式，等比放缩大概率失效，此时需要采用分指结构裂项放缩。\n\n### 提醒\n在解答题中使用放缩式之前，都需要先证明一下该放缩式。,放缩方向不能反：$\frac{1}{q^n-m}>\frac{1}{q^n}$，故 $q^n-m$ 型不能用等比放缩；精确度不够时不能硬套，要保留前几项；放缩式在解答题中须先证后用。,p73 大招50 抗神悄悄话；建议父级：数列 > 数列求和,b
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-074,MATERIAL,NEW:分式放缩与糖水不等式,METHOD_MODEL,分式放缩与糖水不等式,对分式的分子或分母放大、缩小，常用糖水不等式 $\frac{b}{a}<\frac{b+m}{a+m}$；把 $q^n\mp m$、$q^n-p^n$ 型通项化成可等比求和的形式。,通项为分式结构的数列求和不等式，尤其分母含 $q^n-m$、$q^n-p^n$ 时。,### 分式放缩\n对于有些分式结构的数列不等式，可考虑对正分数的分母或分子进行放大或缩小完成放缩，比较常见的是应用糖水不等式：\n若 $a>b>0$，$m>0$，则 $\frac{b}{a}<\frac{b+m}{a+m}$。\n\n### 两种常用变形\n① 若数列 $\{a_n\}$ 满足 $a_n=\frac{1}{q^n-m}$（$q>1$，$m>0$，$q>m$），则\n$a_n=\frac{1}{q^n(1-\frac{m}{q^n})}\le\frac{1}{q^n(1-\frac{m}{q})}$，分母被放大成与 n 无关的常数，从而可用等比数列求和。\n② 若数列 $\{a_n\}$ 满足 $a_n=\frac{1}{q^n-p^n}$（$q>1$，$p>1$，$q>p$），则\n$a_n=\frac{1}{q^n[1-(\frac{p}{q})^n]}\le\frac{1}{q^n(1-\frac{p}{q})}$。\n\n### 用法\n把分母中的变数项替换成其最大（或最小）值，使分母放成等比形式，再逐项求和。,要求分数为正且放大、缩小的方向与结论一致；分母中的 $1-\frac{m}{q^n}$ 随 n 增大而增大，故取 $n=1$ 时的 $1-\frac{m}{q}$ 作为下界，若 $q\le m$ 则变形无意义。,p74 大招50 大招解读 4.分式放缩 与 玩转小课堂；建议父级：数列 > 数列求和,
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-074,MATERIAL,NEW:递推放缩与函数放缩,METHOD_MODEL,递推放缩与函数放缩,求不出通项时直接由递推式构造放缩式；或用导数研究函数单调性得到函数不等式再放缩。,只给出递推关系 $a_{n+1}=f(a_n)$ 而通项不可求、又需证明与数列有关的不等式的问题。,### 递推放缩\n若题目只给了递推关系式 $a_{n+1}=f(a_n)$，而根据这个递推式没办法直接求出 $\{a_n\}$ 的通项，然而又需要证明一个不等式，此时就直接利用题目给出的递推关系式构建一个放缩式，这种方式称为递推放缩。\n\n两种常用思路：\n① 写出递推关系式 $a_{n+1}=f(a_n)$，然后通过变形得到放缩式。\n② 写出 $a_{n+1}=f(a_n)$ 与 $a_n=f(a_{n-1})$，然后将这两个关系式进行加减乘除，再变形得到放缩式（更多的是相减和相除）。\n\n### 函数放缩\n利用导数研究函数的单调性，得到函数的相关结论（如 $f(x)\ge f(x_0)$、$\ln x\le x-1$ 之类），再利用这些结论对数列通项或和进行放缩。此法与导数模块中的函数不等式同源。,递推放缩要求 $f$ 的单调性、项的符号或范围先有判定，否则加减乘除推不出方向确定的不等号；函数放缩所用的函数不等式必须先证明，且注意取等条件在 n 取正整数时是否成立。,p74 大招50 大招解读 6.递推放缩、7.函数放缩；建议父级：数列 > 数列求和,b
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-074,MATERIAL,NEW:分指结构裂项放缩,DERIVATION,分指结构裂项放缩的证明,证明 $a_n=\frac{1}{q^n-m}$（$q>1$，$0<m<q$，$n\ge 2$）时 $a_n<\frac{1}{q-1}(a_{n-1}-a_n)$。,理解并使用分指结构放缩式，需要给出该放缩式的证明时。,### 待证结论\n若 $a_n=\frac{1}{q^n-m}$（$q>1$，$0<m<q$，$n\ge 2$），则 $a_n<\frac{1}{q-1}(a_{n-1}-a_n)$。\n\n### 证明思路：把 $qa_n$ 与 $a_{n-1}$ 比大小\n因为 $q>1$，$0<m<q$，所以\n$qa_n=\frac{q}{q^n-m}=\frac{1}{q^{n-1}-\frac{m}{q}}<\frac{1}{q^{n-1}-m}=a_{n-1}$。\n其中不等号成立是因为分母 $q^{n-1}-\frac{m}{q}>q^{n-1}-m$。\n于是 $qa_n<a_{n-1}$，即 $qa_n-a_n<a_{n-1}-a_n$，也就是\n$(q-1)a_n<a_{n-1}-a_n$，\n两边同除以 $q-1>0$ 得 $a_n<\frac{1}{q-1}(a_{n-1}-a_n)$。\n\n### 放缩的用处\n右端 $\frac{1}{q-1}(a_{n-1}-a_n)$ 恰好是可裂项相消的形式，把各项相加后只留下首尾项，就把 $\sum a_n$ 的估计转化为对 $a_1$、$a_n$ 的估计。,条件 $0<m<q$ 不可少：它保证 $\frac{m}{q}<m$ 从而使 $\frac{1}{q^{n-1}-\frac{m}{q}}<\frac{1}{q^{n-1}-m}$；同时要求 $q>1$ 才能用 $q-1>0$ 除。使用时需注意 n 的取值范围 $n\ge 2$。,p74 大招50 分指结构裂项放缩的证明；建议父级：数列 > 数列求和,c
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,91e0c2ace8-075,MATERIAL,NEW:放缩精度的控制,METHOD_MODEL,放缩精度控制：保留前几项,一边是前 n 项和、另一边是常数时，前面若干项保留精确值、从某项起再放缩，使估计更精确。,整体放缩后与目标差一点、或放缩式对 n=1 不成立（如裂项式要求 n≥2）的数列不等式证明题。,### 为什么要保留前几项\n对于一边是前 n 项和、另一边是常数的数列不等式，通常不必从第一项就开始放缩，而是把前面若干项保留为精确值，从某一项开始放缩，这样对求和那一边的上（下）限估计会更精确。\n\n### 两个典型场景\n1. **放缩过度**：如 $a_n=\frac{1}{5^n+3}$，若直接用 $\frac{1}{5^n+3}<\frac{1}{5^n}$ 求和，得 $S_n<\frac{1}{4}$，而结论要证 $S_n<\frac{7}{40}$，$\frac{1}{4}$ 比 $\frac{7}{40}$ 大，属于放缩过度。此时保留第一项 $a_1$ 不放缩，从第二项开始放缩：$S_n<\frac{1}{8}+(\frac{1}{5^2}+\frac{1}{5^3}+\cdots+\frac{1}{5^n})$，精度提高后即可证得 $\frac{1}{8}+\frac{1}{20}=\frac{7}{40}$。\n2. **放缩式对 n=1 不成立**：根式裂项式只在 $n\ge 2$ 成立时，先验证 $n=1$ 的情形，再从 $n\ge 2$ 起逐项放缩并裂项相消。\n\n### 一般原则\n大多数情况下，数列不等式的放缩都要在保证不等号方向不变的前提下，向能进行数列求和的方向放缩；精度不足时，就多保留前几项精确值。,保留的项数按需确定，保留越多估计越精确但计算量越大；被保留的小下标（如 n=1）必须单独验证；放缩方向与结论方向必须一致，否则保留多少项都无效。,p75 大招50 抗神悄悄话 与 大招示例2、大招示例3；建议父级：数列 > 数列求和,
