subject,slug,name,topic,material_count,tier,note
CHEMISTRY,自然资源的开发利用,自然资源的开发利用,化学必修第二册·第八章·化学与可持续发展·自然资源的开发利用,0,zero,化学必修第二册第八章，块池无对应知识块（只有真题）；待从该章讲义或教材正文补一条材料
BIOLOGY,DNA分子中碱基数量关系,DNA分子中碱基数量关系,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,DNA分子的多样性与特异性,DNA分子的多样性与特异性,生物学必修2·第五六章·变异与进化,1,thin,
BIOLOGY,H和ATP的来源与去向,H和ATP的来源与去向,生物学必修1·第五章·酶与ATP,1,thin,
BIOLOGY,NTP与dNTP家族,NTP与dNTP家族,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,RNA的结构、种类与功能,RNA的结构、种类与功能,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,λ曲线分析,λ曲线分析,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,下丘脑在稳态调节中的作用,下丘脑在稳态调节中的作用,生物学选择性必修1·第一章·内环境与稳态,1,thin,
BIOLOGY,下丘脑的功能,下丘脑的功能,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,交配类型的辨析及应用,交配类型的辨析及应用,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,人工异花传粉的操作流程,人工异花传粉的操作流程,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,人类基因组测序,人类基因组测序,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,从性遗传,从性遗传,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,从性遗传与限性遗传,从性遗传与限性遗传,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,光合作用与化能合成作用的比较,光合作用与化能合成作用的比较,生物学必修1·第五章第四节·光合作用,1,thin,
BIOLOGY,光合作用与细胞呼吸“关键点”的移动,光合作用与细胞呼吸“关键点”的移动,生物学必修1·第五章第三节·细胞呼吸,1,thin,
BIOLOGY,光系统与电子传递链,光系统与电子传递链,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,共同进化,共同进化,生物学必修2·第五六章·变异与进化,1,thin,
BIOLOGY,内环境失衡与人体健康,内环境失衡与人体健康,生物学选择性必修1·第一章·内环境与稳态,1,thin,
BIOLOGY,内环境的理化性质,内环境的理化性质,生物学选择性必修1·第一章·内环境与稳态,1,thin,
BIOLOGY,几丁质,几丁质,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,分子标记与基因定位流程,分子标记与基因定位流程,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,分子标记辅助育种,分子标记辅助育种,生物学选择性必修3·生物技术与工程·基因工程的基本操作程序,1,thin,
BIOLOGY,分泌蛋白的分选（信号肽假说）,分泌蛋白的分选（信号肽假说）,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,化学键与分子间作用力,化学键与分子间作用力,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,反推法（代入法）解选择题,反推法（代入法）解选择题,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,启动子与终止子的辨析,启动子与终止子的辨析,生物学选择性必修3·生物技术与工程·基因工程的基本操作程序,1,thin,
BIOLOGY,四大类生物学物质辨析,四大类生物学物质辨析,生物学必修1·第二章·细胞的分子组成,1,thin,
BIOLOGY,外源基因整合位置的判断,外源基因整合位置的判断,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,姐妹染色单体上等位基因来源的判断,姐妹染色单体上等位基因来源的判断,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,密度制约因素与非密度制约因素,密度制约因素与非密度制约因素,生物学选择性必修2·第一二章·种群与群落,1,thin,
BIOLOGY,常见遗传实验材料及其优点,常见遗传实验材料及其优点,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,干细胞,干细胞,生物学必修1·第六章·细胞的生命历程,1,thin,
BIOLOGY,影响物质跨膜运输的因素,影响物质跨膜运输的因素,生物学必修1·第四章·物质的输入与输出,1,thin,
BIOLOGY,影响物质跨膜运输速率的因素,影响物质跨膜运输速率的因素,生物学必修1·第四章·物质的输入与输出,1,thin,
BIOLOGY,性染色体的传递规律,性染色体的传递规律,生物学必修2·第五六章·变异与进化,1,thin,
BIOLOGY,探究物质跨膜运输方式的实验设计,探究物质跨膜运输方式的实验设计,生物学必修1·第四章·物质的输入与输出,1,thin,
BIOLOGY,教材文字迁移类长句题,教材文字迁移类长句题,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,数列与排列组合在遗传计算中的应用,数列与排列组合在遗传计算中的应用,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,构图法分析复杂文字信息题,构图法分析复杂文字信息题,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,果蝇作为遗传学实验材料的优点,果蝇作为遗传学实验材料的优点,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,核质互作雄性不育与三系法育种,核质互作雄性不育与三系法育种,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,核酸与蛋白质的关系,核酸与蛋白质的关系,生物学必修1·第二章·细胞的分子组成,1,thin,
BIOLOGY,核酸是遗传信息的携带者,核酸是遗传信息的携带者,生物学必修1·第二章·细胞的分子组成,1,thin,
BIOLOGY,概率与统计在生物学中的应用,概率与统计在生物学中的应用,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,母性效应与表型模拟,母性效应与表型模拟,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,气孔开闭的调节因素,气孔开闭的调节因素,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,氧化还原反应与细胞代谢,氧化还原反应与细胞代谢,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,测定光合速率与呼吸速率的常用方法,测定光合速率与呼吸速率的常用方法,生物学必修1·第五章第三节·细胞呼吸,1,thin,
BIOLOGY,物质跨膜运输方式的比较,物质跨膜运输方式的比较,生物学必修1·第四章·物质的输入与输出,1,thin,
BIOLOGY,环境条件突变时C3与C5的变化,环境条件突变时C3与C5的变化,生物学必修2·第五六章·变异与进化,1,thin,
BIOLOGY,生命活动调节实验的设计要点,生命活动调节实验的设计要点,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,生命活动调节方式的三种模型,生命活动调节方式的三种模型,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,生物分子中的酯与芳香族化合物,生物分子中的酯与芳香族化合物,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,生物变异的类型,生物变异的类型,生物学必修2·第五六章·变异与进化,1,thin,
BIOLOGY,生物模型的类型,生物模型的类型,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,目的基因的检测与鉴定,目的基因的检测与鉴定,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,种子萌发过程中有机物的变化,种子萌发过程中有机物的变化,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,种群研究的应用,种群研究的应用,生物学选择性必修2·第一二章·种群与群落,1,thin,
BIOLOGY,端粒与端粒酶,端粒与端粒酶,生物学必修1·第五章·酶与ATP,1,thin,
BIOLOGY,类囊体,类囊体,生物学必修1·第五章第四节·光合作用,1,thin,
BIOLOGY,糖与脂质的转化,糖与脂质的转化,生物学必修1·第二章·细胞的分子组成,1,thin,
BIOLOGY,线粒体和叶绿体的内共生起源学说,线粒体和叶绿体的内共生起源学说,生物学必修1·第三章·细胞结构,1,thin,
BIOLOGY,线粒体遗传的阈值效应,线粒体遗传的阈值效应,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,组织水肿的成因,组织水肿的成因,生物学必修1·第二章·细胞的分子组成,1,thin,
BIOLOGY,细胞不能无限长大的原因,细胞不能无限长大的原因,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,细胞分裂图像的三看法判别,细胞分裂图像的三看法判别,生物学必修1·第六章·细胞的生命历程,1,thin,
BIOLOGY,细胞呼吸的易错辨析,细胞呼吸的易错辨析,生物学必修1·第五章第三节·细胞呼吸,1,thin,
BIOLOGY,细胞坏死与细胞自噬,细胞坏死与细胞自噬,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,细胞自噬,细胞自噬,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,自身免疫病与免疫缺陷病,自身免疫病与免疫缺陷病,生物学选择性必修1·第四章·免疫调节,1,thin,
BIOLOGY,艾滋病（HIV）,艾滋病（HIV）,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,荧光标记技术与原位杂交定位技术,荧光标记技术与原位杂交定位技术,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,蛋白质的盐析变性与水解的辨析,蛋白质的盐析变性与水解的辨析,生物学必修1·第二章·细胞的分子组成,1,thin,
BIOLOGY,蛋白质的磷酸化与去磷酸化,蛋白质的磷酸化与去磷酸化,生物学必修1·第二章·细胞的分子组成,1,thin,
BIOLOGY,表型与基因型的关系,表型与基因型的关系,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,调查人群中的遗传病,调查人群中的遗传病,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,过敏反应,过敏反应,生物学选择性必修1·第四章·免疫调节,1,thin,
BIOLOGY,连锁与互换,连锁与互换,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,连锁互换问题的配子分析,连锁互换问题的配子分析,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,通道蛋白与载体蛋白的辨析,通道蛋白与载体蛋白的辨析,生物学必修1·第四章·物质的输入与输出,1,thin,
BIOLOGY,遗传学基本概念与符号,遗传学基本概念与符号,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,遗传病的检测与预防,遗传病的检测与预防,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,遗传病的检测和预防,遗传病的检测和预防,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,遗传系谱图的符号与书写规范,遗传系谱图的符号与书写规范,生物学必修2·第一章第二节·遗传的基本规律,1,thin,
BIOLOGY,酶的两种抑制机理,酶的两种抑制机理,生物学必修1·第五章·酶与ATP,1,thin,
BIOLOGY,铁死亡,铁死亡,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,长句应答题的作答方法,长句应答题的作答方法,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,雄性不育与自交不亲和,雄性不育与自交不亲和,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,雄性不育的类型,雄性不育的类型,BIOLOGY·综合·综合·综合,1,thin,
BIOLOGY,食物网,食物网,生物学选择性必修2·第三章·生态系统,1,thin,
CHEMISTRY,1-根据的结构特征-预测其可能的化学性质,由官能团预测反应类型,化学必修第二册·第七章·有机化合物,1,thin,
CHEMISTRY,4-溴甲基-1-环己烯的一种合成路线如下,4-溴甲基-1-环己烯的一种合成路线如下：,化学必修第二册·第七章·有机化合物,1,thin,
CHEMISTRY,Al(OH)3沉淀量的计算,Al(OH)3沉淀量的计算,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,AlCl3的结构与性质,AlCl3的结构与性质,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,d2o-h-h-d-h-t-h-三者中的中子数不同,核素与同位素,化学必修第一册·第一章·物质分类与转化,1,thin,
CHEMISTRY,na22,过氧化钠的强氧化性与还原性,化学必修第一册·第二章·钠及其化合物,1,thin,
CHEMISTRY,δh与反应的-可逆性,ΔH与反应的“可逆性”,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,一器多用与多器一用,一器多用与多器一用,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,一种2-甲基色酮内酯-y-可通过下列反应合成,黄鸣龙还原法,化学选择性必修3·有机化学基础·有机合成,1,thin,
CHEMISTRY,一种新型煤气化燃烧集成制氢发生的主要反应如下,一种新型煤气化燃烧集成制氢发生的主要反应如下：,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,一种药物中间体-h-的合成路线如下,一种药物中间体(H)的合成路线如下：,化学必修第二册·第七章·有机化合物,1,thin,
CHEMISTRY,三类漂白剂的区别,三类漂白剂的区别,化学必修第一册·第二章·氯及其化合物,1,thin,
CHEMISTRY,不另加试剂鉴别的两种方法,不另加试剂鉴别的两种方法,CHEMISTRY·综合·实验与方案设计·实验分析,1,thin,
CHEMISTRY,中和滴定的误差分析方法,中和滴定的误差分析方法,化学选择性必修1·第三章·水溶液中的离子平衡,1,thin,
CHEMISTRY,中国古代的冶金化学,中国古代的冶金化学,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,中国古代的酿酒工艺,中国古代的酿酒工艺,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,串联类电化学装置的分析,串联类电化学装置的分析,化学选择性必修1·第四章·电化学,1,thin,
CHEMISTRY,为化学作出贡献的科学家与重大成就,为化学作出贡献的科学家与重大成就,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,主要依据,主要依据,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,主要方法,反应热的计算方法,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,乙烯是石油化工最基本的原料之一,乙烯是石油化工最基本的原料之一。,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,乙酰水杨酸的实验室制备,乙酰水杨酸的实验室制备,CHEMISTRY·综合·实验与方案设计·实验分析,1,thin,
CHEMISTRY,乙酸,乙酸,化学必修第二册·第七章·有机化合物·乙醇与乙酸,1,thin,
CHEMISTRY,乙醇,乙醇,化学必修第二册·第七章·有机化合物·乙醇与乙酸,1,thin,
CHEMISTRY,二氧化氮,二氧化氮,化学必修第二册·第五章·硫氮及其化合物,1,thin,
CHEMISTRY,二氧化硫的实验室制法与SO2和CO2的鉴别,二氧化硫的实验室制法与SO2和CO2的鉴别,化学必修第二册·第五章·硫氮及其化合物,1,thin,
CHEMISTRY,二氧化碳与盐溶液的反应,二氧化碳与盐溶液的反应,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,二氧化碳与碱反应图像题的解题步骤,二氧化碳与碱反应图像题的解题步骤,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,二氧化碳与碱反应的产物判断,二氧化碳与碱反应的产物判断,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,亚硫酸及亚硫酸盐的性质,亚硫酸及亚硫酸盐的性质,化学必修第二册·第五章·硫氮及其化合物,1,thin,
CHEMISTRY,产率的计算,产率的计算,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,产率计算与误差分析,产率计算与误差分析,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,从-定性-和-定量-两个角度理解电离平衡,从“定性”和“定量”两个角度理解电离平衡,化学选择性必修1·第三章·水溶液中的离子平衡·电离平衡,1,thin,
CHEMISTRY,从溶液中获取晶体的方法,从溶液中获取晶体的方法,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,以fe3o4为原料炼铁-主要发生如下反应,Fe3O4与稀硝酸、氢碘酸的反应,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,仪器的安装与连接顺序,仪器的安装与连接顺序,CHEMISTRY·综合·实验与方案设计·实验分析,1,thin,
CHEMISTRY,仪器的洗涤,仪器的洗涤,CHEMISTRY·综合·实验与方案设计·实验分析,1,thin,
CHEMISTRY,仪器的洗涤与洗净标准,仪器的洗涤与洗净标准,CHEMISTRY·综合·实验与方案设计·实验分析,1,thin,
CHEMISTRY,仪器的连接与组装原则,仪器的连接与组装原则,CHEMISTRY·综合·实验与方案设计·实验分析,1,thin,
CHEMISTRY,价态规律及其应用,价态规律及其应用,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,传统文化类试题的解题三步曲,传统文化类试题的解题三步曲,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,传统文化类试题的解题方法,传统文化类试题的解题方法,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,依据元素及其化合物性质推断元素,依据元素及其化合物性质推断元素,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,依据化学方程式的计算,依据化学方程式的计算,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,信息型氧化还原方程式的书写,信息型氧化还原方程式的书写,化学必修第一册·第一章·离子反应与氧化还原,1,thin,
CHEMISTRY,元素推断的常用方法,元素推断的常用方法,化学必修第一册·第四章·物质结构元素周期律,1,thin,
CHEMISTRY,先后规律及其应用,先后规律及其应用,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,六种盐溶液蒸干后产物的判断,六种盐溶液蒸干后产物的判断,化学选择性必修1·第三章·水溶液中的离子平衡,1,thin,
CHEMISTRY,六种表示物质变化的方程式,六种表示物质变化的方程式,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,写出除去下列固体粉末中混有杂质-括号内为杂质-可采取的方法-写出有关反应的方程式,固体混合物的除杂方法,化学必修第二册·第五章第三节·无机非金属材料·反应热的计算,1,thin,
CHEMISTRY,分子-离子-的空间结构判断易混易错点,分子（离子）的空间结构判断易混易错点,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,分子的手性与对映异构体,分子的手性与对映异构体,化学选择性必修2·物质结构与性质·分子的空间结构,1,thin,
CHEMISTRY,分子的手性与手性碳原子,分子的手性与手性碳原子,化学选择性必修2·物质结构与性质·分子的空间结构,1,thin,
CHEMISTRY,分子空间构型,分子空间构型,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,分析图像书写热化学方程式,分析图像书写热化学方程式。,化学必修第二册·第六章·化学反应与能量,1,thin,
CHEMISTRY,分步法书写陌生非氧化还原方程式,分步法书写陌生非氧化还原方程式,化学必修第一册·第一章·离子反应与氧化还原,1,thin,
CHEMISTRY,分液漏斗的使用,分液漏斗的使用,CHEMISTRY·综合·实验与方案设计·实验分析,1,thin,
CHEMISTRY,分阶段电解的计算与溶液复原,分阶段电解的计算与溶液复原,化学选择性必修1·第四章·电化学,1,thin,
CHEMISTRY,分阶段电解的计算技巧,分阶段电解的计算技巧,化学选择性必修1·第四章·电化学,1,thin,
CHEMISTRY,利用平衡移动原理解释问题的思维模板,利用平衡移动原理解释问题的思维模板,化学选择性必修1·第二章·化学平衡,1,thin,
CHEMISTRY,利用平衡移动原理解释问题的答题模板,利用平衡移动原理解释问题的答题模板,化学选择性必修1·第二章·化学平衡,1,thin,
CHEMISTRY,制作一个氢氧燃料电池,制作一个氢氧燃料电池。,化学必修第一册·第三章·铁与金属材料,1,thin,
CHEMISTRY,制备原料,制备原料,化学必修第一册·第二章·钠及其化合物,1,thin,
CHEMISTRY,化合态,化合态,化学必修第一册·第一章·物质分类与转化,1,thin,
CHEMISTRY,化学与医药的常考常识,化学与医药的常考常识,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,化学与技术中的重要应用,化学与技术中的重要应用,化学必修第二册·第八章·化学与可持续发展,1,thin,
CHEMISTRY,化学与材料的分类,化学与材料的分类,化学必修第二册·第八章·化学与可持续发展,1,thin,
CHEMISTRY,化学与环境问题,化学与环境问题,化学必修第二册·第八章·化学与可持续发展,1,thin,
CHEMISTRY,化学与营养及常见的食品添加剂,化学与营养及常见的食品添加剂,CHEMISTRY·综合·综合·综合,1,thin,
CHEMISTRY,化学反应方向的传统判断方法,化学反应方向的传统判断方法,CHEMISTRY·综合·综合·综合,1,thin,
