subject,material,material_title,current_node_slug,current_node_name,title_matches_node,note
MATH,math-duichenhua-gouzaofa,极值点偏移的对称化构造法,极值点偏移问题,极值点偏移问题,极值点偏移的对称化构造法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-kb-geometric-mean-term,等比中项,等比数列的有关公式,等比数列的有关公式,等比中项,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-kb-geometric-proof-methods,等比数列的判断与证明方法,等比数列的通项,等比数列的通项,等比数列的判断与证明方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-kb-analytic-expression-methods,求函数解析式的常用方法,换元法-主要用于解决已知的解析式-求函数的解析式的问题,换元法,求函数解析式的常用方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-kb-fibonacci-sequence-properties,斐波那契数列,应用等比数列性质解题时的2个注意点,应用等比数列性质解题时的2个注意点,斐波那契数列,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-kb-equal-angle-theorem-space,等角定理,空间向量的有关定理,空间向量的有关定理,等角定理,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-kb-coordinate-system-setup-principle,空间直角坐标系的建立原则,空间向量数量积的坐标表示及其应用,空间向量数量积的坐标表示及其应用,空间直角坐标系的建立原则,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-fuzhujiao-gongshi,辅助角公式,二倍角公式,二倍角公式,辅助角公式,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-banjiao-gongshi,半角公式,二倍角公式,二倍角公式,半角公式,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-dian-yu-yuan-weihi,点与圆的位置关系,直线与圆的位置关系,直线与圆的位置关系,点与圆的位置关系,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-xianchang-gongshi-yuanzhui,圆锥曲线的弦长公式,圆锥曲线的综合问题,圆锥曲线的综合问题,圆锥曲线的弦长公式,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-s15-chain,均值不等式链,绝对值不等式,绝对值不等式,均值不等式链,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-s43-auxiliary-angle,辅助角公式,二倍角公式,二倍角公式,辅助角公式,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-s44-half-angle,半角公式,二倍角公式,二倍角公式,半角公式,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-hj-s65-sum-reverse,倒序相加法,逆序相加法求数列的前n项和,逆序相加法求数列的前n项和,倒序相加法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-fx-qingxiejiao-xielv-gainian,直线的倾斜角与斜率,忽视异面直线的夹角与向量的夹角范围不同,忽视异面直线的夹角与向量的夹角范围不同,直线的倾斜角与斜率,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-fx-dian-yu-yuan-weizhi,点与圆的位置关系,直线与圆的位置关系,直线与圆的位置关系,点与圆的位置关系,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-fx-meinilaosi-saiva-dingli,梅涅劳斯定理与塞瓦定理,向量共线定理,向量共线定理,梅涅劳斯定理与塞瓦定理,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
MATH,math-mo-shanxing-huchang-mianji,扇形的弧长与面积公式,三角形面积公式,三角形面积公式,扇形的弧长与面积公式,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,ext-bio-636de2a928-021,从性遗传与限性遗传,分离定律的特殊类型,分离定律的特殊类型,从性遗传与限性遗传,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
BIOLOGY,ext-bio-94a83ecf21-003,自身免疫病与免疫缺陷病,免疫失调,免疫失调,自身免疫病与免疫缺陷病,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-voltvolt-method,伏伏法测电阻,路端电压与外电阻的关系,路端电压与外电阻的关系,伏伏法测电阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-ampamp-method,安安法测电阻,特点-整个导体回路的电阻一般很小-感应电流很大-故金属块的发热功率很大,涡流的特点与能量转化,安安法测电阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-kb-newton-second-law,牛顿第二定律,牛顿第二定律的理解-五性,牛顿第二定律的理解：“五性”,牛顿第二定律,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-kb-satellite-chase-encounter,卫星的追及与相遇问题,追及相遇问题的实质及分析思路,追及相遇问题的实质及分析思路：,卫星的追及与相遇问题,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-kb-series-parallel-rules,串并联电路的规律,匀变速直线运动的规律,匀变速直线运动的规律,串并联电路的规律,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-kb-circuit-dynamic-analysis,电路动态分析的方法,平行板电容器的动态分析问题的两种情况,平行板电容器的动态分析问题的两种情况,电路动态分析的方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-kb-oscillation-symmetry,简谐运动的对称性,运动的对称性,运动的对称性,对称性,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-062-motion-composition-properties,合运动与分运动的关系,核心处理思想-运动的合成与分解-约束条件,核心处理思想：运动的合成与分解 + 约束条件：,合运动与分运动的关系,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-167-circuit-dynamic-methods,电路动态分析的方法,平行板电容器的动态分析问题的两种情况,平行板电容器的动态分析问题的两种情况,电路动态分析的方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-169-micrometer-reading,螺旋测微器的原理与读数,必备实验仪器的原理及使用,必备实验仪器的原理及使用,螺旋测微器的原理与读数,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-032-newton-second-law,牛顿第二定律,如果要列出各物理量在某一时刻的关系式-可用牛顿第二定律,力学规律的选用策略,牛顿第二定律,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-173-resistivity-exp-notes,测量金属丝电阻率的注意事项,注意事项-x1,热学实验的注意事项,测量金属丝电阻率的注意事项,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-182-volt-volt-method,伏伏法测电阻,路端电压与外电阻的关系,路端电压与外电阻的关系,伏伏法测电阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-183-amp-amp-method,安安法测电阻,特点-整个导体回路的电阻一般很小-感应电流很大-故金属块的发热功率很大,涡流的特点与能量转化,安安法测电阻,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-189-multimeter-usage,多用电表的使用方法,利用电场线和等势面解决带电粒子运动问题的方法,利用电场线和等势面解决带电粒子运动问题的方法,多用电表的使用方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj-191-magnetic-field-line-features,磁感线的特点,波动图象的特点,波动图象的特点,磁感线的特点,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-tanhuang-shiyan-yuanli-buzhou,探究弹簧弹力与形变量关系的实验,探究结果-胡克定律-x为形变量,探究结果：胡克定律（x为形变量）,探究弹簧弹力与形变量关系的实验,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-weixing-zhuiji-xiangyu,卫星的追及与相遇问题,追及相遇问题的实质及分析思路,追及相遇问题的实质及分析思路：,卫星的追及与相遇问题,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-youbmogu-shiyan-yuanli,用油膜法估测油酸分子的大小,物体看作质点的条件-物体的大小和形状对研究问题的影响可以忽略,物体看作质点的条件,用油膜法估测油酸分子的大小,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-dianlu-dongtai-fenxi,电路动态分析的方法,平行板电容器的动态分析问题的两种情况,平行板电容器的动态分析问题的两种情况,电路动态分析的方法,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-luoxuan-ceweiqi-dushu,螺旋测微器的原理与读数,必备实验仪器的原理及使用,必备实验仪器的原理及使用,螺旋测微器的原理与读数,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-heyundong-fenyundong-guanxi,合运动与分运动的关系,核心处理思想-运动的合成与分解-约束条件,核心处理思想：运动的合成与分解 + 约束条件：,合运动与分运动的关系,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
PHYSICS,phys-hj2-pingpao-jieti-silu,平抛运动问题的解题思路,等效法求解电场中圆周运动问题的解题思路,等效法求解电场中圆周运动问题的解题思路,平抛运动问题的解题思路,材料标题与另一节点同名；需裁定是否改绑（上位概念收下位材料属合法）
