subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-kb2-07-transport-modes-compare,自由扩散,REBIND,物质跨膜运输方式的比较,材料按是否需转运蛋白、是否耗能与顺逆浓度三维并行比较自由扩散与协助扩散、主动运输、胞吞胞吐四类方式并举红细胞与小肠上皮细胞吸收葡萄糖说明同一物质在不同细胞中方式不同；候选边界正是这三维度与「同一物质在不同细胞中运输方式可能不同」；现挂「自由扩散」只收该方式本身的定义与影响因素
BIOLOGY,ext-bio-e3a300b276-011b,遗传病的检测和预防,REBIND,遗传病的检测与预防,材料讲遗传咨询与产前诊断的手段及B超查外观性别、羊水查染色体、血细胞筛地中海贫血、基因检测查基因病的手段对应关系；候选边界正是「各类手段的适用范围不能张冠李戴」；两节点是同一知识点的重复节点且同名材料《遗传病的检测与预防手段》已挂候选节点
CHEMISTRY,chem-hj-kongjian-liyonglv-jisuan,化学反应速率的计算方法,REBIND,晶胞空间利用率的计算,材料讲空间利用率等于晶胞内粒子总体积比晶胞体积、先数粒子再算体积及体心立方约68%与面心立方约74%；候选边界正是「先把微粒半径 r 与晶胞棱长的关系找对」；现挂「化学反应速率的计算方法」讲反应速率三段式与速率换算、与晶胞计算无关
CHEMISTRY,chem-kb-ionization-constant-concept,常温下-几种弱酸的电离平衡常数如下表所示,REBIND,电离平衡常数,材料讲电离平衡常数的定义式、只与温度有关与多元弱酸分步电离及K越大酸性越强；候选边界正是「K只随温度改变、稀释或加同离子都不会改变K」；现挂「弱酸电离常数的应用」收的是用常数表比较弱电解质强弱与分析电离度等应用
CHEMISTRY,ext-che-1422ee20c2-005,气体制备,REBIND,装置气密性的检查方法,材料整篇讲微热法、液差法、滴液法、抽气吹气法、分段法与量气法的操作与现象；候选边界正是「描述现象必须写清是否形成稳定的液柱或液面差」；现挂「气体制备」边界自限「范围限定气体物质的制备层面」
CHEMISTRY,ext-che-4aca25a694-004,水电离出的c(H+)（或c(OH-)）的计算,REBIND,水电离出的离子浓度的计算,材料讲25℃时由水电离出的c(H+)或c(OH-)三种情形算法（酸碱取小值、可水解盐取大值）；候选边界正是「酸碱溶液中不能把溶液中总c(H+)当作水电离出的浓度」；两节点为同一知识点的重复节点且材料标题即候选节点名
CHEMISTRY,ext-che-91f4672bad-011,有关物质的量浓度的计算,REBIND,溶液稀释与混合的计算,材料四节讲稀释守恒、同溶质混合式、电荷守恒与等质量等体积混合的质量分数规律；候选边界正是「等体积混合须结合密度判断质量分数偏向、稀释时体积守恒是错误前提」；现挂「有关物质的量浓度的计算」边界只列定义式守恒、气体溶于水与质量分数换算三项
CHEMISTRY,ext-che-ce1fbc591e-005,极端假设法确定浓度范围,REBIND,极端假设法确定可逆反应的浓度范围,材料讲把可逆反应分别假设向右与向左进行到底求极限、真实平衡值落在两极限之间且完全转化的端点取不到；候选边界正是「双向极值都要假设、平衡值不能取完全转化的端点」；现挂与候选为同名变体的重复节点
PHYSICS,ext-phy-1f062f3888-007,电路动态分析的方法,REBIND,电路动态分析的三种方法,材料讲电路动态分析的程序法、结论法（串反并同）与极限法三种方法；候选边界正是「串反并同以内阻不为零为前提、程序法要求每一步推理有依据」；现挂「电路动态分析的方法」与候选为同一知识点的重复节点
PHYSICS,ext-phy-3628073593-009,动量定理,REBIND,用动量定理解释两类现象,材料讲动量变化量一定时时间越短力越大与作用力一定时时间越长动量变化越大两类现象及缓冲装置延长作用时间的原理；候选边界正是「先判断哪个量保持不变、不要把延长作用时间说成减小冲量」；现挂「动量定理」边界讲冲量与动量变化量的矢量关系、其应用类材料按库内惯例归位同名节点
