chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-071,MATERIAL,能垒与决速步骤,METHOD_MODEL,活化能与决速步的读图法,由相对能量—反应历程图读出各步活化能并确定总反应的决速步。,给出反应历程的相对能量曲线，要求判断吸放热、算活化能、找决速步或数基元反应数目。,**看爬坡高度判活化能**：活化能是过渡态（TS）的能量与它前面那个反应物（或中间体）能量之差。某一步的坡越高，该步活化能越大，该步反应速率越小。\n**判决速步**：整条历程中能垒最高（爬坡最高）的那一步就是决速步，总反应的速率主要由它决定。若最高能垒落在第Ⅲ段历程中，则总反应的决速步包含在反应Ⅲ中。\n**算活化能**：$E_a=$ 过渡态能量 $-$ 该步反应物能量。例如图中 TS5→TS6 一步，$E_a=3.39\ \mathrm{eV}-0.70\ \mathrm{eV}=2.69\ \mathrm{eV}$。\n**判反应热**：看反应物与生成物位置的相对高低，由低到高为吸热，由高到低为放热。,活化能只能在同一张能量图、同一能量标度下比较，不同图或不同步的活化能不能直接比大小；决速步只由最大能垒决定，与总反应放热多少无关；判反应热要看整段的始终态而不是某一步。,p71 示例2 解析,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-071,MATERIAL,基元反应,METHOD_MODEL,由能量图数基元反应数目,历程图上每出现一个过渡态就对应一个基元反应，两过渡态之间是中间体。,判断某一段历程包含几个基元反应、某物种是不是中间产物、速率方程幂指数是否等于计量数。,**判据**：在相对能量—反应历程图上，每出现一个能量峰（过渡态 TS）就对应一个基元反应；两个过渡态之间能量较低的平台所对应的物种是中间体，不是过渡态。\n**用法**：数某一段历程中峰（TS）的个数，即为该段的基元反应数目。例如由 $\mathrm{Ca_3ON_2H_2(s)}$ 生成 $2\mathrm{CaN(s)}+\mathrm{H_2O(g)}$ 时经历了 TS6、TS7 两个过渡态，说明该反应分两步进行，包含 2 个基元反应。\n**配套结论**：只有基元反应的速率方程中，各物质的幂指数才等于其化学计量数；多步反应的总速率由最慢的一步（决速步）决定。,总反应方程式本身看不出基元反应数目，必须结合历程图或机理信息；中间体的能量高于反应物但低于过渡态，不要与催化剂（在循环中被再生）混淆；若干步合并写在一条方程式里时，过渡态个数不等于方程式的个数。,p71 示例2 解析,b
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-072,MATERIAL,催化剂与反应历程,METHOD_MODEL,循环机理图中催化剂与中间体的判断,闭合循环机理图中先消耗后再生的是催化剂，环上其余物种是中间产物。,给出催化循环机理图，要求判断催化剂、中间产物、总反应的反应物与生成物、原子利用率。,**催化剂**：在循环图中与反应物一起被消耗、又在后续步骤中一起被生成的物质是催化剂。\n**中间产物**：环上的物质中，除催化剂外的其余物种都是中间产物。\n**总反应物与生成物的判断**：把循环中各步加和，消去中间产物和催化剂，再看哪些物质只进不出——它们是总反应的反应物；只出不进的则是总反应的生成物。\n**应用示例**：以钛掺杂沸石为催化剂、由丙烯与 $\mathrm{H_2O_2}$ 制环氧丙烷，循环中丙烯与 $\mathrm{H_2O_2}$ 只进不出，为反应物；环氧丙烷与 $\mathrm{H_2O}$ 只出不进，为生成物，总反应为 丙烯 + $\mathrm{H_2O_2}$ 生成环氧丙烷 + $\mathrm{H_2O}$。由于体系中还存在 $\mathrm{H_2O_2}$ 的分解反应，故原子利用率小于 100%。,催化剂不是凭空消失，它总是被消耗又被再生；中间产物不参与再生步骤，二者不能互换；加和消元要求循环是闭合的，若消不掉某个物种说明还有步骤未写出；判断原子利用率时必须考虑副反应（如过氧化氢分解），不能只看主反应。,p72 示例3 解析,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-072,MATERIAL,物质变化过程中的化学键变化,METHOD_MODEL,反应中键的断裂与形成类型判断,由反应物与生成物的结构判断过程中断裂、形成了哪些极性键或非极性键。,结合催化机理图或结构简式，判断某过程断裂或形成的是极性键还是非极性键、中心元素化合价是否改变。,**判断步骤**：\n1. 写出反应物与生成物的结构式，找出被破坏的键与被新建的键；\n2. 同种元素原子之间形成的键为非极性键（如 $\mathrm{H_2O_2}$ 中的 O—O 键、$\mathrm{O_2}$ 中的 O—O 键）；不同种元素原子之间形成的键为极性键（如 O—H 键、O—C 键）；\n3. 逐条对应陈述：原有的某种键断裂，同时新形成了某种键。\n**示例**：某催化氧化过程中存在 $\mathrm{H_2O_2}$ 中 O—O 非极性键的断裂，以及 $\mathrm{O_2}$ 中非极性键的形成；还存在 $\mathrm{H_2O_2}$ 中 O—H 极性键的断裂，以及环氧丙烷中 O—C 极性键的形成。\n**配位键的判断**：中心原子与配体形成配位键只是配位作用，成键前后中心元素的化合价不变。,极性键与非极性键只由成键原子是否同种元素决定，与键的强弱、反应难易无关；形成配位键时中心元素化合价不变（如 Ti 始终为 +4），不要因为成键数目增多而误判化合价升高；判断时必须以结构式为依据，不能凭反应物类别猜测。,p72 示例3 解析,b
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-073,MATERIAL,速率常数和速率方程,METHOD_MODEL,速率方程与速率常数的三种考法,正逆速率方程的写法以及由实验数据求幂指数、由平衡关系求速率常数之比。,给出正逆速率方程或实验数据表，要求求幂指数、比较速率常数、判断速率与平衡常数的关系。,**表达式**：对 $aA(g)+bB(g)\rightleftharpoons cC(g)+dD(g)$，有 $v_正=k_正\cdot c^a(A)\cdot c^b(B)$，$v_逆=k_逆\cdot c^c(C)\cdot c^d(D)$，其中 $k_正$、$k_逆$ 称为速率常数。\n**三条常考结论**：\n1. **求幂指数**：把各组实验数据代入速率方程，整理、消元、解方程，求出各物质的幂指数（只有基元反应的幂指数才等于化学计量数）；\n2. **速率常数与平衡常数**：达到平衡时 $v_正=v_逆$，即 $k_正\cdot c^a(A)c^b(B)=k_逆\cdot c^c(C)c^d(D)$，故 $\frac{k_正}{k_逆}=\frac{c^c(C)c^d(D)}{c^a(A)c^b(B)}=K$；\n3. **速率与 K、Q 的关系**：$\frac{v_正}{v_逆}=\frac{k_正}{k_逆}\cdot\frac{c^a(A)c^b(B)}{c^c(C)c^d(D)}=\frac{K}{Q}$。,速率方程必须由实验测定，不能由总反应方程式直接写出；k 只与温度（和活化能）有关，与浓度、压强无关；比较正逆速率时两边必须用同一浓度或压强定义，气相用分压时对应 Kp。,p73 大招18 大招解读,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-073,MATERIAL,平衡常数与速率常数的有关计算,METHOD_MODEL,由K与Q计算正逆速率之比,同一温度下正逆反应速率之比等于K与Q之比，可据此比较正逆速率并判断反应方向。,已知平衡常数或正逆速率常数，要求比较某时刻 v正 与 v逆 的大小、求 v正/v逆 的题目。,**核心关系**：$\frac{v_正}{v_逆}=\frac{K}{Q}$，其中 $Q$ 为浓度商，写法与 $K$ 完全相同，但代入的是瞬时浓度（或瞬时分压）。\n- 平衡时 $Q=K$，故 $v_正=v_逆$；\n- 反应正向进行时 $Q<K$，则 $v_正>v_逆$；\n- 反应逆向进行时 $Q>K$，则 $v_正<v_逆$。\n**计算思路**：先用三段式求出该时刻各物质的量并换算成浓度，写出浓度商 $Q$，再由 $\frac{v_正}{v_逆}=\frac{K}{Q}$ 求比值。例如某时刻 $Q=\frac{4}{9}$、$K=1$ 时，$\frac{v_正}{v_逆}=\frac{9}{4}$。\n**配套关系**：由 $v_正=v_逆$ 可得 $\frac{k_正}{k_逆}=K$，即 $lg k_正-lg k_逆=lg K$，可用来比较不同温度下速率常数的相对大小。,K 只随温度改变而 Q 随瞬时浓度改变，两者不能混用；该关系要求正逆速率方程的形式与 K 的表达式一一对应，纯固体、纯液体不写入表达式；Q 必须用同一时刻的各物质浓度计算。,p73 大招18 大招解读,b
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-074,MATERIAL,NEW:阿伦尼乌斯公式,METHOD_MODEL,阿伦尼乌斯公式与lnk–1/T图像,速率常数随温度变化的定量规律以及把公式化成直线读斜率的方法。,给出 ln k 与 1/T 的图像或速率常数随温度变化的数据，要求判断活化能大小、曲线归属或温度对速率的影响程度。,**公式**：$k=A\cdot e^{-E_a/(RT)}$，其中 $A$ 为指前因子，$R$ 为常数，$T$ 为热力学温度，$E_a$ 为活化能。\n**线性化**：两边取自然对数得 $\ln k=-\frac{E_a}{R}\cdot\frac{1}{T}+C$，以 $\ln k$ 对 $\frac{1}{T}$ 作图是一条直线，斜率 $=-\frac{E_a}{R}<0$（$R$、$C$ 为常数）。\n**三条结论**：\n1. $\frac{1}{T}$ 越大（即温度越低），$k$ 越小；\n2. $E_a$ 越大，直线的斜率绝对值越大，曲线越陡；\n3. $k$ 只与 $E_a$、$T$ 有关，改变浓度、压强不改变 $k$。\n**解题用法**：同一反应正逆方向的 $\ln k-\frac{1}{T}$ 直线画在同一图中时，越陡的一方活化能越大；再结合 $\Delta H=E_a(正)-E_a(逆)$ 的正负判断哪条曲线属于正反应。,只反映速率常数与温度、活化能的关系，不能用它判断浓度、压强对速率的影响；读图前必须确认横坐标是 1/T 还是 T，横坐标不同斜率的含义相反；A 视为常数，仅适用于温度变化范围不大的情形。,p74 大招18 大招解读（续表）｜建议父级：专题六 化学反应速率与化学平衡,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-074,MATERIAL,活化能,METHOD_MODEL,由ΔH判断正逆反应活化能大小,用 ΔH=Ea正减Ea逆 比较正逆方向的活化能并判断升温对正逆速率的影响程度。,判断吸放热与活化能大小的对应关系、比较升温后 k正 与 k逆 的增大程度、结合 ΔG 判断反应自发性的题目。,**核心关系**：$\Delta H=E_a(正)-E_a(逆)$。\n- 若 $\Delta H<0$（放热反应），则 $E_a(正)<E_a(逆)$；\n- 若 $\Delta H>0$（吸热反应），则 $E_a(正)>E_a(逆)$。\n**升温的影响**：升温时 $k_正$、$k_逆$ 都增大，但活化能大的一方增大得更多。所以放热反应升温时 $k_逆$ 增大更快，平衡逆向移动；吸热反应升温时 $k_正$ 增大更快，平衡正向移动。\n**与自发性联用**：先由反应前后气体物质的量的变化判断 $\Delta S$ 的正负，再由 $\Delta G=\Delta H-T\Delta S<0$ 判断反应能否自发，从而反推 $\Delta H$ 的正负，再推出活化能的大小关系。,该关系只在同一反应（同一历程）的正逆方向之间比较时成立，不能跨反应比较；$\Delta H$ 是总反应的热效应，而活化能对应的是某一步骤，多步反应中不能用总 ΔH 直接去比某一步的活化能；升温使 k 增大的结论不改变 K 只由温度决定这一点。,p74 示例1 解析,b
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-074,MATERIAL,速率常数和速率方程,METHOD_MODEL,由实验数据求速率方程的幂指数,用控制变量比较倍数的方法求出速率方程中各物质浓度或分压的幂指数。,给出几组分压浓度与对应速率的实验数据表，要求确定速率方程幂指数的题目。,**方法（控制变量比倍数）**：保持其他物质的分压不变，只把某一种物质的分压变为原来的 $k$ 倍，若速率变为原来的 $k^m$ 倍，即可解出该物质的幂指数 $m$。\n**示例思路**：实验1、2 中 $p(NO_2)$ 由 $x$ 变为 $2x$，速率由 $a$ 变为 $4a$；由 $a=k_1x^m$ 与 $4a=k_1(2x)^m$ 相除得 $4=2^m$，故 $m=2$。实验3、4 中 $p(N_2O_4)$ 由 $y$ 变为 $2y$，速率由 $b$ 变为 $2b$，得 $2=2^n$，故 $n=1$。\n**结论**：$v_正=k_1\cdot p^2(NO_2)$，$v_逆=k_2\cdot p(N_2O_4)$；达到平衡时 $v_正=v_逆$，可得 $\frac{k_1}{k_2}=\frac{p(N_2O_4)}{p^2(NO_2)}=K$。这里的 $p$ 表示分压，故得到的 $K$ 是 $K_p$。,幂指数必须由实验数据确定，不能照抄化学计量数；比倍数时要保证其他物质的分压（浓度）不变、温度相同；求出的 n=0 表示该物质不影响速率，不能理解为该物质不参与反应。,p74 示例1 解析,c
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-075,MATERIAL,活化能,METHOD_MODEL,lnk与1/T图判活化能和吸放热,先用 1/T 越大 k 越小排除错误直线，再用 ΔH 与活化能的关系确定正确曲线。,给出同一反应正逆方向的若干条 lnk 与 1/T 直线并标号，要求选出符合某一方向变化的曲线。,**读图三步**：\n1. $\frac{1}{T}$ 越大，$k$ 越小，故 $k_正$、$k_逆$ 都随 $\frac{1}{T}$ 增大而减小，斜率为正的直线直接排除；\n2. 由 $\Delta H=E_a(正)-E_a(逆)$ 判断正逆方向活化能的大小：已知放热即 $\Delta H<0$，则 $E_a(正)<E_a(逆)$；\n3. 斜率绝对值越大表示 $E_a$ 越大、曲线越陡，据此把剩下的直线与正反应、逆反应一一对应。\n**典型示例**：反应 $CO(g)+H_2O(g)\rightleftharpoons CO_2(g)+H_2(g)$ 的 $\Delta H<0$，四条曲线中斜率为正的排除；因 $\Delta H<0$ 得 $E_a(正)<E_a(逆)$，逆反应的活化能更大、直线更陡，故最陡的那条曲线对应 $\ln k_逆$ 随 $\frac{1}{T}$ 的变化。,必须先从 ΔH 的正负确定正逆方向活化能谁大，再比较陡峭程度，不能只凭斜率为负就下结论；横坐标是 1/T 时斜率越负代表 Ea 越大，若横坐标换成 T 则结论相反；只能比较同一张图中同一反应的正逆曲线。,p75 示例2 解析,
