subject,slug,prerequisite
BIOLOGY,atp的合成和利用,atp的结构
BIOLOGY,dna的双螺旋结构,dna是主要的遗传物质
BIOLOGY,dna的复制,dna的双螺旋结构
BIOLOGY,dna的复制,dna的结构及特点
BIOLOGY,dna连接酶,dna的结构及特点
BIOLOGY,主动运输的类型,主动运输
BIOLOGY,伴性遗传的特点及应用,伴性遗传
BIOLOGY,光反应,光合作用
BIOLOGY,光合作用的原理,光合作用
BIOLOGY,光合作用的影响因素,光合作用的原理
BIOLOGY,免疫学的应用,免疫失调
BIOLOGY,免疫学的应用,免疫系统
BIOLOGY,兴奋在神经纤维上的传导,兴奋的产生和传导
BIOLOGY,内环境的稳态,内环境
BIOLOGY,分离定律的特殊类型,分离定律
BIOLOGY,原核细胞和真核细胞,原核细胞
BIOLOGY,反射弧,反射
BIOLOGY,四分体,同源染色体
BIOLOGY,基因在染色体上,基因
BIOLOGY,基因工程,基因型-表型的推断
BIOLOGY,基因工程,基因的本质
BIOLOGY,基因的表达,基因的本质
BIOLOGY,基因突变与细胞癌变,基因突变
BIOLOGY,基因编辑,基因突变与细胞癌变
BIOLOGY,抗体,抗原
BIOLOGY,有氧呼吸的过程分析,有氧呼吸
BIOLOGY,核苷酸,核酸
BIOLOGY,核酸是由核苷酸连接而成的长链,核酸
BIOLOGY,植物组织培养,植物生长调节剂
BIOLOGY,渗透压,渗透作用
BIOLOGY,激素调节的特点,激素
BIOLOGY,生态工程,生态系统的稳定性
BIOLOGY,生态系统的稳定性,生态系统的结构
BIOLOGY,生长素的两重性,生长素
BIOLOGY,生长素的两重性,生长素的极性运输
BIOLOGY,神经系统的分级调节,神经系统的结构
BIOLOGY,神经系统的结构,神经调节的结构基础
BIOLOGY,神经递质,神经调节的结构基础
BIOLOGY,种群数量的变化,种群密度
BIOLOGY,种群的数量变化,种群的数量特征
BIOLOGY,种群的数量特征,种群的特征
BIOLOGY,糖与脂质的转化,糖类
BIOLOGY,糖类和脂肪的转化,糖类
BIOLOGY,细胞中的化合物,细胞中的元素
BIOLOGY,细胞呼吸原理的应用,细胞呼吸概念-实质和意义
BIOLOGY,细胞呼吸的影响因素及应用,细胞呼吸概念-实质和意义
BIOLOGY,细胞核的结构和功能,细胞学说
BIOLOGY,细胞膜的结构和功能,细胞的统一性
BIOLOGY,细胞融合,细胞膜的结构和功能
BIOLOGY,群落的演替,群落的结构
BIOLOGY,蛋白质工程,蛋白质
BIOLOGY,蛋白质工程,蛋白质的基本单位-氨基酸
BIOLOGY,蛋白质的结构及其多样性,蛋白质的基本单位-氨基酸
BIOLOGY,食物网,食物链
CHEMISTRY,二氧化硫的尾气处理,二氧化硫
CHEMISTRY,催化剂与反应历程,催化剂与化学反应
CHEMISTRY,元素周期律的内容及实质,元素周期表
