subject,slug,name,action,materials,prefix_len,body_len,evidence_path,current_boundary
MATH,函数图象的翻折变换,函数图象的翻折变换,补全尾（有材料证据）,4,130,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\01_MATH_函数图象的翻折变换.md,定位：数学必修第一册 第三章。两种翻折的对象不要记反：$|f(x)|$ 只改变原来在 $x$ 轴下方的部分（沿 $x$ 轴向上翻），$f(|x|)$ 只改变原来在 $y$ 轴左侧的部分（沿 $y$ 轴翻到右侧）；翻折后被替换的原图部分必须去掉，不能与新图叠加；$f(|x
MATH,函数图象的识别,函数图象的识别,补全尾（有材料证据）,3,131,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\02_MATH_函数图象的识别.md,定位：数学必修第一册 第三章。判断奇偶性前必须先看定义域是否关于原点对称；用特殊值排除时该点必须在定义域内且函数值符号能被唯一确定；注意 $\sin 3$、$\cos 3$ 等角的三角函数值符号（3 弧度在第二象限）；变化趋势要看 $x\to+\infty$ 与 $x\
MATH,三角函数放缩不等式,三角函数放缩不等式,补全尾（有材料证据）,8,124,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\03_MATH_三角函数放缩不等式.md,定位：数学必修第一册 第五章。三角放缩都有区间限制，$x<0$ 时 $\sin x$ 与 $x$ 的大小关系与 $x>0$ 时相反，用错方向会使结论反向；$\tan x$ 在 $x=\frac{\pi}{2}$ 处无定义，讨论区间必须在 $(0$，$\frac{\pi}
MATH,解三角形中的最值与范围问题,解三角形中的最值与范围问题,补全尾（有材料证据）,11,128,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\04_MATH_解三角形中的最值与范围问题.md,定位：数学必修第一册 第五章。三类方法的选用要由条件的形态决定：条件里只有“和与积”关系时用基本不等式（须验证取等条件可实现）；化为角的函数后若出现 $\sin\theta$ 与 $\frac{1}{\sin\theta}$ 同现，用对勾函数单调性；若化为 $A\sin
MATH,半角公式与万能公式,半角公式与万能公式,补全尾（有材料证据）,2,119,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\05_MATH_半角公式与万能公式.md,定位：数学必修第一册 第五章。半角公式开方前必须由 $\frac{\alpha}{2}$ 所在象限定符号，这是最常见的错点；$\tan\frac{\alpha}{2}=\frac{\sin\alpha}{1+\cos\alpha}$ 要求 $\cos\alpha\neq
MATH,角平分线定理,角平分线定理,补全尾（有材料证据）,13,127,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\06_MATH_角平分线定理.md,定位：数学必修第一册 第五章。定理适用于内角平分线与对边的交点，外角平分线的情形公式形式不同（需另记或用向量处理）；比例式中线段的对应关系不能颠倒（左邻边比右邻边等于左段比右段）；求出比例后往往还需结合余弦定理或面积公式才能解出具体边长；三种证明都要用到 $\angle
MATH,裂项放缩,裂项放缩,补全尾（有材料证据）,11,135,138,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\07_MATH_裂项放缩.md,定位：数学选择性必修第二册 第四章。放缩方向必须与所求结论一致，且放缩后仍要能求和；$\frac{1}{n^2}<\frac{1}{n(n-1)}$ 一类式子在 $n=1$ 处无意义，需从 $n\ge 2$ 起用并把第一项单独保留；$q^n-m$ 型通项不能用等比放缩（$\f
MATH,隐函数的求导,隐函数的求导,补全尾（有材料证据）,1,135,138,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\08_MATH_隐函数的求导.md,定位：数学选择性必修第二册 第五章。解出的 $y'$ 中允许保留 $y$（因为 $y$ 解不出来），但最后要按题目要求换成 $x$ 或保留原式；对 $\ln y$、$\sqrt y$ 求导时要按复合函数求导（如 $(\ln y)'=\frac{y'}{y}$），不要漏乘 $y
MATH,同构法,同构法,补全尾（有材料证据）,41,135,138,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\09_MATH_同构法.md,定位：数学选择性必修第二册 第五章。同构的前提是变形后两侧结构完全一致（含系数、次数），否则不能构造出同一个函数；地位同等同构要求 $x_1<x_2$ 等大小关系明确，移项时注意不等号方向的改变；指对跨阶同构中把 $a$ 写成 $e^{\ln a}$（或把 $b$ 写成 $\
MATH,等和线,等和线,补全尾（有材料证据）,13,133,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\10_MATH_等和线.md,定位：数学必修第二册 第六章。三点共线的充要条件是 $\lambda+\mu=1$，前提是 $O$、$A$、$B$ 三点不共线（否则 $\overrightarrow{OA}$ 与 $\overrightarrow{OB}$ 共线，表示不唯一）；系数和不为 1 时点 $
MATH,奔驰定理,奔驰定理,补全尾（有材料证据）,14,130,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\11_MATH_奔驰定理.md,定位：数学必修第二册 第六章。定理中各向量必须共起点（都是以 $O$ 为起点指向三角形顶点的向量），且 $O$ 与三角形的位置关系要明确（$O$ 为内点时三个面积都取正值，为外点时按位置取负号）；面积的对应关系是“缺少哪个顶点的三角形面积对应哪个顶点的向量”（$S_{\
MATH,斜坐标系中的向量运算,斜坐标系中的向量运算,补全尾（有材料证据）,1,132,135,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\12_MATH_斜坐标系中的向量运算.md,定位：数学必修第二册 第六章。不能把斜坐标当直角坐标用：模与数量积公式中都含 $\cos\theta$ 项，漏掉交叉项是本类题最主要的错误；只有 $\theta=90^\circ$ 时公式才退化为直角坐标系的形式；判断结论真假时每一项都要回到基底计算，不能凭直觉；$x^
MATH,双外心模型的证明,双外心模型的证明,补全尾（有材料证据）,1,144,150,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\13_MATH_双外心模型的证明.md,定位：数学必修第二册 第八章（空间向量见选择性必修第一册）。关键是说明 O、$O_1$、$O_2$、E 四点共圆且 OE 为直径，漏掉这一步则后续正弦定理无据；$OE^2$ 中出现 $\sin^2\angle O_1EO_2$ 作分母，故 $\angle O_1EO_2$ 不能为 0 或 $180^
MATH,马尔可夫链（概率递推）,马尔可夫链（概率递推）,补全尾（有材料证据）,6,154,156,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\14_MATH_马尔可夫链（概率递推）.md,定位：数学必修第二册 第九十章（条件概率与正态分布见选择性必修第三册）。必须先明确状态（如在上底面/在下底面）并写出两类状态间的转移概率，且两类概率之和为 1；递推式的首项要单独求出（$P_1$ 不能由递推式得到）；构造等比数列时 λ 的公式是 $\frac{q}{p-1}$，$(p-1)$ 出现在分母要求 $
MATH,齐次化,齐次化,补全尾（有材料证据）,4,137,139,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\15_MATH_齐次化.md,定位：数学选择性必修第一册 第二三章。齐次化要求各项次数相同，次数不同必须先通过变形（两边同乘、同除）凑成齐次，否则不能作比换元；换元后必须写出新元的取值范围（如 $\frac{x}{e^x}$ 的值域、$t=x_1-x_2$ 的范围），否则最值会取错；作差换元要保证等价（$x
MATH,焦点弦定比分点问题,焦点弦定比分点问题,补全尾（有材料证据）,2,122,139,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\16_MATH_焦点弦定比分点问题.md,定位：数学选择性必修第一册 第二三章。结论对椭圆、双曲线、抛物线统一成立，但要求直线过焦点且与曲线交于两点；$\lambda>0$ 且 $\lambda\ne 1$（λ=1 时分点重合，不适用）；公式中的 k 是直线斜率，焦点在 y 轴上时改用 $\sqrt{1+\frac{1
MATH,双曲线焦点三角形,双曲线焦点三角形,补全尾（有材料证据）,7,123,139,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\17_MATH_双曲线焦点三角形.md,定位：数学选择性必修第一册 第二三章。双曲线用 $||PF_1|-|PF_2||=2a$ 整体替换，注意与椭圆的 $|PF_1|+|PF_2|=2a$ 区别，符号错则公式全错；面积公式是 $b^2\cot\frac{\theta}{2}$（椭圆是 $b^2\tan\frac{\
MATH,抛物线焦点三角形,抛物线焦点三角形,补全尾（有材料证据）,4,122,139,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\18_MATH_抛物线焦点三角形.md,定位：数学选择性必修第一册 第二三章。焦半径公式中的 θ 是过焦点的弦相对于 x 轴（焦点所在轴）的倾斜角；长短与 $1\pm\cos\theta$ 的对应关系要由图形判断，不能死记；焦点在 y 轴上时公式中的 cos 要换成 sin；弦长公式 $\frac{2p}{\sin^
PHYSICS,近代物理知识体系,近代物理知识体系,补全尾（有材料证据）,1,131,137,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\19_PHYSICS_近代物理知识体系.md,定位：PHYSICS·综合·综合。该体系只给出主干 各规律的适用条件要逐条核对；光电效应中能否发生由频率决定 与光强无关；玻尔理论的跃迁公式中 $m>n$ 表示向低能级跃迁并放出光子；核反应方程必须同时满足质量数与电荷数守恒 但质量亏损使质量不守恒；核能计算要用 $\Del
CHEMISTRY,热重法测定物质组成,热重法测定物质组成,修定界符（正文完整，$ 错位）,1,—,124,D:\smart mistake book\tools\kb_build\tables\boundary_fix_evidence\20_CHEMISTRY_热重法测定物质组成.md,定位：CHEMISTRY 综合。必须先把固体残留率换算成绝对质量（失=m_起始\times$ 残留率），只拿比值算容易算错；判断“失去的是水还是 $\mathrm{CO_2}$”时要同时核对碳元素是否还在固体中（如题中“已不含碳元素”是关键条件）。
