subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-c4-pepc-affinity,c4植物-cam植物等特殊代谢类型,high,材料讲C4叶肉细胞PEPC对CO2亲和力高并利用HCO3−形成CO2浓缩机制；正对C4植物特殊代谢类型的CO2固定途径
BIOLOGY,bio-fj-01-virus-ecological-role,病毒,medium,材料两条结论都是病毒这一对象的属性（寄生异养属消费者、无细胞结构不属生命系统层次）；归入病毒主题条目最稳
BIOLOGY,bio-fj-05-monolayer-area-2x,细胞膜成分和结构的探究历程,high,材料是磷脂单分子层铺展面积为红细胞表面积2倍的科学史实验；用于推知磷脂在细胞膜中排列为连续两层
BIOLOGY,bio-fj-10-scattered-light-adaptation,色素,high,材料讲遮光下散光中蓝紫光占比增加使叶绿素a/b降低以增强弱光吸光能力；属叶绿素a与b吸收光谱差异及弱光适应
BIOLOGY,bio-fj-32-j-curve-math-model,种群数量的变化,high,材料是J形增长数学模型Nt=N0·λ^t与λ的含义及增长率；属建立数学模型研究种群数量变化
BIOLOGY,bio-fx-exp-single-variable,对照实验的分析方法,medium,材料讲实验设计的单一变量原则（无关变量相同且适宜并与等量原则统一）；属实验设计的基本原则与对照实验
BIOLOGY,bio-fx-primer-mutation-rounds,pcr技术,high,材料讲PCR定点诱变中引物结合位置决定第几轮获得双链等长突变片段；属PCR技术的应用判断
BIOLOGY,bio-kb-competitive-noncompetitive-inhibitors,酶的两种抑制机理,high,材料讲竞争性与非竞争性抑制剂的作用部位及抑制能否被底物浓度解除；即酶的两种抑制机理
BIOLOGY,bio-kb2-03-sugar-classification,细胞中的糖类,high,材料讲单糖二糖多糖的分类与代表物质及几丁质含N；属细胞中的糖类分类与常见二糖多糖
BIOLOGY,bio-kb2-32-counting-formula,血细胞计数板,high,材料给出16×25与25×16计数板换算1mL酵母细胞数的公式；即血细胞计数板的计数方法与计算公式
BIOLOGY,bio-mirna-repression-mechanism,基因的表达,medium,材料讲miRNA与靶mRNA部分互补而抑制翻译或促降解；属基因表达中的RNA干扰沉默与非编码RNA调控（与遗传信息的翻译节点有重叠）
BIOLOGY,bio-replication-unwind-while-replicating,dna的复制,high,材料讲边解旋边复制减少碱基暴露时间从而降低突变概率；属DNA复制的作用与主要特点
CHEMISTRY,chem-distribution-fraction-definition,分布分数图像,high,材料给出分布分数δ的定义与各δ之和恒为1及交点处两形态浓度相等；是分布系数图像的定义基础
CHEMISTRY,chem-fx-de-fen-dian-ji-guan-jian-ci-f71x12,现象描述答题模板,high,材料罗列实验现象描述的关键词（颜色变化、液面升降、气泡、倒吸、沉淀等）；即现象描述答题模板
CHEMISTRY,chem-fx-fang-an-f14x09,纯碱中碳酸钠含量的测定方法,high,材料给出方案I（加热后测剩余固体质量并计算Na2CO3质量分数）；属纯碱中碳酸钠含量的测定
CHEMISTRY,chem-fx-jian-jie-ce-liang-fa-f66x06,气体体积的测定方法,medium,材料讲间接测量法即由排出液体的体积确定气体体积（末句附装置气密性检查须在装药品前）；主属气体体积的测定方法
CHEMISTRY,chem-fx-qi-ti-chu-le-liang-qu-wai-f70x10,定量测定型综合实验,medium,材料讲气体除量取外还可称量（称反应装置减重或吸收装置增重）；属定量测定型综合实验中的气体质量测定方法
CHEMISTRY,chem-fx-tian-gong-kai-wu-zhong-fan-shi-hui-jin-f73x17,化学与传统文化,high,材料出自《天工开物》《梦溪笔谈》《开宝本草》等古文献；内容为古文献中物质成分、变化与分离操作的判断
CHEMISTRY,chem-fx-yang-shi-du-shu-f51x07,滴定操作,medium,材料讲滴定管仰视读数偏大且滴定管刻度标法与量筒不同；属滴定管的构造选用与读数规范
CHEMISTRY,chem-fx-zhi-bei-die-dan-hua-na-f69x18,物质制备流程与条件控制,medium,材料是制备叠氮化钠的一段流程操作（连接装置后滴加浓硝酸充分反应）；属物质制备流程与操作步骤
CHEMISTRY,chem-hj2-han-pandu-feiweiyi,判断化学反应的自发性,high,材料讲焓判据与熵判据的局限性并给出ΔG=ΔH−TΔS综合判据；即判断化学反应的自发性
MATH,math-fangshuo-dengbi-jiegou-qiuhes,等比放缩,high,材料把1/(qⁿ+m)放缩为1/qⁿ以化归为等比结构求和；属等比放缩及其适用条件
MATH,math-hj-dabian-duidajiao,正弦定理,medium,材料由a>b推A>B与sinA>sinB（大边对大角）；属正弦定理中比较边的大小转化为比较角的大小这一常用变形
MATH,math-hj-s92-weighted-variance,方差与标准差,high,材料给出加权平均与总体方差的加权式S²=Σfi(Yi−Ȳ)²/N；即方差、标准差与总体方差的加权式
MATH,math-luobida-shiyong-bianjie,洛必达法则,high,材料讲洛必达法则在高中选择填空题可直接用而解答题可能扣分；即洛必达法则的使用条件与边界
MATH,math-mo-tuolemi-dingli,托勒密定理,high,材料给出圆内接四边形对角线之积等于两组对边乘积之和及一般四边形的托勒密不等式；即托勒密定理
PHYSICS,phys-ao-xing-qiao-chao-zhong,对超重和失重的理解应当注意的问题,medium,材料讲凹形桥最低点FN=mg+mv²/r因而处于超重；该节点别名即含拱形桥与凹形桥模型
PHYSICS,phys-hj-039-weightlessness-phenomenon,失重,high,材料讲加速度有竖直向下分量时处于失重、视重小于重力而重力本身不变；即失重现象的定义与判断
PHYSICS,phys-hj3-fu-fu-method,伏伏法测电阻,high,材料讲用两只电压表测电阻并以已知内阻的电压表当电流表求电流；即伏伏法测电阻
PHYSICS,phys-ohmmeter-fault-reading,电路的故障分析,high,材料讲欧姆挡测值很大表示断路、很小或为零表示短路；即用多用电表检测电路故障
