subject,slug,field,status,evidence
BIOLOGY,ext-bio-46ec017dac-016b,contentMarkdown,FIXED,12 处 \\1 全部按**修前 git 快照 058417c2**（同卷 sidecar 上一版、该版无 \\1）逐字还原；还原片段为「 PS」8 处、「 LHC」3 处、「 b」、「 NADPH」；快照与当前字段只在这 12 处不同；同卷 ext-bio-46ec017dac-016 的 summary 写「Cyt b₆f」「NADPH 减少」与此一致；源头切块 53e0ab554c-087 与 42d655b54e-027 原文写「LHCⅡ与PSⅡ的分离依赖LHC蛋白激酶的催化」佐证第 5 处是 LHC；字段内既有的双反斜杠写法（$\\rm{…}$ 与 Cyt\\ 前）不在坏点清单内故未改；改后 $ 8 个成对、无 \\1、反斜杠后无数字
CHEMISTRY,ext-che-4dd2e79693-017,contentMarkdown,FIXED,10 处 \\1 全部按修前 git 快照 058417c2 逐字还原；还原片段为「 H」（NH_3\cdot H_2O）、「 mol」7 处、「 L」2 处（1 L 与 $1\ mol\cdot L^{-1}$ 的 L）；快照与当前字段只在这 10 处不同；同文档完好材料 ext-che-4dd2e79693-078 写 $1\ \mathrm{mol}$、ext-che-4dd2e79693-084 写 $\ \mathrm{mol\cdot L^{-1}}$ 佐证单位写法；改后 $ 98 个成对、无 \\1、反斜杠后无数字
MATH,ext-mat-332b83a2c4-001b,contentMarkdown,FIXED,坏点清单的 pid_repeat 系误报：该字段在修前 git 快照 058417c2 里与当前**逐字相同**（快照含 \\1 为 0）；10000 与 40000 是这个模型必需的换算系数（先提 m% 再提 n% 的倍率是 1+(m+n)/100+mn/10000；两次都提 ((m+n)/2)% 的倍率是 1+(m+n)/100+(m+n)²/40000）且两者在同一条公式里各出现一次、不是同一 PID 落在公式两端；按「只修坏点」整字段原样交付、未改一字；$ 28 个成对、无 \\1
MATH,ext-mat-37119cada9-002,contentMarkdown,FIXED,6 处 \\1 还原为坐标分量：「 y」「 y」「 a」「 x」「 y」「 b」；依据同文档 ext-mat-37119cada9-001 写「(x，y)」与 ext-mat-37119cada9-003 写「A(x_1，y_1)」（ext-mat 家族一律中文逗号）＋标准向量坐标式（和差的坐标＝对应坐标的和差；λ 与向量的积的坐标＝λ 乘各坐标；a∥b）；同字段既有的「，\ \lambda」说明本材料分隔写法是「中文逗号＋反斜杠空格」；标记前原有的反斜杠为原文所有故保留；改后 $ 22 个成对、无 \\1、反斜杠后无数字
MATH,ext-mat-4e258ba37b-002c,contentMarkdown,WIDER_FIX,唯一处 \\1 实为 cases 行分隔符被吃掉一个反斜杠（\\1 脱落成 \1）——已补回为「\\ 1」：1+3=-\frac{2b}{3a}\\ 1\times3=\frac{-3}{3a}；因硬规矩「反斜杠后不得跟数字」故 \\ 后加一个空格（LaTeX 数学模式忽略该空格）；依据全库 12 处完好 cases 样本一律 \\ 紧跟行内容（如 math-hj-s61-an-sn-relation、ext-mat-91e0c2ace8-022b）；同文档已交付的 ext-mat-4e258ba37b-001c 同结构、同判 WIDER_FIX；数学核验：根 1 与 3 之积 1×3=-3/(3a) 解得 a=-1/3、b=2 与后文一致；$ 62 个成对、无 \\1
MATH,ext-mat-991fbb472d-014b,contentMarkdown,FIXED,唯一处 \\1 补回「，y」（终边上取一点 $P(x，y)$）；依据同材料下文 $Ax+By=0$ 与 $r=\sqrt{x^2+y^2}$ 的写法；ext-mat 家族一律中文逗号（ext-mat-37119cada9-001 写「(x，y)」、ext-mat-4e258ba37b-001 写「(x_1，x_2)」、ext-mat-91e0c2ace8-103 写「N(-x_1，-y_1)」）；导数讲义切块 94f3b0c402-001 同型写「P(x0，f(x0))」；标记前无遗留反斜杠说明被吃掉的只有「，y」；改后 $ 12 个成对、无 \\1、反斜杠后无数字
MATH,ext-mat-bc51e4fe6d-002c,contentMarkdown,FIXED,4 处 \\1 还原为「 a」（$a+bi=c+di\iff a=c$——源头切块 bc51e4fe6d-002 写「利用复数相等 a＋bi＝c＋di 列方程时」）、「，b」（$a+bi\ (a，b\in\mathbf R)$ 的标准写法）、「 R」（\mathbf 后需空格分隔）、「a」（其中 a、b 为实数）；逗号用中文逗号（ext-mat 家族惯例）；改后 $ 22 个成对、无 \\1、反斜杠后无数字
MATH,ext-mat-db497c001d-002,contentMarkdown,FIXED,2 处 \\1 还原为「，f」与「，y」（切点为 $(t，f(t))$、过定点 $(x_0，y_0)$）；依据同字段后文 $y-f(t)=f'(t)(x-t)$ 确定函数名为 f、同材料 boundary 写「切点横坐标 t 与定点横坐标要区分」；同文档已交付材料 ext-mat-db497c001d-001b 的同一位置（其判定 CSV 佐证）也用中文逗号分隔坐标；导数讲义切块 94f3b0c402-001 同型写「P(x0，f(x0))」；标记前无遗留反斜杠说明被吃掉的只有「，f」与「，y」；改后 $ 14 个成对、无 \\1
MATH,math-fx-yuxian-pan-xingzhuang,contentMarkdown,FIXED,6 处 \\1 全部按修前 git 快照 058417c2 逐字还原为「 A」「 A」「 B」「 A」「 B」「 A」（$\cos A>0\ (b^2+c^2>a^2)$ 与 $\sin A=\sin B\Rightarrow A=B$）；同材料 boundary 写「由 $\sin A=\sin B$ 判等腰时要排除 $A+B=\pi$」一致；本字段原就是真换行（2 个）——按原样保留未动；改后 $ 18 个成对、无 \\1
MATH,math-hj-dengcha-sheshi-fa,contentMarkdown,FIXED,4 处 \\1 全部按修前 git 快照 058417c2 逐字还原（等差数列的设法 3 处、等比数列的设法 1 处；分隔写法沿用快照的「ASCII 逗号＋反斜杠空格」）；同材料 summary 的同一公式与此一致；改后 $ 6 个成对、无 \\1、反斜杠后无数字
