chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-004,MATERIAL,热重分析确定金属化合物的组成,METHOD_MODEL,热重曲线三步分析法,热重分析在程序控温下测样品残留质量或失重比随温度的变化，据曲线推断各温度段固体产物。,给出热重（TG）曲线、要求判断某温度下固体化学式、计算结晶水数目或书写分解反应方程式的题目。,### 核心思想\n1. 元素守恒，且金属元素通常残留在固体中。\n2. 加热过程中样品摩尔质量的变化量 $\Delta M$ 往往是特征数值，用它可快速推断产物。\n\n### 三步法\n- 第一步：计算对应温度下剩余固体（或失去物质）的质量。\n- 第二步：由 $\dfrac{m_{样品}}{m_{剩余}}=\dfrac{M_{样品}}{M_{剩余}}$ 求 $M_{剩余}$，再由 $\Delta M=M_{样品}-M_{剩余}$ 求 $\Delta M$。\n- 第三步：根据 $M_{剩余}$ 或 $\Delta M$ 推断产物。\n\n### 纵轴为不同物理量时的换算\n| 纵轴 | 剩余固体质量 | 失去物质质量 |\n|---|---|---|\n| 剩余固体质量 | 纵轴值 | 总值 $-$ 纵轴值 |\n| 固体残留率 | $m_{样品}\times$ 纵轴值 | $m_{样品}\times(1-$ 纵轴值$)$ |\n| 失重比 | $m_{样品}\times(1-$ 纵轴值$)$ | $m_{样品}\times$ 纵轴值 |\n\n题目没有给出样品初始质量时，可设样品为 1 mol 或 100 g 进行计算。\n\n### 常见 $\Delta M$ 与产物\n- $\Delta M$ 为 $18\ g\cdot mol^{-1}$ 的倍数 → 失去 $H_2O$；\n- $\Delta M$ 为 $17\ g\cdot mol^{-1}$ 的倍数 → 失去 $NH_3$；\n- $\Delta M$ 为 $35\ g\cdot mol^{-1}$ 的倍数 → 失去 $H_2O$ 与 $NH_3$；\n- $\Delta M$ 为 $44\ g\cdot mol^{-1}$ 的倍数 → 失去 $CO_2$；\n- $M_{剩余}$ 与 $M_{金属}$ 接近 → 剩余物为金属单质。\n\n### 失重的一般规律\n结晶水合物 $\xrightarrow{\text{加热}}$ 无水盐 $\xrightarrow{\text{加热}}$ 金属氧化物；铵盐加热考虑生成 $NH_3$，硫酸盐加热考虑生成 $SO_2$ 与 $SO_3$，草酸盐加热考虑生成 $CO$ 与 $CO_2$。,金属元素必须留在固体中才可用 $M_{剩余}$ 反推组成；曲线给出的温度点要与产物一一对应；若样品吸潮或含杂质会使 $M_{样品}$ 不准（见本册大招1的陷阱提示），此时改用各阶段失重质量之比等于对应摩尔质量变化之比来消去影响。,p1 大招1：牢记两核心，三步搞定热重曲线（大招解读+核心思想+思维模型）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-006,MATERIAL,热重分析确定金属化合物的组成,METHOD_MODEL,由M剩余或ΔM推断产物组成的两条路径,热重分析中推断剩余固体组成时，既可由阶段失重的 ΔM 走，也可由剩余物的 M剩余 走，两条路径结果一致。,热重曲线题中剩余物含多种元素、需要确定原子个数比的填空或计算。,### 方法一：由 $\Delta M$ 推断\n先由 $\Delta M$ 判断逸出的是什么微粒（常见 $H_2O$、$NH_3$、$CO_2$ 等），再由元素守恒算出剩余固体中各元素的物质的量之比。例：某物质 1 mol 受热分解产生 6 mol $NH_3$，由 $n(H_2O)=\dfrac{228\ g-6\ mol\times17\ g\cdot mol^{-1}}{18\ g\cdot mol^{-1}}=7\ mol$ 得失去 7 mol $H_2O$；原晶体含 24 个 O 与 4 个结晶水，故固体中剩余 $n(O)=24+4-7=21\ mol$，$n(Mo):n(O)=7:21=1:3$。\n\n### 方法二：由 $M_{剩余}$ 推断\n先由 $M_{剩余}$ 减去金属元素的总质量，差值即剩余氧元素的质量，再算出 $n(O)$。例：$M_{剩余}=1008\ g\cdot mol^{-1}$，其中 $7M_{Mo}=672\ g\cdot mol^{-1}$，则 $M_O=336\ g\cdot mol^{-1}$，$n(Mo):n(O)=7:\dfrac{336}{16}=1:3$。\n\n两条路径都建立在元素守恒基础上，选择计算量小的一条即可。,必须已知金属元素的物质的量或金属的相对原子质量；逸出气体必须能由 $\Delta M$ 唯一确定，否则要先排除其他可能气体。,p3 大招1 示例2详解（方法一、方法二）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-007,MATERIAL,热重分析确定金属化合物的组成,MISCONCEPTION_GUIDE,热重分析的两个陷阱：吸潮与含杂质,样品表面吸附水、内部含杂质都会使 $M_{样品}$ 不准，导致按三步法推出的产物出错。,热重曲线中第一步失重很小或题目提示样品易吸潮、含杂质时的分析。,热重分析的两个陷阱：\n1. 样品吸潮——表面吸附的水在低温段即失去，容易被误当作结晶水或结构水；\n2. 样品含杂质——杂质受热不分解或分解行为不同，使 $M_{样品}$ 与理论值不符。\n\n两者都会让 $M_{剩余}$、$\Delta M$ 算不准，使大招三步法失灵。破解办法是绕开 $M_{样品}$，利用热重曲线中各阶段失重质量与对应摩尔质量变化成正比：\n\n$$\dfrac{m_{失重1}}{m_{失重2}}=\dfrac{M_{失重1}}{M_{失重2}}$$\n\n这样只用到曲线给出的失重比例（或占比），不必知道样品的真实摩尔质量，从而消去吸潮与杂质的影响。\n\n另外，题目明确说 0~92 ℃ 失重的原因是吸附的水分蒸发时，这一段不能计入结晶水数目。,该技巧要求各阶段失重微粒的组成已知且互不相同；若两个阶段失去的微粒相同则无法用比值法区分。,p4 大招1 示例3 超人点拨（陷阱与化解）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-007,MATERIAL,氧化还原反应方程式的配平方法,METHOD_MODEL,氧化还原配平五步法与三种标价法,氧化还原方程式配平的核心是得失电子守恒，按标变价、列得失、求总数、配系数、查守恒五步完成。,所有氧化还原反应的化学方程式与离子方程式配平题，包括缺项型、未知数型、不易确定价态型。,### 核心思路\n微观：氧化剂得电子总数 $=$ 还原剂失电子总数；宏观：元素化合价降低总数 $=$ 化合价升高总数。\n\n### 思维模型：五步\n1. **标变价**：常规方法按常识标出变价元素化合价；不易确定时用零价法或整体标价法。\n2. **列得失**：标 “$升$” 或 “$降$” 取决于由反应物到生成物的化合价变化，标价的方向按“由反应物到生成物”判断，要乘以该元素原子的脚标。\n3. **求总数**：求升、降价的最小公倍数，使升降总数相等，从而确定氧化剂、还原剂（或氧化产物、还原产物）的化学计量数。\n4. **配系数**：先配变价元素原子；化学方程式中再按元素守恒配未变价元素原子（$H$、$O$ 除外），最后配未变价的 $H$ 或 $O$；离子方程式中先由电荷守恒配电荷，再按原子守恒配未变价元素原子。\n5. **查守恒**：用 $O$ 检查（配平未变价的 $H$、$O$ 时若用 $H$ 配平则用 $O$ 检查，反之亦然）。\n\n### 三种标价法\n- 常规方法：按常见化合价直接标；\n- 零价法：对难以确定价态的化合物（如 $Fe_3P$），设化合物中所有元素的初始化合价均为 0；\n- 整体标价法：化学式中有未知数时（如 $Na_2S_x$），把 $S_x^{2-}$ 整体看作 $-2$ 价。\n\n离子反应通常发生在水溶液中，故酸性溶液用 $H^+$、碱性溶液用 $OH^-$ 配平电荷，放在哪一边由电荷守恒确定；未指明酸碱性时按“水出酸或碱”处理，即把 $H^+$ 或 $OH^-$ 放在等式右边。,配平前必须确认反应确实属于氧化还原反应；出现“一变多”（歧化）时不能盲目正向配平，要从后往前配；缺项型必须先配电荷再配原子，碱性溶液只能用 $OH^-$ 配电荷。,p4 大招2 大招解读+思维模型（五步法）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-008,MATERIAL,氧化还原反应方程式的配平方法,METHOD_MODEL,三类氧化还原方程式的配平操作要点,按普通型、歧化型、含脚标型三类套用五步法，关键在于正向或逆向配平的选择与脚标的处理。,化学方程式的常规配平、歧化反应配平、含脚标化合物的配平。,### 普通型：$C+HNO_3(浓)\xrightarrow{\Delta}NO_2\uparrow+CO_2\uparrow+H_2O$\n第一步标变价：$C$ 为 $0$、$HNO_3$ 中 $N$ 为 $+5$；第二步列得失：$C\to CO_2$ 升 $4\times1$，$HNO_3\to NO_2$ 降 $1\times4$；第三步求总数：$1C$ 与 $4HNO_3$；第四步配系数：先配变价元素 $N$、$C$，再配未变价的 $H$，最后用 $O$ 检查（左侧 12 个 $O$，右侧 12 个 $O$）。\n正向配平时，只要不出现化合价“一变多”的情况，均从前往后配。\n\n### 歧化型：$Cl_2+NaOH\xrightarrow{\Delta}NaCl+NaClO_3+H_2O$\n$Cl$ 由 $0$ 变为 $-1$ 和 $+5$，属于“一变多”，此时从后往前配：$Cl_2\to5NaCl$（降 $1\times5$）、$Cl_2\to NaClO_3$（升 $5\times1$），得 $3Cl_2+6NaOH=5NaCl+NaClO_3+3H_2O$。注意：虽然从后往前配，列升降仍按由反应物到生成物的变化方向标。\n\n### 含脚标型：$K_2Cr_2O_7+H_2O_2+H_2SO_4\to K_2SO_4+Cr_2(SO_4)_3+O_2\uparrow+H_2O$\n化合价的变化值要乘脚标：$Cr$ 由 $+6\to+3$ 降 $3\times2$，$H_2O_2$ 中 $O$ 由 $-1\to0$ 升 $1\times2$。标哪看哪——化合价的变化值标在反应物中时脚标看反应物的，标在生成物中时脚标看生成物的。得 $1K_2Cr_2O_7+3H_2O_2+4H_2SO_4=K_2SO_4+Cr_2(SO_4)_3+3O_2\uparrow+7H_2O$。\n\n### 配系数的一般顺序\n先配变价元素原子；对部分变价、部分未变价的元素（如 $H$、$O$ 作变价元素出现时），先配平变价部分，再配平未变价部分；最后用 $O$ 检查。,歧化型反应不能正向配平；含脚标型必须把化合价变化值乘以脚标；同一元素既变价又不变价时要先处理变价原子，否则系数会配乱。,p5 大招2 大招应用1.化学方程式的配平（普通型、歧化型、含脚标型）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-009,MATERIAL,氧化还原反应方程式的配平方法,METHOD_MODEL,零价法与整体标价法,难以确定化合价时用零价法，化学式含未知数时用整体标价法，两者都是为顺利算出升降总数。,化合物价态不明确（如 Fe3P、Fe3O4）、化学式中含未知数（如 Na2Sx）的配平题。,### 零价法（不易确定价态型）\n对不能用常识确定元素价态的化合物，假设化合物中所有元素的初始化合价均为 0。以 $Fe_3P+HNO_3\to Fe(NO_3)_3+NO\uparrow+H_3PO_4+H_2O$ 为例：$Fe_3P$ 中 $Fe$、$P$ 全部升高，共 $\uparrow14$；$HNO_3\to NO$ 降 $3$；最小公倍数得 $3Fe_3P$ 与 $14HNO_3$。注意这里的 14 是化合价降低的 $N$ 原子数，其余未变价的 $N$ 随后用原子守恒补齐，得 $3Fe_3P+41HNO_3=9Fe(NO_3)_3+14NO\uparrow+3H_3PO_4+16H_2O$。\n\n### 整体标价法（含未知数型）\n把含未知数的原子团看成一个整体标价：$Na_2S_x$ 中把 $S_x^{2-}$ 看作整体，$S_x^{2-}\to xSO_4^{2-}$ 时化合价由 $-2\to+6x$。若按常规标价，每个 $S$ 为 $-\dfrac{2}{x}$，$x$ 个 $S$ 共升高 $\left[6-\left(-\dfrac{2}{x}\right)\right]\times x=6x+2$，与整体标价结果一致，但整体标价更易计算。对出现分数价态的物质（如 $Fe_3O_4$ 中 $Fe$ 为 $+\dfrac{8}{3}$）也可将 3 个 $Fe$ 整体标为 $+8$。\n\n配系数时先配变价元素原子（$S$、$Cl$），再按 $Na$、$H$ 等未变价元素守恒逐一补齐，最后用 $O$ 检查。,零价法要求化合物中各元素都按 0 价处理，不可只把部分元素设为 0；整体标价法的升降总数必须与常规标价一致，用于反查；未知数最后应约成最简整数比。,p6 大招2 大招应用（零价法、整体标价法）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-010,MATERIAL,书写离子方程式应注意的问题,METHOD_MODEL,离子方程式配平与缺项型的处理,离子方程式配平在变价元素配平后要先配电荷，缺项型再据溶液酸碱性补 OH- 或 H+。,离子方程式的氧化还原配平、缺项配平题，尤其是碱性溶液中的缺项填空。,### 普通型：$MnO_4^-+H^++Cl^-\to Mn^{2+}+Cl_2\uparrow+H_2O$\n标变价：$Mn$ 由 $+7\to+2$ 降 $5$，$Cl$ 由 $-1\to0$ 升 $1$。最小公倍数得 $1MnO_4^-$ 与 $5Cl^-$，此时氯原子出现分数：$MnO_4^-+H^++5Cl^-\to Mn^{2+}+\dfrac{5}{2}Cl_2\uparrow+H_2O$，为减少计算量、避免出错，全式乘 2 化为 $2MnO_4^-+H^++10Cl^-\to2Mn^{2+}+5Cl_2\uparrow+H_2O$。\n\n与化学方程式配平的差异：离子方程式要先配电荷。右侧电荷为 $+4$，左侧负电荷为 $-12$，故左侧 $H^+$ 前配 16，得 $2MnO_4^-+16H^++10Cl^-=2Mn^{2+}+5Cl_2\uparrow+8H_2O$；最后用 $O$ 检查（左右各 8 个 $O$）。\n\n### 缺项型：$ClO^-+Fe(OH)_3+\underline{\quad}\to Cl^-+FeO_4^{2-}+H_2O$（碱性溶液）\n标变价：$ClO^-$ 中 $Cl$ 由 $+1\to-1$ 降 $2$，$Fe(OH)_3$ 中 $Fe$ 由 $+3\to+6$ 升 $3$，最小公倍数得 $3ClO^-$ 与 $2Fe(OH)_3$。先配电荷：右侧电荷为 $3\times(-1)+2\times(-2)=-7$，左侧（不含缺项）为 $3\times(-1)=-3$，相差 $-4$，碱性溶液用 $OH^-$ 配电荷，故横线处为 $4OH^-$；再配平 $H$、$O$ 并用 $O$ 检查，得 $3ClO^-+2Fe(OH)_3+4OH^-=3Cl^-+2FeO_4^{2-}+5H_2O$。\n\n缺项的化学方程式配平可以在离子方程式基础上改写，也可参照化学方程式配平直接书写。,离子方程式的电荷守恒优先于原子守恒；碱性溶液只能用 $OH^-$ 与 $H_2O$ 补缺项，酸性溶液用 $H^+$ 与 $H_2O$；出现分数系数要整体乘倍数化为整数。,p7 大招2 大招应用2.离子方程式的配平（普通型、缺项型）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-010,MATERIAL,配平步骤,METHOD_MODEL,缺项离子方程式配平的先电荷后原子顺序,缺项型离子方程式须先由电荷守恒定出缺项微粒及其系数，再按原子守恒配平其余元素。,氧化还原型缺项配平（横线处填微粒或系数）的填空与书写题。,缺项型离子方程式（含氧化还原）的配平顺序：\n1. **标变价、列得失、求总数**：定出变价元素的化学计量数，这一步与常规配平相同。\n2. **先配电荷**：算出等式两侧（缺项一侧不计）的电荷差，据此确定缺项微粒的种类与化学计量数。酸性溶液用 $H^+$、碱性溶液用 $OH^-$、中性条件常用 $H_2O$ 来补电荷。\n3. **再配原子**：按原子守恒补平未变价元素，最后配平 $H$、$O$。\n4. **用 O 检查**：左右氧原子数相等即配平完成。\n\n示例：$3ClO^-+2Fe(OH)_3+4OH^-=3Cl^-+2FeO_4^{2-}+5H_2O$，左右各有 13 个 $O$，配平完成。\n\n化学方程式的缺项配平也可以先改写成离子方程式再套用此顺序。,缺项一定是参与反应的离子或分子（$H^+$、$OH^-$、$H_2O$ 最常见），若算出的电荷差无法用这些微粒补齐，说明前面的变价系数或价态标定有误，须回查。,p7 大招2 续（缺项型配平的先电荷后原子）,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-011,MATERIAL,陌生化学方程式书写的思路,METHOD_MODEL,信息型陌生方程式的两步书写法,陌生反应先提取信息确定反应主体，再用五步法或原子守恒配平，信息为大、给什么是什么。,题目给出文字信息、流程图或图表，要求书写未学过的化学反应方程式或离子方程式。,### 思维模型：两步走\n- 第一步：提取信息，确定反应主体（反应物与生成物）。不能由信息确定的，通过“常识”确定。\n- 第二步：配平。氧化还原反应按五步法配平；非氧化还原反应直接依据原子守恒凑平；离子方程式还要注意电荷守恒。\n\n### 原则\n1. 信息为大：信息给的是什么就是什么，不能用已有经验推翻题给信息。\n2. 对于氧化还原型反应，若信息不能确定产物，把握一个原则：产物按“常见”来写。\n\n### 常见氧化剂与还原剂的对应产物\n| 氧化剂 | 还原产物 | 还原剂 | 氧化产物 |\n|---|---|---|---|\n| $Cl_2$、$ClO^-$、$KClO_3$ | $Cl^-$ | $Fe^{2+}$ | $Fe^{3+}$ |\n| $O_2$ | $H_2O$、$OH^-$ | $SO_2$、$SO_3^{2-}$、$S_2O_3^{2-}$ | $SO_4^{2-}$ |\n| $Fe^{3+}$ | $Fe^{2+}$ | $H_2O_2$ | $O_2$ |\n| $KMnO_4(H^+)$、$MnO_2$ | $Mn^{2+}$ | $S^{2-}$、$HS^-$、$H_2S$ | 一般为 $S$；无固体产物时则为 $SO_4^{2-}$ |\n| $H_2O_2$（绿色氧化剂） | $H_2O$ | $I^-(H^+)$ | $I_2$ |\n| $K_2Cr_2O_7(H^+)$ | $Cr^{3+}$ | $H_2C_2O_4$、$C_2O_4^{2-}$ | $CO_2$ |\n| 浓 $H_2SO_4$ | $SO_2$ | $CO$、$C$ | $CO_2$ |\n| 浓 $HNO_3$ | $NO_2$ | $NH_3$ | $N_2$ |\n| 稀 $HNO_3$ | $NO$ | $M$(金属单质) | $M^{n+}$(金属阳离子) |,常见产物表只适用于信息不足时兜底，题给信息与常识冲突时以信息为准；溶液中进行的反应产物不能违反离子共存（如碱性条件下 $Fe^{3+}$ 不能存在）。,p8 大招3 大招解读+类型1 信息型,
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,4dd2e79693-012,MATERIAL,陌生情景下化学方程式书写技巧,METHOD_MODEL,金属离子与碳酸氢根反应型的书写模型,金属离子结合碳酸氢根电离出的碳酸根成沉淀，促进其继续电离，放出的氢离子再与过量碳酸氢根反应生成 CO2。,无机工艺流程题中沉淀金属离子（如加入 NH4HCO3、NaHCO3）的方程式书写。,### 反应实质\n金属离子结合碳酸氢根离子电离出的 $CO_3^{2-}$ 生成碳酸盐沉淀，使碳酸氢根的电离平衡右移，电离出的 $H^+$ 又继续与过量的碳酸氢根离子反应生成 $CO_2$ 和 $H_2O$。\n\n### 书写模型\n$$\text{金属离子}+\text{碳酸氢根离子}\to \text{金属碳酸盐}\downarrow+H_2O+CO_2\uparrow$$\n\n### 操作步骤\n1. 提取信息，判断是否属于金属离子与碳酸氢根离子反应型（多出现在无机工艺流程题中，也叫工艺流程型）；\n2. 根据书写模型初步写出反应方程式；\n3. 配平方程式。\n\n### 关键提示\n用于沉淀金属离子的碳酸氢根离子一般都是过量的，故碳酸氢根前的系数由配平确定而不受“少量”限制。能与碳酸氢根离子发生相互促进的水解反应的金属离子（如 $Al^{3+}$、$Fe^{3+}$ 等）不适用本例——它们与 $HCO_3^-$ 相遇发生双水解，产物是氢氧化物沉淀与 $CO_2$，不是碳酸盐沉淀。,不适用于与 $HCO_3^-$ 发生双水解的金属离子（$Al^{3+}$、$Fe^{3+}$ 等）；$Ca^{2+}$、$Ba^{2+}$ 等生成的碳酸盐溶解度小，适用本模型但要注意沉淀符号；必须保证碳酸氢根过量这一前提。,p9 大招3 类型2 金属离子与碳酸氢根离子反应型,
