subject,action,slug,target_slug,reason
PHYSICS,create,物理选择性必修第一册·第二三章·机械振动与机械波·3 简谐运动的回复力和能量,物理选择性必修第一册·第二三章·机械振动与机械波,补建 2019 版章节主题：简谐运动的回复力和能量属选必一 第二章机械振动（其 1 个节点定位串已指向选必一）
CHEMISTRY,create,化学选择性必修2·物质结构与性质·化学键,化学选择性必修2·物质结构与性质,补建 2019 版章节主题：化学键（离子键/共价键）属选必二 第一章（4+1 个节点定位串已指向选必二）
CHEMISTRY,create,化学选择性必修3·有机化学基础·有机化合物的结构特点,化学选择性必修3·有机化学基础,补建 2019 版章节主题：有机化合物的结构特点属选必三 第一章（7+? 个节点定位串已指向选必三）
PHYSICS,create,物理必修第二册·第五六章·抛体运动与圆周运动·2 运动的合成与分解,物理必修第二册·第五六章·抛体运动与圆周运动,补建 2019 版章节主题：运动的合成与分解属必修二 5.2（其节点现挂在同名错误的『2 匀变速直线运动的速度与时间的关系』主题下）
PHYSICS,merge,物理必修第一册·第一章·运动的描述·1 圆周运动,物理必修第二册·第五六章·抛体运动与圆周运动·1 圆周运动,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第一册·第一章·运动的描述·1 曲线运动,物理必修第二册·第五六章·抛体运动与圆周运动·1 曲线运动,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第一册·第一章·运动的描述·3 实验：探究平抛运动的特点,物理必修第二册·第五六章·抛体运动与圆周运动·3 实验：探究平抛运动的特点,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第一册·第二章·匀变速直线运动·2 匀变速直线运动的速度与时间的关系,物理必修第一册·第一章·运动的描述·2 匀变速直线运动的速度与时间的关系,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第二册·第五六章·抛体运动与圆周运动·2 匀变速直线运动的速度与时间的关系,物理必修第二册·第五六章·抛体运动与圆周运动·2 运动的合成与分解,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第二册·第八章·机械能与能量守恒·4 波的干涉,物理选择性必修第一册·第二三章·机械振动与机械波·4 波的干涉,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第二册·第八章·机械能与能量守恒·5 多普勒效应,物理选择性必修第一册·第二三章·机械振动与机械波·5 多普勒效应,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第二册·第八章·机械能与能量守恒·3 简谐运动的回复力和能量,物理选择性必修第一册·第二三章·机械振动与机械波·3 简谐运动的回复力和能量,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第一册·第一章·运动的描述·3 牛顿第三定律,物理必修第一册·第四章·牛顿运动定律·3 牛顿第三定律,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,merge,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应·2 常见传感器的工作原理及应用,物理选择性必修第二册·第三四章·交变电流与电磁波·2 常见传感器的工作原理及应用,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第五章·硫氮及其化合物·氧化还原反应,化学必修第一册·第一章·离子反应与氧化还原·氧化还原反应,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学选择性必修1·第一章·反应热与能量·氧化还原反应,化学必修第一册·第一章·离子反应与氧化还原·氧化还原反应,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第一册·第一章·物质分类与转化·化学反应的速率与限度,化学选择性必修1·第二章·化学平衡·化学反应的速率与限度,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第一册·第三章·铁与金属材料·化学反应的速率与限度,化学选择性必修1·第二章·化学平衡·化学反应的速率与限度,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·化学反应的速率与限度,化学选择性必修1·第二章·化学平衡·化学反应的速率与限度,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第一册·第一章·离子反应与氧化还原·化学平衡,化学选择性必修1·第二章·化学平衡,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·化学平衡,化学选择性必修1·第二章·化学平衡,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学选择性必修1·第二章·化学平衡·化学平衡,化学选择性必修1·第二章·化学平衡,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·反应热,化学选择性必修1·第一章·反应热与能量·反应热,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·原电池,化学选择性必修1·第四章·电化学·原电池,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第一册·第三章·铁与金属材料·电解池,化学选择性必修1·第四章·电化学·电解池,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第一册·第四章·物质结构元素周期律·化学键,化学选择性必修2·物质结构与性质·化学键,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·化学键,化学选择性必修2·物质结构与性质·化学键,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第一册·第四章·物质结构元素周期律·共价键,化学选择性必修2·物质结构与性质·共价键,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·共价键,化学选择性必修2·物质结构与性质·共价键,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第一册·第三章·铁与金属材料·烯烃 炔烃,化学选择性必修3·有机化学基础·烯烃 炔烃,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第七章·有机化合物·有机合成,化学选择性必修3·有机化学基础·有机合成,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学必修第二册·第七章·有机化合物·有机化合物的结构特点,化学选择性必修3·有机化学基础·有机化合物的结构特点,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
CHEMISTRY,merge,化学选择性必修1·第三章·水溶液中的离子平衡·有机化合物的结构特点,化学选择性必修3·有机化学基础·有机化合物的结构特点,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
BIOLOGY,merge,生物学必修2·第三四章·遗传的分子基础·基因在染色体上,生物学必修2·第一章第二节·遗传的基本规律·基因在染色体上,同名主题重复：stale 侧节点定位串（已按章表对齐）指向 canonical 侧所在册；旧教材结构位置的副本并入 2019 版位置（2026-09-19 主题去重）
PHYSICS,delete_empty,物理必修第三册·第九十章·静电场·2 常见传感器的工作原理及应用,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
PHYSICS,delete_empty,物理选择性必修第三册·第一至三章·热学·2 常见传感器的工作原理及应用,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
PHYSICS,delete_empty,物理必修第一册·第一章·运动的描述·2 向心力,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
PHYSICS,delete_empty,物理必修第一册·第一章·运动的描述·3 向心加速度,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
PHYSICS,delete_empty,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应·3 实验：探究平抛运动的特点,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
PHYSICS,delete_empty,物理必修第二册·第八章·机械能与能量守恒·6 受迫振动 共振,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·植物细胞工程,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·细胞中的元素和化合物,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·细胞中的糖类和脂质,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·细胞呼吸的原理和应用,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·细胞器之间的分工合作,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·细胞核的结构和功能,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·细胞膜的结构和功能,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学必修1·第一章·细胞与生命活动·基因突变和基因重组,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学选择性必修1·第三章·体液调节·种群数量的变化,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
BIOLOGY,delete_empty,生物学选择性必修2·第三章·生态系统·生物多样性及其保护,,同名主题的空壳副本（0 点 0 子主题，2026-09-19 主题去重）
PHYSICS,merge,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应·1 电路中的能量转化,物理必修第三册·第十三章（安培力/洛伦兹力/感应定律见选择性必修第二册）·磁场与电磁感应·3 电磁感应现象及应用,其唯一节点『能量转化』的章表定位是选必二 第二章 电磁感应——与电磁感应主题同内容（2026-09-19 主题去重第二批）
PHYSICS,merge,物理必修第一册·第一章·运动的描述·2 运动的合成与分解,物理必修第二册·第五六章·抛体运动与圆周运动·2 运动的合成与分解,其唯一节点的章表定位是必修二 第五章 抛体运动（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·分子晶体与共价晶体,化学选择性必修2·物质结构与性质·分子晶体与共价晶体,节点『分子间作用力』章表定位选必二 第二章（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·分子的空间结构,化学选择性必修2·物质结构与性质·分子的空间结构,节点『分子的性质』章表定位选必二 第二章（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第四章·物质结构元素周期律·原子结构与元素周期表,化学选择性必修2·物质结构与性质·原子结构与元素周期表,4 个节点全是原子结构/周期表内容（2019 版在选必二 第一章；旧版必修一 第四章结构）（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第二章·氯及其化合物·原子结构与元素周期表,化学必修第一册·第二章·氯及其化合物,其唯一节点『从原子结构角度认识氯气的氧化性』是氯气内容（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第三章·铁与金属材料·原子结构与元素周期表,化学必修第一册·第三章·铁与金属材料·铁及其化合物,其唯一节点『铁的原子结构和存在』（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第三章·铁与金属材料·无机非金属材料,化学必修第一册·第三章·铁与金属材料·金属材料,其唯一节点『金属材料』（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第二章·氯及其化合物·氯及其化合物,化学必修第一册·第二章·氯及其化合物,嵌套同名主题：其唯一节点『氯及其化合物的知识盲点』（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第一章·物质分类与转化·水的电离和溶液的pH,化学选择性必修1·第三章·水溶液中的离子平衡·水的电离和溶液的pH,节点『溶液的稀释和混合问题』是 pH 计算（选必一 第三章）（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学选择性必修1·第二章·化学平衡·沉淀溶解平衡,化学选择性必修1·第三章·水溶液中的离子平衡·沉淀溶解平衡,5 个节点章表定位全是选必一 第三章（2019 版沉淀溶解平衡在第三章）（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学选择性必修1·第二章·化学平衡·电离平衡,化学选择性必修1·第三章·水溶液中的离子平衡·电离平衡,5 个节点章表定位全是选必一 第三章（电离平衡在 3.1）（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第一章·物质分类与转化·物质的量,化学必修第一册·第二章第三节·物质的量,6 个节点全是物质的量/浓度/配制内容（2019 版在 2.3）（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第二章第三节·物质的量·物质的量,化学必修第一册·第二章第三节·物质的量,嵌套同名主题（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·物质的量,化学选择性必修1·第二章·化学平衡,其唯一节点『物质的量(或浓度)—时间图像』章表定位选必一，是平衡图像题（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第一章·离子反应与氧化还原·环境保护与绿色化学,化学必修第一册·第一章·离子反应与氧化还原,其唯一节点『电荷守恒在离子推断中的应用』是离子反应内容（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第三章·铁与金属材料·硫及其化合物,化学必修第一册·第三章·铁与金属材料,其唯一节点『铜及其化合物的易错点』（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第二册·第六章·化学反应与能量·配合物与超分子,化学选择性必修2·物质结构与性质·配合物与超分子,节点『超分子』章表定位选必二（2026-09-19 主题去重第二批）
CHEMISTRY,merge,化学必修第一册·第三章·铁与金属材料·金属的腐蚀与防护,化学必修第一册·第三章·铁与金属材料·金属材料,其唯一节点『金属的冶炼 金属矿物的开发』（2026-09-19 主题去重第二批）
BIOLOGY,merge,生物学必修1·第二章·细胞的分子组成·DNA是主要的遗传物质,生物学必修1·第二章·细胞的分子组成·细胞中的元素和化合物,其唯一节点『有机物的水解与氧化分解产物』是必修1 第二章有机物内容（2026-09-19 主题去重第二批）
BIOLOGY,merge,生物学必修2·第一章·遗传的细胞基础·伴性遗传,生物学必修2·第一章第二节·遗传的基本规律·伴性遗传,同名主题去重：并入遗传基本规律一侧（2026-09-19 主题去重第二批）
BIOLOGY,merge,生物学选择性必修1·第二章·神经调节·体液调节与神经调节的关系,生物学选择性必修1·第三章·体液调节·体液调节与神经调节的关系,2019 版『神经调节与体液调节的关系』在第三章（2026-09-19 主题去重第二批）
BIOLOGY,merge,生物学必修1·第四章·物质的输入与输出·动物细胞工程,生物学必修1·第四章·物质的输入与输出·被动运输,其唯一节点『动物细胞的吸水和失水』是渗透/被动运输内容（2026-09-19 主题去重第二批）
BIOLOGY,merge,生物学必修1·第四章·物质的输入与输出·植物细胞工程,生物学必修1·第四章·物质的输入与输出·被动运输,其唯一节点『成熟植物细胞的吸水和失水』（2026-09-19 主题去重第二批）
BIOLOGY,merge,生物学必修2·第五六章·变异与进化·植物细胞工程,生物学必修2·第五六章·变异与进化·染色体变异,其唯一节点『实验：低温诱导植物细胞染色体数目变化』是染色体变异实验（2026-09-19 主题去重第二批）
CHEMISTRY,delete_empty,化学必修第二册·第五章·硫氮及其化合物·环境保护与绿色化学,,同名主题的空壳副本（0 点 0 子，2026-09-19 主题去重第二批）
CHEMISTRY,delete_empty,化学必修第一册·第三章·铁与金属材料·物质的分类及转化,,同名主题的空壳副本（0 点 0 子，2026-09-19 主题去重第二批）
BIOLOGY,delete_empty,生物学必修1·第四章·物质的输入与输出·DNA是主要的遗传物质,,同名主题的空壳副本（0 点 0 子，2026-09-19 主题去重第二批）
