chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-059,MATERIAL,关联速度的分析-运动分解的核心思想,METHOD_MODEL,关联速度问题的三步分析法,把绳（杆）牵连的关联速度问题固定为找实际速度、分解实际速度、沿绳（杆）方向分速度相等三步。,绳或杆牵连的两个物体运动方向不同、要求两端速度或加速度关系的题。,**物理依据**：绳和杆都不可伸长，因此两端沿绳（杆）方向的速度分量必定相等。以绳子转动为例，物体 C 通过绳子拉着物体 D 向右运动时，绳的两端 a、b 均逆时针转动；a、b 两点的运动都可以看成沿绳方向的运动与垂直于绳方向的运动的合运动，同一根绳上任意两点沿绳方向的分速度相同，所以 $v_2=v_3$。\n\n**三步法**：\n\n- 第一步 找实际速度：画出绳（杆）两端物体的实际速度，接触面模型则找出两物体接触处的实际速度。实际速度就是合速度。\n- 第二步 分解实际速度：按沿绳垂绳、沿杆垂杆或沿接触面垂直于接触面的方向正交分解。\n- 第三步 列等式：沿绳、沿杆、垂直于接触面方向的速度大小相等。\n\n**应用示例（2025 黑龙江卷 聚力建高塔）**：塔块竖直匀速下落，两同学在同一水平面内以相同速率 $v$ 相向拉绳。设绳与竖直方向夹角为 $\theta$，把塔块速度 $v_{块}$ 与同学的速度 $v$ 都沿绳和垂直绳方向分解，由沿绳方向分速度相等得 $v_{块}\cos\theta=v\sin\theta$，即 $v=\frac{v_{块}}{\tan\theta}$。塔块匀速下落时 $\theta$ 不断减小，所以 $v$ 一直增大。,分解的对象必须是物体的实际速度（合速度）；沿绳（杆）方向分速度相等的前提是绳、杆不可伸长，绳松弛或杆可伸缩时不能使用；垂直于绳（杆）方向的分速度一般不相等；绳两端物体速度方向可以完全不同，要先判断哪一端的速度是沿绳方向的；用几何关系把分速度表示为角度的三角函数时角度取错会直接得到反比关系。,p59 关联速度问题分析步骤＋示例1,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-060,MATERIAL,平抛运动的两个重要结论,METHOD_MODEL,平抛运动两条推论及用法,平抛运动中速度偏转角的正切等于位移偏转角正切的二倍，末速度的反向延长线一定通过水平位移的中点。,平抛运动中求速度方向、位移方向或夹角关系的题，判断末速度反向延长线位置的几何关系题。,**大招识别**：物体做平抛运动，题目要求计算物体的速度、位移和角度问题时可立即调用这两条推论。\n\n**推论一（角度关系）**：速度偏转角的正切值等于位移偏转角正切值的 2 倍，即 $\tan\theta=2\tan\alpha$。其中 $\alpha$ 是位移与水平方向的夹角（位移偏转角），$\theta$ 是末速度与水平方向的夹角（速度偏转角）。\n\n**推论二（延长线过中点）**：末速度的反向延长线与水平方向的交点一定在水平位移的中点，即 $x_1=x_2$；也就是说末速度的反向延长线平分该段的水平位移。\n\n**用法**：把平抛运动分解为水平方向的匀速直线运动和竖直方向的自由落体运动，分别写出 $v_x=v_0$、$v_y=gt$、$x=v_0t$、$y=\frac{1}{2}gt^2$，再用 $\tan\alpha=\frac{y}{x}$、$\tan\theta=\frac{v_y}{v_x}$ 建立关系。两条推论都由这一组表达式直接推出，凡是平抛中的角度与几何问题都优先考虑它们。,只适用于初速度水平、只受重力的平抛运动；$\theta$、$\alpha$ 都必须是与水平方向的夹角，取角基准错误会得出错误的倍数关系；推论二中的中点是水平位移的中点，不是轨迹上某点到抛出点距离的中点。,p60 大招25：平抛运动的推论（大招识别＋大招解读）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-061,MATERIAL,平抛运动与斜面的结合分析,METHOD_MODEL,平抛与斜面结合的两类问题解法,从斜面上抛出又落回斜面时位移偏转角等于斜面倾角，垂直打在斜面上时速度方向由斜面倾角约束，两类问题破题点不同。,在斜面上方水平抛出小球的题，求空中运动时间、落点距离、末速度方向或垂直打到斜面的条件题。,**两类问题的区分**：第一类是从斜面上的某点抛出、又落回同一个斜面；第二类是要求平抛的末速度垂直打在斜面上。两者的约束条件完全不同。\n\n**第一类 落在斜面上**：这类平抛运动的位移偏转角等于斜面的倾角 $\alpha$；由推论 $\tan\theta=2\tan\alpha$ 知 $\alpha$ 为定值时速度偏转角 $\theta$ 也为定值，于是末速度与斜面的夹角 $\gamma=\theta-\alpha$ 也是定值。即同一斜面上水平抛出又落回斜面时，末速度方向与斜面的夹角恒定，与初速度大小无关。\n\n**第二类 垂直打在斜面上**：核心是写出落到斜面时的速度与竖直方向夹角的正切。速度垂直于斜面时，速度与竖直方向的夹角等于斜面倾角 $\theta$，即 $\tan\theta=\frac{v_0}{gt}$，由此得空中运动时间 $t=\frac{v_0}{g\tan\theta}$。\n\n**常规分解法**：落在斜面上时沿斜面和垂直斜面分解位移，把抛点到落点的距离记为 $L$，有 $L\sin\theta=\frac{1}{2}gt^2$ 与 $L\cos\theta=v_0t$，联立得 $t=\frac{2v_0\tan\theta}{g}$，水平距离 $x=L\cos\theta=\frac{2v_0^2\tan\theta}{g}$。,第一类结论要求抛出点与落点在同一斜面上且初速度水平；第二类用的是速度方向垂直于斜面这一约束，不能与位移偏转角等于倾角混用；两类问题中的角分别相对水平方向和竖直方向，换算时容易取错；初速度不水平（斜抛）时不适用。,p61 平抛与斜面（两类）＋示例1解析,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-061,MATERIAL,平抛运动的两个重要结论,DERIVATION,平抛两条推论的证明,用水平与竖直两个方向的分运动表达式证明速度偏角与位移偏角的二倍关系以及末速度反向延长线过水平位移中点。,需要理解两条平抛推论来源的推导题，或题目要求判断末速度反向延长线位置的几何关系题。,设平抛的初速度为 $v_0$，经过时间 $t$ 落在 A 点，取水平方向为 $x$ 轴、竖直向下为 $y$ 轴。\n\n分运动表达式：水平方向 $x=v_0t$，竖直方向 $y=\frac{1}{2}gt^2$；分速度 $v_x=v_0$，$v_y=gt$。\n\n**证明推论一**：位移偏转角正切 $\tan\alpha=\frac{y}{x}=\frac{\frac{1}{2}gt^2}{v_0t}=\frac{gt}{2v_0}$；速度偏转角正切 $\tan\theta=\frac{v_y}{v_x}=\frac{gt}{v_0}$。两式相比即得 $\tan\theta=2\tan\alpha$。\n\n**证明推论二**：设末速度的反向延长线交 $x$ 轴于 B 点，落点在 $x$ 轴上的投影到 B 的距离为 $x_2$，则 $\tan\theta=\frac{y}{x_2}$；又 $\tan\alpha=\frac{y}{x_1+x_2}$，其中 $x_1$ 为抛出点到 B 点的距离，$x_1+x_2$ 为该段的水平位移。代入 $\tan\theta=2\tan\alpha$ 得 $\frac{y}{x_2}=\frac{2y}{x_1+x_2}$，即 $x_1+x_2=2x_2$，所以 $x_1=x_2$，B 点正是水平位移的中点。,证明的前提是初速度水平且忽略空气阻力；$\tan\theta=\frac{y}{x_2}$ 与 $\tan\alpha=\frac{y}{x_1+x_2}$ 是同一个竖直位移 $y$ 在两个直角三角形中的表达，画图时不要把 $x_1$、$x_2$ 的量取位置弄反；结论对运动中任意时刻都成立，不必等到落地。,p61 平抛两条推论的证明,b
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-062,MATERIAL,NEW:口诀法比较平抛轨迹,METHOD_MODEL,口诀法速解平抛轨迹比较,用高度大时间长、同起点大压小、起点不同先平移的口诀，快速比较多个平抛轨迹的初速度与飞行时间。,给出两条或多条平抛轨迹，要求比较初速度大小、判断落地先后或比较水平射程的图象题与选择题。,**大招识别**：① 给出两个或多个物体的平抛轨迹，比较物体的初速度和落地时间；② 抛出点在斜面上的同一点，以不同初速度做平抛运动，求各物理量的比例关系。\n\n**口诀**：高度大时间长，同起点大压小，起点不同先平移。\n\n**原理**：由竖直位移 $h=\frac{1}{2}gt^2$ 可知下落高度 $h$ 越大下落时间越长，$t=\sqrt{\frac{2h}{g}}$；由水平位移 $x=v_0t$ 可知从抛出时刻起下落相同时间时，初速度 $v_0$ 越大水平位移越大。\n\n**口诀用法**：\n\n- 高度大时间长：比较竖直高度，高的轨迹对应时间更长。\n- 同起点大压小：同一抛出点的两条轨迹，初速度大的轨迹在初速度小的轨迹上面（相同水平位置处更高），即大压小。\n- 起点不同先平移：抛出点不同时，先把其中一条轨迹平移到与另一条轨迹抛出点重合，再按大压小比较。,只适用于初速度水平且不计空气阻力的平抛轨迹比较；口诀只作定性判断，涉及具体数值时必须回到 $t=\sqrt{\frac{2h}{g}}$ 与 $x=v_0t$ 计算；比较高度时取的是下降的竖直高度，不是轨迹上某点到抛出点的直线距离；平移法只对水平方向的比较有效。,p62 大招26：口诀法速解平抛轨迹比较；建议父级：曲线运动/平抛运动（大招识别＋大招解读1）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-063,MATERIAL,平抛运动与斜面的结合分析,METHOD_MODEL,斜面平抛的比例关系与口诀,从斜面上同一点以 n 倍初速度平抛且都落回斜面时时间与速度都变为 n 倍、位移变为 n 方倍。,同一斜面上同一点多次平抛且都落在斜面上的比较题，求时间比、速度比、位移比或射程比。,**模型**：斜面倾角为 $\theta$，小球从斜面上同一位置做两次平抛且均落在斜面上，第一次初速度 $v_1=v_0$，第二次初速度 $v_2=nv_0$。\n\n**各物理量的比例**（第二次与第一次之比）：\n\n- 时间关系：由结论 $\tan\theta_{速}=2\tan\theta=\frac{gt}{v_0}$ 可知 $t$ 与 $v_0$ 成正比，故 $t_2=nt_1$。\n- 速度关系：由 $v_y=gt$ 知第二次的竖直分速度是第一次的 $n$ 倍，水平分速度也是 $n$ 倍，再由 $v=\sqrt{v_0^2+v_y^2}$ 知合速度也是 $n$ 倍，即 $v_{合2}=nv_{合1}$。\n- 水平位移关系：由 $x=v_0t$ 得 $x_2=n^2x_1$。\n- 竖直位移关系：由 $h=\frac{1}{2}gt^2$ 得 $h_2=n^2h_1$。\n- 合位移关系：由 $s=\sqrt{x^2+h^2}$ 知 $s_2=n^2s_1$。\n\n**口诀**：$t$（$v$）之比 $n$ 不变，只有位移要 $n$ 方。\n\n**使用条件**：两次运动最终都落在斜面上，都不得飞出斜面。,口诀只在两次落点都在同一斜面上时成立；题目没有明确说明是否都落在斜面上时必须分情况讨论：都落在斜面上时水平位移之比为 $n^2$，都不落在斜面上时两次竖直高度相同、时间相同而水平位移之比为 $n$，只有一个小球落在斜面上时比值介于两者之间；比例中的 $n$ 是第二次与第一次初速度之比，不要与位移之比的 $n^2$ 混用。,p63 大招26 斜面平抛比例问题＋示例1、示例2,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-064,MATERIAL,水平转盘上运动物体模型,METHOD_MODEL,单物块圆盘模型的滑动临界,圆盘上物块随盘转动时静摩擦力提供向心力，角速度达到 sqrt(μg/r) 时物块向外滑动，临界角速度与质量无关而与半径的平方根成反比。,物块随粗糙圆盘一起转动、求所需摩擦力或求开始滑动（离心）时的角速度与转速的题。,**模型**：物块放在转动的粗糙圆盘上，跟着圆盘做圆周运动。\n\n**受力与向心力**：圆盘角速度 $\omega$ 较小时物块与圆盘保持相对静止，二者角速度相同；物块做圆周运动所需的向心力由圆盘对物块的静摩擦力提供（设最大静摩擦力等于滑动摩擦力），$f=m\omega^2r$。\n\n**临界条件**：随着 $\omega$ 增大，所需的向心力增大，当需要的向心力达到最大静摩擦力 $\mu mg$ 时，若 $\omega$ 继续增大，摩擦力不足以提供所需的向心力，物块就会向外滑动做离心运动。滑动临界方程为 $\mu mg=m\omega^2r$，解得临界角速度 $\omega=\sqrt{\frac{\mu g}{r}}$。\n\n**两点结论**：①临界角速度与物块质量无关；②物块越靠外（$r$ 越大）临界角速度越小，越容易向外滑动。,只适用于物块与圆盘一起绕盘心做圆周运动、由静摩擦力提供向心力的情形，最大静摩擦力按等于滑动摩擦力处理；$\omega=\sqrt{\frac{\mu g}{r}}$ 是对单个物块而言，绳连接多个物块时不能直接用；物块相对圆盘滑动后摩擦力方向不再是沿半径指向圆心，不能继续用该公式判断；圆盘突然启动或加速时还要判断物块是随盘转动还是相对盘滑动。,p64 大招27：圆盘模型（大招识别＋单物体圆盘模型）,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-064,MATERIAL,水平面内圆周运动中的多物体牵连问题,METHOD_MODEL,绳连多物块圆盘的拉力临界,圆盘上两物块用绳相连时较远的物块先达到临界角速度，该角速度是绳上产生拉力的临界而不是整体滑动的临界。,两个或多个物块放在圆盘上被绳连接、求绳开始有力或求物块开始滑动的角速度的题。,**模型**：两个或多个物块被绳子相连放在圆盘上。\n\n**绳未绷紧阶段**：$\omega$ 较小时 A、B 均与圆盘保持静止，绳上没有力，各自的向心力由各自受到的静摩擦力提供。\n\n**绳开始绷紧的临界**：若 A、B 与圆盘间的动摩擦因数相同（即最大静摩擦力均等于滑动摩擦力），由 $\omega=\sqrt{\frac{\mu g}{r}}$ 知半径较大的物块 B 的滑动临界角速度较小。当 $\omega=\sqrt{\frac{\mu g}{r_B}}$ 时 B 达到临界状态，此时 B 所需的向心力恰好等于最大静摩擦力。\n\n**关键结论**：B 若继续外滑，绳子立即绷紧并产生拉力 $T$，拉力方向沿半径向内，B 被绳拉住而不会真的滑动。因此在多物块圆盘中，$\omega=\sqrt{\frac{\mu g}{r_{远}}}$ 并非滑动的临界角速度，而是绳子上产生拉力的临界角速度。,结论建立在两物块与圆盘间的动摩擦因数相同、绳不可伸长且绳长不变的前提下；绳绷紧后两物块的角速度仍等于圆盘角速度，但各自摩擦力的方向与大小都要重新分析；若两物块动摩擦因数不同，必须分别算出各自的 $\sqrt{\frac{\mu g}{r}}$ 再比较谁先达到临界，不能只看半径大小。,p64 大招27：圆盘模型（多物体圆盘模型）,b
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-065,MATERIAL,水平面内圆周运动中的多物体牵连问题,METHOD_MODEL,质心等效法求圆盘滑动临界,把绳连的两物块等效为位于质心处的整体质点，求出等效圆周半径，再用单物块模型判断整体滑动的临界角速度。,绳连两物块随圆盘转动、要求两物块一起开始滑动的角速度的题。,**问题**：绳连的 A、B 中较远的物块先达到最大静摩擦力后并不会滑动，那么圆盘角速度为多少时 A、B 才会真的滑动？\n\n**等效思想**：将 A、B 组成的系统等效看成位于 $O$ 点处的质点，把多物体圆盘模型简化成单物体圆盘模型：等效质点的质量等于 A、B 的总质量，$O$ 的位置由质心公式 $m_Ax_A=m_Bx_B$ 求出，再与绳长关系 $x_A+x_B=L$ 联立解出 $x_A$。\n\n**临界角速度**：等效质点做圆周运动的半径 $r_{整}=r_A+x_A$，对等效质点套用单物块圆盘模型的结论即得整体滑动的临界角速度 $\omega=\sqrt{\frac{\mu g}{r_{整}}}$。若两物块质量相等，$O$ 就在两物块连线的正中间，不必计算。\n\n**物块位于旋转中心两侧时**：仍可用质心法求临界条件，但等效半径改为 $r_{整}=|x_A-r_A|$（取 B 为离圆盘中心较远的物块），并分三种情形：①两物块连线中点与质心在旋转中心同一侧；②质心恰在旋转中心，则绳子断之前 A、B 不会相对圆盘滑动，只有较远的物块达到最大静摩擦力；③两物块连线中点与质心位于旋转中心两侧。,等效质点法成立的前提是两物块与圆盘间的动摩擦因数相同、绳不可伸长；它求的是整体滑动的临界，不能用来求绳开始有拉力的角速度；$x_A$、$x_B$ 是各物块到质心的距离，$r_{整}=r_A+x_A$ 的加法只在两物块位于旋转中心同侧时成立，异侧要用 $|x_A-r_A|$；绳被拉断后等效模型失效。,p65 质心法求整体滑动临界＋两端物块情形,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-065,MATERIAL,水平面内圆周运动中的多物体牵连问题,REPRESENTATION_GUIDE,圆盘多物块随角速度变化的四阶段分析,绳连两物块随圆盘加速时摩擦力与绳拉力按角速度分成四个阶段变化，f-ω² 图像是斜率分段的折线。,分析绳连物块在圆盘上随角速度增大时的状态变化、判断某角速度下摩擦力与绳拉力大小的图像题。,把圆盘角速度 $\omega$ 从小到大分成几段分析（较远物块记为 B、较近物块记为 A）：\n\n| 条件 | 状态分析 |\n|---|---|\n| $\omega<\sqrt{\frac{\mu g}{r_{远}}}$ | 随着 $\omega$ 增大，A、B 受到的摩擦力均增大 |\n| $\omega=\sqrt{\frac{\mu g}{r_{远}}}$ | B 受到的摩擦力达到最大静摩擦力 |\n| $\sqrt{\frac{\mu g}{r_{远}}}<\omega<\sqrt{\frac{\mu g}{r_{整}}}$ | 随着 $\omega$ 增大，B 受到的摩擦力不再增大，A 受到的摩擦力继续增大，绳子的拉力逐渐增大 |\n| $\omega=\sqrt{\frac{\mu g}{r_{整}}}$ | A 受到的摩擦力也达到最大静摩擦力 |\n| $\omega>\sqrt{\frac{\mu g}{r_{整}}}$ | A、B 一起滑动 |\n\n**图像**：以 $\omega^2$ 为横轴、摩擦力 $f$ 为纵轴，B 的摩擦力图像是在 $\frac{\mu g}{r_{远}}$ 处达到最大值后转为水平的折线；A 的摩擦力图像是斜率不变、直到 $\frac{\mu g}{r_{整}}$ 才水平的折线。注意 A、B 的最大静摩擦力大小关系不确定，A 的摩擦力图像可能是图中①②③中的任意一种。\n\n**异侧情形**：两物块位于圆盘中心两侧时，$f-\omega^2$ 图像与同侧不同，要根据两物块连线中点、质心与旋转中心的位置关系选用对应的图像。,阶段划分与折线图像只对动摩擦因数相同的两物块成立；$\omega=\sqrt{\frac{\mu g}{r_{远}}}$ 处只是绳开始有力、不是滑动临界，$\omega=\sqrt{\frac{\mu g}{r_{整}}}$ 才是整体滑动的临界；读图时横轴是角速度的平方而不是角速度，把 f 与 ω 的关系当作正比会看错图像形状；第二段里绳的拉力逐渐增大，在达到整体临界之前不能把绳当作刚性约束。,p65 圆盘模型的四阶段状态表与 f-ω² 图像,b
