subject,candidate_slug,status,target_node_slug,evidence_phrase,note
MATH,required-preparatory-knowledge-candidate-001,COVERED,集合的含义与表示,研究对象统称为元素、一些元素组成的总体叫做集合,原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-preparatory-knowledge-candidate-002,COVERED,集合的含义与表示,用符号语言刻画集合（大写拉丁字母表集合）,原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-preparatory-knowledge-candidate-003,COVERED,空集,空集是任何集合的子集，是任何非空集合的真子集,原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-preparatory-knowledge-candidate-004,COVERED,判断集合间的关系,"理解集合之间包含与相等的含义,能识别给定集合的子集",
MATH,required-preparatory-knowledge-candidate-005,COVERED,交集与并集,A∩B={x|x∈A且x∈B}；A∪B={x|x∈A或x∈B},原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-preparatory-knowledge-candidate-006,COVERED,补集,∁ᵤA 由全集 U 中不属于 A 的元素组成,原缺口已由 2026-09-18 第三批直抽材料闭合
MATH,required-preparatory-knowledge-candidate-007,COVERED,venn图在集合运算中的应用,能使用 V e n n图表达集合的基本关系与基本运算,
MATH,required-preparatory-knowledge-candidate-008,COVERED,充分条件与必要条件的判断,"理解必要条件的意义,理解性质定理与必要条件的关系",
MATH,required-preparatory-knowledge-candidate-009,COVERED,充分条件与必要条件的判断,"理解充分条件的意义,理解判定定理与充分条件的关系",同一节点兼覆盖充分/必要两条课标
MATH,required-preparatory-knowledge-candidate-010,COVERED,充要条件,"理解充要条件的意义,理解数学定义与充要条件的关系",
MATH,required-preparatory-knowledge-candidate-011,COVERED,全称量词与全称量词命题,理解全称量词与存在量词的意义,存在量词见 存在量词与存在量词命题
MATH,required-preparatory-knowledge-candidate-012,COVERED,命题的否定-对命题p加以否定-得到一个新的命题-记作-读作-非p-或p的否定,能正确使用存在量词对全称量词命题进行否定,易错面另见 对含有一个量词命题的否定理解错误致错
MATH,required-preparatory-knowledge-candidate-013,COVERED,命题的否定-对命题p加以否定-得到一个新的命题-记作-读作-非p-或p的否定,能正确使用全称量词对存在量词命题进行否定,
MATH,required-preparatory-knowledge-candidate-014,COVERED,不等式的基本性质,"梳理等式的性质,理解不等式的概念,掌握不等式的性质",等式性质未单设节点
MATH,required-preparatory-knowledge-candidate-015,COVERED,基本不等式,掌握基本不等式,求最值面见 利用基本不等式求最值/基本不等式的实际应用
MATH,required-preparatory-knowledge-candidate-016,COVERED,函数零点的定义,"会结合一元二次函数的图象,判断一元二次方程实根的存在性及实根的个数,了解函数的零点与方程根的关系",
MATH,required-preparatory-knowledge-candidate-017,COVERED,一元二次不等式,能借助一元二次函数求解一元二次不等式,步骤见 解一元二次不等式的步骤
MATH,required-preparatory-knowledge-candidate-018,COVERED,一元二次不等式,"借助一元二次函数的图象,了解一元二次不等式与相应函数、方程的联系",
MATH,required-functions-candidate-001,COVERED,函数的概念,"用集合语言和对应关系刻画函数,建立完整的函数概念",三要素见 函数的三要素
