node_slug,type,title,summary,applicability,content,boundary,note
晶体,CONCEPT_EXPLANATION,晶体的结构特征与获得途径,晶体内部微粒在三维空间里周期性有序排列；据此表现自范性、固定熔点与各向异性，可用X射线衍射测定结构,晶体与非晶体的辨析及结构测定方法选择,①结构特征：晶体内部原子在三维空间里呈周期性有序排列，这是晶体区别于非晶体的根本标志。②性质特征：自范性（能自发呈现多面体外形）、固定熔点、各向异性（沿不同方向物理性质不同）。③获得途径：熔融态物质凝固、气态物质凝华、溶质从溶液中析出。④结构测定：X射线衍射实验，可确定晶胞的形状、大小以及微粒在晶胞中的位置。⑤判断某固体是否为晶体不能只看外形是否规则，应依据有无固定熔点、是否表现各向异性，或用X射线衍射实验验证。,非晶体没有自范性和固定熔点，不能仅凭外形规则与否判断晶体,五三化学精讲册 P0056（书内页码 54）
晶胞,CONCEPT_EXPLANATION,晶胞的概念与晶体中的配位数,晶胞是描述晶体结构的基本单元，在晶体中无隙并置排列；离子晶体与金属晶体中微粒的配位数有规律,晶胞概念判断与NaCl、金属钠晶胞配位数分析,①概念：晶胞是描述晶体结构的基本单元，是从晶体中截取出来的具有代表性的最小重复单位。②晶胞在晶体中的排列呈无隙并置：相邻晶胞之间没有任何空隙，所有晶胞平行排列、取向相同，一般而言晶胞都是平行六面体。③离子晶体中离子的配位数指1个离子周围最邻近的异性离子的数目，例如NaCl晶胞中Na⁺和Cl⁻的配位数均为6。④金属晶体中原子的配位数指1个原子周围最邻近的原子的数目，例如金属Na晶胞中Na原子的配位数为8。⑤判断配位数时要看清是异性离子还是同种微粒，并注意顶点、棱、面上的微粒被多个晶胞共用。,配位数只数最邻近的微粒，不能把同种微粒与异性离子混为一谈,五三化学精讲册 P0056（书内页码 54）
离子晶体,CONCEPT_EXPLANATION,NaCl型与CsCl型晶胞结构分析,两种典型离子晶体的配位数与晶胞微粒数：NaCl型配位数为6且晶胞含4个Na⁺和4个Cl⁻，CsCl型配位数为8且晶胞含1个Cs⁺和1个Cl⁻,离子晶体晶胞结构判断与微粒数目计算,①干冰晶胞中8个CO₂分子构成立方体，6个面心各有1个CO₂分子，每个CO₂分子周围等距且紧邻的CO₂分子有12个。②NaCl型晶胞：每个Na⁺（Cl⁻）周围等距且紧邻的Cl⁻（Na⁺）有6个，构成正八面体；每个Na⁺（Cl⁻）周围等距且紧邻的Na⁺（Cl⁻）有12个；每个晶胞中含4个Na⁺和4个Cl⁻。③CsCl型晶胞：每个Cs⁺（Cl⁻）周围等距且紧邻的Cl⁻（Cs⁺）有8个；每个Cs⁺周围等距且紧邻的Cs⁺有6个；每个晶胞中含1个Cs⁺和1个Cl⁻。④两者化学式均为1∶1，配位数不同源于离子半径比不同，计算晶胞微粒数必须使用均摊法。,配位数是异性离子数，同种离子间距要用均摊法另行计算,五三化学精讲册 P0057（书内页码 55）
过渡晶体与混合型晶体,CONCEPT_EXPLANATION,过渡晶体与石墨混合型晶体,四类典型晶体之间存在过渡晶体，离子键成分百分数越大越接近离子晶体；石墨是典型的混合型晶体,晶体类型归属判断及石墨结构与导电性成因分析,①纯粹的分子晶体、共价晶体、金属晶体、离子晶体四种典型晶体并不多，大多数晶体是它们之间的过渡晶体。②过渡晶体的性质与离子键成分的百分数有关：离子键成分的百分数越大，性质上与纯粹的离子晶体越接近，通常当作离子晶体处理；百分数越小，越接近共价晶体。电负性差值越大，离子键成分的百分数越大，例如Na₂O>MgO>Al₂O₃。③石墨属于混合型晶体：同层内碳原子采取sp²杂化，以共价键（σ键）结合形成平面六元并环结构。④层与层之间靠范德华力维系，每个碳原子的配位数为3；另有1个未参与杂化的2p电子，其p轨道相互平行且重叠，电子可在整个碳原子平面中运动，使石墨具有类似金属晶体的导电性。,石墨是混合型晶体，不能简单归为分子晶体或共价晶体,五三化学精讲册 P0057（书内页码 55）
晶体熔-沸点高低的比较方法,METHOD_MODEL,熔沸点高低比较的分类模型,先比晶体类型，再按分子晶体、共价晶体、离子晶体、金属晶体四类分别比较微粒间作用力的强弱,晶体熔沸点高低比较类选择题与填空题,①不同类型晶体：熔沸点一般规律为共价晶体>离子晶体>分子晶体，不同金属晶体差别较大。②分子晶体：先看能否形成分子间氢键，分子间氢键越多越强则熔沸点越高，如H₂O>H₂S、乙二醇>乙醇；形成分子内氢键则降低熔沸点，如邻羟基苯甲醛<对羟基苯甲醛。不能形成氢键时，组成和结构相似的物质相对分子质量越大、范德华力越强，熔沸点越高，如HI>HBr>HCl；相对分子质量接近时分子极性越大，熔沸点越高，如CO>N₂；互为同分异构体的烷烃支链越多沸点越低，如正戊烷>异戊烷>新戊烷。③共价晶体：成键原子半径越小、键长越短、键能越大，熔沸点越高，如金刚石>SiC>单晶硅。④离子晶体：阴、阳离子所带电荷数越多、离子半径越小，离子键越强，如MgO>NaCl>CsCl。⑤金属晶体：金属阳离子半径越小、所带电荷数越多，金属键越强，如Al>Mg>Na。,氢键分分子间与分子内，分子内氢键反而降低熔沸点,五三化学精讲册 P0058（书内页码 56）
晶胞组成的计算-均摊法,METHOD_MODEL,均摊法计算晶胞中的微粒数,均摊法的关键是确定一个微粒为几个晶胞共有；长方体与非长方体结构单元各位置的均摊份额不同,晶胞化学式的确定与晶胞微粒数目计算,①原则：晶胞任意位置上的一个原子如果被n个晶胞共有，则每个晶胞对这个原子分得的份额为1/n。②长方体（包括立方体）晶胞：顶点为8个晶胞共有，占1/8；棱上为4个晶胞共有，占1/4；面上为2个晶胞共有，占1/2；体内全部属于该晶胞，占1。③非长方体结构单元：三棱柱晶胞顶点占1/12、上下底面棱上占1/6、侧棱占1/4、面上占1/2；六棱柱晶胞顶点占1/6、上下面棱上占1/4、侧棱占1/3、面上占1/2、内部占1。④求出晶胞中各微粒数目之比即可确定化学式。⑤审题时必须注意题目给的是分子结构还是晶体结构：分子结构中所有实际存在的原子个数都要计入，原子个数比可以不约简。,分子结构的原子个数比不能约简，与晶体结构的处理不同,五三化学精讲册 P0059（书内页码 57）
晶胞,REPRESENTATION_GUIDE,分数坐标、原子间距与晶胞投影,用截距法确定原子分数坐标；由晶胞边长与位置关系求原子最短距离；投影图用于描述晶胞的空间排布,晶胞分数坐标书写、原子最短距离计算与投影图判断,①单位换算：1 pm=10⁻¹⁰ cm=10⁻¹² m，1 nm=10⁻⁷ cm=10⁻⁹ m。②截距法确定分数坐标：以某顶点原子为原点、晶胞参数为单位长度建立坐标系；确定某原子坐标时，过该原子作三个平行于坐标轴的平面，三个平面在三条坐标轴上的截距占晶胞边长的分数即为该原子的分数坐标。如体心M点三个截距均为1/2，分数坐标为（1/2，1/2，1/2）；金刚石晶胞中体内原子的分数坐标为1/4或3/4。③原子间距：简单立方d=2r=a；体心立方d=2r=(√3/2)a；面心立方d=2r=(√2/2)a；金刚石型d=2r=(√3/4)a。④也可由两原子的分数坐标按d=√［(x₁-x₂)²+(y₁-y₂)²+(z₁-z₂)²］×a计算。,面心立方与体心立方的最短距离公式不同，不能混用,五三化学精讲册 P0060（书内页码 58）
中和热,METHOD_MODEL,中和反应反应热测定的关键操作,测定中和反应反应热时的保温、碱稍过量、终止温度取最高温度及搅拌器选择等操作要点,中和反应反应热测定的误差分析与原因说明,①计算公式中各符号含义：c为反应后生成溶液的比热容，近似为4.18 J·g⁻¹·℃⁻¹；t₁为起始温度；t₂为终止温度；n为生成H₂O的物质的量。②杯盖、隔热层、外壳的作用是保温，减少热量损失，否则测得的温度变化偏小、结果偏低。③为保证酸被完全中和，通常采用稍过量的碱，使酸完全反应。④终止温度t₂应取反应过程中的最高温度，不能取反应结束后温度下降后的读数。⑤玻璃搅拌器不能用铜质搅拌器代替，铜导热性好会使热量散失。⑥用醋酸溶液代替盐酸测定时，因醋酸电离吸热，测得反应热的绝对值低于57.3 kJ·mol⁻¹。,终止温度取最高温度，不能用反应结束后的温度读数,五三化学精讲册 P0063（书内页码 61）
热化学方程式,CONCEPT_EXPLANATION,热化学方程式的书写要求,必须注明温度压强与物质聚集状态，ΔH数值与化学计量数对应，且单位kJ·mol⁻¹指每摩尔反应,热化学方程式正误判断与规范书写,①意义：热化学方程式表明化学反应中的物质变化和能量变化，如2H₂(g)+O₂(g)===2H₂O(l) ΔH=-571.6 kJ·mol⁻¹表示25 ℃和101 kPa下，2 mol氢气和1 mol氧气反应生成2 mol液态水时放出571.6 kJ的热量。②写出正确的化学方程式，注明反应的温度和压强（25 ℃、101 kPa下的反应可不注明）。③注明各物质的聚集状态，固态为s、液态为l、气态为g、水溶液为aq，不用向上和向下箭头表示气体和沉淀。④吸热反应ΔH的数值为正值，放热反应ΔH的数值为负值。⑤ΔH单位中的mol⁻¹指每摩尔反应，不是每摩尔某物质，各物质化学计量数可以是整数也可以是分数，ΔH数值必须与具体化学方程式对应。⑥化学计量数加倍则ΔH也加倍；方程式逆向书写则ΔH改变符号，但绝对值不变。⑦无论反应是否可逆，热化学方程式中的ΔH都表示反应进行到底时的能量变化。,化学计量数改变时ΔH必须同步改变，不能只改方程式,五三化学精讲册 P0064（书内页码 62）
盖斯定律,DERIVATION,用盖斯定律叠加计算反应热,反应热只与始态和终态有关而与途径无关；用虚拟路径法、留元法与消元法叠加已知热化学方程式求目标反应热,由已知热化学方程式计算目标反应的反应热,①盖斯定律的内容：不管化学反应是一步完成还是分几步完成，其反应热是相同的，即化学反应的反应热只与反应体系的始态和终态有关，而与反应的途径无关。②应用：有些反应很难直接测其反应热，可用盖斯定律间接计算。③虚拟路径法：若由A到D有两条路径，则ΔH=ΔH₁+ΔH₂+ΔH₃。④留元法：对比已知热化学方程式和目标热化学方程式，找出目标方程式中有、且已知方程式中只出现一次的物质X，判断X在同侧还是异侧，据此统一化学计量数并将已知ΔH乘以相应倍数再相加。⑤消元法：消去目标方程式中没有、但已知方程式中出现两次的物质Y，将已知方程式作化学计量数调整或适当颠倒后叠加。⑥部分题目需要同时使用留元法和消元法。⑦也可由反应物与生成物总能量、键能或活化能计算ΔH。,同侧相减、异侧相加，倍数关系要与ΔH同步,五三化学精讲册 P0064（书内页码 62）
