subject,pdf_page,content_page,candidate,match_kind,node_slug,node_name
MATH,0006,2,集合中元素的三个特性,none,,
MATH,0006,2,元素与集合的关系,none,,
MATH,0006,2,常用数集的符号表示,none,,
MATH,0006,2,集合的三种表示方法,none,,
MATH,0006,2,集合相等的定义,none,,
MATH,0006,2,子集与真子集的定义与记法,none,,
MATH,0006,2,空集是任何集合的子集、是任何非空集合的真子集,none,,
MATH,0006,2,"集合关系问题中""空集情形""的易错点",none,,
MATH,0006,2,点集与数集的属性区别,none,,
MATH,0006,2,含有 $n$ 个元素的集合的子集、真子集、非空子集、非空真子集个数,none,,
MATH,0006,2,并集的定义与性质,none,,
MATH,0006,2,交集的定义与性质,none,,
MATH,0006,2,补集的定义与性质,none,,
MATH,0006,2,德·摩根定律,none,,
MATH,0007,3,判断集合间基本关系的三种方法,none,,
MATH,0007,3,由 $A\cup B=A$ 或 $A\cap B=B$ 推出 $B\subseteq A$ 的解题路径,none,,
MATH,0007,3,含参集合关系问题必须分 $B=\varnothing$ 与 $B\ne\varnothing$ 讨论,none,,
MATH,0007,3,集合运算的三种方法,none,,
MATH,0007,3,两个集合的容斥原理 $\mathrm{card}(A\cup B)=\mathrm{card}(A)+\mathrm{card}(B)-\mathrm{card}(A\cap B)$,none,,
MATH,0007,3,三个集合的容斥原理,none,,
MATH,0007,3,集合创新题的三类形态,none,,
MATH,0007,3,集合创新题的解题着手点,none,,
MATH,0008,4,两个集合的容斥原理,none,,
MATH,0008,4,三个集合的容斥原理,none,,
MATH,0008,4,容斥原理的 Venn 图表示,none,,
MATH,0008,4,由集合运算结果求参数,none,,
MATH,0008,4,集合的创新题解法,none,,
MATH,0008,4,集合中的新定义问题,none,,
MATH,0008,4,集合中的新运算问题,none,,
MATH,0008,4,集合中的新性质问题,none,,
MATH,0008,4,选择题中的验证排除法与特值法,none,,
MATH,0008,4,集合相等求元素和,none,,
MATH,0008,4,由交集结果反求待定元素,none,,
MATH,0008,4,子集与真子集个数,none,,
MATH,0009,5,充分条件、必要条件、充要条件的符号语言与集合语言对应,none,,
MATH,0009,5,充分不必要、必要不充分、既不充分也不必要条件的判据,none,,
MATH,0009,5,"""小充分、大必要""的集合判据",none,,
MATH,0009,5,全称量词命题与存在量词命题的结构与简记,none,,
