subject,pdf_rel,pages,reason
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,"10,11",p10三处：①知识图谱「Cu2+ + 2OH- = Ca(OH)2↓（按图转写）」，重读整页图应为Cu(OH)2↓（产物首字与同行Cu2+字形同，稿自注「按图转写」即存疑处）；②氧化还原图中「氧化性——元素化合价升高失电子/还原性——元素化
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,100,p100左页思维导图「化学反应的方向」框：图中「焓判据/熵判据」误读为「煅判据/熔判据」（2x放大核实，焓/熵两个术语字全错）；右页知识图谱：外因列表实为「浓度、压强、温度、催化剂、其他条件」，红手写字「→活化能、有效碰撞理论」被并外因列表
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,101,p101右页「实验方案设计」表浓度行：图中第二支试管为「5 mL 0.5 mol·L⁻¹ H₂SO₄溶液」，转写写成「5 mL 0.05 mol·L⁻¹ H₂SO₄溶液」（2x放大核实，数值错一个量级；且同转写行「实验现象比较」列自己写的是
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,102,p102右页「知识拓展 阿伦尼乌斯公式」框：图中「其中，k为反应速率常数；A为比例系数；e为自然对数的底；R为理想气体常数；Eₐ为活化能，单位为J·mol⁻¹或kJ·mol⁻¹」被写成「A为比例系数，即自反应的比例（原文如此）；E为活化能，
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,103,p103左页：催化剂的催化原理链实为5段「使用催化剂→改变反应历程→使更多的反应物分子成为活化分子→增加单位体积内的活化分子百分数→加快化学反应速率」（2x放大核实），转写在链中插入图上不存在的「吸附→断键→脱附」与「降低反应的活化能」两段
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,104,p104右页：丙烯+HCl图1中编号①=CH₃CH⁺CH₃、②=CH₃CH₂CH₂⁺、③=2-氯丙烷、④=1-氯丙烷（2x放大核实），转写把①③写成碳正离子、②④写成产物（②/③互换）；金催化剂水煤气变换位能图描述中物种名乱写（如「CO*+
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,14,与页不符1处（正文式）：页图「2)有离子参加的置换反应：铁与稀硫酸发生的离子反应为 Zn + 2H+ == Zn2+ + H2↑」（页面印Zn，书本身疑似笔误），稿写「Fe + 2H+ = Fe2+ + H2↑」且未加注，属照化学常识改稿、
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,18,书页第17页右半连续漏5个侧盒（p18_boxes.png、p18_midcol.png、p18_rightcol.png裁剪确认）：①「温馨提示」（决定物质氧化性、还原性强弱的因素是反应过程中电子转移的难易，而非电子转移数目的多少，如Na
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,19,价态转化图编号箭头张冠李戴（p19_sulfur_zoom.png 8×裁剪确认）：页面实为①=H2S–S（箭头下指S）、②=S–H2SO4（箭头上指SO2）、③=H2S–SO2（箭头下指SO2）、④=H2S–H2SO4（箭头上指S）；稿写
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,22,书页第26页右上角边注漏：「①钠与酸溶液反应时优先与酸反应，如果钠过量，酸完全反应后，剩余的钠继续与水反应。」（p22_marginal.png裁剪确认，稿中无此句）；知识图谱描述另加原文图上没有的「氧元素-2价/-1价」字样（p22_ma
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,23,书页第27页中栏漏2盒（p23_midboxes.png裁剪确认）：①「易错易混」：Na2O2若遇到具有还原性的物质通常只体现氧化性（Na2O2+2NO=2NaNO2；3Na2O2+Fe2O3高温2Na2FeO4+Na2O，共熔可制备Na2
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,24,书页第29页中栏顶部漏「温馨提示：Na2CO3与盐酸的反应」续块（p24_midtop.png裁剪确认）：「2)反应的离子方程式依次为CO32-+H+=HCO3-、HCO3-+H+=CO2↑+H2O；2.向盐酸中逐滴滴入Na2CO3溶液1)
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,26,3处缺陷：①年份误读——页面时间轴为「1810年」（英国化学家戴维），稿写「1787年」（p26_timeline.png裁剪确认，清晰可读1810年）；②书页第34页漏2个「温馨提示」（p26_warmtips.png裁剪确认）：「氯气有
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,33,"p0033(书47-48)2)实验探究②实验操作a句：页图实为'把生成的气体通入蒸发皿中的肥皂液中。一段时间后,用坩埚钳夹取燃着的火柴点燃蒸发皿中的肥皂泡,观察现象。'(5倍裁切核实,句在稿中缺失),稿仅写到'观察现象。'即接b步,漏掉点燃"
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,34,"两处实误(均裁切放大核实)：①p0034(书49-50)2.制作印刷电路板工业流程图：页图废液后第一箭头标注为'加过量金属铁'，稿图注作'废液(含过量金属铜)'，属读图错且与稿自身正文'加入的铁过量,滤渣C是铁和铜的混合物'矛盾(滤渣含铜+"
CHEMISTRY,2027版高中《53知识清单》彩色版（化学）/2027高中知识清单化学.pdf,36,"p0036(书53-54)知识图谱【图】注三处与页图不符(裁切放大核实)：①图谱铁合金实际分'生铁'与'钢'(碳素钢/合金钢)两支,稿注作'铁合金(生铁/铸铁;钢……)'多出一个'铸铁'(铸铁仅见于下方知识拓展正文,不在图谱)；②铝和铝合金"
