chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-120,MATERIAL,带电粒子在交变电磁场中的运动,METHOD_MODEL,大招53：以图攻图妙解交变电场,带电粒子在交变电场中运动时因加速度与电压成正比，U-t 图像可直接当作 a-t 图像，再画出 v-t 图定性分析运动。,带电粒子由静止开始在交变电场中运动，或垂直电场方向射入加了交变电压的极板之间，题目给出 U-t 图像要求定性判断粒子运动的场景。,适用识别：带电粒子由静止开始在交变电场中运动或垂直电场方向射入加了交变电压的极板之间，题目给出 $U-t$ 图像且电压周期性变化。\n核心原理：设两极板电势差为 $U$、间距为 $d$、粒子质量 $m$、电荷量 $q$，忽略粒子重力只受电场力，则 $a=\frac{F}{m}=\frac{qE}{m}=\frac{qU}{dm}$，即 $a \propto U$，所以 $a-t$ 图像与 $U-t$ 图像形状完全一致。\n操作：把 $U-t$ 图像直接当成 $a-t$ 图像来看，再由 $a-t$ 图像画出粒子大致的 $v-t$ 图像，有 $v-t$ 图像就能分析粒子的运动了。,前提是不计重力（或重力可忽略）的带电粒子；电压必须分段恒定（方波式）才能使 $a$ 分段恒定、$v-t$ 图为折线；粒子运动过程中未碰到极板。若重力不可忽略，需额外叠加恒定的重力加速度，此时 $a-t$ 与 $U-t$ 不再形状一致。,p120 大招53 大招识别与大招解读,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-120,MATERIAL,等效法求解电场中圆周运动问题的解题思路,MISCONCEPTION_GUIDE,等效最高点即动能最小点的前提,用等效重力场判断电场中圆周运动动能最小时，等效最高点对应动能最小必须以粒子能沿圆轨道做完整圆周运动为前提。,带电体在重力场与匀强电场的复合场中沿圆轨道（细绳、圆环）运动，问动能或速度最小值位置的场景。,常见错误是直接把等效最高点当成动能最小点。这个结论有一个前提条件：小球要能做完整的圆周运动。此时等效最高点速度最小、动能最小，且恰好通过时该点的向心力由等效重力提供（细绳模型中该点张力为零，$F'=\frac{mg}{\cos\theta}$ 提供向心力），据此可求最小动能 $E_{kmin}=\frac{1}{2}F'L=\frac{mgL}{2\cos\theta}$。\n若粒子在某处速度减为零后不再沿圆轨道运动（如从最低点由静止释放、运动到细绳水平时速度恰好为零），则动能最小的位置就是速度为零的那一点，并不对应等效最高点。\n判断顺序：先判断能否做完整圆周运动，再决定动能最小点在哪。,若小球在中途脱离或倒回（未做完整圆周运动），等效最高点法失效；等效重力场要求电场力与重力都是恒力，且粒子只在等效重力场中受绳（环）约束。,p120 跳跳学长有话说,b
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-121,MATERIAL,带电粒子在交变电磁场中的运动,METHOD_MODEL,交变电场解题三步：定方向画图像明运动,把 U-t 图当 a-t 图画 v-t 图，再按图线与 t 轴围成面积的上下判断粒子运动方向与是否折返。,给出方波式交变电压的 U-t 图像，要求判断粒子运动方向、折返情况或位移正负的场景。,第一步 定方向：规定 $U>0$ 时粒子的受力方向为速度的正方向（注意负电荷受力方向与场强方向相反）。\n第二步 画图像：$U>0$ 且 $U$ 不变时，$v-t$ 图像为倾斜向上的直线（图线上坡）；$U<0$ 且 $U$ 不变时，$v-t$ 图像为倾斜向下的直线（图线下坡）；图线穿过 $t$ 轴表示粒子运动折返。\n第三步 明运动：根据 $v-t$ 图像确定粒子运动方向，图线与 $t$ 轴围成的上面积对应正向位移、下面积对应负向位移，总位移由面积的代数和决定。\n由于方波电压下各段 $a$ 大小恒定，$v-t$ 图是若干直线段接成的折线（三角形、锯齿形），据此可直接判断粒子是否往复运动或是否发生单向漂移。,只适用于忽略重力、只受电场力的带电粒子且电压分段恒定；粒子未碰到极板。若电压随时间连续变化（正弦或线性），加速度也连续变化，$v-t$ 图不是直线折线，不能按本步骤直接作图。,p121 大招53 解题步骤,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-121,MATERIAL,带电粒子在交变电磁场中的运动,METHOD_MODEL,不同时刻释放粒子的运动判断,交变电场中从不同时刻由静止释放的粒子运动状态不同，可用释放时刻落在 U-t 图的哪一段来分类判断。,方波交变电压下改变释放时刻（$t=0$、$t=\frac{T}{4}$、$t=\frac{T}{2}$ 或某时间段内释放），判断粒子运动情况的场景。,规定向右为正方向。\n（1）$t=0$ 时刻释放：粒子一直向右运动。\n（2）$t=\frac{T}{4}$ 时刻释放：粒子先向右后向左，做往复运动。\n（3）$t=\frac{T}{2}$ 时刻释放：粒子一直向左运动。\n（4）$0 \sim \frac{T}{4}$ 时间段内释放：粒子先向右后向左，每个周期内向右运动的距离大于向左运动的距离，整体向右漂移。\n（5）$\frac{T}{4} \sim \frac{T}{2}$ 时间段内释放：粒子先向右后向左，每个周期内向左运动的距离大于向右运动的距离，整体向左漂移。\n若在 $\frac{T}{2} \sim T$ 时间段内释放，粒子先向左运动，其 $v-t$ 图线与关于 $t=\frac{T}{2}$ 对称时刻释放的粒子图线部分重合（对称性）。,结论只在方波电压且忽略重力的前提下成立；判断整体漂移方向要看一个周期内正负位移（$v-t$ 图上下面积）的代数和，不能只看第一段的方向。粒子未碰到极板。,p121 大招53 判断粒子如何运动,b
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-123,MATERIAL,结论法-串反并同-应用条件为电源内阻不为零,METHOD_MODEL,大招54：串反并同巧解电路动态分析,电路阻值变化时用连圈、标变化、串反并同三步口诀快速判断各元件的电流电压功率变化趋势。,直流纯电阻电路因移动滑动变阻器滑片或开关通断引起阻值变化，要求分析电路电流、电压、电功率变化的场景。,适用识别：直流纯电阻电路中通过移动滑动变阻器的滑片、或者通过开关的闭合与断开引起电路阻值发生变化，要分析电路电流、电压、电功率的变化情况，此类题一般是选择题。\n操作口诀分三步：\n连圈：将电源和滑动变阻器连成一个圈。\n标变化：标出 $R_滑$ 的变化趋势是增大还是减小。\n串反并同：圈上的元件与滑动变阻器是串的关系，其 $U$、$I$、$P$ 变化趋势与 $R_滑$ 变化趋势相反（串反）；圈外的元件与滑动变阻器是并的关系，其 $U$、$I$、$P$ 变化趋势与 $R_滑$ 变化趋势相同（并同）。,口诀串反并同的适用条件是电源有内阻（内阻不为零）。若电源为理想电源，路端电压不变、圈外并联支路的电压电流不变，口诀失效。本方法还要求电路为纯电阻电路，且被判断的元件必须明确处于圈上或圈外。,p123 大招54 大招识别与解读,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-124,MATERIAL,结论法-串反并同-应用条件为电源内阻不为零,METHOD_MODEL,串反并同的两个操作要点,画圈时只画滑动变阻器接入电路的部分，电源内阻消耗的功率可作为圈上元件按串反判断。,内阻不可忽略的电路中滑片移动导致 $R_滑$ 变化，需要判断定值电阻与电源内阻相关功率变化的场景。,以电源内阻不可忽略、滑片下移使 $R_滑$ 减小的电路为例：先把电源与滑动变阻器连成一个圈并标出 $R_滑$ 减小；圈上的 $R_1$ 满足 $U_1 \downarrow$、$I_1 \downarrow$、$P_1 \downarrow$（串反），圈外的 $R_2$ 满足 $U_2 \uparrow$、$I_2 \uparrow$、$P_2 \uparrow$（并同）。\n两个操作要点：\n（1）画圈时可以只把滑动变阻器接入电路的那一部分画进去，这样更容易判断 $R_滑$ 是增大还是减小。\n（2）电源内电路消耗的电功率就是内阻的电功率 $P_r$。把电源看成无内阻的理想电源与内阻的串联，内阻就落在圈上，属于圈上元件，故 $P_r$ 的变化趋势与 $R_滑$ 相反（$R_滑$ 减小时 $P_r$ 增大）。,只适用于内阻不可忽略的纯电阻电路；圈必须包含电源与滑动变阻器。对非纯电阻元件（如含电动机）不能直接把 $U$、$I$、$P$ 同向变化当作结论。,p124 举例与跳跳学长传妙招,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-124,MATERIAL,理想变压器的两类动态分析,METHOD_MODEL,含变压器电路的动态分析可划去变压器,定性分析其他部分的电流电压功率增减时，可以把变压器直接划去，转化为一般电路的动态分析。,理想变压器与滑动变阻器、定值电阻混联，只需要定性判断某元件电流电压功率增减的场景。,若电路中含有变压器，在定性分析物理量如何变化时，有没有变压器对于分析其他地方的 $I$、$U$、$P$ 增减变化没有影响，可以直接划去变压器。划去变压器后这类问题就转化成了一般电路的动态分析，直接用连圈、标变化、串反并同的方法进行判断。\n例如把原线圈与副线圈的变压器划去后，剩下的电源、定值电阻、滑动变阻器构成普通电路，滑片移动时按串反并同判断各元件的 $I$、$U$、$P$ 增减即可。,只适用于定性判断 $I$、$U$、$P$ 的增减方向，不能用于求数值；若题目要求算原副线圈的电压电流大小，必须按 $n_1:n_2$ 的关系换算，不能划去变压器。变压器本身仍会改变电压电流的数值与相位关系。,p124 跳跳学长传妙招,b
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-125,MATERIAL,结论法-串反并同-应用条件为电源内阻不为零,METHOD_MODEL,画圈的连法不唯一：按分析对象选圈,串反并同法中圈的连法不唯一，连哪个圈取决于要分析哪个元件的电压电流功率。,电路中可画出多种包含电源与滑动变阻器的圈，需要判断该用哪个圈分析某个元件的场景。,在实际做题时，有时画圈会遇到圈的连法不唯一的情况，解题时具体连哪个圈取决于要分析谁：\n（1）如果要分析电容器两端的电压，画圈就要经过电容器。\n（2）如果要分析电阻 $R_1$ 的电压、电流、电功率，画圈就要经过 $R_1$。\n（3）如果要分析的既不是 $R_1$ 也不是电容器，比如分析电阻 $R_2$，那么画圈连电容器或者连 $R_1$ 都行。\n也就是说，圈由待分析元件决定：待分析元件必须落在圈上（或明确处于圈外），串反或并同的判据才对它成立。,圈中必须包含电源与滑动变阻器，否则不构成串反并同的适用结构；对同一电路中的不同元件要用各自对应的圈，不能用一个圈套用所有元件。判断时仍要求电源内阻不为零。,p125 跳跳学长有话说,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-126,MATERIAL,电表的改装,METHOD_MODEL,大招55：电表改装的分压与分流计算,电压表用串联大电阻分压改装、电流表用并联小电阻分流改装，改装电阻由量程扩大的倍数决定。,题目给出原电表的量程和内阻，原电流表量程过小需要扩大量程，或电路缺少电压表需要改装的场景。,适用识别：题中给出了原电表的量程和内阻，原电流表的量程过小需要扩大量程，或缺少电压表。\n共同前提：改装前后电表满偏时，通过表头的电流相等，均是满偏电流 $I_g$。\n电压表改装：串联大电阻分压。量程变为原来的 $n=\frac{U}{U_g}$ 倍，串联电阻 $R=\frac{U}{I_g}-R_g=\frac{nU_g}{I_g}-R_g=(n-1)R_g$。\n电流表改装：并联小电阻分流。量程变为原来的 $n=\frac{I}{I_g}$ 倍，并联电阻 $R=\frac{U_g}{I_R}=\frac{U_g}{I-I_g}=\frac{I_gR_g}{nI_g-I_g}=\frac{R_g}{n-1}$。\n结论：串联电阻 $R=(n-1)R_g$，并联电阻 $R=\frac{R_g}{n-1}$。口诀：压串乘以 $(n-1)$，流并除以 $(n-1)$。,前提是表头的满偏电流 $I_g$ 与内阻 $R_g$ 已知；$n$ 由改装后的量程与原量程之比确定，不要把 $U$、$I$ 与 $U_g$、$I_g$ 弄反。改装后表盘刻度需按新量程重新标度，读数规则（是否估读）不变。扩大量程与校准是两件事，改装后还应校准。,p126 大招55 电表改装,
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,b6bd732b19-126,MATERIAL,电压表-电流表的改装,METHOD_MODEL,电表校准与更换电阻的判断,改装后的电表要用标准表校准，示数偏大或偏小时用串反并同判断应换更大还是更小的电阻。,电表改装后进行校准、需要判断更换的电阻应增大还是减小的场景。,校准电路：电压表校准用标准电压表与被校电压表并联；电流表校准用标准电流表与被校电流表串联。\n判断如何更换电阻 $R$ 的口诀仍是串反并同：\n（1）改装电压表的示数偏大，需要它的示数减小，应当更换一个阻值更大的电阻来减小通过电压表的电流（串联支路电阻增大则电流减小）。\n（2）改装电流表的示数偏小，需要增大通过电流表的电流，应当更换一个阻值更大的电阻（并联的分流电阻增大则分走的电流减小，表头分到的电流增大）。\n应用步骤：改装电表示数偏大（或偏小）→ 需要改装电表示数减小（或增大）→ 用串反并同判断阻值应增大还是减小。,更换电阻只能改变分流或分压比例，不能改变表头的满偏电流；判断时要先分清电压表（串联大电阻、并联接入电路）与电流表（并联小电阻、串联接入电路）两种接法，接法套错会得到相反结论。,p126 大招55 电表校准,b
