# PHYSICS 节点表（slug | 名字）：1099 个
玻尔原子模型的三条假设 | .玻尔原子模型的三条假设
0-v-0模型 | 0-v-0模型
a-b两物块叠放在转盘上 | A、B两物块叠放在转盘上
e-x图像 | E-x图像
Ek-x图像 | Ek-x图像
ep-x图像 | Ep-x图像
U-I图像与I-U图像的理解 | U-I图像与I-U图像的理解
v-t图像信息的读取方法 | v-t图像信息的读取方法
v-t图像（速度—时间图像） | v-t图像（速度—时间图像）
x-t图像（位移—时间图像） | x-t图像（位移—时间图像）
x-t图像-v-t图像-a-t图像的对比 | x-t图像，v-t图像，a-t图像的对比
φ-x图像-反映了电势随位移变化的规律 | φ-x图像（反映了电势随位移变化的规律）
人船模型 | “人船模型”
逐差法-的实际应用及小技巧 | “逐差法”的实际应用及小技巧
七种色光的物理量比较分析 | 七种色光的物理量比较分析
万有引力与航天中的情景创新的问题处理 | 万有引力与航天中的情景创新的问题处理
万有引力与航天的基本定律和概念 | 万有引力与航天的基本定律和概念
万有引力与航天的理解应用 | 万有引力与航天的理解应用
万有引力与重力的关系 | 万有引力与重力的关系
万有引力定律 | 万有引力定律
万有引力定律的应用 | 万有引力定律的应用
万有引力的-两点理解-和-两个推论 | 万有引力的“两点理解”和“两个推论”
三个自由点电荷平衡模型 | 三个自由点电荷平衡模型
三个自由点电荷的平衡模型 | 三个自由点电荷的平衡模型
相似三角形-动态三角形-拉密定理等方法解决临界极值问题 | 三力平衡的三角形法与拉密定理
三星模型 | 三星模型
三种传动方式及特点 | 三种传动方式及特点
三种光学模型的光路特点 | 三种光学模型的光路特点
三种放射线的性质比较 | 三种放射线的性质比较
三种起电方式 | 三种起电方式
三角函数法 | 三角函数法
不同高度卫星物理量的比较 | 不同高度卫星物理量的比较
与平抛的区别 | 与平抛的区别
两个直线运动合运动性质的判断 | 两个直线运动合运动性质的判断
两种时空观 | 两种时空观
两种表述 | 两种表述
两种运动状态-x1 | 两种运动状态
两类U-I图像的分析 | 两类U-I图像的分析
两类U-I图像的综合应用 | 两类U-I图像的综合应用
两类典型的匀减速直线运动 | 两类典型的匀减速直线运动
两类跃迁问题与电离 | 两类跃迁问题与电离
中子-卢瑟福预言中子的存在-查德威克证实 | 中子：卢瑟福预言中子的存在，查德威克证实。
中间位置的瞬时速度 | 中间位置的瞬时速度
串、并联电路的特点与推论 | 串、并联电路的特点与推论
串并联电路的特点与四个结论 | 串并联电路的特点与四个结论
串并联电路的电功率分配 | 串并联电路的电功率分配
串并联电路的规律 | 串并联电路的规律
串并联电路的规律与推论 | 串并联电路的规律与推论
临界-极值问题 | 临界、极值问题
临界法 | 临界法
二力不平衡的合成法 | 二力不平衡的合成法
二次感应问题的分析 | 二次感应问题的分析
二次感应问题（程序法与逆向推理法） | 二次感应问题（程序法与逆向推理法）
二级结论法 | 二级结论法
交变电场问题的v-t图像分析 | 交变电场问题的v-t图像分析
交变电流 | 交变电流
交变电流有效值的计算 | 交变电流有效值的计算
交变电流的瞬时值-峰值-有效值和平均值 | 交变电流的瞬时值、峰值、有效值和平均值
产生感应电流的条件 | 产生感应电流的条件
人造卫星的轨道分类与运行参数 | 人造卫星的轨道分类与运行参数
仪器介绍-磁流体发电是一项新兴技术-它可以把内能直接转化为电能 | 仪器介绍
仪器构造-质谱仪由粒子源-加速电场-偏转磁场和照相底片构成 | 仪器构造
伏伏法与安安法测电阻 | 伏伏法与安安法测电阻
伏伏法测电阻 | 伏伏法测电阻
伏伏法测电阻（电压表差值法） | 伏伏法测电阻（电压表差值法）
伏伏法（电压表差值法） | 伏伏法（电压表差值法）
伏安法测电源电动势和内阻 | 伏安法测电源电动势和内阻
伏安法测电源电动势和内阻的误差分析 | 伏安法测电源电动势和内阻的误差分析
伏安特性曲线 | 伏安特性曲线
伏安特性曲线的图像比较 | 伏安特性曲线的图像比较
伏安特性曲线的应用 | 伏安特性曲线的应用
伏欧法测电源电动势和内阻 | 伏欧法测电源电动势和内阻
伏阻法测电动势与内阻 | 伏阻法测电动势与内阻
伏阻法测电源电动势和内阻 | 伏阻法测电源电动势和内阻
运动规律 | 传动装置中的运动规律
传感器 | 传感器
传播方向和振动方向的判断-图像理解 | 传播方向和振动方向的判断——图像理解
传播特点 | 传播特点
传送带上的相对位移与划痕 | 传送带上的相对位移与划痕
传送带模型 | 传送带模型
传送带模型中的功和能量的关系 | 传送带模型中的功和能量的关系：
估算法 | 估算法
伽利略斜面实验 | 伽利略斜面实验
位移 | 位移
路程-物体运动轨迹的长度-只有大小-没有方向-是标量-其单位就是长度的单位 | 位移与路程的区别
位移差公式 | 位移差公式
位移时间公式 | 位移时间公式
作用力与反作用力 | 作用力与反作用力
保守型与耗散型碰撞拓展模型 | 保守型与耗散型碰撞拓展模型
倾斜传送带 | 倾斜传送带
假设法 | 假设法
做直线运动的条件 | 做直线运动的条件
元电荷 | 元电荷
光子说 | 光子说
光学实验中的误差分析 | 光学实验中的误差分析
光学知识体系 | 光学知识体系
光导纤维与全反射棱镜 | 光导纤维与全反射棱镜
光电效应 | 光电效应
光电效应与带电粒子在电磁场中的综合模型 | 光电效应与带电粒子在电磁场中的综合模型
光电效应方程 | 光电效应方程：。
光电效应现象 | 光电效应现象
光电效应的产生条件 | 光电效应的产生条件
光电效应的图像问题 | 光电效应的图像问题
光电效应的规律 | 光电效应的规律
光电门测速的原理与误差 | 光电门测速的原理与误差
光的偏振 | 光的偏振
光的反射和折射 | 光的反射和折射
光的干涉 | 光的干涉
光的干涉-衍射和偏振 | 光的干涉、衍射和偏振
光的折射 | 光的折射
光的波粒二象性 | 光的波粒二象性
光的波粒二象性-长期争论后达成的共识 | 光的波粒二象性(长期争论后达成的共识)
光的波粒二象性的表现规律 | 光的波粒二象性的表现规律：
光的衍射 | 光的衍射
光谱及其分类 | 光谱及其分类
光路可逆性 | 光路可逆性
全反力与摩擦角 | 全反力与摩擦角
全反射 | 全反射
