subject,slug,name,kind,boundary,volume,chapter,theme,source_locator
CHEMISTRY,同素异形体,同素异形体,CONCEPT,判断关键是同一元素且均为单质；O₂与O₃、金刚石与石墨属同素异形体，冰与水、CO 与 CO₂ 不是（或不是单质）。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
CHEMISTRY,游离态,游离态,CONCEPT,只适用于元素的存在形态判断；以单质形式存在才叫游离态，化合物中一律是化合态。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
CHEMISTRY,化合态,化合态,CONCEPT,只适用于元素的存在形态判断；与游离态互斥，同一种元素在同一物质中只能是其中一种。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
CHEMISTRY,纯净物,纯净物,CONCEPT,由一种物质组成；判断依据是组成是否单一，不能凭「看起来干净」或状态判断，盐酸、漂白粉、碱石灰都是混合物。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
CHEMISTRY,混合物,混合物,CONCEPT,由两种或两种以上物质组成；含同种元素的多份单质共存也算混合物，如 O₂ 与 O₃ 的混合气体。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
CHEMISTRY,单质,单质,CONCEPT,由同种元素组成的纯净物；判断时须同时满足「同种元素」与「纯净物」两条，同素异形体共存时不满足第二条。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
CHEMISTRY,化合物,化合物,CONCEPT,由两种或两种以上元素组成的纯净物；只含一种元素的物质一定不是化合物，但可能是混合物。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
CHEMISTRY,离子化合物,离子化合物,CONCEPT,含离子键的化合物；判断依据是是否存在离子键，而不是是否含金属元素——铵盐不含金属元素但属离子化合物。,化学必修第一册,第四章 物质结构 元素周期律,化学键,人教版高中教材（2019）
CHEMISTRY,共价化合物,共价化合物,CONCEPT,只含共价键的化合物；全部由非金属元素组成不等于一定共价，要落到键型判断上。,化学必修第一册,第四章 物质结构 元素周期律,化学键,人教版高中教材（2019）
CHEMISTRY,化学与传统文化,化学与传统文化,REASONING,高考以古文、古籍、诗词、谚语为载体考查物质成分与类别、性质与反应类型、分离提纯操作；解题落点是「把文本信息翻译成教材语言」，不考冷僻史实。,化学必修第一册,第一章 物质及其变化,物质及其变化,人教版高中教材（2019）
BIOLOGY,生态系统,生态系统,CONCEPT,空间范围可以是一滴水、一片森林，也可以是整个生物圈；判据是生物群落与其非生物环境相互作用形成统一整体，只有生物、没有环境（如离体培养的细胞）不算生态系统。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,生物圈,生物圈,CONCEPT,生物圈是地球上最大的生态系统，包括大气圈的底部、水圈的全部和岩石圈的表面；它不等于地球上所有生物的总和，必须连带非生物环境。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,非生物的物质和能量,非生物的物质和能量,CONCEPT,指光、热、水、空气、无机盐等；它是生态系统的组成成分而不是生物群落的一部分，能量流动与物质循环的起点都在这一成分上。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,生产者,生产者,CONCEPT,判据是能否把无机物合成有机物（自养），不是长得像不像植物；蓝细菌、硝化细菌都是生产者，菟丝子虽然是植物却属消费者。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,消费者,消费者,CONCEPT,判据是异养且直接或间接以生产者为食；寄生生物（寄生细菌、菟丝子等）属消费者，不属分解者，这是最常混的一处。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,分解者,分解者,CONCEPT,判据是腐生并把有机物分解成无机物；蚯蚓、蜣螂等腐食性动物属分解者而不属消费者，这是最常见的判错点。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,生物群落,生物群落,CONCEPT,指一定区域内全部生物（生产者、消费者、分解者的总和），必须包含全部种群而不是数量最多的那几种；与非生物环境合起来才是生态系统。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,营养级,营养级,CONCEPT,营养级指处于同一营养层次的全部生物的总和，不是个体、也不一定是一个种群；分解者不占任何营养级。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的结构,人教版高中教材（2019）
BIOLOGY,同化量,同化量,CONCEPT,同化量等于摄入量减去粪便量；上一营养级的粪便量计入下一营养级的摄入量而不是同化量，这是能量计算最常见的错点。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的能量流动,人教版高中教材（2019）
BIOLOGY,摄入量,摄入量,CONCEPT,摄入量等于同化量与粪便量之和，只对消费者和分解者使用；生产者没有摄入量，其同化量就是固定的总能量。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的能量流动,人教版高中教材（2019）
BIOLOGY,能量传递效率,能量传递效率,CONCEPT,指相邻两个营养级之间同化量的比值，分母是上一营养级的同化量而不是摄入量；一成到两成是相邻营养级的经验范围，不能套用到非相邻营养级。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的能量流动,人教版高中教材（2019）
BIOLOGY,生态金字塔,生态金字塔,REPRESENTATION,能量金字塔一定是正金字塔形；数量金字塔与生物量金字塔在特定条件下可能倒置，判断前先确认是哪一种金字塔。,生物学选择性必修2,第三章 生态系统及其稳定性,生态系统的能量流动,人教版高中教材（2019）
