chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第二章相互作用/1_专题资料包/1_讲册PDF 02-第二章 相互作用.pdf,59dd10c06b-013,MATERIAL,相似三角形-动态三角形-拉密定理等方法解决临界极值问题,METHOD_MODEL,正弦定理法解决动态平衡问题,把三力平衡的三个力首尾相接构成闭合三角形，用正弦定理建立各力与其对角正弦的比，由角的变化判断力的大小变化。,三力平衡（或多力可等效为三力）问题中，已知一个力大小方向不变、其余力的方向随过程改变，且题目给出的角度关系明确时。,**思路三步**\n1. 先受力分析，判断物体的受力情况。\n2. 作出辅助线，构建力的矢量三角形。三力平衡时三个力首尾相接必然闭合，构成三角形。\n3. 分析题目给出的信息，依据正弦定理确定边角关系，再由角和边的变化情况判断力的大小变化。\n\n**原理**：三力 $F_1$、$F_2$、$F_3$ 平衡时构成闭合三角形，各力与其对角满足 $\\dfrac{F_1}{\\sin\\theta_1}=\\dfrac{F_2}{\\sin\\theta_2}=\\dfrac{F_3}{\\sin\\theta_3}$。\n\n**用法要点**：抓住三角形中大小不变的边（对应大小方向都不变的力）与不变的角（由题给条件或几何关系确定）。不变边与其对角正弦之比是定值，故其余各力只由各自对角的正弦决定——角增大则力增大，角减小则力减小。\n\n**与相似三角形法的区别**：题目出现绳长、杆长、几何长度不变时用相似三角形法；题给角度关系明确时用正弦定理法。,只适用于三力平衡或可等效为三力的情形；超过三个力又无法合成简化时应改用正交分解。要求三角形中至少有一个角不随状态变化，否则应改用相似三角形法或动态三角形法。正弦定理得到的是力与角的关系，判断增减前必须先判断角的变化方向。,p91 提分关键·归纳总结 用正弦定理法解决动态平衡问题,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第二章相互作用/1_专题资料包/1_讲册PDF 02-第二章 相互作用.pdf,59dd10c06b-013,MATERIAL,共点力的平衡临界极值问题-临界条件,CONCEPT_EXPLANATION,平衡中的临界问题与三种临界条件,当某物理量连续变化使物体的平衡状态恰好出现或恰好不出现时，这个状态叫临界状态，其标志是最值型力学条件。,题目中出现 刚好、恰能、恰好 等字眼，判断物体能否保持平衡、何时开始滑动、何时离开接触面或绳何时松驰时。,**临界问题**：当某物理量变化时，会引起其他物理量变化，从而使物体所处的平衡状态恰好出现或恰好不出现。问题的描述中常用 刚好、恰能、恰好 等词。\n\n**三种常见临界情况**\n1. 由静止到运动：摩擦力达到最大静摩擦力 $F_f=F_{fm}=\\mu F_N$，物体恰好将要滑动。\n2. 绳子恰好绷紧：绳中拉力 $F=0$。\n3. 刚好离开接触面：接触面上的支持力 $F_N=0$。\n\n**处理要领**：临界条件必须在变化中去寻找，不能停留在某一个状态里研究。做法是把某个物理量推向极端（极大或极小），在该极端状态下列出等式，再以临界值为界写出不等式，解出待求量的取值范围。例如保持物体不下滑需 $F_f\\le F_{fm}$，物体不离开面需 $F_N\\ge 0$。,临界状态是过程的分界点而不是过程本身，不能把临界值当作满足条件的一般取值；最大静摩擦力略大于滑动摩擦力，题目未特别说明时可认为两者相等；绳恰绷紧与绳恰松驰是同一个条件的两种说法，都对应 $F=0$。,p91 题型2 平衡中的临界问题,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第二章相互作用/1_专题资料包/1_讲册PDF 02-第二章 相互作用.pdf,59dd10c06b-013,MATERIAL,共点力的动态平衡,METHOD_MODEL,平衡中极值问题的三种解法,求平衡中力的最大值或最小值，可选用物理分析法、数学分析法或极限分析法。,**求某个力在平衡过程中的最大值、最小值，或求取得最值时对应的角度、位置时。**,**极值问题**：平衡中的极值问题一般指力的变化过程中的最大值和最小值问题。\n\n**三种常用方法**\n1. **物理分析法**：根据平衡条件作出力的矢量图，对物理过程进行分析，利用平行四边形定则或三角形定则作动态分析，由几何关系确定最大值或最小值。常见结论是三力平衡中若一个力大小方向不变、另一个力方向不变，则第三个力与第二个力垂直时取最小值。\n2. **数学分析法**：根据物体的平衡条件列出物理量之间的函数关系，用数学方法求极值，如二次函数求极值、三角函数求极值（把 $a\\sin\\theta+b\\cos\\theta$ 化为一个正弦函数）等。\n3. **极限分析法**：先正确地进行受力分析和变化过程分析，找出平衡的临界点和极值点，再把某个物理量推向极端（极大或极小）来研究。\n\n**如何选择**：几何关系直观、力的方向变化明显时优先用物理分析法；力与角度能写成明确函数时用数学分析法；只能判断状态边界时用极限分析法。,三种方法都必须以正确的受力分析和过程分析为前提。用数学分析法时必须写清自变量的真实取值范围，否则会把区间外的驻点误当成最值；用物理分析法时要先确认矢量三角形中哪条边、哪个角是定值，把定值当变量会导致结论错误。,p91 题型2 解决平衡中极值问题的常用方法,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第二章相互作用/1_专题资料包/1_讲册PDF 02-第二章 相互作用.pdf,59dd10c06b-015,MATERIAL,探究结果-胡克定律-x为形变量,METHOD_MODEL,探究弹簧弹力与形变量关系的原理与操作,在弹簧下端悬挂钩码改变弹力、测出对应形变量，以 F 为纵轴、形变量 x 为横轴作图，得到过原点的直线即验证 F=kx。,做探究弹簧弹力与形变量的关系实验，或分析该实验的 F-x 图像、判断操作是否规范时。,**实验原理**：在弹簧下端悬挂钩码，平衡时记下弹簧的总长度和钩码重力。改变钩码的个数，重复上述实验过程，将数据填入表格，分析弹力大小与弹簧形变量之间的关系。\n\n**操作要领**\n1. 控制钩码质量：所挂钩码不要过重，以免弹簧被过度拉伸，超出弹簧的弹性限度。\n2. 测量弹簧原长：考虑弹簧自身受重力的影响，实验时要将弹簧竖直悬挂测量原长，不可以将弹簧放置在水平桌面上测量原长。\n3. 测量弹簧长度：一定要在弹簧竖直悬挂且处于稳定状态时测量弹簧的长度，刻度尺要保持竖直并靠近弹簧，以免增大读数误差。\n4. 作图：坐标轴标度要适中，单位要标注；横坐标 $x$ 是形变量而不是长度；描点画线时，所描的点不一定都落在一条直线上，但应使各点均匀分布在直线的两侧。\n\n**数据处理三法**\n- 图像法：以弹簧的弹力 $F$ 为纵轴、弹簧的形变量 $x$ 为横轴描点，根据描点的情况作一条直线。\n- 列表法：将实验数据填入表中，研究测量的数据，可发现在实验误差允许的范围内，弹力与弹簧形变量的比值不变。\n- 函数法：根据实验数据，找出弹力与弹簧形变量的函数关系，即 $F=kx$。,横坐标必须用形变量 $x$（伸长量或压缩量）而不是弹簧总长，用长度作横坐标会得到不过原点的直线；钩码不要超过弹性限度，否则图线会弯曲；只有竖直悬挂测原长才能排除弹簧自重带来的系统误差。,p93 实验2 探究弹簧弹力与形变量的关系,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第二章相互作用/1_专题资料包/1_讲册PDF 02-第二章 相互作用.pdf,59dd10c06b-015,MATERIAL,NEW:探究弹簧弹力与形变量关系的误差分析与改进,MISCONCEPTION_GUIDE,弹簧弹力与形变量实验的误差与改进,该实验图线弯曲与不过原点各有确定原因，可用横向测量或用压力传感器间接测弹力来改进。,分析该实验的 F-x 图像为什么弯曲、为什么不过原点，判断误差来源或评价改进方案时。,**误差分析**\n1. 钩码标值不准确、弹簧长度测量不准确及画图时描点连线不准确等，都会引起实验误差。\n2. 悬挂钩码数量过多，导致弹簧的形变过大，超出其弹性限度，不再符合胡克定律 $F=kx$，故图像发生弯曲（图线向下弯、偏离直线）。\n3. 水平放置弹簧测量其原长，由于弹簧有自重，将其悬挂起来后会有一定的伸长量，故图像与横轴的截距不为 0，即图线不过原点。\n\n**改进方案**\n- 方案一 横向测量：弹簧水平放置，消除弹簧自身重力对原长测量的影响，减小测量误差。\n- 方案二 实验仪器的改进：用压力传感器间接测量弹簧弹力的大小，避开钩码标值不准带来的误差。,图线弯曲不一定是弹性限度问题，也可能是弹簧自身质量偏大造成的；图线不过原点一般来自原长测量方法的系统误差，属于方法性错误，靠增加测量次数无法消除，必须改成竖直悬挂测原长或用横向测量方案。,p93 实验2 误差分析与改进方案；建议父级：相互作用/实验探究,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第二章相互作用/1_专题资料包/1_讲册PDF 02-第二章 相互作用.pdf,59dd10c06b-016,MATERIAL,等效替代法,METHOD_MODEL,探究互成角度力的合成规律：等效替代,两个互成角度的力与一个力作用效果相同即为等效，若平行四边形定则作出的合力与实测力在误差内相同，就验证了力的平行四边形定则。,做探究两个互成角度的力的合成规律实验，或理解合力与分力的等效替代关系时。,**实验原理**：互成角度的两个力 $F_1$ 和 $F_2$ 共同作用的效果与一个力 $F'$ 单独作用的效果相同。若用平行四边形定则将 $F_1$ 和 $F_2$ 合成的力 $F$ 与 $F'$ 相差不大，则说明力的平行四边形定则成立。\n\n**等效的保证**：同一次实验中两次把橡皮条拉长后的结点（小圆环）所处的位置 $O$ 点必须保持不变，这是两次作用效果相同的唯一判据。\n\n**操作步骤**\n1. 等效：锁定结点位置 $O$ 不变。\n2. 拉力：沿弹簧测力计轴线方向拉（与板面平行），两分力 $F_1$、$F_2$ 的夹角不要太大或太小。\n3. 记录：记下每次各力的大小和方向，标记方向的点离 $O$ 点尽量远些。\n4. 作图：按力的图示的要求作出平行四边形，注意同一标度。\n\n**数据处理**：用铅笔和刻度尺从 $O$ 点沿两个细绳套方向画直线，按选定的标度作出这两个弹簧测力计拉力 $F_1$ 和 $F_2$ 的图示，作平行四边形，过 $O$ 点画对角线即合力 $F$ 的图示；再用刻度尺从 $O$ 点按同样的标度沿记录的方向作出只用一个弹簧测力计时的拉力 $F'$ 的图示，把 $F$ 与 $F'$ 比较。,只有结点位置 $O$ 保持不变才能保证两次作用效果相同；$F$ 是用平行四边形定则作图得到的合力，$F'$ 是实测的合力，两者不能混为一谈。作图时必须同一标度，标度不统一会使 $F$ 与 $F'$ 的偏差失去意义。,p94 实验3 探究两个互成角度的力的合成规律,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第二章相互作用/1_专题资料包/1_讲册PDF 02-第二章 相互作用.pdf,59dd10c06b-016,MATERIAL,NEW:探究两个互成角度的力的合成规律实验的误差与改进,MISCONCEPTION_GUIDE,力的合成实验的误差分析与改进方案,该实验误差主要来自测力计未调零、弹簧与外壳摩擦、结点位置不准和作图不规范，可用汇力圆环或钩码替代测力计改进。,分析该实验的误差来源、评价实验方案优劣、回答如何减小实验误差时。,**注意事项**\n1. 使用弹簧测力计前，要先调整指针使其指在零刻度线处，再将两个弹簧测力计的挂钩钩在一起，向相反方向拉，示数相同方可使用。\n2. 长度合适：实验中的两个细绳套不能太短。\n3. 位置不变：在同一次实验中，橡皮条拉长时结点到达的位置一定要相同。\n4. 角度合适：用两个弹簧测力计钩住细绳套互成角度地拉橡皮条时，夹角不宜太小也不宜太大，以 60 度到 120 度为宜。\n5. 同一平面：在用力拉弹簧测力计时，拉力应沿弹簧测力计的轴线方向，弹簧测力计中弹簧轴线、橡皮条、细绳套应该位于与纸面平行的同一平面内。\n6. 统一标度：画力的图示选定的标度要相同，要恰当选定标度，使力的图示稍大一些。\n\n**误差分析**：弹簧测力计使用前没调零；使用中弹簧测力计的弹簧和外壳之间或指针和外壳之间有摩擦；两次测量拉力时橡皮条的结点没有拉到同一点；读数时眼睛没有正视、没按有效数字的保留规则读数记录；应用平行四边形定则作图时 $F_1$、$F_2$ 及 $F$ 作图不准确。\n\n**改进方案**\n- 方案一：使用汇力圆环，每次将汇力圆环拉至定位圆，方便确定力的方向，作图更直观。\n- 方案二：通过改变钩码个数来改变力的大小，力的大小可以通过钩码个数计算得到，无需用弹簧测力计测量，也无需保证每次结点位置相同。,用钩码替代测力计后不再受结点位置必须相同的约束，但钩码只能提供竖直方向的力，方案不是普遍适用。测力计未调零属于系统误差，必须事前校准；作图不准确属于偶然误差，可通过选用更大的标度和把方向点标得更远来减小。,p94 实验3 误差分析与改进方案；建议父级：相互作用/实验探究,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第五章万有引力与宇宙航行/1_专题资料包/1_讲册PDF 05-第五章 万有引力与宇宙航行.pdf,479e2cb57f-001,MATERIAL,开普勒三定律,CONCEPT_EXPLANATION,开普勒行星运动三定律,轨道定律指行星轨道是椭圆且太阳在一个焦点上，面积定律指相等时间扫过相等面积，周期定律指 a³/T²=k 且 k 只由中心天体决定。,行星、卫星绕中心天体运动时判断轨道形状、比较不同位置的速度、或由轨道半径比求周期比。,**开普勒第一定律（轨道定律）**：所有行星绕太阳运动的轨道都是椭圆，太阳处在椭圆的一个焦点上。因此行星运动的轨道必有近日点和远日点。\n\n**开普勒第二定律（面积定律）**：对任意一个行星来说，它与太阳的连线在相等的时间内扫过的面积相等。注意是同一个行星在相等时间内扫过的面积相等，不同行星之间不能比较。\n\n**由面积定律推出的速度关系**：取极短时间 $\\Delta t$，近日点附近扫过的面积 $\\dfrac{1}{2}v_1\\Delta t\\cdot r_1$ 与远日点附近扫过的面积 $\\dfrac{1}{2}v_2\\Delta t\\cdot r_2$ 相等，即 $\\dfrac{1}{2}v_1\\Delta t\\cdot r_1=\\dfrac{1}{2}v_2\\Delta t\\cdot r_2$，解得 $\\dfrac{v_1}{v_2}=\\dfrac{r_2}{r_1}$，即近日点速度最大、远日点速度最小。\n\n**开普勒第三定律（周期定律）**：所有行星的轨道半长轴的三次方跟它的公转周期的二次方的比值都相等，即 $\\dfrac{a^3}{T^2}=k$。同一中心天体 $k$ 值相同，不同中心天体 $k$ 值一般不同。\n\n**由万有引力推导 k**：对圆轨道有 $G\\dfrac{Mm}{r^2}=m\\left(\\dfrac{2\\pi}{T}\\right)^2r$，得 $\\dfrac{r^3}{T^2}=\\dfrac{GM}{4\\pi^2}$，所以 $k=\\dfrac{GM}{4\\pi^2}$ 只由中心天体的质量决定。可见开普勒第三定律也适用于圆轨道，圆轨道可以看成一种特殊的椭圆轨道。,$a^3/T^2=k$ 中的 $k$ 只与中心天体有关，绕不同天体运动的卫星不能套用同一个 $k$；面积定律只能比较同一行星（或同一卫星）在轨道不同位置的速度，不能用来比较两颗不同行星的速度大小；$a$ 是半长轴而不是轨道半径，只有圆轨道时 $a$ 才等于半径 $r$。,p95 考点1 开普勒行星运动定律,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第五章万有引力与宇宙航行/1_专题资料包/1_讲册PDF 05-第五章 万有引力与宇宙航行.pdf,479e2cb57f-001,MATERIAL,万有引力定律,CONCEPT_EXPLANATION,万有引力定律的表达式与适用条件,任意两质点间都存在引力，大小 F=Gm₁m₂/r²，G 由卡文迪什扭秤测出，适用于两质点及质量分布均匀的球体。,计算两物体间的引力、判断万有引力公式何时可用，也是所有天体运动问题的列式起点。,**表达式**：$F=G\\dfrac{m_1m_2}{r^2}$，其中 $G$ 为引力常量，$G=6.67\\times10^{-11}\\ \\mathrm{N\\cdot m^2/kg^2}$，由英国物理学家卡文迪什（卡文迪许）利用扭秤测出。\n\n**适用条件**\n1. 两个质点间的相互作用。\n2. 对于两个质量分布均匀的球体，$r$ 为两球心间的距离。\n3. 对于质点与质量分布均匀的球体，$r$ 为质点到球心的距离。\n\n**方向与性质**：两物体间的引力沿两质点连线方向，是一对作用力与反作用力，大小相等、方向相反，分别作用在两个物体上，不能相互抵消。\n\n**黄金代换**：在天体表面附近忽略自转时，$G\\dfrac{Mm}{R^2}=mg$，即 $GM=gR^2$，其中 $R$ 为中心天体半径、$g$ 为其表面重力加速度。这是联系天体质量与表面重力加速度的常用桥梁。,$r$ 是两球心（或质点到球心）的距离，不是两表面间的最近距离，用表面距离代入会算错；公式只适用于质点与质量均匀分布的球体；引力常量 $G$ 由卡文迪什用扭秤测出而非牛顿测出；万有引力是任意两物体间都存在的作用力，与物体是否做圆周运动无关。,p95 考点2 万有引力定律,
27版五三/【01】2027版53 A版新高考一轮复习（PDF+word）/2027版.新高考版.选考总复习.物理.5·3A版/一、本书精品电子资源/第五章万有引力与宇宙航行/1_专题资料包/1_讲册PDF 05-第五章 万有引力与宇宙航行.pdf,479e2cb57f-002,MATERIAL,万有引力的-两点理解-和-两个推论,CONCEPT_EXPLANATION,万有引力的两个重要推论,匀质球壳空腔内任意位置质点受球壳引力合力为零；匀质球体内部距球心 r 处的引力等于半径 r 的球体产生的引力，与该距离成正比。,求矿井下、深潜器、星球内部某处的重力加速度，或比较星球内部与外部重力加速度的比值时。,**推论 1**：在匀质球壳的空腔内任意位置处，质点受到球壳万有引力的合力为 0，即 $\\Sigma F=0$。\n\n**推论 2**：在匀质球体内部距球心 $r$ 处，质点受到的万有引力等于半径为 $r$ 的球体对它的引力。设球体半径为 $R$、质量为 $M$，则半径 $r$ 的球体质量 $M'=\\dfrac{r^3}{R^3}M$，于是 $F'=G\\dfrac{M'm}{r^2}=G\\dfrac{Mm}{R^3}r$。\n\n**推论 2 的用法**：由上式可知，匀质球体内部的重力加速度与到球心的距离成正比，即 $g_{内}=\\dfrac{GM}{R^3}r$；而球体外部由 $G\\dfrac{Mm}{r^2}=mg$ 得 $g_{外}=\\dfrac{GM}{r^2}$，与到球心距离的二次方成反比。\n\n**典型应用**：比较地球表面下深度 $d$ 处与距地面高 $h$ 处的重力加速度之比（忽略自转），可直接代入 $g_{内}=\\dfrac{GM}{R^3}(R-d)$ 与 $g_{外}=\\dfrac{GM}{(R+h)^2}$ 作比，不必重新求质量。两个推论都以质量分布均匀为前提，实际星球只能作近似处理。,推论 1 只对球壳空腔内部成立，球壳外的物体仍受球壳引力；推论 2 中质量必须按 $r^3/R^3$ 缩放，直接把整个球体质量代入会算错；两个推论都要求球体质量分布均匀，实际星球并非严格均匀，只能作近似；在星球内部不能再套用 $g=\\dfrac{GM}{r^2}$，该式只适用于球体外部。,p96 万有引力的两个推论,
